year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1930	07	29	Faroe Islands	Iceland	0	1	F		-13	1287	1313	−	−	61	59
1946	07	17	Iceland	Denmark	0	3	F		-5	1308	1723	0	0	74	17
1947	07	24	Iceland	Norway	2	4	F		-7	1301	1606	−2	+1	83	39
1948	07	02	Iceland	Finland	2	0	F		11	1312	1290	+2	−1	83	86
1949	08	07	Denmark	Iceland	5	1	F		1	1795	1311	0	0	12	83
1951	06	29	Iceland	Sweden	4	3	F		19	1330	1914	0	0	87	7
1951	07	26	Norway	Iceland	3	1	F		3	1595	1327	0	0	41	87
1953	08	09	Denmark	Iceland	4	0	F		3	1687	1324	0	0	24	88
1953	08	13	Norway	Iceland	3	1	F		3	1599	1321	0	0	41	87
1954	07	04	Iceland	Norway	1	0	F		16	1337	1622	+4	−4	92	39
1954	08	24	Sweden	Iceland	3	2	F		1	1836	1336	+1	0	10	92
1955	07	03	Iceland	Denmark	0	4	F		-8	1328	1660	−1	+1	93	31
1955	08	25	Iceland	United States	3	2	F		14	1342	1559	+1	−1	91	49
1956	06	29	Finland	Iceland	2	1	F		6	1375	1336	+2	0	88	95
1957	06	02	France	Iceland	8	0	WQ		2	1868	1334	+1	0	9	98
1957	06	05	Belgium	Iceland	8	3	WQ		6	1675	1328	+1	−2	31	100
1957	07	08	Iceland	Norway	0	3	FT		-14	1314	1623	−1	+2	101	42
1957	07	10	Iceland	Denmark	2	6	FT		-15	1299	1605	−3	+1	104	46
1957	09	01	Iceland	France	1	5	WQ		-5	1294	1873	−1	0	105	10
1957	09	04	Iceland	Belgium	2	5	WQ		-12	1282	1687	−3	+2	107	29
1959	06	26	Iceland	Denmark	2	4	OQ		-15	1267	1592	−3	+4	115	46
1959	07	07	Iceland	Norway	1	0	OQ		31	1298	1551	+8	−7	107	56
1959	08	18	Denmark	Iceland	1	1	OQ		-17	1590	1315	−2	+3	45	104
1959	08	21	Norway	Iceland	2	1	OQ		5	1556	1310	+2	0	54	104
1960	06	09	Norway	Iceland	4	0	F		6	1501	1304	+1	−1	69	109
1960	08	03	Iceland	West Germany	0	5	F		-3	1301	1862	−1	0	110	12
1962	07	09	Iceland	Norway	1	3	F		-12	1289	1476	−3	+3	115	75
1962	08	12	Ireland	Iceland	4	2	EQ		4	1672	1285	0	−1	32	116
1962	09	02	Iceland	Ireland	1	1	EQ		14	1299	1658	+2	−3	114	35
1964	08	10	Iceland	Bermuda	4	3	F		10	1309	1390	0	−	113	99
1964	08	23	Iceland	Finland	0	2	F		-18	1291	1356	−4	+1	117	108
1965	07	05	Iceland	Denmark	1	3	F		-6	1285	1654	−1	0	119	36
1967	08	23	Denmark	Iceland	14	2	F		6	1563	1279	0	−1	53	121
1968	07	18	Iceland	Norway	0	4	F		-12	1267	1529	−3	0	120	65
1969	06	23	Iceland	Bermuda	2	1	F		9	1276	1315	+1	−2	119	112
1969	07	21	Norway	Iceland	2	1	F		2	1535	1274	0	−1	65	120
1969	07	24	Finland	Iceland	3	1	F		6	1420	1268	+6	0	87	120
1969	11	11	Bermuda	Iceland	3	2	F		5	1346	1263	+1	−1	104	121
1970	07	07	Iceland	Denmark	0	0	F		7	1270	1642	+1	0	122	40
1970	07	20	Iceland	Norway	2	0	F		22	1292	1530	+4	−6	118	65
1971	05	26	Norway	Iceland	3	1	F		4	1543	1288	+1	0	63	114
1971	08	13	Iceland	Japan	0	2	F		-8	1280	1579	−4	+3	118	54
1972	05	18	Belgium	Iceland	4	0	WQ		2	1847	1278	0	0	12	122
1972	05	22	Belgium	Iceland	4	0	WQ		2	1849	1276	+1	0	11	122
1972	07	03	Iceland	Denmark	2	5	F		-6	1270	1658	0	+2	122	38
1972	07	12	Iceland	Faroe Islands	3	0	F		13	1283	1274	+1	−4	121	122
1972	08	03	Norway	Iceland	4	1	WQ		12	1474	1271	+5	−1	68	122
1973	06	08	Faroe Islands	Iceland	0	4	F		-24	1250	1295	−5	+4	128	120
1973	07	11	Sweden	Iceland	1	0	F		0	1862	1295	0	0	13	119
1973	07	17	Iceland	East Germany	1	2	F		-1	1294	1860	0	0	119	14
1973	07	19	Iceland	East Germany	0	2	F		-2	1292	1862	0	+1	119	12
