year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1933	01	31	Ceylon	India	0	1	F		-1	999	1601	−	−	77	32
1934	06	20	South Africa	India	0	2	F		-24	1713	1625	−1	+4	18	31
1934	06	23	South Africa	India	0	2	F		-22	1691	1647	−1	+5	19	26
1934	07	21	South Africa	India	1	2	F		-14	1677	1661	−1	+1	20	25
1936	07	04	India	China	1	1	F		-4	1657	1626	−2	+1	27	32
1938	05	30	India	Burma	1	1	F	BU	-6	1651	1306	−1	−	29	72
1938	09	03	Australia	India	5	3	F		8	1729	1643	+2	−2	16	31
1938	09	10	Australia	India	4	4	F		-5	1724	1648	0	+2	17	29
1938	09	17	Australia	India	1	4	F		-26	1698	1674	−2	+4	19	25
1938	09	24	Australia	India	5	4	F		7	1705	1667	0	−3	19	28
1938	10	01	Australia	India	3	1	F		9	1714	1658	+2	−2	17	30
1948	06	03	India	Afghanistan	4	0	F		0	1658	929	0	0	32	106
1951	03	05	India	Indonesia	3	0	ASG		10	1668	1444	+1	−1	29	65
1951	03	07	India	Afghanistan	3	0	ASG		1	1669	914	0	0	29	114
1951	03	10	India	Iran	1	0	ASG		9	1678	1557	+1	−2	28	46
1952	03	09	Ceylon	India	0	3	CLM		-2	997	1680	0	0	115	26
1952	03	16	India	Burma	4	0	CLM	CE	5	1685	1283	0	−1	26	97
1952	03	23	India	Pakistan	0	0	CLM	CE	-10	1675	1420	−2	+1	28	71
1952	07	15	Yugoslavia	India	10	1	OG	FI	32	1936	1643	+1	−2	7	30
1953	10	23	India	Pakistan	1	0	CLM	BU	7	1650	1415	+3	0	28	78
1953	10	27	India	Ceylon	2	0	CLM	BU	1	1651	986	0	0	28	124
1953	10	31	Burma	India	2	4	CLM		-8	1270	1659	−2	0	104	28
1953	11	03	Pakistan	India	1	0	F	BU	16	1434	1643	+3	−2	75	30
1954	04	24	Hong Kong	India	2	2	F		3	1420	1640	0	0	82	32
1954	05	03	India	Japan	3	2	ASG	PH	5	1645	1283	0	−3	33	108
1954	05	05	Indonesia	India	4	0	ASG	PH	54	1531	1591	+13	−13	56	46
1954	12	18	India	Ceylon	1	1	CLM		-14	1577	1022	−1	+1	45	129
1954	12	23	India	Burma	2	1	CLM		4	1581	1324	0	−1	45	95
1954	12	26	India	Pakistan	3	1	CLM		8	1589	1418	+1	−1	44	82
1955	02	06	India	Soviet Union	0	4	F		-21	1568	1667	−4	+6	48	26
1955	02	27	India	Soviet Union	0	3	F		-18	1550	1685	−6	+2	54	24
1955	03	06	India	Soviet Union	0	3	F		-16	1534	1701	−2	+2	56	22
1955	08	28	Georgia	India	6	0	F		11	1634	1523	−	−2	−	59
1955	09	02	Armenia	India	2	2	F		5	1247	1518	−	−1	−	60
1955	09	16	Soviet Union	India	11	1	F		7	1756	1511	+1	−3	16	63
1955	12	18	India	Ceylon	4	3	CLM	PK	2	1513	1043	+1	0	63	129
1955	12	20	India	Burma	5	2	CLM	PK	11	1524	1268	+3	−2	60	111
1955	12	24	Pakistan	India	1	2	CLM		-15	1418	1539	0	+4	81	56
1955	12	25	Pakistan	India	1	0	F		11	1429	1528	0	−4	81	60
1956	06	17	India	China	0	1	F		-13	1515	1535	−3	+4	64	60
1956	11	20	Australia	India	3	1	F		7	1626	1508	+1	−2	41	65
1956	11	25	Australia	India	3	4	F		-15	1600	1523	−2	+3	46	62
1956	12	01	Australia	India	2	4	OG		-67	1544	1590	−14	+15	58	47
1956	12	04	Yugoslavia	India	4	1	OG	AU	14	1923	1576	0	−2	6	49
1956	12	07	Bulgaria	India	3	0	OG	AU	57	1606	1519	+12	−15	45	64
1956	12	12	Australia	India	1	7	F		-29	1515	1548	−7	+7	64	57
