year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1928	08	19	Dutch East Indies	Australia	2	1	F		9	1509	1551	−	−2	41	38
1934	05	13	Dutch East Indies	Japan	7	1	FEG	PH	13	1522	1201	+2	0	45	76
1934	05	14	China	Dutch East Indies	2	0	FEG	PH	24	1618	1498	+3	−3	33	48
1934	05	19	Philippines	Dutch East Indies	3	2	FEG		30	1229	1468	+1	−3	75	51
1938	06	05	Hungary	Dutch East Indies	6	0	WC	FR	8	1937	1460	0	0	6	55
1938	06	26	Netherlands	Dutch East Indies	9	2	F		6	1677	1454	+2	0	24	55
1951	03	05	India	Indonesia	3	0	ASG		10	1668	1444	+1	−1	29	65
1951	03	09	Indonesia	Burma	4	1	F	IN	11	1455	1288	+1	−4	64	95
1953	04	26	Hong Kong	Indonesia	2	3	F		-13	1443	1468	−5	+3	72	65
1953	04	30	South Korea	Indonesia	3	1	F	HK	6	1731	1462	+2	−1	18	66
1953	08	26	Indonesia	Yugoslavia	0	2	F		-3	1459	1934	−1	+1	68	5
1954	05	01	Indonesia	Japan	5	3	ASG	PH	18	1477	1288	+3	−7	69	106
1954	05	05	Indonesia	India	4	0	ASG	PH	54	1531	1591	+13	−13	56	46
1954	05	07	Taiwan	Indonesia	4	2	ASG	PH	16	1728	1515	+3	−5	19	61
1954	05	08	Burma	Indonesia	5	4	ASG	PH	31	1324	1484	+8	−5	95	66
1956	01	15	Indonesia	Yugoslavia	2	7	F		-4	1480	1970	−1	+1	69	5
1956	09	09	Yugoslavia	Indonesia	4	2	F		1	1960	1479	0	0	5	69
1956	09	12	Croatia	Indonesia	5	2	F		2	1876	1477	−	0	−	69
1956	09	20	East Germany	Indonesia	3	1	F		11	1480	1466	+3	−3	69	72
1956	09	26	Czechoslovakia	Indonesia	5	1	F		3	1821	1463	0	−1	12	73
1956	11	16	Indonesia	United States	7	5	F		15	1478	1543	+4	−4	70	58
1956	11	29	Indonesia	Soviet Union	0	0	OG	AU	23	1501	1811	+3	−1	67	14
1956	12	01	Soviet Union	Indonesia	4	0	OG	AU	16	1827	1485	+1	−2	13	69
1956	12	23	Indonesia	Yugoslavia	1	5	F		-6	1479	1892	−1	+1	70	7
1957	05	12	Indonesia	China	2	0	WQ		23	1502	1469	+5	−8	63	72
1957	06	02	China	Indonesia	4	3	WQ		16	1485	1486	+5	−2	67	66
1957	06	23	China	Indonesia	0	0	WQ	BU	0	1485	1486	0	0	67	66
1957	08	31	Indonesia	Thailand	4	0	MRD	AY	8	1494	1177	+3	0	66	124
1957	09	02	Hong Kong	Indonesia	2	1	MRD	AY	19	1429	1475	+5	−5	81	71
1957	09	05	Indonesia	South Vietnam	3	1	MRD	AY	20	1495	1410	+5	−6	66	87
1957	09	07	Malaya	Indonesia	2	4	MRD		-16	1276	1511	−5	+5	110	61
1957	12	29	Indonesia	Bulgaria	0	2	FT		-19	1492	1682	−3	+5	66	30
1958	05	09	Philippines	Indonesia	1	2	F		-3	1092	1495	0	+1	132	65
1958	05	13	Philippines	Indonesia	0	3	F		-5	1087	1500	−1	+1	133	65
1958	05	25	Indonesia	Burma	4	2	ASG	JP	13	1513	1264	+3	−2	62	113
1958	05	28	Indonesia	India	2	1	ASG	JP	23	1536	1539	+2	−1	59	56
1958	05	30	Indonesia	Philippines	5	2	ASG	JP	6	1542	1109	+2	−1	57	131
1958	05	31	Taiwan	Indonesia	1	0	ASG	JP	11	1715	1531	+1	−3	28	60
1958	06	01	Indonesia	India	4	1	ASG	JP	37	1568	1516	+6	−4	54	60
1958	07	02	Singapore	Indonesia	0	5	F		-8	1211	1576	−1	+3	121	50
1958	08	30	Malaya	Indonesia	3	2	MRD		22	1332	1554	0	−6	100	56
1958	08	31	Indonesia	Singapore	2	0	MRD	AY	6	1560	1213	+1	−1	55	121
1958	09	02	Indonesia	South Vietnam	4	1	MRD	AY	14	1574	1378	+5	−3	50	94
1958	09	04	Hong Kong	Indonesia	2	1	MRD	AY	19	1504	1555	+7	−6	63	56
1959	01	21	Indonesia	Bulgaria	0	0	F		1	1556	1697	0	0	57	32
1959	02	11	Indonesia	East Germany	2	2	F		-4	1552	1516	0	+3	57	62
1960	04	14	India	Indonesia	4	2	OQ		32	1455	1520	+9	−5	77	60
1960	04	20	Indonesia	Malaya	5	0	F		9	1529	1391	+3	−2	58	96
1960	04	30	Indonesia	India	0	2	OQ		-44	1485	1499	−15	+7	73	70
1960	08	06	South Korea	Indonesia	2	0	MRD	AY	12	1667	1473	+2	−4	36	75
1960	08	08	Indonesia	Singapore	8	3	MRD	AY	8	1481	1138	+3	0	72	134
