year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1941	08	24	Afghanistan	Iran	1	0	IND		29	929	1571	−	−	96	45
1949	10	26	Iran	Afghanistan	4	0	F		0	1571	915	0	0	44	112
1950	05	28	Turkey	Iran	6	1	F		17	1539	1554	+3	−1	51	45
1950	10	27	Iran	Pakistan	5	1	F		7	1561	1393	0	−	45	69
1951	03	05	Iran	Burma	2	0	ASG	IN	11	1572	1299	+1	−5	44	91
1951	03	07	Iran	Japan	0	0	ASG	IN	-13	1559	1302	−2	+4	46	91
1951	03	08	Iran	Japan	3	2	ASG	IN	7	1566	1295	+2	−2	44	93
1951	03	10	India	Iran	1	0	ASG		9	1678	1557	+1	−2	28	46
1952	04	02	Pakistan	Iran	0	0	F		1	1421	1556	0	0	71	47
1952	05	01	Pakistan	Iran	0	0	F		1	1422	1555	0	0	71	47
1958	05	26	Israel	Iran	4	0	ASG	JP	49	1496	1506	+11	−7	67	64
1958	05	28	South Korea	Iran	5	0	ASG	JP	24	1680	1482	+7	−7	32	71
1959	12	05	Iran	Israel	3	0	SQ	IN	36	1518	1458	+12	−10	61	79
1959	12	09	Pakistan	Iran	4	1	SQ	IN	47	1437	1471	+12	−14	83	75
1959	12	11	India	Iran	3	1	SQ		21	1499	1450	+5	−4	68	79
1959	12	12	Iran	Israel	1	1	SQ	IN	4	1454	1522	0	0	79	60
1959	12	15	Iran	Pakistan	4	1	SQ	IN	34	1488	1408	+7	−11	71	91
1959	12	18	India	Iran	1	2	SQ		-23	1423	1511	−8	+9	86	62
1962	06	01	Iran	Iraq	1	1	F		2	1513	1671	0	−1	66	32
1962	06	03	Iran	Iraq	1	2	F		-8	1505	1679	−3	+2	69	30
1963	10	04	Iran	Pakistan	4	1	OQ		15	1520	1360	0	−1	67	104
1963	11	01	Pakistan	Iran	1	0	OQ		23	1383	1497	+3	−2	102	69
1963	12	13	Iran	Iraq	4	0	OQ		46	1543	1633	+8	−9	61	41
1964	01	02	Iraq	Iran	0	0	OQ		-10	1623	1553	−1	+1	44	60
1964	06	06	Iran	India	3	0	OQ		25	1578	1527	+7	−9	50	67
1964	06	19	India	Iran	1	3	OQ		-34	1493	1612	−5	+6	71	44
1964	08	02	Russia	Iran	1	0	F		1	2001	1611	0	0	1	44
