year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1944	03	05	Lebanon	Iraq	4	1	F		30	1304	1670	+5	−	80	25
1944	03	10	Syria	Iraq	1	2	F		-6	1404	1676	0	0	65	25
1945	00	00	Iraq	Lebanon	4	1	F		2	1678	1302	0	−1	25	81
1957	10	19	Iraq	Morocco	3	3	PAR	LB	1	1679	1699	−1	−	31	26
1957	10	21	Tunisia	Iraq	4	2	PAR	LB	31	1697	1648	+8	−8	27	39
1957	10	23	Iraq	Libya	3	1	PAR	LB	15	1663	1443	+4	−3	35	80
1959	11	15	Lebanon	Iraq	0	3	OQ		-12	1277	1675	−1	0	111	37
1959	11	25	Iraq	Lebanon	8	0	OQ		5	1680	1272	+1	0	36	111
1960	06	05	Tunisia	Iraq	2	1	F		10	1576	1670	+3	0	49	35
1960	12	23	Iraq	Tunisia	3	2	F		3	1673	1496	+2	−1	32	71
1962	06	01	Iran	Iraq	1	1	F		2	1513	1671	0	−1	66	32
1962	06	03	Iran	Iraq	1	2	F		-8	1505	1679	−3	+2	69	30
1963	12	13	Iran	Iraq	4	0	OQ		46	1543	1633	+8	−9	61	41
1964	01	02	Iraq	Iran	0	0	OQ		-10	1623	1553	−1	+1	44	60
1964	11	13	Kuwait	Iraq	0	1	ARC		-5	1192	1628	−1	0	134	41
1964	11	16	Iraq	Jordan	3	1	ARC	KW	3	1631	1107	0	0	41	143
1964	11	18	Iraq	Lebanon	1	0	ARC	KW	8	1639	1379	0	−2	41	102
1964	11	20	Iraq	Libya	1	1	ARC	KW	-9	1630	1488	0	+2	41	74
1965	07	30	Jordan	Iraq	0	0	F		8	1107	1622	0	−1	144	43
1965	09	04	Iraq	Aden	6	0	PAR	EG	10	1632	1263	+1	0	41	122
1965	09	06	Iraq	Lebanon	0	0	PAR	EG	-13	1619	1366	−1	+4	43	101
1965	09	07	Iraq	Palestine	1	1	PAR	EG	-16	1603	1261	−4	+6	47	122
1965	09	08	Egypt	Iraq	1	0	PAR		6	1815	1597	+1	−2	15	49
1966	03	11	Iraq	Tunisia	2	0	TIF	LY	24	1621	1590	+6	−4	42	49
