year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1882	02	18	Ireland	England	0	13	F		-3	1297	1931	−	0	4	2
1882	02	25	Wales	Ireland	7	1	F		6	1511	1291	0	0	3	4
1883	02	24	England	Ireland	7	0	F		1	1901	1290	0	0	2	4
1883	03	17	Ireland	Wales	1	1	F		4	1294	1527	0	0	4	3
1884	01	26	Ireland	Scotland	0	5	BC		-1	1293	2087	0	0	4	1
1884	02	09	Wales	Ireland	6	0	BC		11	1538	1282	0	0	3	4
1884	02	23	Ireland	England	1	8	BC		-5	1277	1898	0	0	4	2
1885	02	28	England	Ireland	4	0	BC		1	1907	1276	0	0	2	4
1885	03	14	Scotland	Ireland	8	2	BC		0	2094	1276	0	0	1	4
1885	04	11	Ireland	Wales	2	8	BC		-24	1252	1559	0	0	4	3
1886	02	27	Wales	Ireland	5	0	BC		7	1566	1245	0	0	3	4
1886	03	13	Ireland	England	1	6	BC		-3	1242	1898	0	0	4	2
1886	03	20	Ireland	Scotland	2	7	BC		-1	1241	2095	0	0	4	1
1887	02	05	England	Ireland	7	0	BC		1	1925	1240	0	0	2	4
1887	02	19	Scotland	Ireland	4	1	BC		0	2083	1240	0	0	1	4
1887	03	12	Ireland	Wales	4	1	BC		54	1294	1493	0	0	4	3
1888	03	03	Wales	Ireland	11	0	BC		17	1503	1277	0	0	3	4
1888	03	24	Ireland	Scotland	2	10	BC		-2	1275	2039	0	0	4	1
1888	04	07	Ireland	England	1	5	BC		-2	1273	1986	0	0	4	2
1889	03	02	England	Ireland	6	1	BC		1	1989	1272	0	0	2	4
1889	03	09	Scotland	Ireland	7	0	BC		1	2040	1271	0	0	1	4
1889	04	27	Ireland	Wales	1	3	BC		-18	1253	1535	0	0	4	3
1890	02	08	Wales	Ireland	5	2	BC	EN	12	1547	1241	0	0	3	4
1890	03	15	Ireland	England	1	9	BC		-3	1238	1969	0	0	4	2
1890	03	29	Ireland	Scotland	1	4	BC		-1	1237	2049	0	0	4	1
1891	02	07	Ireland	Wales	7	2	BC		61	1298	1476	0	0	4	3
1891	03	07	England	Ireland	6	1	BC		1	1989	1297	0	0	2	4
1891	03	28	Scotland	Ireland	2	1	BC		0	2043	1297	0	0	1	4
1892	02	27	Wales	Ireland	1	1	BC		-13	1458	1310	0	0	3	4
1892	03	05	Ireland	England	0	2	BC		-2	1308	2008	0	0	4	2
1892	03	19	Ireland	Scotland	2	3	BC		-1	1307	2027	0	0	4	1
1893	02	25	England	Ireland	6	1	BC		1	2059	1306	0	0	1	4
1893	03	25	Scotland	Ireland	6	1	BC		1	1991	1305	0	0	2	4
1893	04	08	Ireland	Wales	4	3	BC		22	1327	1422	0	0	4	3
1894	02	24	Wales	Ireland	4	1	BC		17	1439	1310	0	0	3	4
1894	03	03	Ireland	England	2	2	BC		19	1329	2060	0	0	4	1
1894	03	31	Ireland	Scotland	1	2	BC		-2	1327	1976	0	0	4	2
1895	03	09	England	Ireland	9	0	BC		1	2066	1326	0	0	1	4
1895	03	16	Ireland	Wales	2	2	BC		0	1326	1433	0	0	4	3
1895	03	30	Scotland	Ireland	3	1	BC		1	1959	1325	0	0	2	4
1896	02	29	Wales	Ireland	6	1	BC		16	1485	1309	0	0	3	4
1896	03	07	Ireland	England	0	2	BC		-1	1308	2066	0	0	4	1
1896	03	28	Ireland	Scotland	3	3	BC		18	1326	1926	0	0	4	2
1897	02	20	England	Ireland	6	0	BC		1	2050	1325	0	0	1	4
1897	03	06	Ireland	Wales	4	3	BC		23	1348	1453	0	0	4	3
1897	03	27	Scotland	Ireland	5	1	BC		1	1934	1347	0	0	2	4
1898	02	19	Wales	Ireland	0	1	BC		-31	1437	1378	0	0	3	4
1898	03	05	Ireland	England	2	3	BC		-2	1376	2022	0	0	4	1
1898	03	26	Ireland	Scotland	0	3	BC		-4	1372	1971	0	0	4	2
1899	02	18	England	Ireland	13	2	BC		1	2061	1371	0	0	1	4
1899	03	04	Ireland	Wales	1	0	BC		18	1389	1413	0	0	4	3
1899	03	25	Scotland	Ireland	9	1	BC		2	1946	1387	0	0	2	4
1900	02	24	Wales	Ireland	2	0	BC		20	1423	1367	0	0	3	4
1900	03	03	Ireland	Scotland	0	3	BC		-4	1363	1943	0	0	4	2
1900	03	17	Ireland	England	0	2	BC		-2	1361	2073	0	0	4	1
1901	02	23	Scotland	Ireland	11	0	BC		2	1981	1359	0	0	2	4
1901	03	09	England	Ireland	3	0	BC		1	2020	1358	0	0	1	4
1901	03	23	Ireland	Wales	0	1	BC		-20	1338	1476	0	0	4	3
1902	02	22	Wales	Ireland	0	3	BC		-56	1420	1394	0	0	3	4
1902	03	01	Ireland	Scotland	1	5	BC		-4	1390	1977	0	0	4	2
1902	03	22	Ireland	England	0	1	BC		-2	1388	1997	0	0	4	1
1902	08	09	Ireland	Scotland	0	3	F		-2	1386	1983	0	0	6	3
1903	02	14	England	Ireland	4	0	BC		1	1996	1385	0	0	2	8
1903	03	21	Scotland	Ireland	0	2	BC		-59	1927	1444	0	+1	3	7
1903	03	28	Ireland	Wales	2	0	BC		21	1465	1411	0	0	7	8
1904	03	12	Ireland	England	1	3	BC		-6	1459	1957	0	+1	8	2
1904	03	21	Wales	Ireland	0	1	BC		-25	1422	1484	0	0	9	8
1904	03	26	Ireland	Scotland	1	1	BC		15	1499	1922	0	0	8	3
1905	02	25	England	Ireland	1	1	BC		-19	1962	1518	0	0	2	10
1905	03	18	Scotland	Ireland	4	0	BC		6	1850	1512	0	0	7	10
1905	04	08	Ireland	Wales	2	2	BC		-8	1504	1482	0	0	10	12
1906	02	17	Ireland	England	0	5	BC		-9	1495	1982	0	0	12	2
1906	03	17	Ireland	Scotland	0	1	BC		-10	1485	1795	−1	0	14	8
1906	04	02	Wales	Ireland	4	4	BC		-8	1525	1493	0	0	11	14
1907	02	16	England	Ireland	1	0	BC		1	1974	1492	0	0	2	15
1907	02	23	Ireland	Wales	2	3	BC		-24	1468	1549	−1	0	16	12
1907	03	16	Scotland	Ireland	3	0	BC		6	1797	1462	0	0	10	16
1908	02	15	Ireland	England	1	3	BC		-5	1457	1984	0	0	16	2
1908	03	14	Ireland	Scotland	0	5	BC		-15	1442	1831	0	+1	16	8
1908	04	11	Wales	Ireland	0	1	BC		-32	1545	1474	0	0	13	17
1909	02	13	England	Ireland	4	0	BC		1	2147	1473	0	0	1	19
1909	03	15	Scotland	Ireland	5	0	BC		6	1811	1467	0	0	10	19
1909	03	20	Ireland	Wales	2	3	BC		-20	1447	1594	0	0	19	14
1910	02	12	Ireland	England	1	1	BC		19	1466	2188	0	0	19	1
1910	03	19	Ireland	Scotland	1	0	BC		32	1498	1781	+1	0	18	10
1910	04	11	Wales	Ireland	4	1	BC		18	1604	1480	0	−1	14	18
1911	01	28	Ireland	Wales	1	2	BC		-19	1461	1623	−1	0	20	15
1911	02	11	England	Ireland	2	1	BC		0	2149	1461	0	0	1	20
1911	03	18	Scotland	Ireland	2	0	BC		4	1830	1457	0	0	9	20
1912	02	10	Ireland	England	1	6	BC		-3	1454	2150	0	0	21	1
1912	03	16	Ireland	Scotland	1	4	BC		-11	1443	1863	0	0	21	8
1912	04	13	Wales	Ireland	2	3	BC		-33	1584	1476	0	0	15	21
1913	01	18	Ireland	Wales	0	1	BC		-20	1456	1604	−1	0	22	16
1913	02	15	Ireland	England	2	1	BC		39	1495	2174	+2	0	21	1
1913	03	15	Ireland	Scotland	1	2	BC		-7	1488	1871	−1	+1	21	7
1914	01	19	Wales	Ireland	1	2	BC		-31	1581	1519	−2	+1	17	20
1914	02	14	England	Ireland	0	3	BC		-69	2105	1588	0	+4	1	16
1914	03	14	Ireland	Scotland	1	1	BC		9	1597	1842	+1	0	16	8
