year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1949	07	30	Israel	Cyprus	3	1	F		7	1507	1393	−	−	55	72
1949	08	21	Yugoslavia	Israel	6	0	WQ		9	1778	1498	+1	−4	15	59
1949	09	18	Israel	Yugoslavia	2	5	WQ		-18	1480	1796	−2	+2	61	12
1950	10	28	Israel	Turkey	5	1	F		17	1497	1522	+2	−2	59	52
1950	12	03	Turkey	Israel	3	2	F		7	1529	1490	+1	0	52	58
1953	11	01	Greece	Israel	1	0	WQ		17	1461	1473	+5	−6	67	63
1953	11	08	Yugoslavia	Israel	1	0	WQ		1	1941	1472	0	−1	5	64
1954	03	08	Israel	Greece	0	2	WQ		-39	1433	1500	−11	+11	80	61
1954	03	21	Israel	Yugoslavia	0	1	WQ		-3	1430	1944	−2	0	81	5
1954	05	01	South Africa	Israel	2	1	F		2	1702	1428	−1	−2	24	82
1954	05	03	Northern Rhodesia	Israel	0	0	F		-6	1552	1434	−1	+4	54	79
1954	05	05	Southern Rhodesia	Israel	2	1	F		5	1528	1429	+2	−2	57	81
1954	05	09	Southern Rhodesia	Israel	1	2	F		-15	1513	1444	−4	+5	60	76
1956	07	11	Soviet Union	Israel	5	0	OQ		6	1795	1438	0	−1	15	81
1956	07	31	Israel	Soviet Union	1	2	OQ		-7	1431	1802	−1	0	82	15
1956	09	01	Hong Kong	Israel	2	3	AC		-33	1406	1464	−5	+9	85	73
1956	09	08	South Korea	Israel	2	1	AC	HK	14	1639	1450	+2	−4	38	77
1956	09	12	Israel	South Vietnam	2	1	AC	HK	24	1474	1415	+7	−3	70	84
1958	01	15	Israel	Wales	0	2	WQ		-20	1454	1716	−5	+3	77	25
1958	02	05	Wales	Israel	2	0	WQ		7	1723	1447	+1	−1	24	78
1958	05	26	Israel	Iran	4	0	ASG	JP	49	1496	1506	+11	−7	67	64
1958	05	28	Israel	Singapore	2	1	ASG	JP	7	1503	1219	+3	0	64	120
