year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1925	03	22	Haiti	Jamaica	1	2	F		-10	1290	1410	−	−	54	44
1925	03	26	Haiti	Jamaica	0	3	F		-16	1274	1426	−1	0	55	44
1925	03	29	Haiti	Jamaica	0	1	F		-9	1265	1435	0	0	55	44
1926	03	03	Jamaica	Curaçao	2	0	F		17	1452	1569	0	−1	43	30
1926	11	20	Jamaica	Haiti	6	0	F		8	1460	1280	0	0	45	57
1930	03	16	Cuba	Jamaica	3	1	CAG		12	1612	1448	−	−1	28	48
1930	03	18	Honduras	Jamaica	5	4	CAG	CU	25	1393	1423	+3	−2	51	50
1932	03	13	Haiti	Jamaica	4	1	F		20	1300	1403	+3	−1	64	55
1932	03	20	Haiti	Jamaica	0	1	F		-10	1290	1413	0	+1	64	54
1935	12	28	Jamaica	Trinidad and Tobago	2	3	F		-9	1404	1567	0	0	58	40
1936	01	04	Jamaica	Trinidad and Tobago	0	1	F		-8	1396	1575	−1	+1	59	39
1936	01	11	Jamaica	Trinidad and Tobago	1	2	F		-8	1388	1583	−1	+1	60	38
1938	03	13	Haiti	Jamaica	5	2	F		18	1297	1370	+2	−4	76	65
1938	03	17	Haiti	Jamaica	2	0	F		14	1311	1356	+6	−2	70	67
1938	03	20	Haiti	Jamaica	2	0	F		13	1324	1343	+1	−1	69	68
1947	02	12	Jamaica	Trinidad and Tobago	0	0	F		4	1347	1582	+1	0	73	43
1947	02	15	Jamaica	Trinidad and Tobago	2	1	F		14	1361	1568	+2	−1	71	44
1947	02	19	Jamaica	Trinidad and Tobago	1	0	F		13	1374	1555	+1	−2	70	46
1947	02	22	Jamaica	Trinidad and Tobago	1	2	F		-8	1366	1563	0	+2	70	44
1947	02	26	Jamaica	Trinidad and Tobago	0	6	F		-15	1351	1578	−3	+1	73	43
1947	11	06	British Guiana	Jamaica	2	0	FT	TT	22	1377	1329	+2	−1	74	79
1947	11	08	Trinidad and Tobago	Jamaica	6	0	FT		10	1536	1319	+2	0	48	79
1947	11	10	British Guiana	Jamaica	0	0	FT	TT	-2	1375	1321	0	0	74	79
1947	11	13	Trinidad and Tobago	Jamaica	1	0	FT		4	1540	1317	0	0	48	79
1948	00	00	Jamaica	Trinidad and Tobago	1	2	F		-6	1311	1554	0	−9	80	56
1948	00	00	Jamaica	Trinidad and Tobago	3	1	F		21	1332	1533	0	−9	80	56
1948	10	09	Jamaica	Haiti	1	0	F		10	1342	1416	+1	−3	77	68
1948	10	13	Jamaica	Haiti	1	2	F		-11	1331	1427	−1	+3	78	65
1948	10	16	Jamaica	Haiti	3	0	F		17	1348	1410	+1	−4	77	69
1949	05	02	Jamaica	Trinidad and Tobago	3	1	F		18	1366	1502	+2	−4	76	58
1949	05	04	Jamaica	Trinidad and Tobago	2	1	F		11	1377	1491	+1	0	74	58
1949	05	07	Jamaica	Trinidad and Tobago	1	2	F		-10	1367	1501	0	0	75	58
1949	12	19	Haiti	Jamaica	2	0	FT		14	1417	1353	+2	−2	67	79
1950	10	14	Jamaica	Haiti	2	1	F		8	1361	1360	+2	−3	78	79
1951	05	25	Barbados	Jamaica	3	0	F		19	1250	1342	+1	−1	103	82
1951	05	26	Barbados	Jamaica	0	1	F		-10	1240	1352	−1	0	104	82
1951	05	28	Barbados	Jamaica	5	2	F		18	1258	1334	+2	−2	102	84
1951	12	26	Jamaica	Haiti	2	2	F		-2	1332	1362	−1	+1	85	81
1951	12	27	Jamaica	Haiti	0	1	F		-12	1320	1374	−1	+1	86	80
1951	12	29	Jamaica	Haiti	2	1	F		9	1329	1365	+1	−1	85	81
1952	07	19	Haiti	Jamaica	4	1	F		11	1376	1318	+1	−1	80	86
1952	07	20	Haiti	Jamaica	3	3	F		-4	1372	1322	0	+1	80	85
1952	07	23	Haiti	Jamaica	2	0	F		9	1381	1313	0	−2	80	87
1952	07	27	Haiti	Jamaica	3	2	F		6	1387	1307	0	−1	80	88
1953	08	10	Jamaica	Trinidad and Tobago	3	2	F		15	1322	1578	+2	−2	88	44
1953	08	11	Jamaica	Trinidad and Tobago	0	1	F		-6	1316	1584	−2	+2	90	42
1953	11	14	Haiti	Jamaica	4	1	F		10	1386	1306	+1	−1	82	91
1953	11	21	Haiti	Jamaica	1	0	F		5	1391	1301	0	−3	82	94
1957	01	21	Jamaica	Trinidad and Tobago	2	0	F		21	1322	1516	+5	−4	99	62
1957	01	26	Jamaica	Trinidad and Tobago	1	0	F		13	1335	1503	+2	−2	97	64
1957	01	28	Jamaica	Trinidad and Tobago	2	1	F		12	1347	1491	+1	−2	96	66
1958	05	04	Trinidad and Tobago	Jamaica	1	0	F		4	1495	1343	+2	0	65	99
1958	05	11	Trinidad and Tobago	Jamaica	4	0	F		7	1502	1336	+1	0	64	99
1958	05	13	Trinidad and Tobago	Jamaica	0	1	F		-16	1486	1352	−6	+1	70	98
1959	03	01	British Guiana	Jamaica	2	2	FT	TT	4	1267	1348	0	−1	116	101
1959	03	04	Jamaica	Barbados	3	1	FT	TT	16	1364	1225	+4	−1	97	121
1959	03	10	Trinidad and Tobago	Jamaica	2	1	FT		6	1502	1358	+2	−2	70	99
1961	00	00	Jamaica	Surinam	5	0	FT	TT	39	1397	1426	+10	−9	94	84
1962	05	19	Jamaica	Haiti	3	4	F		-11	1386	1474	−5	+2	99	75
1962	05	21	Jamaica	Haiti	1	3	F		-16	1370	1490	0	+3	99	72
1962	05	23	Jamaica	Haiti	2	5	F		-16	1354	1506	−5	+3	104	69
1962	07	07	Jamaica	Netherlands Antilles	4	4	F		2	1356	1512	0	0	104	65
1962	07	09	Jamaica	Netherlands Antilles	2	1	F		12	1368	1500	+2	−6	102	71
1962	07	11	Jamaica	Netherlands Antilles	1	2	F		-9	1359	1509	−1	+5	103	66
1962	08	13	Jamaica	Puerto Rico	6	1	CAC		2	1361	856	0	0	104	155
1962	08	15	Jamaica	Netherlands Antilles	1	3	CAC		-26	1335	1539	−1	+6	105	59
1962	08	17	Jamaica	Venezuela	0	2	CAC		-35	1300	1406	−7	+7	112	93
1962	08	24	Jamaica	Cuba	6	1	CAC		15	1315	1125	+4	0	108	138
1963	02	23	Jamaica	Haiti	3	2	PSC		19	1334	1487	+2	−3	105	71
1963	02	27	Jamaica	Netherlands Antilles	1	2	PSC		-11	1323	1548	−1	+1	106	59
1963	03	04	Jamaica	Netherlands Antilles	1	2	F		-7	1316	1552	−1	+2	107	57
1963	03	06	Jamaica	Haiti	0	3	F		-14	1302	1504	−2	+1	109	69
1963	03	24	Costa Rica	Jamaica	6	0	CCH	SV	9	1716	1293	+3	−5	23	114
1963	03	28	Mexico	Jamaica	8	0	CCH	SV	6	1812	1287	0	−1	18	115
1963	03	30	Netherlands Antilles	Jamaica	2	1	CCH	SV	8	1585	1279	+1	−2	49	117
1963	04	01	British Honduras	Jamaica	2	2	F		2	1117	1277	0	−1	139	118
1963	08	05	Jamaica	El Salvador	0	1	F		-6	1271	1537	0	+3	118	61
1963	08	07	Jamaica	El Salvador	0	0	F		4	1275	1533	0	−3	118	64
1963	08	09	Jamaica	El Salvador	1	1	F		4	1279	1529	0	−1	118	65
1965	01	16	Jamaica	Cuba	2	0	WQ		11	1290	1114	+1	−1	118	142
1965	01	23	Jamaica	Netherlands Antilles	2	0	WQ		43	1333	1503	+8	−13	110	72
1965	02	03	Jamaica	Netherlands Antilles	0	0	WQ	CU	9	1342	1501	0	−2	110	72
1965	02	07	Cuba	Jamaica	2	1	WQ		27	1151	1315	+2	−2	139	112
1965	05	03	Jamaica	Mexico	2	3	WQ		-3	1312	1858	−1	0	113	14
1965	05	07	Mexico	Jamaica	8	0	WQ		2	1860	1310	0	0	14	113
1965	05	11	Costa Rica	Jamaica	7	0	WQ		3	1783	1307	0	−1	20	114
1965	05	22	Jamaica	Costa Rica	1	1	WQ		16	1323	1756	+3	−2	111	22
1965	07	17	Jamaica	Bahamas	8	1	F		2	1325	898	0	−	111	157
1965	08	05	Jamaica	Trinidad and Tobago	4	0	IND		31	1356	1432	+8	−4	103	82
1965	12	28	Bermuda	Jamaica	0	3	F		-22	1328	1378	−6	+6	112	97
1966	06	11	Jamaica	Netherlands Antilles	0	0	DVC	HT	4	1382	1462	+1	−1	98	79
1966	06	13	Guadeloupe	Jamaica	0	0	DVC	HT	-5	1497	1387	0	+1	66	97
1966	06	14	Netherlands Antilles	Jamaica	1	0	CAC	PR	16	1466	1371	+3	−3	79	100
1966	06	15	Trinidad and Tobago	Jamaica	4	1	DVC	HT	19	1490	1352	+8	−2	69	102
1966	06	16	Cuba	Jamaica	7	0	CAC	PR	68	1223	1284	+8	−19	132	121
1966	06	18	Surinam	Jamaica	5	3	DVC	HT	9	1534	1275	+2	−2	59	123
1966	06	20	El Salvador	Jamaica	1	0	CAC	PR	8	1515	1267	+1	0	63	123
1966	06	22	Haiti	Jamaica	3	0	DVC		9	1446	1258	+1	0	84	123
1966	06	22	Puerto Rico	Jamaica	0	4	CAC		-11	849	1269	0	0	166	123
1967	01	11	Jamaica	Netherlands Antilles	1	1	CCQ		8	1277	1510	+1	0	122	64
1967	01	14	Jamaica	Cuba	2	1	CCQ		12	1289	1212	+4	−1	118	132
1967	01	18	Jamaica	Trinidad and Tobago	1	1	CCQ		3	1292	1445	0	0	118	88
1967	01	21	Jamaica	Haiti	0	1	CCQ		-15	1277	1503	−4	+3	122	67
1967	11	25	Trinidad and Tobago	Jamaica	1	0	FT		6	1416	1271	+3	−3	91	122
1967	12	02	Trinidad and Tobago	Jamaica	1	0	FT		6	1422	1265	+2	−2	88	122
1968	11	27	Costa Rica	Jamaica	3	0	WQ		3	1697	1262	0	0	30	122
1968	12	01	Costa Rica	Jamaica	3	1	WQ		3	1700	1259	+1	0	29	122
1968	12	05	Honduras	Jamaica	3	1	WQ		13	1395	1246	+3	−2	96	124
1968	12	08	Honduras	Jamaica	2	0	WQ		12	1407	1234	+3	−2	93	126
1969	02	06	Haiti	Jamaica	1	2	F		-17	1444	1251	−4	+3	82	123
1969	02	08	Haiti	Jamaica	3	0	F		5	1449	1246	0	−1	82	124
1969	11	03	Jamaica	Panama	1	1	CCQ		-9	1237	1186	−1	+1	126	138
1969	11	05	Jamaica	Panama	2	1	CCQ		12	1249	1174	+3	−1	123	139
1969	11	23	Costa Rica	Jamaica	3	0	CCH		5	1650	1244	+1	−2	37	126
1969	11	27	Mexico	Jamaica	2	0	CCH	CR	3	1783	1241	0	0	21	126
1969	11	30	Trinidad and Tobago	Jamaica	3	2	CCH	CR	15	1406	1226	+1	−2	93	128
1969	12	04	Guatemala	Jamaica	0	0	CCH	CR	-20	1605	1246	−5	+2	50	126
1969	12	06	Netherlands Antilles	Jamaica	2	1	CCH	CR	11	1468	1235	+3	0	74	126
1971	00	00	Bermuda	Jamaica	1	1	F		-6	1347	1241	−1	0	105	128
1971	05	29	Jamaica	Netherlands Antilles	2	1	OQ		24	1265	1392	+4	−3	122	95
1971	07	24	Netherlands Antilles	Jamaica	1	1	OQ		-11	1381	1276	−2	+4	96	120
1971	08	04	Cuba	Jamaica	0	0	PAG	CO	-5	1342	1281	0	+1	106	119
1971	08	05	Trinidad and Tobago	Jamaica	2	0	PAG	CO	28	1398	1253	+7	−8	92	127
1971	10	01	Jamaica	Cuba	0	1	CCQ		-19	1234	1390	−1	+4	128	94
1971	10	04	Cuba	Jamaica	0	0	CCQ		-13	1377	1247	−3	0	96	128
1971	11	17	Jamaica	Haiti	1	0	F		15	1262	1521	+4	−2	123	64
1972	04	02	Jamaica	Cuba	2	0	F		17	1279	1403	+2	−3	121	90
1972	04	09	Guatemala	Jamaica	1	0	OQ		4	1557	1275	+1	0	59	121
