year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1917	05	09	Japan	China	0	5	FEG		-25	1275	1566	−	+1	30	20
1917	05	10	Japan	Philippines	2	15	FEG		-79	1196	1338	−1	+2	31	29
1921	05	30	Philippines	Japan	3	1	FEG	CN	19	1342	1177	0	0	35	37
1921	06	01	China	Japan	4	0	FEG		4	1590	1173	0	0	23	37
1921	06	03	China	Japan	3	0	OIC		3	1593	1170	0	0	23	37
1923	05	23	Japan	Philippines	1	2	FEG		-17	1153	1341	0	0	49	47
1923	05	24	Japan	China	1	5	FEG		-9	1144	1615	0	+3	49	26
1925	05	17	Philippines	Japan	4	0	FEG		11	1352	1133	0	0	51	56
1925	05	20	China	Japan	2	0	FEG	PH	4	1585	1129	0	0	29	56
1927	08	27	China	Japan	5	1	FEG		3	1580	1126	0	0	29	59
1927	08	29	Japan	Philippines	2	1	FEG	CN	30	1156	1298	0	0	59	54
1930	05	25	Japan	Philippines	7	2	FEG		44	1200	1248	0	−4	64	63
1930	05	30	Japan	China	3	3	FEG		14	1214	1582	0	−2	64	32
1934	05	13	Dutch East Indies	Japan	7	1	FEG	PH	13	1522	1201	+2	0	45	76
1934	05	15	Philippines	Japan	3	4	FEG		-27	1199	1228	−1	+1	76	75
1934	05	20	China	Japan	4	3	FEG	PH	4	1622	1224	+1	0	32	76
1936	08	04	Japan	Sweden	3	2	OG	DE	57	1281	1700	+6	−7	73	21
1936	08	07	Italy	Japan	8	0	OG	DE	2	2055	1279	0	0	1	73
1940	06	16	Japan	Philippines	1	0	EAM		12	1291	1217	+4	−1	78	90
1942	08	16	Korea	Japan	5	0	F		2	1702	1289	−	−1	21	81
1951	03	07	Iran	Japan	0	0	ASG	IN	-13	1559	1302	−2	+4	46	91
1951	03	08	Iran	Japan	3	2	ASG	IN	7	1566	1295	+2	−2	44	93
1951	03	09	Japan	Afghanistan	2	0	ASG	IN	6	1301	908	+2	0	91	114
1954	03	07	Japan	South Korea	1	5	WQ		-10	1291	1741	−3	0	102	19
1954	03	14	Japan	South Korea	2	2	WQ		15	1306	1726	+5	0	97	19
1954	05	01	Indonesia	Japan	5	3	ASG	PH	18	1477	1288	+3	−7	69	106
1954	05	03	India	Japan	3	2	ASG	PH	5	1645	1283	0	−3	33	108
1955	01	11	Burma	Japan	0	1	F		-13	1285	1296	−7	+6	108	102
1955	10	09	Japan	Burma	0	0	F		-3	1293	1288	0	+2	102	105
1956	00	00	Philippines	Japan	0	2	SEG		-27	1133	1320	−4	+10	125	92
1956	00	00	Philippines	Japan	0	3	SEG		-26	1107	1346	−4	+10	125	92
1956	06	03	Japan	South Korea	2	0	OQ		41	1387	1541	+6	−10	88	56
1956	06	10	Japan	South Korea	0	2	OQ		-25	1362	1566	−3	+7	91	49
1956	11	20	Yugoslavia	Japan	7	2	F	AU	2	1904	1360	0	−2	8	94
1956	11	27	Australia	Japan	2	0	OG		11	1611	1349	+2	−2	44	96
1958	05	26	Japan	Philippines	0	1	ASG		-36	1313	1115	−3	+4	102	130
1958	05	28	Japan	Hong Kong	0	2	ASG		-22	1291	1533	−6	+3	107	60
1958	12	25	Hong Kong	Japan	5	2	F		5	1509	1286	0	−2	64	110
1958	12	28	Malaya	Japan	6	2	F		10	1383	1276	+2	−1	94	111
1959	01	04	Malaya	Japan	1	3	F		-23	1360	1299	−3	+6	98	106
1959	01	10	Singapore	Japan	3	4	F		-10	1204	1309	−1	+1	124	105
1959	01	11	Singapore	Japan	3	2	F		10	1214	1299	+1	−1	123	106
1959	08	31	Hong Kong	Japan	1	1	MRD	AY	-8	1490	1307	−1	+1	72	106
1959	09	02	Hong Kong	Japan	4	2	MRD	AY	12	1502	1295	+2	−2	70	108
1959	09	03	Japan	Singapore	4	1	MRD	AY	16	1311	1131	+4	−2	104	131
1959	09	05	Japan	South Korea	0	0	MRD	AY	11	1322	1631	0	0	104	40
1959	09	06	South Korea	Japan	3	1	MRD	AY	7	1638	1315	0	0	40	104
1959	12	13	Japan	South Korea	0	2	OQ		-12	1303	1667	−3	+2	107	37
1959	12	20	Japan	South Korea	1	0	OQ		33	1336	1634	+5	−2	102	39
1960	11	06	South Korea	Japan	2	1	WQ		2	1709	1334	0	0	26	105
1961	05	28	Japan	Malaya	3	2	F		10	1344	1407	0	−6	105	92
1961	06	11	Japan	South Korea	0	2	WQ		-11	1333	1720	0	+1	105	24
1961	08	02	Malaya	Japan	3	2	MRD		8	1415	1325	+3	0	89	105
