year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1953	08	01	Syria	Jordan	3	1	PAR	EG	21	1334	1179	+4	−	84	111
1953	08	03	Jordan	Lebanon	4	1	PAR	EG	45	1224	1236	+2	−10	109	108
1953	08	09	Libya	Jordan	3	2	PAR	EG	7	1490	1217	+3	−1	59	109
1957	00	00	Syria	Jordan	6	1	F		10	1314	1207	+3	+1	99	121
1957	10	20	Syria	Jordan	6	1	PAR	LB	27	1350	1180	+4	−4	97	125
1957	10	22	Jordan	Saudi Arabia	1	0	PAR	LB	31	1211	1368	+3	−5	122	94
1957	10	24	Lebanon	Jordan	6	3	PAR		19	1299	1192	+5	−1	105	123
1963	01	06	Kuwait	Jordan	2	1	F		7	1210	1185	0	−2	129	133
1963	03	31	Syria	Jordan	4	0	ARC	LB	18	1407	1167	+3	−1	91	135
1963	04	02	Kuwait	Jordan	4	0	ARC	LB	35	1228	1132	+4	−2	127	137
1963	04	04	Tunisia	Jordan	4	0	ARC	LB	9	1495	1123	+3	−1	69	138
1963	04	06	Lebanon	Jordan	5	0	ARC		10	1369	1113	+1	−1	102	139
1964	11	13	Jordan	Lebanon	0	0	ARC	KW	14	1127	1404	+2	−6	141	92
1964	11	15	Kuwait	Jordan	2	0	ARC		17	1209	1110	+3	−2	131	143
1964	11	16	Iraq	Jordan	3	1	ARC	KW	3	1631	1107	0	0	41	143
1964	11	18	Libya	Jordan	5	2	ARC	KW	8	1479	1099	0	0	76	143
1965	07	30	Jordan	Iraq	0	0	F		8	1107	1622	0	−1	144	43
1966	04	02	Iraq	Jordan	2	1	ARC		1	1620	1106	0	−1	42	147
1966	04	05	Lebanon	Jordan	2	1	ARC	IQ	6	1416	1100	+1	0	92	147
1966	04	07	Jordan	Bahrain	5	1	ARC	IQ	45	1145	1130	+4	−6	143	145
1966	04	08	Kuwait	Jordan	4	0	ARC	IQ	34	1212	1111	+4	−4	133	147
1969	06	27	Jordan	Egypt	1	6	F		-2	1109	1732	0	0	150	26
1970	03	17	Saudi Arabia	Jordan	1	0	F		3	1342	1106	0	0	106	149
1970	03	20	Saudi Arabia	Jordan	1	2	F		-17	1325	1123	−2	+3	108	146
