year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1990	01	19	Myanmar	Kazakhstan	2	2	F		8	1162	1592	+2	−	145	−
1990	01	22	Myanmar	Kazakhstan	1	2	F		-3	1159	1595	0	−	145	−
1992	06	00	North Korea	Kazakhstan	3	1	FT		20	1550	1575	+5	−6	62	60
1992	06	01	Kazakhstan	Turkmenistan	1	0	CAU		11	1586	1489	+4	−	56	76
1992	07	03	Kazakhstan	Libya	1	0	FT	KP	12	1598	1508	+4	0	55	73
1992	07	16	Kazakhstan	Uzbekistan	1	0	CAU		20	1618	1676	+5	−4	50	37
1992	09	14	Turkmenistan	Kazakhstan	1	1	CAU		3	1477	1615	+2	0	78	52
1992	09	26	Kyrgyzstan	Kazakhstan	1	1	CAU		14	1212	1601	+1	−1	151	53
1992	10	14	Uzbekistan	Kazakhstan	1	1	CAU		-10	1676	1611	−1	+1	34	52
1992	10	25	Kazakhstan	Kyrgyzstan	2	0	CAU		3	1614	1193	+1	−2	52	154
1994	04	11	Kazakhstan	Tajikistan	1	0	CAU	UZ	8	1622	1369	+4	−2	52	110
1994	04	13	Uzbekistan	Kazakhstan	1	0	CAU		12	1672	1610	+1	−4	37	56
1994	04	15	Kazakhstan	Turkmenistan	0	0	CAU	UZ	-6	1604	1515	0	+1	56	73
1994	04	17	Kazakhstan	Kyrgyzstan	0	0	CAU	UZ	-17	1587	1194	−3	+5	59	156
1995	12	27	Kuwait	Kazakhstan	0	0	F		0	1486	1587	0	0	82	57
1995	12	29	Saudi Arabia	Kazakhstan	3	0	F		13	1585	1574	+5	−6	58	63
1996	01	03	Lebanon	Kazakhstan	2	1	F		15	1298	1559	+7	−1	129	64
1996	06	14	Kazakhstan	Qatar	1	0	SQ		8	1567	1410	+1	−3	63	105
1996	06	21	Syria	Kazakhstan	2	0	SQ		32	1472	1535	+10	−8	85	72
1996	07	05	Qatar	Kazakhstan	3	0	SQ		36	1464	1499	+10	−5	88	77
1996	07	12	Kazakhstan	Syria	0	1	SQ		-28	1471	1482	−9	+12	86	81
1997	05	11	Kazakhstan	Pakistan	3	0	WQ		1	1472	870	0	0	83	202
1997	06	06	Iraq	Kazakhstan	1	2	WQ		-33	1612	1505	−8	+7	54	76
1997	06	11	Pakistan	Kazakhstan	0	7	WQ		-4	864	1509	0	+4	202	73
1997	06	29	Kazakhstan	Iraq	3	1	WQ		30	1539	1583	+3	−5	70	59
1997	09	02	China	Kazakhstan	3	0	F		8	1671	1531	+1	−2	44	71
1997	09	06	South Korea	Kazakhstan	3	0	WQ		14	1684	1517	+4	−3	41	74
1997	09	12	United Arab Emirates	Kazakhstan	4	0	WQ		23	1579	1494	+5	−4	60	78
1997	09	20	Kazakhstan	Uzbekistan	1	1	WQ		-1	1493	1577	0	0	77	62
1997	10	04	Kazakhstan	Japan	1	1	WQ		6	1499	1698	+2	−1	75	38
1997	10	11	Kazakhstan	South Korea	1	1	WQ		8	1507	1730	0	−2	75	31
1997	10	18	Kazakhstan	United Arab Emirates	3	0	WQ		34	1541	1562	+7	−6	68	62
1997	10	25	Uzbekistan	Kazakhstan	4	0	WQ		29	1554	1512	+8	−7	65	75
1997	11	08	Japan	Kazakhstan	5	1	WQ		11	1738	1501	+3	0	27	76
1998	12	01	Iran	Kazakhstan	2	0	ASG	TH	18	1665	1483	+2	−3	48	79
1998	12	03	Kazakhstan	Laos	5	0	ASG	TH	4	1487	985	0	−2	79	193
1998	12	08	Thailand	Kazakhstan	1	1	ASG		-2	1421	1489	−1	0	102	78
1998	12	10	Kazakhstan	Qatar	2	0	ASG	TH	31	1520	1475	+6	−4	72	80
1998	12	12	Lebanon	Kazakhstan	3	0	ASG	TH	52	1386	1468	+9	−12	111	85
2000	03	20	Kazakhstan	Bahrain	1	0	F	AE	5	1473	1285	+2	0	84	133
2000	03	22	Kazakhstan	Bahrain	2	0	F	AE	8	1481	1291	+3	0	81	133
2000	03	31	Kazakhstan	Jordan	1	0	SQ	QA	20	1501	1462	+3	−9	77	88
2000	04	02	Qatar	Kazakhstan	3	1	SQ		27	1464	1474	+8	−5	86	82
2000	04	06	Kazakhstan	Palestine	2	0	SQ	QA	14	1488	1259	+5	−5	79	141
2000	04	08	Kazakhstan	Pakistan	4	0	SQ	QA	2	1490	812	0	0	78	206
2000	05	24	Iran	Kazakhstan	3	0	WAH	JO	15	1732	1475	+9	−5	27	84
2000	05	26	Syria	Kazakhstan	4	0	WAH	JO	34	1545	1441	+6	−7	67	91
2000	05	28	Kazakhstan	Palestine	3	2	WAH	JO	11	1452	1258	+2	−2	90	143
2000	10	07	Saudi Arabia	Kazakhstan	1	0	F	JO	5	1657	1447	−1	−3	51	91
2000	12	10	United Arab Emirates	Kazakhstan	5	2	F		9	1546	1438	+1	−1	68	92
2001	04	12	Kazakhstan	Nepal	6	0	WQ	IQ	2	1440	783	0	0	91	207
2001	04	14	Kazakhstan	Macao	3	0	WQ	IQ	4	1444	960	+1	0	90	191
2001	04	16	Iraq	Kazakhstan	1	1	WQ		-13	1606	1457	0	+4	57	86
2001	04	21	Kazakhstan	Nepal	4	0	WQ		1	1458	833	0	0	86	206
2001	04	23	Kazakhstan	Macao	5	0	WQ		2	1460	906	0	0	86	195
2001	04	25	Kazakhstan	Iraq	1	1	WQ		3	1463	1605	+2	0	84	58
2001	11	14	Estonia	Kazakhstan	0	0	F		1	1346	1462	0	+1	120	89
2002	04	17	Latvia	Kazakhstan	2	1	F		8	1433	1454	+3	−3	98	90
2002	07	07	Kazakhstan	Estonia	1	1	F		-4	1450	1392	−1	+2	92	110
2003	02	12	Malta	Kazakhstan	2	2	F		3	1244	1447	+1	−1	146	94
2003	04	27	Faroe Islands	Kazakhstan	3	2	F		13	1265	1434	+5	−5	142	99
2003	04	29	Faroe Islands	Kazakhstan	2	1	F		12	1277	1422	+3	−4	139	103
2003	06	06	Poland	Kazakhstan	3	0	F		3	1710	1419	+1	−2	37	104
2003	08	20	Portugal	Kazakhstan	1	0	F		1	1934	1418	−1	0	8	102
2004	02	18	Latvia	Kazakhstan	3	1	FT	CY	15	1559	1403	+3	−2	67	106
2004	02	19	Armenia	Kazakhstan	3	3	FT	CY	-1	1427	1404	0	0	98	106
2004	02	21	Cyprus	Kazakhstan	2	1	FT		9	1473	1395	+2	−3	83	109
2004	04	28	Kazakhstan	Azerbaijan	2	3	F		-14	1381	1351	−5	+4	113	121
2004	09	08	Kazakhstan	Ukraine	1	2	WQ		-11	1370	1665	−3	+4	115	45
2004	10	09	Turkey	Kazakhstan	4	0	WQ		3	1844	1367	−1	+1	18	113
2004	10	13	Kazakhstan	Albania	0	1	WQ		-17	1350	1541	−5	+6	118	70
2004	11	17	Greece	Kazakhstan	3	1	WQ		2	1883	1348	0	0	11	118
2005	01	29	Japan	Kazakhstan	4	0	F		1	1846	1347	0	0	16	120
2005	03	26	Denmark	Kazakhstan	3	0	WQ		2	1848	1345	0	+1	16	119
2005	06	04	Ukraine	Kazakhstan	2	0	WQ		3	1786	1342	0	0	27	118
2005	06	08	Kazakhstan	Turkey	0	6	WQ		-9	1333	1827	−4	0	123	19
2005	08	17	Kazakhstan	Georgia	1	2	WQ		-17	1316	1508	−6	+4	127	81
2005	09	03	Albania	Kazakhstan	2	1	WQ		6	1527	1310	+3	−3	73	130
2005	09	07	Kazakhstan	Greece	1	2	WQ		-4	1306	1816	−1	0	130	22
2005	10	08	Georgia	Kazakhstan	0	0	WQ		-14	1499	1320	−5	+7	85	123
2005	10	12	Kazakhstan	Denmark	1	2	WQ		-3	1317	1888	−2	0	125	11
2006	02	14	Jordan	Kazakhstan	2	0	F		4	1533	1313	+2	−4	72	127
2006	02	24	Kazakhstan	North Korea	0	0	F	CY	5	1318	1480	+4	−3	123	89
2006	02	28	Finland	Kazakhstan	0	0	FT	CY	-11	1629	1329	−2	+2	54	121
2006	03	01	Greece	Kazakhstan	2	0	FT	CY	3	1810	1326	0	−1	22	122
2006	07	02	Kazakhstan	Tajikistan	4	1	F		15	1341	1357	+4	−7	120	115
2006	07	05	Kazakhstan	Kyrgyzstan	1	0	F		4	1345	1202	+2	−1	118	157
2006	08	16	Belgium	Kazakhstan	0	0	EQ		-17	1692	1362	−2	+5	45	113
