year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1926	05	01	Kenya	Uganda	1	1	GSG		8	1308	1592	−	−	54	29
1926	05	03	Kenya	Uganda	2	1	GSG		22	1330	1570	+1	−3	53	32
1928	05	06	Uganda	Kenya	4	0	GSG		7	1577	1323	+2	0	33	54
1929	12	14	Kenya	Uganda	3	5	GSG		-13	1310	1590	0	+1	57	30
1930	00	00	Kenya	Uganda	0	0	F		5	1315	1585	0	−1	57	31
1930	08	19	Uganda	Kenya	5	0	GSG		6	1591	1309	+1	−1	31	59
1931	12	16	Kenya	Uganda	2	2	GSG		7	1316	1584	+1	−1	59	33
1931	12	17	Kenya	Uganda	2	1	GSG		22	1338	1562	0	−2	59	35
1932	12	14	Uganda	Kenya	13	1	GSG		12	1574	1326	+3	0	35	60
1935	05	06	Uganda	Kenya	5	1	GSG		7	1581	1319	0	0	40	63
1936	03	28	Kenya	Uganda	1	3	GSG		-13	1306	1594	−2	+2	65	37
1937	04	03	Uganda	Kenya	9	5	GSG		5	1599	1301	0	−1	37	69
1938	03	26	Kenya	Uganda	1	3	GSG		-11	1290	1610	−3	+3	76	37
1939	03	25	Uganda	Kenya	5	2	GSG		4	1614	1286	0	−1	37	77
1940	03	30	Kenya	Uganda	3	6	GSG		-11	1275	1625	−3	+1	81	37
1941	03	29	Uganda	Kenya	3	4	GSG		-28	1597	1303	−5	+4	43	77
1942	03	28	Kenya	Uganda	4	3	GSG		23	1326	1574	+5	−3	73	44
1943	03	27	Uganda	Kenya	2	1	GSG		4	1578	1322	0	−1	45	76
1944	03	25	Kenya	Uganda	2	1	GSG		21	1343	1557	+4	−1	73	47
1945	03	30	Uganda	Kenya	4	1	GSG		7	1569	1336	0	−2	48	75
1946	09	18	Kenya	Tanganyika	3	0	GSG		10	1346	1185	+1	−1	71	93
1946	09	21	Kenya	Uganda	2	1	GSG		20	1366	1549	+3	−3	68	49
1947	09	17	Uganda	Kenya	3	2	GSG	TY	8	1557	1358	+2	0	44	74
1948	09	22	Kenya	Zanzibar	3	1	GSG	UG	5	1363	988	0	0	77	107
1948	09	25	Uganda	Kenya	2	1	GSG		4	1573	1359	+1	0	41	77
1949	12	06	Zanzibar	Kenya	2	3	GSG		-5	983	1364	0	+2	111	78
1949	12	08	Tanganyika	Kenya	2	0	GSG	ZN	31	1250	1333	+2	−4	99	82
1950	10	11	Kenya	Uganda	3	1	GSG		29	1362	1505	+4	−4	78	56
1950	10	14	Kenya	Tanganyika	1	1	GSG		-8	1354	1268	−2	+1	80	97
1950	10	16	Kenya	Tanganyika	1	2	GSG		-22	1332	1290	−3	+5	83	92
1951	09	25	Kenya	Uganda	2	1	GSG	TY	22	1354	1483	+4	−5	82	62
1951	09	29	Tanganyika	Kenya	3	2	GSG		13	1305	1341	+6	−1	88	83
1952	09	24	Kenya	Zanzibar	7	1	GSG	UG	7	1348	964	0	0	84	118
1952	09	27	Uganda	Kenya	6	3	GSG		10	1502	1338	+4	0	58	84
1953	09	30	Kenya	Tanganyika	7	1	GSG	ZN	25	1363	1232	+2	−3	83	109
1953	10	03	Kenya	Uganda	6	2	GSG	ZN	40	1403	1474	+4	−7	79	63
1954	10	05	Kenya	Zanzibar	5	0	GSG		3	1406	981	0	0	85	132
1954	10	09	Kenya	Uganda	2	2	GSG		-1	1405	1485	0	0	85	67
1954	10	10	Kenya	Uganda	1	4	GSG		-28	1377	1513	−4	+7	89	60
1955	10	11	Uganda	Kenya	1	0	GSG	TY	9	1522	1368	+2	−1	59	88
1955	10	14	Kenya	Zanzibar	8	0	GSG	TY	7	1375	975	0	0	88	132
1956	11	27	Kenya	Tanganyika	9	0	GSG	UG	22	1397	1199	+2	−2	89	123
1956	12	01	Uganda	Kenya	3	2	GSG		7	1523	1390	+1	−1	63	90
1957	09	04	Zanzibar	Kenya	1	5	GSG		-9	989	1399	−1	+1	137	89
1957	09	07	Uganda	Kenya	2	1	GSG	ZN	10	1538	1389	+1	0	57	89
1958	10	05	Kenya	Tanganyika	3	1	GSG		6	1395	1161	+2	0	90	126
1958	10	08	Kenya	Zanzibar	4	0	GSG		3	1398	1003	+1	0	89	138
1958	10	11	Kenya	Uganda	2	0	GSG		25	1423	1504	+7	−3	82	62
1959	00	00	Kenya	Reunion	1	0	F		1	1424	1076	−1	−2	84	138
1959	09	27	Reunion	Kenya	3	1	TRE	MG	40	1116	1384	+6	−11	132	96
1959	09	30	Madagascar	Kenya	0	3	TRE		-31	1312	1415	−2	+9	104	87
1959	10	04	Kenya	Uganda	0	0	GSG	TY	5	1420	1540	+2	0	85	55
1959	10	07	Kenya	Zanzibar	5	0	GSG	TY	5	1425	999	+1	0	84	141
1959	10	10	Tanganyika	Kenya	0	2	GSG		-13	1152	1438	0	+3	127	81
1960	10	10	Kenya	Zanzibar	4	1	GSG	UG	5	1443	1023	+1	0	79	143
1960	10	12	Kenya	Tanganyika	5	0	GSG	UG	9	1452	1140	0	−1	79	134
1960	10	15	Uganda	Kenya	1	1	GSG		-4	1451	1456	−2	+2	79	76
1961	08	05	Kenya	Uganda	0	1	FQ		-26	1430	1477	−7	+3	84	75
1961	09	23	Uganda	Kenya	0	1	FQ		-28	1449	1458	−4	+7	78	76
1961	10	01	Kenya	Tanganyika	0	0	GSG		-12	1446	1167	−2	0	78	131
1961	10	04	Kenya	Zanzibar	10	0	GSG		3	1449	1001	0	0	77	144
1961	10	07	Kenya	Uganda	2	1	GSG		9	1458	1404	+1	−2	76	92
1961	10	29	Uganda	Kenya	2	0	FQ		26	1430	1432	+10	−5	83	81
1961	12	03	Kenya	Zanzibar	4	0	IPC	TY	4	1436	985	+1	0	80	146
1961	12	07	Kenya	Uganda	4	1	IPC	TY	26	1462	1407	+4	−11	76	92
1961	12	09	Tanganyika	Kenya	1	3	IPC		-14	1203	1476	−2	+2	126	74
1961	12	31	Ethiopia	Kenya	4	3	F		9	1425	1467	+1	−1	86	74
1962	01	07	Ethiopia	Kenya	6	1	F		17	1442	1450	+7	−3	80	78
1962	07	06	Kenya	Zanzibar	5	0	GSG		2	1452	980	0	0	81	150
1962	07	28	Kenya	Tanganyika	4	3	GSG		4	1456	1199	+1	−2	80	130
1962	09	01	Uganda	Kenya	3	1	GSG		22	1385	1434	+4	−5	100	86
1962	09	29	Ghana	Kenya	6	3	IPC	UG	7	1775	1427	0	−1	18	86
