year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1961	09	03	Kuwait	Libya	2	2	PAR	MA	6	1306	1410	−	−3	109	91
1961	09	04	United Arab Republic	Kuwait	8	0	PAR	MA	11	1672	1295	+3	−3	34	112
1961	09	06	Lebanon	Kuwait	4	0	PAR	MA	34	1359	1261	+1	−6	104	118
1961	09	08	Morocco	Kuwait	3	1	PAR		3	1702	1258	0	0	30	118
1961	09	10	Saudi Arabia	Kuwait	1	0	PAR	MA	19	1301	1239	+5	−3	109	121
1962	01	26	Kuwait	Lebanon	0	5	F		-20	1219	1353	−1	+1	125	104
1962	01	29	Kuwait	Lebanon	0	3	F		-16	1203	1369	−3	+3	128	101
1963	01	06	Kuwait	Jordan	2	1	F		7	1210	1185	0	−2	129	133
1963	03	03	Tunisia	Kuwait	2	1	F		2	1476	1208	0	0	77	129
1963	03	31	Lebanon	Kuwait	6	0	ARC		15	1384	1193	+3	−1	98	131
1963	04	02	Kuwait	Jordan	4	0	ARC	LB	35	1228	1132	+4	−2	127	137
1963	04	06	Tunisia	Kuwait	5	1	ARC	LB	13	1508	1215	+3	−2	67	129
1963	04	07	Syria	Kuwait	4	0	ARC	LB	18	1434	1197	+5	−2	83	131
1964	11	13	Kuwait	Iraq	0	1	ARC		-5	1192	1628	−1	0	134	41
1964	11	15	Kuwait	Jordan	2	0	ARC		17	1209	1110	+3	−2	131	143
1964	11	16	Kuwait	Libya	1	1	ARC		9	1218	1471	+2	0	129	76
1964	11	20	Kuwait	Lebanon	2	3	ARC		-17	1201	1396	−3	+7	132	95
1965	03	12	Morocco	Kuwait	2	0	TIF	LY	3	1677	1198	0	−1	33	133
1965	03	14	Libya	Kuwait	4	1	TIF		5	1477	1193	+2	−1	75	134
1965	03	19	Tunisia	Kuwait	1	0	TIF	LY	3	1602	1190	0	−1	45	135
1966	04	01	Iraq	Kuwait	3	1	ARC		3	1619	1187	+1	0	42	137
1966	04	03	Lebanon	Kuwait	2	1	ARC	IQ	9	1410	1178	+1	−1	93	138
1966	04	06	Bahrain	Kuwait	4	4	ARC	IQ	0	1175	1178	0	0	139	137
1966	04	08	Kuwait	Jordan	4	0	ARC	IQ	34	1212	1111	+4	−4	133	147
1969	02	28	Bahrain	Kuwait	3	5	F		-16	1114	1228	−1	+2	149	127
1969	12	13	Bahrain	Kuwait	3	8	F		-19	1095	1247	−3	+3	151	125
1970	00	00	Kuwait	Russia	3	1	F		29	1276	1936	+6	−1	119	6
1970	03	28	Kuwait	Saudi Arabia	3	1	GLF	BH	34	1310	1291	+9	−9	111	117
1970	03	31	Kuwait	Qatar	4	2	GLF	BH	13	1323	1072	+2	−1	109	154
