year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1961	12	12	South Vietnam	Laos	7	0	SEP	BU	5	1480	995	+1	−	73	144
1961	12	13	Thailand	Laos	5	2	SEP	BU	21	1166	974	+3	−3	132	147
1963	11	13	North Vietnam	Laos	9	1	GNF	ID	14	1234	960	+1	0	127	151
1963	11	15	Egypt	Laos	15	0	GNF	ID	1	1700	959	0	−1	30	153
1967	12	11	South Vietnam	Laos	5	0	SEP	TH	5	1446	954	0	0	81	162
1967	12	14	Burma	Laos	2	0	SEP	TH	2	1592	952	0	0	52	162
1967	12	15	Thailand	Laos	5	2	SEP		6	1261	946	+1	0	121	162
1968	11	20	Burma	Laos	3	0	KNG	TH	2	1534	944	+1	0	65	163
1968	11	22	Thailand	Laos	1	0	KNG		2	1295	942	0	0	115	163
1968	11	24	Malaysia	Laos	5	0	KNG	TH	6	1337	936	+3	0	107	163
1969	11	19	South Korea	Laos	2	0	KNG	TH	1	1572	935	0	0	55	163
1969	11	21	Thailand	Laos	3	4	KNG		-28	1270	963	−6	+1	119	162
1969	11	23	Laos	Malaysia	1	1	KNG	TH	11	974	1285	0	−3	162	116
1969	11	26	Indonesia	Laos	3	0	KNG	TH	2	1567	972	0	0	55	162
1969	11	28	South Vietnam	Laos	7	0	KNG	TH	6	1387	966	+3	0	96	162
1969	12	06	Malaysia	Laos	2	1	SEP	BU	5	1290	961	+1	0	115	162
1969	12	09	Laos	South Vietnam	0	0	SEP	BU	16	977	1346	0	−3	162	103
1969	12	11	Burma	Laos	4	0	SEP		2	1500	975	+2	0	70	162
1970	10	23	South Vietnam	Laos	4	0	F		3	1318	972	+1	−1	110	164
1970	11	08	Thailand	Laos	1	0	KNG		2	1347	970	+1	0	106	164
1970	11	12	South Korea	Laos	4	0	KNG	TH	1	1621	969	+1	0	45	164
1970	11	14	Laos	Singapore	3	0	KNG	TH	38	1007	1094	+3	−5	161	150
1970	11	16	Hong Kong	Laos	4	2	KNG	TH	10	1233	997	0	0	129	161
1971	12	12	Malaysia	Laos	5	0	SEP		3	1439	994	+1	−2	79	163
1971	12	13	Khmer Republic	Laos	2	0	SEP	MY	10	1280	984	+2	0	119	163
