year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1922	09	24	Latvia	Estonia	1	1	F		-3	1397	1380	−	−1	41	43
1923	07	24	Estonia	Latvia	1	1	F		-3	1387	1400	0	0	43	42
1924	05	27	France	Latvia	7	0	OG		24	1589	1376	+6	−3	28	47
1924	06	22	Latvia	Turkey	1	3	F		-13	1363	1541	0	0	48	39
1924	08	14	Latvia	Finland	0	2	F		-12	1351	1548	−1	+1	49	37
1924	08	16	Lithuania	Latvia	2	4	F		-8	1074	1359	0	0	55	49
1924	10	18	Latvia	Estonia	2	0	F		9	1368	1309	+1	0	48	51
1925	08	09	Finland	Latvia	3	1	F		6	1523	1362	+1	−2	38	50
1925	08	26	Estonia	Latvia	2	2	F		-2	1334	1364	0	+1	51	49
1925	09	20	Latvia	Lithuania	2	2	F		-8	1356	1093	−1	0	50	57
1926	07	20	Latvia	Sweden	4	1	F		32	1388	1844	+2	−3	48	10
1926	08	12	Latvia	Finland	1	4	F		-16	1372	1524	−1	0	49	39
1926	08	21	Lithuania	Latvia	2	3	F		-5	1084	1377	0	0	59	49
1926	09	19	Latvia	Estonia	0	1	F		-14	1363	1355	0	0	49	52
1927	05	29	Sweden	Latvia	12	0	F		2	1812	1361	0	−1	12	50
1927	06	16	Estonia	Latvia	4	1	F		13	1368	1348	+2	−1	49	51
1927	07	27	Latvia	Lithuania	6	3	F		4	1352	1080	0	0	51	60
1927	09	11	Finland	Latvia	3	1	F		6	1500	1346	+1	0	41	51
1927	09	25	Latvia	Estonia	4	1	F		15	1361	1373	0	−1	51	48
1928	07	06	Latvia	Sweden	0	4	F		-4	1357	1825	0	0	52	13
1928	07	25	Latvia	Lithuania	3	0	BLC	EE	8	1365	1062	+2	0	50	62
1928	07	27	Estonia	Latvia	0	1	BLC		-20	1357	1385	−4	+2	52	48
1928	08	19	Latvia	Finland	2	1	F		10	1395	1459	−1	−2	49	46
1928	09	01	Lithuania	Latvia	1	1	F		6	1062	1389	0	0	63	49
1928	09	23	Latvia	Estonia	1	1	F		-3	1386	1366	0	0	49	51
1929	07	28	Sweden	Latvia	10	0	F		2	1827	1384	+1	0	10	50
1929	08	14	Latvia	Lithuania	3	1	BLC		4	1388	1058	0	0	50	65
1929	08	16	Latvia	Estonia	2	2	BLC		-5	1383	1377	0	0	50	51
1929	09	15	Finland	Latvia	3	1	F		8	1453	1375	0	−1	47	51
1929	09	18	Estonia	Latvia	4	1	F		13	1384	1362	+2	−3	50	54
1930	06	27	Estonia	Latvia	1	1	F		-3	1381	1365	0	0	52	55
