year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1953	08	03	Libya	Palestine	5	2	PAR	EG	14	1514	1238	−	−2	56	107
1953	08	06	Egypt	Libya	10	2	PAR		31	1574	1483	+8	−6	44	62
1953	08	09	Libya	Jordan	3	2	PAR	EG	7	1490	1217	+3	−1	59	109
1957	06	02	Tunisia	Libya	4	2	F		5	1655	1485	0	0	36	67
1957	10	19	Tunisia	Libya	4	3	PAR	LB	11	1666	1474	+2	−2	35	72
1957	10	21	Morocco	Libya	5	1	PAR	LB	16	1715	1458	+2	−5	24	77
1957	10	23	Iraq	Libya	3	1	PAR	LB	15	1663	1443	+4	−3	35	80
1958	04	03	Morocco	Libya	3	1	F		3	1731	1440	0	−1	23	81
1958	05	09	Tunisia	Libya	4	1	DBT		9	1612	1431	+3	−1	43	82
1958	05	11	Morocco	Libya	2	1	DBT	TN	5	1718	1426	+2	−1	25	83
1960	00	00	Libya	Algeria	0	7	F		-10	1416	1761	−3	+2	88	20
1961	09	03	Kuwait	Libya	2	2	PAR	MA	6	1306	1410	−	−3	109	91
1961	09	04	Morocco	Libya	6	2	PAR		8	1692	1402	0	−1	31	92
1961	09	06	United Arab Republic	Libya	2	1	PAR	MA	7	1679	1395	+1	−3	33	95
1961	09	08	Libya	Saudi Arabia	5	1	PAR	MA	29	1424	1282	+10	−6	85	114
1961	09	10	Libya	Lebanon	3	2	PAR	MA	16	1440	1333	+6	0	79	104
1962	03	11	Libya	Tunisia	6	3	FT		23	1463	1477	+5	−4	76	74
1962	06	03	Tunisia	Libya	2	2	F		-3	1474	1466	0	0	75	78
1964	03	08	Libya	Lebanon	0	1	TIF		-22	1444	1409	−4	+11	82	88
1964	03	17	Libya	Sudan	1	0	TIF		19	1463	1613	+4	−3	78	45
1964	11	14	Libya	Lebanon	2	1	ARC	KW	17	1480	1387	+1	−8	76	100
1964	11	16	Kuwait	Libya	1	1	ARC		9	1218	1471	+2	0	129	76
1964	11	18	Libya	Jordan	5	2	ARC	KW	8	1479	1099	0	0	76	143
1964	11	20	Iraq	Libya	1	1	ARC	KW	-9	1630	1488	0	+2	41	74
1965	03	12	Libya	Tunisia	2	3	TIF		-16	1472	1591	−2	+3	77	48
1965	03	14	Libya	Kuwait	4	1	TIF		5	1477	1193	+2	−1	75	134
1965	03	19	Libya	Morocco	1	0	TIF		19	1496	1654	+4	−4	73	37
1965	09	02	Libya	Oman	15	1	PAR	EG	4	1500	896	0	−	71	160
1965	09	03	Sudan	Libya	4	2	PAR	EG	19	1651	1481	+3	−5	37	76
1965	09	04	Libya	Syria	6	3	PAR	EG	28	1509	1379	+7	−5	69	97
1965	09	09	Egypt	Libya	8	1	PAR		8	1823	1501	+1	−2	14	71
1965	09	10	Libya	Palestine	4	2	PAR	EG	12	1513	1245	+2	−6	69	128
1966	02	13	Malta	Libya	1	0	F		11	1406	1502	+1	−1	93	66
1966	03	12	Libya	Morocco	4	0	TIF		32	1534	1620	+8	−5	59	42
1966	03	14	Libya	Tunisia	0	0	TIF		-2	1532	1592	−1	+1	60	48
1966	03	18	Libya	Iraq	0	2	TIF		-24	1508	1630	−5	+6	65	40
1966	03	27	Libya	Malta	0	1	F		-15	1493	1421	−3	+4	68	89
1966	04	01	Libya	Palestine	1	1	ARC	IQ	-12	1481	1257	−7	+3	75	124
1966	04	03	Libya	Oman	21	0	ARC	IQ	5	1486	882	+3	−1	72	165
1966	04	04	Libya	Syria	0	0	ARC	IQ	-6	1480	1386	−3	0	75	97
1966	04	06	Libya	North Yemen	13	0	ARC	IQ	4	1484	881	+2	−1	73	165
1966	04	09	Iraq	Libya	3	1	ARC		13	1623	1471	+5	−3	41	76
1966	04	10	Libya	Lebanon	6	1	ARC	IQ	33	1504	1376	+10	−5	66	99
1966	05	25	Lithuania	Libya	6	0	F		32	1243	1472	−	−10	−	76
1966	12	09	Libya	Egypt	2	2	FQ		11	1483	1777	+2	−3	73	20
1967	02	15	Greece	Libya	4	0	F		11	1556	1472	+2	−3	51	76
1967	02	26	Nigeria	Libya	3	2	F		5	1548	1467	0	−1	56	77
1967	03	07	Libya	Sudan	1	1	TIF		4	1471	1650	+1	−1	76	38
1967	03	12	Libya	Iraq	0	1	TIF		-12	1459	1645	−3	+1	78	39
1967	03	24	Egypt	Libya	3	2	FQ		4	1746	1455	0	−3	26	81
1967	04	21	Libya	Niger	2	0	OQ		5	1460	1117	+2	0	79	146
1967	09	08	Tunisia	Libya	3	0	MDG		15	1607	1445	+5	−7	44	83
1967	09	24	Niger	Libya	2	2	OQ		12	1122	1433	+2	−5	146	88
1967	11	12	Libya	Algeria	1	1	OQ		11	1444	1739	+6	−1	81	24
1967	11	26	Algeria	Libya	2	1	OQ		4	1743	1440	0	−1	24	81
1969	01	26	Libya	Ethiopia	2	0	WQ		33	1473	1541	+8	−8	74	63
1969	02	09	Ethiopia	Libya	5	1	WQ		21	1562	1452	+5	−5	58	79
1970	07	05	Libya	Algeria	2	2	EDT		2	1454	1604	+1	0	79	50
1970	07	07	Libya	Egypt	3	2	EDT		24	1478	1771	+7	−1	72	19
1970	07	12	Libya	Sudan	0	1	EDT		-10	1468	1699	0	+3	72	34
1970	09	01	Libya	Tunisia	2	2	F		0	1468	1578	0	0	72	56
1970	09	04	Libya	Tunisia	3	2	F		10	1478	1568	+1	0	71	56
1970	09	24	Tunisia	Libya	2	0	F		8	1576	1470	0	−1	56	72
1970	12	27	Libya	Egypt	0	1	FQ		-10	1460	1781	−3	+2	75	18
1971	01	03	Egypt	Libya	2	1	FQ		3	1784	1457	0	0	18	75
1971	07	09	Libya	Syria	2	1	EDT		10	1467	1414	+3	−2	72	88
1971	07	13	Libya	Egypt	0	2	EDT		-12	1455	1747	−3	+3	75	23
1971	07	16	Libya	Sudan	4	6	EDT		-15	1440	1692	−5	+2	80	35
1971	07	18	Libya	Egypt	2	0	EDT		35	1475	1712	+9	−6	71	30
1971	11	24	Libya	Algeria	0	0	F		0	1475	1575	0	0	71	55
1971	12	19	Niger	Libya	0	1	F		-4	1112	1479	−2	+1	152	69
