year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1981	06	14	Liechtenstein	Malta	1	1	PRS	KR	9	1109	1331	−	0	150	102
1981	06	16	Thailand	Liechtenstein	2	0	PRS	KR	7	1408	1102	+3	−1	87	151
1981	06	22	Liechtenstein	Indonesia	3	2	PRS	KR	21	1123	1215	+4	−11	147	136
1981	10	06	Liechtenstein	Malaysia	1	0	F		13	1136	1312	+3	0	144	104
1982	03	09	Liechtenstein	Switzerland	0	1	F		-2	1134	1665	0	0	144	36
1984	06	06	Liechtenstein	Austria	0	6	F		-1	1133	1813	−1	−1	145	22
1990	05	30	Liechtenstein	United States	1	4	F		-4	1129	1590	−2	0	153	50
1991	03	12	Liechtenstein	Switzerland	0	6	F		-2	1127	1750	0	+2	152	27
1993	10	26	Liechtenstein	Estonia	0	2	F		-17	1110	1187	−1	+3	170	158
1994	04	20	Northern Ireland	Liechtenstein	4	1	EQ		1	1692	1109	0	−1	34	171
1994	05	27	Switzerland	Liechtenstein	2	0	F		0	1882	1109	0	0	12	171
1994	09	07	Liechtenstein	Austria	0	4	EQ		-6	1103	1634	−1	+3	172	44
1994	10	12	Ireland	Liechtenstein	4	0	EQ		1	1842	1102	−1	−2	20	174
1994	11	15	Liechtenstein	Latvia	0	1	EQ		-12	1090	1358	−3	+4	177	115
1994	12	18	Portugal	Liechtenstein	8	0	EQ		1	1866	1089	+1	0	19	177
1995	04	26	Austria	Liechtenstein	7	0	EQ		2	1616	1087	+1	−1	51	176
1995	06	03	Liechtenstein	Ireland	0	0	EQ		19	1106	1862	+5	−5	170	20
1995	08	15	Liechtenstein	Portugal	0	7	EQ		-2	1104	1862	−1	+1	170	16
1995	09	06	Latvia	Liechtenstein	1	0	EQ		3	1434	1101	0	−2	98	172
1995	10	11	Liechtenstein	Northern Ireland	0	4	EQ		-6	1095	1628	0	+3	172	44
1996	04	24	Macedonia	Liechtenstein	3	0	WQ		3	1546	1092	+1	0	70	173
1996	06	04	Germany	Liechtenstein	9	1	F		0	2034	1092	0	0	2	173
1996	08	31	Liechtenstein	Ireland	0	5	WQ		-3	1089	1736	0	+1	173	29
1996	10	09	Lithuania	Liechtenstein	2	1	WQ		2	1482	1087	0	0	81	172
1996	11	09	Liechtenstein	Macedonia	1	11	WQ		-12	1075	1551	−4	+2	176	67
1997	03	29	Romania	Liechtenstein	8	0	WQ		1	1860	1074	0	0	15	178
1997	04	30	Liechtenstein	Lithuania	0	2	WQ		-9	1065	1488	0	−1	178	82
1997	05	21	Ireland	Liechtenstein	5	0	WQ		1	1700	1064	0	0	33	178
1997	08	20	Liechtenstein	Iceland	0	4	WQ		-9	1055	1509	−2	+3	180	75
1997	09	06	Liechtenstein	Romania	1	8	WQ		-1	1054	1880	0	−1	180	12
1997	10	11	Iceland	Liechtenstein	4	0	WQ		3	1485	1051	0	0	78	180
1998	06	02	Austria	Liechtenstein	6	0	F		1	1715	1050	0	0	35	181
1998	09	02	Romania	Liechtenstein	7	0	EQ		0	1886	1050	0	0	13	181
1998	10	10	Liechtenstein	Slovakia	0	4	EQ		-3	1047	1736	0	0	182	29
1998	10	14	Liechtenstein	Azerbaijan	2	1	EQ		31	1078	1326	+5	−7	177	124
1999	03	27	Hungary	Liechtenstein	5	0	EQ		2	1667	1076	−1	0	45	177
