year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1947	07	02	Madagascar	Reunion	4	2	TRE		4	1404	1078	−	−1	68	98
1947	07	03	Madagascar	Mauritius	1	2	TRE		-14	1390	1532	−2	+2	70	49
1948	07	15	Madagascar	Reunion	2	1	TRE	MU	4	1394	1072	+2	0	72	102
1948	07	17	Mauritius	Madagascar	4	1	TRE		11	1545	1383	+1	−3	50	75
1949	07	10	Mauritius	Madagascar	3	1	TRE	RE	13	1558	1370	+4	0	45	74
1949	07	12	Reunion	Madagascar	1	3	TRE		-11	1061	1381	0	0	104	74
1950	07	03	Madagascar	Mauritius	1	5	TRE		-21	1360	1590	−5	+3	79	40
1950	07	05	Madagascar	Reunion	2	3	TRE		-27	1333	1077	−3	0	82	108
1951	07	09	Madagascar	Reunion	3	1	TRE	MU	8	1341	1069	+3	0	82	111
1951	07	15	Mauritius	Madagascar	7	1	TRE		7	1599	1334	+1	−2	39	84
1952	07	20	Mauritius	Madagascar	7	0	TRE	RE	12	1611	1322	+1	−1	37	85
1952	07	24	Reunion	Madagascar	0	1	TRE		-9	1058	1331	0	+1	114	84
1953	07	16	Madagascar	Reunion	6	4	TRE		5	1336	1047	+1	0	84	117
1953	07	20	Madagascar	Mauritius	2	3	TRE		-8	1328	1625	−1	+2	85	36
1954	07	11	Reunion	Madagascar	6	2	TRE	MU	47	1094	1281	+3	−15	125	109
1954	07	15	Mauritius	Madagascar	4	1	TRE		4	1629	1277	0	0	37	109
1955	07	10	Reunion	Madagascar	2	4	TRE		-17	1072	1294	−1	+7	128	103
1955	07	14	Madagascar	Mauritius	2	1	TRE	RE	26	1320	1608	+8	−2	95	40
1956	07	05	Madagascar	Reunion	4	2	TRE		5	1325	1064	0	0	97	130
1956	07	08	Madagascar	Mauritius	3	3	TRE		7	1332	1604	0	−2	97	44
1957	10	20	Reunion	Madagascar	1	0	TRE	MU	24	1098	1308	+2	−4	131	103
