year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1957	00	00	Nyasaland	Northern Rhodesia	0	5	F		-8	1192	1548	−	+2	122	56
1962	10	15	Nyasaland	Ghana	0	12	F		-3	1189	1793	−2	0	133	18
1962	12	08	Tanganyika	Nyasaland	6	2	RDC		18	1243	1171	+4	−1	122	135
1963	07	06	Northern Rhodesia	Nyasaland	5	1	F		2	1555	1169	0	0	58	134
1964	06	21	Nyasaland	Southern Rhodesia	2	2	F		5	1174	1456	0	−1	136	80
1964	07	04	Nyasaland	Northern Rhodesia	0	5	IPC		-10	1164	1556	0	+1	136	58
1964	07	20	Northern Rhodesia	Malawi	4	1	F		2	1558	1162	0	0	58	136
1966	07	01	Zambia	Malawi	4	1	F		3	1487	1159	+1	0	72	140
1966	07	04	Malawi	Zambia	0	3	IND		-11	1148	1498	−1	+4	141	68
1966	07	06	Malawi	Zambia	0	6	IND		-11	1137	1524	−2	+4	143	61
1966	07	07	Malawi	Madagascar	1	6	IND		-23	1114	1342	−3	+6	146	106
1966	07	08	Malawi	Zambia	1	5	IND		-8	1106	1532	−1	+1	147	60
1966	10	02	Basutoland	Malawi	4	3	IND		7	1207	1099	−	−1	136	149
1967	03	25	Malawi	Rhodesia	3	6	F		-6	1093	1462	−1	+1	151	78
1967	11	11	Rhodesia	Malawi	1	1	F		-9	1453	1102	−3	+2	80	149
1967	11	12	Rhodesia	Malawi	1	0	F		1	1454	1101	+1	0	79	149
1968	05	01	Swaziland	Malawi	2	0	F		8	1183	1093	+3	−1	139	151
1968	07	06	Malawi	Kenya	2	2	IND		8	1101	1396	+1	−3	150	95
1968	09	06	Malawi	Botswana	8	1	IND	SZ	34	1135	1066	+4	−	146	154
1968	09	07	Swaziland	Malawi	2	0	IND		13	1196	1122	+2	−1	137	147
1969	01	31	Malawi	Rhodesia	0	0	F		5	1127	1427	0	0	148	86
1969	02	01	Malawi	Rhodesia	2	2	F		5	1132	1422	+1	−1	147	87
1969	02	02	Malawi	Rhodesia	0	1	F		-5	1127	1427	−1	+1	148	86
1969	02	08	Rhodesia	Malawi	4	0	F		3	1430	1124	0	0	86	148
1969	02	09	Rhodesia	Malawi	1	1	F		-8	1422	1132	−1	+1	87	147
1969	05	04	Rhodesia	Malawi	4	1	F		3	1425	1129	+1	0	86	147
1969	06	27	Madagascar	Malawi	3	0	F		4	1385	1125	+2	0	98	147
1969	07	06	Malawi	Swaziland	3	0	IND		24	1149	1172	+4	−4	143	141
1969	07	09	Malawi	Swaziland	1	1	IND		-3	1146	1175	−1	+1	144	140
1969	08	30	Zambia	Malawi	4	0	PST		3	1553	1143	+3	0	59	144
1969	08	31	Zambia	Malawi	5	0	PST		3	1556	1140	0	0	59	144
1969	09	02	Zambia	Malawi	7	0	PST		3	1559	1137	0	−1	59	145
1969	12	01	Malawi	Rhodesia	2	2	F		5	1142	1424	+1	−1	144	87
1970	07	06	Malawi	Mauritius	1	0	IND		24	1166	1476	+2	−3	142	72
1970	07	09	Malawi	Mauritius	0	0	IND		8	1174	1468	+2	0	140	73
1971	03	18	Malawi	Zambia	5	4	F		17	1191	1533	+3	−2	136	65
1971	03	20	Malawi	Zambia	1	3	F		-6	1185	1539	0	+1	136	64
1971	03	23	Malawi	Zambia	0	3	F		-7	1178	1546	−3	+1	139	63
1971	04	10	Malawi	Madagascar	1	2	OQ		-13	1165	1427	−2	+7	141	84
1971	05	09	Madagascar	Malawi	4	2	OQ		7	1434	1158	+2	0	83	142
1971	05	25	Uganda	Malawi	3	3	F		-8	1428	1166	−2	0	85	142
1971	07	06	Malawi	Uganda	3	1	IND		32	1198	1398	+6	−5	136	91
1971	07	10	Uganda	Malawi	1	0	IND		5	1403	1193	+1	−1	90	137
1971	08	07	Malawi	Lesotho	1	2	F		-13	1180	1212	−3	+3	140	132
1971	08	10	Malawi	Lesotho	6	1	F		16	1196	1196	+4	−4	136	136
1971	10	08	Lesotho	Malawi	0	0	F		-3	1212	1199	−1	+1	130	135
1971	10	10	Lesotho	Malawi	0	2	F		-20	1192	1219	−6	+6	136	129
1972	07	06	Malawi	Lesotho	1	0	IND		10	1229	1183	0	−3	129	139
1972	07	08	Malawi	Lesotho	4	0	IND		17	1246	1166	+1	−2	128	141
1972	10	20	Malawi	Kenya	2	1	F		13	1259	1426	+4	−3	126	82
1972	10	22	Malawi	Kenya	0	1	F		-8	1251	1434	−3	+3	129	79
1973	07	06	Malawi	Mauritius	4	1	IND		25	1276	1307	+3	−8	124	116
1973	07	08	Malawi	Mauritius	1	0	IND		12	1288	1295	+3	−3	121	119
1973	09	06	Swaziland	Malawi	0	1	IND		-13	1137	1301	−2	+1	145	117
1974	01	13	Mauritius	Malawi	4	1	F		13	1302	1288	+2	−2	116	118
1974	01	17	Mauritius	Malawi	2	1	F		7	1309	1281	+3	−3	113	121
1974	01	20	Mauritius	Malawi	2	2	F		-4	1305	1285	0	+3	113	119
