year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1948	06	20	Singapore	Malaya	4	2	F		10	1326	1290	0	−	81	87
1953	09	13	Singapore	Malaya	1	3	F		-20	1283	1310	−5	+5	99	92
1956	03	17	Malaya	Cambodia	9	2	SQ		12	1322	1074	+1	−1	96	128
1956	04	01	Singapore	Malaya	2	4	SMT		-27	1261	1349	−6	+3	112	93
1956	04	24	Cambodia	Malaya	3	2	SQ		29	1103	1320	+3	−3	125	96
1956	05	03	South Vietnam	Malaya	4	0	SQ		18	1433	1302	+3	−5	81	101
1956	05	24	Malaya	South Vietnam	3	3	SQ		2	1304	1431	+2	0	100	82
1957	02	16	Malaya	India	2	3	F		-6	1298	1554	−1	+2	104	54
1957	05	11	Singapore	Malaya	1	1	F		-2	1256	1300	0	0	116	104
1957	09	01	Malaya	Burma	5	2	MRD		17	1317	1261	+2	−3	101	113
1957	09	03	Malaya	South Vietnam	1	4	MRD		-27	1290	1430	−5	+7	106	81
1957	09	04	Malaya	Hong Kong	3	3	MRD		2	1292	1427	+1	−1	105	83
1957	09	07	Malaya	Indonesia	2	4	MRD		-16	1276	1511	−5	+5	110	61
1957	10	27	South Vietnam	Malaya	1	0	F		5	1394	1271	+1	−3	90	114
1957	10	31	Cambodia	Malaya	1	3	F		-11	1062	1282	0	+4	135	110
1958	03	01	Malaya	Singapore	5	2	F		13	1295	1281	+4	−5	106	111
1958	03	02	Malaya	Singapore	3	1	F		10	1305	1271	+3	−2	103	113
1958	05	03	Singapore	Malaya	3	3	F		-1	1247	1306	0	0	116	103
1958	05	04	Singapore	Malaya	0	3	F		-20	1227	1326	−4	+2	120	101
1958	05	14	Malaya	Pakistan	4	2	F		15	1341	1413	+1	−4	100	86
1958	05	25	Taiwan	Malaya	2	1	ASG	JP	5	1678	1336	0	0	32	100
1958	05	27	South Vietnam	Malaya	6	1	ASG	JP	33	1428	1303	+8	−5	82	104
1958	06	04	Hong Kong	Malaya	2	2	F		-7	1492	1310	−1	+2	65	101
1958	08	30	Malaya	Indonesia	3	2	MRD		22	1332	1554	0	−6	100	56
1958	09	01	Malaya	Hong Kong	3	0	MRD		32	1364	1477	+4	−9	96	72
