year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1979	08	27	Seychelles	Maldives	9	0	IOG	RE	18	1012	782	+2	−	161	180
1979	08	28	Reunion	Maldives	9	0	IOG		5	1134	777	0	0	145	180
1979	08	29	Comoros	Maldives	2	1	IOG	RE	10	896	767	+2	0	173	180
1983	11	00	Maldives	Sri Lanka	0	2	F		-13	754	921	0	+1	182	171
1984	09	18	Nepal	Maldives	4	0	SAG		15	904	739	+1	−2	173	184
1984	09	19	Bangladesh	Maldives	5	0	SAG	NP	15	1008	724	0	0	164	184
1984	09	21	Maldives	Bhutan	1	0	SAG	NP	17	741	656	0	0	184	189
1984	09	30	Sri Lanka	Maldives	5	0	F		7	918	734	+1	0	171	184
1985	08	29	Comoros	Maldives	2	2	IOG	MU	-6	876	740	−1	0	177	185
1985	08	30	Reunion	Maldives	9	0	IOG	MU	7	1136	733	+1	0	148	185
1985	12	22	Pakistan	Maldives	3	1	SAG	BD	6	1133	727	+1	0	148	186
1985	12	23	Bangladesh	Maldives	8	0	SAG		6	1091	721	+3	0	154	186
1987	11	22	Pakistan	Maldives	1	0	SAG	IN	6	1021	715	0	0	165	187
1987	11	23	India	Maldives	5	0	SAG		3	1187	712	0	0	139	187
1989	10	20	Maldives	Nepal	0	0	SAG	PK	9	721	872	0	−1	189	182
1989	10	24	Pakistan	Maldives	2	0	SAG		7	993	714	+1	0	169	189
1991	12	24	Maldives	Nepal	1	0	SAG	LK	29	743	853	+1	−1	198	194
1991	12	26	Sri Lanka	Maldives	0	1	SAG		-32	858	775	−3	+1	193	197
1991	12	29	Pakistan	Maldives	2	0	SAG	LK	12	1036	763	+2	0	176	197
1993	12	11	Bangladesh	Maldives	0	0	SAG		-17	1058	780	−1	0	181	207
1993	12	13	Maldives	Nepal	0	0	SAG	BD	4	784	842	0	0	207	205
1993	12	18	Sri Lanka	Maldives	3	1	SAG	BD	22	905	762	+2	0	196	207
1995	12	19	Nepal	Maldives	1	0	SAG	IN	13	896	749	+2	−1	197	208
1995	12	21	Bangladesh	Maldives	0	0	SAG	IN	-14	1042	763	0	+1	181	207
1996	06	27	Thailand	Maldives	8	0	SQ		1	1451	762	0	0	94	207
1996	06	29	Singapore	Maldives	2	0	SQ	TH	2	1322	760	+1	0	124	207
1996	07	01	Myanmar	Maldives	3	1	SQ	TH	6	1133	754	+1	0	165	207
1996	07	04	Thailand	Maldives	8	0	SQ	SG	2	1447	752	0	0	94	207
1996	07	07	Singapore	Maldives	5	2	SQ		1	1321	751	+1	−1	124	208
1996	07	09	Myanmar	Maldives	4	1	SQ	SG	7	1141	744	+1	0	164	208
1997	06	02	Iran	Maldives	17	0	WQ	SY	1	1690	743	0	0	37	208
1997	06	04	Syria	Maldives	12	0	WQ		1	1496	742	0	0	78	208
1997	06	06	Kyrgyzstan	Maldives	3	0	WQ	SY	5	1199	737	0	0	157	208
1997	06	09	Syria	Maldives	12	0	WQ	IR	2	1484	735	+1	−1	81	209
1997	06	11	Iran	Maldives	9	0	WQ		0	1711	735	0	0	32	209
1997	06	13	Kyrgyzstan	Maldives	6	0	WQ	IR	5	1236	730	0	0	141	209
1997	09	05	Bangladesh	Maldives	1	1	SFF	NP	-14	1004	744	−1	+1	187	208
1997	09	09	India	Maldives	2	2	SFF	NP	-16	1089	760	−6	+2	174	206
1997	09	10	Maldives	Sri Lanka	2	1	SFF	NP	33	793	987	0	−3	206	189
1997	09	13	India	Maldives	5	1	SFF	NP	11	1113	782	+1	0	168	206
1998	11	15	Sri Lanka	Maldives	2	2	BFC		-10	950	792	−2	0	196	204
1998	12	01	Tajikistan	Maldives	3	0	ASG	TH	1	1498	791	+1	0	76	204
1998	12	05	Qatar	Maldives	4	0	ASG	TH	1	1494	790	0	0	77	204
1999	04	23	Maldives	Sri Lanka	0	0	SFF	IN	9	799	941	0	−2	205	195
1999	04	27	Maldives	Nepal	3	2	SFF	IN	19	818	760	0	−2	205	208
1999	04	29	India	Maldives	2	1	SFF		4	1102	814	+1	0	173	205
1999	05	01	Maldives	Nepal	2	0	SFF	IN	25	839	728	0	−1	205	209
1999	09	24	Maldives	Sri Lanka	4	0	SAG	NP	45	884	866	+6	−5	198	202
1999	09	27	Maldives	Bangladesh	2	1	SAG	NP	27	911	987	+1	−4	197	189
1999	10	02	Nepal	Maldives	2	1	SAG		23	786	888	+2	−1	206	198
1999	10	04	India	Maldives	3	1	SAG	NP	12	1132	876	+2	0	164	198
2000	02	15	Malaysia	Maldives	2	0	F		2	1214	874	0	0	151	198
2000	02	17	Malaysia	Maldives	3	0	F		3	1217	871	0	−1	151	199
2000	03	31	Iran	Maldives	8	0	SQ	SY	1	1755	870	+1	−1	24	200
2000	04	02	Bahrain	Maldives	4	1	SQ	SY	6	1295	864	+2	0	131	201
2000	04	04	Syria	Maldives	6	0	SQ		1	1476	863	−2	0	82	201
2000	04	09	Syria	Maldives	2	1	SQ	IR	1	1477	862	−1	+1	84	200
2000	04	11	Bahrain	Maldives	1	0	SQ	IR	3	1332	859	0	0	123	200
2000	04	13	Iran	Maldives	3	0	SQ		0	1717	859	0	0	35	200
2000	05	01	Maldives	Sri Lanka	1	1	GJC		-6	853	830	−1	0	201	205
2000	05	04	Maldives	Bangladesh	1	1	GJC		4	857	1053	0	−1	201	183
2000	05	08	Maldives	India	1	0	GJC		21	878	1081	+3	−2	199	176
2000	05	10	Maldives	Sri Lanka	1	1	GJC		-4	874	882	−1	0	200	199
2001	02	25	Oman	Maldives	5	0	F		2	1308	872	0	0	127	200
2001	02	27	Oman	Maldives	2	0	F		1	1309	871	0	−2	127	202
2001	04	01	Maldives	Cambodia	6	0	WQ		38	909	899	+7	−4	195	196
2001	04	08	Indonesia	Maldives	5	0	WQ		3	1364	906	+1	0	118	195
2001	04	15	Cambodia	Maldives	1	1	WQ		-5	894	911	−2	0	198	195
2001	04	22	China	Maldives	10	1	WQ		1	1664	910	0	0	48	194
2001	04	28	Maldives	China	0	1	WQ		-1	909	1665	0	0	194	44
2001	05	06	Maldives	Indonesia	0	2	WQ		-7	902	1380	0	+4	194	113
2002	04	04	Sri Lanka	Maldives	1	0	F		7	913	895	+1	0	193	196
2002	04	06	Sri Lanka	Maldives	1	1	F		-3	910	898	0	0	193	196
2002	04	09	Singapore	Maldives	2	0	F		3	1217	895	0	0	153	196
