year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1956	10	06	Malta	Uganda	4	0	F		21	1421	1515	−	−4	82	63
1957	02	24	Malta	Austria	2	3	F		-2	1419	1893	0	0	82	8
1959	03	08	Tunisia	Malta	0	0	F		-6	1552	1425	0	+1	56	84
1960	12	08	Malta	Tunisia	1	0	F		10	1435	1499	+3	−4	81	70
1961	11	05	Malta	Norway	1	1	F		-2	1433	1454	0	0	80	76
1962	06	28	Denmark	Malta	6	1	EQ		10	1679	1423	+2	−2	30	87
1962	07	03	Norway	Malta	5	0	F		13	1464	1410	+2	−5	78	92
1962	12	08	Malta	Denmark	1	3	EQ		-15	1395	1712	−3	+3	95	24
1966	02	13	Malta	Libya	1	0	F		11	1406	1502	+1	−1	93	66
1966	03	27	Libya	Malta	0	1	F		-15	1493	1421	−3	+4	68	89
1969	04	27	Malta	Austria	1	3	F		-8	1413	1697	−5	0	93	32
1970	01	04	Malta	Luxembourg	1	1	F		-6	1407	1302	−1	+1	93	112
1970	10	11	Malta	Greece	1	1	EQ		11	1418	1702	+4	−1	89	32
1970	12	20	Malta	Switzerland	1	2	EQ		-11	1407	1689	−5	+2	93	35
1971	02	03	Malta	England	0	1	EQ		-2	1405	2043	0	0	93	2
1971	04	21	Switzerland	Malta	5	0	EQ		8	1697	1397	+2	0	35	94
1971	05	12	England	Malta	5	0	EQ		1	2048	1396	0	0	2	94
1971	06	18	Greece	Malta	2	0	EQ		8	1624	1388	+2	−2	44	95
1971	11	14	Malta	Hungary	0	2	WQ		-4	1384	1951	−1	0	94	6
1971	12	08	Malta	Algeria	1	1	F		3	1387	1572	+2	−1	95	57
1972	03	15	Algeria	Malta	1	0	F		4	1560	1383	+1	−2	57	96
1972	04	30	Austria	Malta	4	0	WQ		4	1788	1379	0	0	18	97
1972	05	06	Hungary	Malta	3	0	WQ		2	1918	1377	0	0	6	97
1972	10	15	Sweden	Malta	7	0	WQ		4	1829	1373	0	−1	15	99
1972	11	25	Malta	Austria	0	2	WQ		-7	1366	1823	−5	+2	104	17
1973	09	28	Malta	Canada	2	0	F		17	1383	1500	+5	−1	97	64
1973	11	11	Malta	Sweden	1	2	WQ		-4	1379	1867	−2	0	99	14
1974	08	24	Malta	Libya	0	1	F		-12	1367	1408	−2	+5	101	91
1974	09	04	Libya	Malta	0	0	RVA		-6	1402	1373	−1	+2	92	99
1974	12	22	Malta	West Germany	0	1	EQ		-1	1372	2130	0	0	98	1
1975	02	23	Malta	Greece	2	0	EQ		43	1415	1593	+5	−7	93	46
1975	06	04	Greece	Malta	4	0	EQ		12	1610	1403	+3	−2	43	92
1975	06	11	Bulgaria	Malta	5	0	EQ		5	1787	1398	0	0	21	92
1975	12	21	Malta	Bulgaria	0	2	EQ		-10	1388	1793	0	+1	95	20
1976	02	28	West Germany	Malta	8	0	EQ		1	2097	1387	0	0	1	97
1976	03	10	Malta	Libya	2	2	F		-3	1384	1395	−1	0	97	95
1976	10	31	Turkey	Malta	4	0	WQ		8	1666	1376	+2	−2	36	98
1976	11	24	Malta	Tunisia	1	1	F		4	1380	1620	0	0	97	44
1976	12	05	Malta	Austria	0	1	WQ		-6	1374	1796	0	0	97	20
1977	03	05	Tunisia	Malta	0	1	F		-18	1624	1392	−3	+3	43	94
