year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1961	12	25	Madagascar	Mauritania	5	1	JAM	CI	6	1429	994	+2	−	84	146
1961	12	26	Dahomey	Mauritania	7	0	JAM	CI	5	1488	989	0	−2	72	148
1963	04	12	Congo-Leopoldville	Mauritania	6	0	JAM	SN	3	1575	986	+1	0	51	148
1963	04	14	Ivory Coast	Mauritania	2	0	JAM	SN	2	1602	984	−1	0	48	148
1963	04	15	Tunisia	Mauritania	4	0	JAM	SN	2	1604	982	−1	0	49	148
1963	04	16	Congo-Brazzaville	Mauritania	7	0	JAM	SN	2	1610	980	0	0	45	148
1972	09	28	Senegal	Mauritania	10	1	AQW		2	1593	978	−1	0	52	162
1972	10	01	Mali	Mauritania	11	0	AQW	SN	4	1556	974	+1	−1	57	163
1972	10	03	Guinea	Mauritania	14	0	AQW	SN	3	1623	971	+1	0	45	163
1972	10	05	Gambia	Mauritania	2	0	AQW	SN	8	1303	963	+2	0	113	163
1975	05	18	Mauritania	Mali	0	1	OQ		-3	960	1534	0	0	164	59
1975	06	01	Mali	Mauritania	6	0	OQ		2	1536	958	0	0	59	164
1976	01	15	Senegal	Mauritania	4	1	WAC	GM	2	1545	956	0	0	57	164
1976	01	17	Guinea	Mauritania	4	0	WAC	GM	1	1658	955	0	0	40	164
1976	03	13	Upper Volta	Mauritania	1	1	WQ		-18	1323	973	−3	0	110	164
1976	03	28	Mauritania	Upper Volta	0	2	WQ		-12	961	1335	0	0	164	110
1976	10	08	Saudi Arabia	Mauritania	4	1	PAR	SY	8	1319	953	+1	0	110	165
1976	10	10	Jordan	Mauritania	2	1	PAR	SY	11	1143	942	+4	−1	142	166
1976	10	12	South Yemen	Mauritania	2	0	PAR	SY	9	1263	933	+2	−1	122	167
1976	10	14	Syria	Mauritania	2	0	PAR		2	1444	931	0	0	83	167
1976	10	16	Morocco	Mauritania	2	0	PAR	SY	1	1717	930	0	0	29	167
1976	10	20	Palestine	Mauritania	1	0	PAR	SY	7	1220	923	+1	0	131	167
1977	06	05	Mauritania	Senegal	1	2	F		-1	922	1547	0	+1	167	58
1977	12	27	Mali	Mauritania	2	1	AGQ		1	1574	921	0	0	50	167
1979	01	08	Gambia	Mauritania	3	1	ACC	GW	8	1259	913	+1	−3	122	171
1979	01	10	Guinea	Mauritania	4	1	ACC	GW	1	1684	912	0	0	34	171
1979	01	12	Mali	Mauritania	4	2	ACC	GW	1	1580	911	0	0	54	171
1979	02	18	Mauritania	Morocco	2	2	FQ		19	930	1594	+4	−5	167	51
1979	04	08	Morocco	Mauritania	4	1	FQ		1	1595	929	0	−1	51	167
