year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1923	01	01	Guatemala	Mexico	2	3	F		-7	1495	1707	−1	−	38	16
1923	01	04	Guatemala	Mexico	3	1	F		20	1515	1687	+1	−4	37	20
1923	01	07	Guatemala	Mexico	1	4	F		-14	1501	1701	−1	+2	38	18
1923	12	09	Mexico	Guatemala	2	1	F		3	1704	1498	0	−1	18	38
1923	12	12	Mexico	Guatemala	2	0	F		4	1708	1494	+1	0	17	38
1923	12	16	Mexico	Guatemala	3	3	F		-7	1701	1501	−1	+1	18	37
1928	05	30	Spain	Mexico	7	1	OG	NL	20	2010	1681	+1	−1	3	22
1928	06	05	Chile	Mexico	3	1	OG	NL	68	1554	1613	+4	−6	38	27
1930	07	13	France	Mexico	4	1	WC	UY	62	1609	1551	+9	−8	28	36
1930	07	16	Chile	Mexico	3	0	WC	UY	49	1624	1502	+7	−4	27	40
1930	07	19	Argentina	Mexico	6	3	WC	UY	4	2081	1498	0	0	1	40
1934	03	04	Mexico	Cuba	3	2	WQ		25	1523	1658	+4	−2	44	25
1934	03	11	Mexico	Cuba	5	0	WQ		44	1567	1614	+2	−8	42	33
1934	03	18	Mexico	Cuba	4	1	WQ		30	1597	1584	+7	−5	35	38
1934	05	24	United States	Mexico	4	2	WQ	IT	17	1778	1580	+1	−3	14	39
1935	03	24	Mexico	Honduras	2	1	F	SV	5	1585	1406	+2	0	38	61
1935	03	27	El Salvador	Mexico	1	8	CAG		-46	1443	1631	−5	+10	56	28
1935	03	28	Mexico	Guatemala	5	1	CAG	SV	18	1649	1412	+1	−3	27	61
1935	03	30	Mexico	Cuba	6	1	CAG	SV	32	1681	1549	+7	−2	20	42
1935	04	01	Mexico	Honduras	8	2	CAG	SV	15	1696	1398	+3	−3	18	61
1935	04	02	Mexico	Costa Rica	2	0	CAG	SV	43	1739	1819	0	−1	18	12
1937	09	12	Mexico	United States	7	2	CCB		20	1759	1700	0	−1	14	20
1937	09	19	Mexico	United States	7	3	CMZ		16	1775	1684	0	0	14	20
1937	09	26	Mexico	United States	5	1	CCN		14	1789	1670	0	−3	14	23
1938	02	10	Mexico	Colombia	3	1	CAC	PA	6	1795	1394	0	−	14	60
1938	02	14	Mexico	Venezuela	1	0	CAC	PA	2	1797	1284	0	+1	14	76
1938	02	18	Mexico	El Salvador	6	0	CAC	PA	10	1807	1433	0	0	14	57
1938	02	20	Panama	Mexico	2	2	CAC		17	1291	1790	+4	0	75	14
1938	02	22	Mexico	Costa Rica	2	1	CAC	PA	23	1813	1825	0	0	14	13
1947	07	13	Mexico	United States	5	0	NAC	CU	31	1844	1639	+3	−6	10	36
1947	07	17	Cuba	Mexico	1	3	NAC		-16	1502	1860	−1	+1	53	9
1948	08	02	South Korea	Mexico	5	3	OG	EN	64	1766	1796	+9	−4	16	14
