year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1945	00	00	Serbia	Montenegro	2	1	F		10	1623	1690	+1	−	40	−
1946	08	22	Albania	Montenegro	5	0	F		19	1619	1671	−	−	39	−
1966	04	01	Montenegro	Soviet Union	0	1	F		-4	1667	1993	−	0	−	3
1970	01	30	Montenegro	Soviet Union	1	1	F		5	1672	1933	−	0	−	6
1975	01	22	Montenegro	Soviet Union	2	3	F		-8	1664	1846	−	+1	−	16
1976	02	07	Montenegro	Soviet Union	2	1	F		13	1677	1857	−	0	−	14
2007	03	24	Montenegro	Hungary	2	1	F		5	1682	1583	+1	−3	45	64
2007	06	01	Japan	Montenegro	2	0	KRN		13	1746	1669	+4	−2	35	45
2007	06	03	Colombia	Montenegro	1	0	KRN	JP	9	1820	1660	0	−1	18	47
2007	08	22	Montenegro	Slovenia	1	1	F		-5	1655	1554	+1	−1	47	71
2007	09	12	Montenegro	Sweden	1	2	F		-8	1647	1823	−4	0	52	17
2007	10	17	Estonia	Montenegro	0	1	F		-6	1381	1653	−2	+1	111	51
2008	03	26	Montenegro	Norway	3	1	F		15	1668	1737	+2	0	46	34
2008	05	27	Montenegro	Kazakhstan	3	0	F		3	1671	1359	+1	0	45	113
2008	05	31	Romania	Montenegro	4	0	F		5	1908	1666	0	0	10	44
2008	08	20	Hungary	Montenegro	3	3	F		0	1579	1666	−1	−1	63	47
2008	09	06	Montenegro	Bulgaria	2	2	WQ		2	1668	1804	+1	−1	46	20
2008	09	10	Montenegro	Ireland	0	0	WQ		1	1669	1781	0	−1	46	24
2008	10	15	Italy	Montenegro	2	1	WQ		3	2008	1666	0	−1	4	47
2008	11	19	Montenegro	Macedonia	2	1	F		5	1671	1559	+2	0	45	67
2009	03	28	Montenegro	Italy	0	2	WQ		-13	1658	2003	−2	0	47	4
2009	04	01	Georgia	Montenegro	0	0	WQ		3	1500	1655	+1	0	84	48
2009	06	06	Cyprus	Montenegro	2	2	WQ		1	1531	1654	−2	0	81	48
2009	08	12	Montenegro	Wales	2	1	F		6	1660	1606	+1	−1	47	58
2009	09	05	Bulgaria	Montenegro	4	1	WQ		14	1808	1646	+3	−3	18	50
2009	09	09	Montenegro	Cyprus	1	1	WQ		-12	1634	1513	−1	+1	51	84
2009	10	10	Montenegro	Georgia	2	1	WQ		6	1640	1441	0	−4	51	100
2009	10	14	Ireland	Montenegro	0	0	WQ		-12	1774	1652	−2	+2	24	49
2009	11	18	Montenegro	Belarus	1	0	F		6	1658	1581	0	−4	49	64
2010	03	03	Macedonia	Montenegro	2	1	F		9	1585	1649	+2	−1	63	51
2010	05	25	Montenegro	Albania	0	1	F		-16	1633	1522	−1	+5	51	83
2010	05	29	Norway	Montenegro	2	1	F		4	1761	1629	0	0	26	51
2010	08	11	Montenegro	Northern Ireland	2	0	F		8	1637	1551	+2	−5	50	77
2010	09	03	Montenegro	Wales	1	0	EQ		12	1649	1583	0	−5	50	66
2010	09	07	Bulgaria	Montenegro	0	1	EQ		-29	1680	1678	−6	+5	42	45
2010	10	08	Montenegro	Switzerland	1	0	EQ		19	1697	1743	+6	−2	39	28
2010	10	12	England	Montenegro	0	0	EQ		-15	1940	1712	0	+1	6	37
2010	11	17	Montenegro	Azerbaijan	2	0	F		4	1716	1457	+2	−1	35	98
2011	03	25	Montenegro	Uzbekistan	1	0	F		4	1720	1565	+2	0	35	69
2011	06	04	Montenegro	Bulgaria	1	1	EQ		-6	1714	1714	−1	+1	38	38
2011	08	10	Albania	Montenegro	3	2	F		13	1536	1701	+4	−3	77	40
2011	09	02	Wales	Montenegro	2	1	EQ		24	1561	1677	+6	−2	69	42
2011	10	07	Montenegro	England	2	2	EQ		9	1686	1937	0	−1	43	7
2011	10	11	Switzerland	Montenegro	2	0	EQ		18	1758	1668	+1	−1	31	44
2011	11	11	Czechia	Montenegro	2	0	EQ		15	1775	1653	+5	−4	25	48
2011	11	15	Montenegro	Czechia	0	1	EQ		-19	1634	1794	−4	+5	53	20
2012	02	29	Montenegro	Iceland	2	1	F		3	1637	1435	0	−1	54	102
