year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1965	08	14	Mozambique	Angola	1	0	F		13	1313	1487	−	−	116	73
1965	10	24	Mozambique	Angola	1	2	F		-8	1305	1495	0	+1	115	71
1966	00	00	Angola	Mozambique	3	3	F		-7	1488	1312	−3	+1	72	115
1966	07	24	Swaziland	Mozambique	1	4	RTR		-25	1175	1337	−	+5	140	109
1966	09	25	Mozambique	Angola	1	2	F		-9	1328	1497	−2	+3	110	68
1967	08	14	Angola	Mozambique	0	1	F		-16	1481	1344	−5	+5	71	105
1967	08	24	Mozambique	Angola	2	1	F		11	1355	1470	0	−1	105	72
1968	08	04	Mozambique	Angola	2	4	F		-14	1341	1484	−2	+3	107	71
1968	08	12	Angola	Mozambique	3	0	F		7	1491	1334	+3	0	68	107
1969	08	03	Mozambique	Angola	1	2	F		-8	1326	1499	0	+2	108	70
1970	08	23	Mozambique	Angola	2	0	F		18	1344	1481	+3	−2	105	71
1970	08	30	Angola	Mozambique	1	1	F		-6	1475	1350	0	0	71	105
1972	00	00	Angola	Mozambique	4	2	F		6	1481	1344	−5	+9	76	96
1972	00	00	Angola	Mozambique	1	2	F		-16	1465	1360	−5	+9	76	96
1972	00	00	Mozambique	Angola	2	0	F		15	1375	1450	+9	−5	96	76
1972	10	29	Angola	Mozambique	3	1	F		8	1458	1367	+3	−5	71	103
1975	06	26	Mozambique	Tanzania	3	2	IND		16	1383	1467	+9	−6	95	77
1975	06	29	Mozambique	Zambia	2	1	IND		20	1403	1576	+3	−2	92	49
1975	10	24	Zambia	Mozambique	3	0	IND		10	1564	1393	+3	−1	53	94
1975	12	09	Tanzania	Mozambique	3	0	IND		19	1413	1374	+6	−3	89	99
1975	12	12	Zanzibar	Mozambique	0	4	IND		-10	992	1384	−1	+3	163	96
1976	06	21	Mozambique	Tanzania	2	3	IND		-18	1366	1431	−8	+2	104	86
1976	06	27	Mozambique	Tanzania	1	0	IND		13	1379	1418	+5	−2	99	88
1976	07	04	Zanzibar	Mozambique	1	0	F		17	1009	1362	+1	−5	163	104
1976	07	06	Tanzania	Mozambique	1	0	F		6	1424	1356	+2	−2	86	106
1976	12	23	Mozambique	Congo	1	0	F		13	1369	1560	+2	−1	101	53
1977	02	01	Tanzania	Mozambique	2	1	FT		9	1435	1360	0	−4	87	104
1977	02	04	Zanzibar	Mozambique	1	1	FT		9	1031	1351	+1	0	159	104
1977	02	08	Tanzania	Mozambique	2	0	FT		12	1447	1339	+5	−4	82	108
1977	06	19	Mozambique	Cuba	0	2	F		-10	1329	1559	−3	+2	109	55
1977	12	20	Mozambique	Tanzania	1	2	F		-10	1319	1435	−1	+2	109	85
1978	09	30	Botswana	Mozambique	1	4	IND		-16	1057	1335	−3	+2	156	106
1978	10	01	Botswana	Mozambique	0	2	IND		-12	1045	1347	−2	+2	158	104
1980	04	20	Zimbabwe	Mozambique	6	0	IND		17	1444	1330	+5	−5	81	103
1980	04	21	Tanzania	Mozambique	2	0	IND	ZW	16	1455	1314	+3	−4	81	107
1980	07	01	Mozambique	Zimbabwe	3	1	F		18	1332	1460	+4	−5	103	81
1980	07	13	Zaire	Mozambique	5	2	WQ		9	1571	1323	+2	−2	54	105
1980	07	27	Mozambique	Zaire	1	2	WQ		-12	1311	1583	−3	+1	108	52
1980	08	10	Mozambique	Lesotho	6	1	FQ		19	1330	1187	+4	−3	104	137
1980	08	24	Lesotho	Mozambique	2	1	FQ		22	1209	1308	+3	−6	134	109
1980	11	09	Angola	Mozambique	1	1	IND		-10	1466	1318	−2	+3	78	107
1980	11	12	Ethiopia	Mozambique	3	2	F		6	1385	1312	+1	−1	95	108
1981	04	05	Zaire	Mozambique	2	1	FQ		4	1581	1308	+1	−3	52	110
1981	04	18	Mozambique	Lesotho	2	0	IND	ZW	16	1324	1193	+5	−1	105	138
1981	04	19	Mozambique	Zaire	3	3	FQ		9	1333	1587	−1	−1	106	48
1981	04	19	Zimbabwe	Mozambique	6	1	IND		12	1489	1321	+2	−1	71	106
1981	06	21	Mozambique	Zimbabwe	0	0	IND		3	1324	1486	+1	−2	105	74
1981	06	25	Mozambique	Angola	0	1	IND		-12	1312	1495	−3	+2	108	72
1981	06	28	Mozambique	Madagascar	1	2	IND		-14	1298	1449	−5	+2	113	81
1981	07	06	Malawi	Mozambique	3	1	IND		7	1508	1291	+1	0	69	113
1981	07	08	Zimbabwe	Mozambique	4	2	IND	MW	12	1472	1279	+2	−4	77	117
1981	08	13	Mozambique	Lesotho	2	0	F		8	1287	1185	+2	−1	115	138
1981	11	04	Mozambique	Malawi	1	0	F		13	1300	1488	+3	−5	111	75
1982	06	27	Mozambique	Zimbabwe	1	1	IND		5	1305	1504	+4	−2	107	69
1983	03	06	Mozambique	Lesotho	3	0	OQ		15	1320	1157	+2	−2	106	143
1983	03	20	Lesotho	Mozambique	0	0	OQ		4	1161	1316	0	0	143	106
1983	04	03	Mozambique	Cameroon	3	0	FQ		57	1373	1615	+14	−3	92	42
1983	04	24	Cameroon	Mozambique	4	0	FQ		9	1624	1364	+4	0	39	93
1983	05	29	Mozambique	Zimbabwe	0	1	OQ		-21	1343	1462	−7	+4	100	81
1983	06	12	Zimbabwe	Mozambique	2	0	OQ		13	1475	1330	+3	−3	78	103
1983	06	16	Mozambique	Malawi	0	2	IND		-16	1314	1541	−2	+2	105	62
1983	06	18	Mozambique	Malawi	2	2	IND		5	1319	1536	0	−1	105	63
1984	09	16	Mauritius	Mozambique	0	0	FQ		-2	1258	1321	0	0	122	106
1984	09	30	Mozambique	Mauritius	3	0	FQ		20	1341	1238	+7	−5	99	127
1985	03	31	Malawi	Mozambique	1	1	FQ		-15	1575	1356	−5	+2	54	96
1985	04	16	Mozambique	Malawi	1	1	FQ		6	1362	1554	0	0	95	57
1985	06	25	Mozambique	Angola	0	3	F		-17	1345	1491	−5	+5	101	73
1985	07	02	Mozambique	Angola	3	2	IND	CV	21	1366	1472	+6	−7	95	80
1985	07	04	Cape Verde	Mozambique	0	0	IND		0	1257	1366	0	−1	124	96
1985	07	07	Guinea-Bissau	Mozambique	3	3	FRC	CV	4	1273	1362	0	−1	120	97
1985	07	09	Angola	Mozambique	1	0	FRC	CV	10	1488	1352	+2	−1	74	98
1985	08	23	Libya	Mozambique	2	1	FQ		5	1609	1347	0	−3	47	99
1985	09	15	Mozambique	Libya	2	1	FQ		29	1376	1580	+9	−4	90	52
1985	11	08	Angola	Mozambique	0	0	IND		-8	1480	1384	−4	+2	79	90
1985	11	11	Mozambique	Zimbabwe	2	2	IND	AO	6	1390	1519	+1	−3	89	68
1986	02	25	Algeria	Mozambique	4	1	F		4	1656	1386	0	0	38	90
1986	03	07	Ivory Coast	Mozambique	3	0	AR	EG	20	1619	1366	+5	−6	43	96
1986	03	10	Senegal	Mozambique	2	0	AR	EG	12	1660	1354	+1	−1	38	97
