year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1938	05	30	India	Burma	1	1	F	BU	-6	1651	1306	−1	−	29	72
1950	02	17	Hong Kong	Burma	5	2	F		8	1422	1298	+1	−2	67	89
1950	02	20	Hong Kong	Burma	4	2	F		6	1434	1292	+1	−2	66	91
1950	02	23	Singapore	Burma	5	1	F		12	1333	1280	+2	−5	83	96
1950	02	27	Singapore	Burma	0	6	F		-30	1303	1310	−6	+10	89	86
1951	03	05	Iran	Burma	2	0	ASG	IN	11	1572	1299	+1	−5	44	91
1951	03	09	Indonesia	Burma	4	1	F	IN	11	1455	1288	+1	−4	64	95
1952	03	16	India	Burma	4	0	CLM	CE	5	1685	1283	0	−1	26	97
1952	03	20	Pakistan	Burma	1	0	CLM	CE	10	1410	1273	0	−1	72	98
1953	10	24	Burma	Ceylon	3	2	CLM		3	1276	987	+1	0	103	124
1953	10	28	Burma	Pakistan	1	1	CLM		2	1278	1413	+1	0	102	78
1953	10	31	Burma	India	2	4	CLM		-8	1270	1659	−2	0	104	28
1953	11	05	Burma	Ceylon	7	9	F		-27	1243	1008	−4	+2	108	123
1954	05	04	Burma	Singapore	1	1	ASG	PH	2	1245	1283	0	0	115	107
1954	05	05	Burma	Pakistan	2	1	ASG	PH	31	1276	1427	+5	−9	110	83
1954	05	07	Burma	South Korea	2	2	ASG	PH	17	1293	1696	+7	−4	103	25
1954	05	08	Burma	Indonesia	5	4	ASG	PH	31	1324	1484	+8	−5	95	66
1954	12	19	Burma	Pakistan	1	1	CLM	IN	4	1328	1423	+1	0	94	81
1954	12	23	India	Burma	2	1	CLM		4	1581	1324	0	−1	45	95
1954	12	25	Ceylon	Burma	2	1	CLM	IN	26	1045	1298	0	−6	129	101
1955	01	11	Burma	Japan	0	1	F		-13	1285	1296	−7	+6	108	102
1955	10	09	Japan	Burma	0	0	F		-3	1293	1288	0	+2	102	105
1955	12	17	Pakistan	Burma	4	2	CLM		9	1431	1279	0	−4	81	109
1955	12	20	India	Burma	5	2	CLM	PK	11	1524	1268	+3	−2	60	111
1955	12	23	Burma	Ceylon	3	1	CLM	PK	10	1278	1031	+2	0	109	129
1955	12	31	Burma	Yugoslavia	0	9	F		-2	1276	1964	−2	0	111	6
1956	01	03	Burma	Yugoslavia	0	9	F		-2	1274	1966	0	0	112	6
1956	06	25	Burma	China	2	3	F		-6	1268	1541	−1	+3	112	57
1957	01	23	Burma	India	4	4	F		5	1273	1536	+1	0	112	57
1957	01	25	Burma	India	2	4	F		-8	1265	1544	−1	0	113	57
1957	06	27	Burma	China	2	1	F		13	1278	1472	+3	−4	110	71
