year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1972	10	13	China	Nepal	6	2	F		0	1625	900	0	−	44	170
1972	11	06	Nepal	Tibet	4	0	F	CN	9	909	691	+2	−	168	177
1979	06	07	Nepal	Tibet	3	2	F		3	912	688	0	−1	172	180
1979	06	09	Nepal	Tibet	2	1	F		3	915	685	+2	0	170	180
1981	03	31	Bangladesh	Nepal	1	1	PRG		-6	960	921	0	0	165	170
1982	02	12	Pakistan	Nepal	2	0	GLT		3	1260	918	0	0	121	170
1982	02	16	Bangladesh	Nepal	1	1	GLT	PK	-2	958	920	0	0	166	170
1982	02	17	Oman	Nepal	1	0	GLT	PK	21	803	899	0	−4	181	174
1982	02	20	Iran	Nepal	4	0	GLT	PK	0	1751	899	0	0	28	174
1982	04	00	Nepal	Thailand	1	0	ANF		28	927	1407	+5	−3	169	89
1982	04	00	Nepal	Bhutan	3	1	ANF		6	933	694	+5	−	169	185
1982	05	02	Nepal	Philippines	1	0	KNG	TH	13	946	885	+2	−3	167	178
1982	05	05	Singapore	Nepal	2	0	KNG	TH	8	1226	938	0	−2	133	169
1982	05	07	Thailand	Nepal	3	1	KNG		2	1400	936	0	0	89	169
1982	11	21	Kuwait	Nepal	3	1	ASG	IN	1	1635	935	0	0	40	169
1982	11	23	Iraq	Nepal	3	0	ASG	IN	1	1726	934	−1	0	30	169
1982	11	26	Burma	Nepal	3	0	ASG	IN	7	1335	927	+2	0	101	170
1983	04	10	Nepal	Thailand	0	2	ANF		-7	920	1336	0	+3	170	101
1983	09	05	Bangladesh	Nepal	4	2	PRG		14	976	906	+2	−2	165	173
1983	09	19	Malaysia	Nepal	7	0	MRD		5	1257	901	+1	0	124	173
1983	09	22	Bangladesh	Nepal	1	0	MRD	MY	12	988	889	0	−1	165	174
1984	09	18	Nepal	Maldives	4	0	SAG		15	904	739	+1	−2	173	184
1984	09	20	Nepal	Bhutan	5	0	SAG		11	915	673	+2	−2	171	189
1984	09	21	Nepal	Bangladesh	0	5	SAG		-41	874	1049	−5	+5	176	159
1984	09	23	Nepal	Bangladesh	4	2	SAG		36	910	1013	+3	−4	173	163
1984	10	19	Saudi Arabia	Nepal	7	0	SQ		1	1528	909	+3	0	60	173
1984	10	22	Sri Lanka	Nepal	4	0	SQ	SA	37	951	872	+4	−3	168	176
1984	10	26	United Arab Emirates	Nepal	11	0	SQ	SA	11	1272	861	+3	−2	120	178
1984	10	28	Oman	Nepal	8	0	SQ	SA	50	892	811	+6	−3	174	181
1985	03	02	Nepal	South Korea	0	2	WQ		-2	809	1535	0	0	181	63
1985	03	16	Nepal	Malaysia	0	0	WQ		18	827	1410	0	−3	182	88
1985	03	31	Malaysia	Nepal	5	0	WQ		2	1412	825	0	0	89	182
1985	04	06	South Korea	Nepal	4	0	WQ		1	1514	824	0	0	66	182
1985	04	30	Pakistan	Nepal	1	0	GLT		2	1182	822	0	−1	142	182
1985	12	21	India	Nepal	2	0	SAG	BD	6	1219	816	0	0	134	183
1985	12	22	Nepal	Bhutan	1	0	SAG	BD	11	827	645	0	0	183	191
1985	12	25	Nepal	Pakistan	2	2	SAG	BD	14	841	1119	+1	−2	182	150
1986	04	25	China	Nepal	5	0	GLT	PK	1	1585	840	0	0	55	182
1986	04	27	Nepal	Sri Lanka	2	2	GLT	PK	4	844	929	0	0	182	171
1986	05	02	Pakistan	Nepal	5	0	GLT		7	1106	837	+1	0	152	182
1986	06	00	Nepal	Bhutan	4	0	ANF		9	846	634	0	0	182	191
1986	09	20	Japan	Nepal	5	0	ASG	KR	2	1483	844	0	0	76	182
1986	09	22	Kuwait	Nepal	5	0	ASG	KR	1	1595	843	0	0	49	182
1986	09	26	Bangladesh	Nepal	1	0	ASG	KR	7	1112	836	0	0	151	182
1986	09	28	Iran	Nepal	6	0	ASG	KR	1	1670	835	0	0	34	182
1986	12	04	Nepal	Bangladesh	1	0	NPC		22	857	1081	0	−5	182	157
1987	04	25	Nepal	Pakistan	2	2	OQ		4	861	1025	+1	0	180	165
1987	04	28	Nepal	Pakistan	1	0	OQ		24	885	1001	+3	0	177	165
1987	09	15	Japan	Nepal	5	0	OQ		1	1485	884	0	0	76	177
1987	09	18	Japan	Nepal	9	0	OQ		2	1487	882	0	0	76	178
1987	09	23	China	Nepal	8	0	OQ		1	1588	881	0	0	52	178
1987	09	26	China	Nepal	12	0	OQ		1	1589	880	0	0	52	178
1987	10	01	Thailand	Nepal	3	0	OQ		4	1292	876	+3	0	108	178
1987	10	04	Thailand	Nepal	2	1	OQ		2	1294	874	+1	−1	107	179
1987	11	21	Nepal	Bangladesh	1	0	SAG	IN	31	905	1052	+3	−6	176	160
1987	11	23	Nepal	Bhutan	6	2	SAG	IN	13	918	615	+2	−1	174	193
1987	11	26	India	Nepal	1	0	SAG		4	1191	914	0	−1	139	175
1988	05	25	Nepal	Hong Kong	0	0	SQ		15	929	1335	+2	−2	174	101
1988	05	28	Nepal	North Korea	0	1	SQ		-2	927	1545	−1	+1	175	61
1988	06	01	Nepal	Syria	0	3	SQ		-5	922	1467	0	+3	175	76
1988	06	04	Nepal	Iran	0	3	SQ		-2	920	1661	0	0	175	39
1989	05	23	Malaysia	Nepal	2	0	WQ	KR	8	1253	912	+1	0	118	178
1989	05	25	South Korea	Nepal	9	0	WQ		1	1728	911	0	0	28	178
1989	05	27	Singapore	Nepal	3	0	WQ	KR	13	1176	898	+2	−2	142	180
1989	06	03	South Korea	Nepal	4	0	WQ	SG	1	1732	897	0	0	28	180
1989	06	05	Singapore	Nepal	7	0	WQ		9	1184	888	+1	−1	141	181
1989	06	07	Malaysia	Nepal	3	0	WQ	SG	7	1269	881	+1	0	118	181
1989	10	20	Maldives	Nepal	0	0	SAG	PK	9	721	872	0	−1	189	182
1989	10	22	Pakistan	Nepal	0	0	SAG		-11	986	883	−1	+1	170	181
1989	10	26	India	Nepal	2	1	SAG	PK	8	1134	875	+2	−1	149	182
1991	12	22	Sri Lanka	Nepal	2	2	SAG		-7	890	882	−2	0	190	193
1991	12	24	Maldives	Nepal	1	0	SAG	LK	29	743	853	+1	−1	198	194
1991	12	28	Bangladesh	Nepal	2	0	SAG	LK	14	1075	839	+2	−1	171	195
1993	07	16	Pakistan	Nepal	1	1	SFF		-11	937	850	0	+1	194	202
1993	07	19	Nepal	Sri Lanka	0	0	SFF	PK	1	851	872	0	0	203	200
1993	07	21	India	Nepal	1	0	SFF	PK	5	1179	846	+1	−1	159	204
1993	12	13	Maldives	Nepal	0	0	SAG	BD	4	784	842	0	0	207	205
1993	12	15	Bangladesh	Nepal	0	1	SAG		-34	1024	876	−2	+5	183	200
1993	12	18	India	Nepal	2	2	SAG	BD	-14	1151	890	−2	+1	164	199
1994	10	01	South Korea	Nepal	11	0	ASG	JP	1	1682	889	0	0	35	199
1994	10	03	Kuwait	Nepal	8	0	ASG	JP	3	1511	886	+1	0	77	199
1994	10	09	Oman	Nepal	1	0	ASG	JP	3	1305	883	+1	0	128	199
1995	03	27	Bangladesh	Nepal	2	0	SFF	LK	20	1025	863	+5	−2	184	202
1995	03	29	Nepal	Pakistan	2	0	SFF	LK	34	897	875	+5	−5	197	201
1995	03	31	Sri Lanka	Nepal	2	1	SFF		14	925	883	+1	−2	195	199
1995	12	19	Nepal	Maldives	1	0	SAG	IN	13	896	749	+2	−1	197	208
1995	12	23	Bangladesh	Nepal	2	1	SAG	IN	12	1054	884	0	−2	181	199
1995	12	25	India	Nepal	3	0	SAG		11	1089	873	+3	−2	173	201
1995	12	27	Nepal	Sri Lanka	0	0	SAG	IN	3	876	928	+2	0	199	196
1996	06	10	Iran	Nepal	8	0	SQ		1	1557	875	−1	−1	66	200
1996	06	12	Oman	Nepal	7	0	SQ	IR	8	1299	867	+4	−2	130	202
1996	06	14	Sri Lanka	Nepal	3	1	SQ	IR	26	945	841	+2	−1	194	203
1996	06	17	Oman	Nepal	2	1	SQ		2	1294	839	+1	0	133	203
1996	06	19	Iran	Nepal	4	0	SQ	OM	1	1568	838	0	0	63	203
1996	06	21	Sri Lanka	Nepal	2	0	SQ	OM	22	958	816	+3	−2	193	205
1997	03	23	Macao	Nepal	1	1	WQ	OM	-10	1001	826	0	+2	188	204
1997	03	25	Oman	Nepal	1	0	WQ		2	1253	824	+1	−1	139	205
1997	03	27	Japan	Nepal	6	0	WQ	OM	0	1720	824	0	0	30	205
1997	06	22	Oman	Nepal	6	0	WQ	JP	6	1268	818	+1	0	136	205
1997	06	25	Japan	Nepal	3	0	WQ		0	1743	818	0	0	28	205
1997	06	28	Macao	Nepal	2	1	WQ	JP	11	990	807	+2	−1	189	206
1997	09	04	Nepal	Pakistan	0	2	SFF		-34	773	897	0	+4	206	198
1997	09	08	Nepal	Sri Lanka	1	3	SFF		-19	754	1020	0	+1	206	186
1998	11	27	Thailand	Nepal	2	0	F		0	1392	754	0	0	108	207
1998	12	01	Japan	Nepal	5	0	ASG	TH	0	1677	754	0	0	42	207
1998	12	05	India	Nepal	1	0	ASG	TH	5	1117	749	+3	−1	169	208
1999	04	25	Nepal	Sri Lanka	3	2	SFF	IN	30	779	911	+3	−2	206	197
1999	04	27	Maldives	Nepal	3	2	SFF	IN	19	818	760	0	−2	205	208
1999	04	29	Bangladesh	Nepal	2	1	SFF	IN	7	1030	753	+2	0	183	208
1999	05	01	Maldives	Nepal	2	0	SFF	IN	25	839	728	0	−1	205	209
1999	09	26	Nepal	Bhutan	7	0	SAG		20	748	595	0	−3	209	223
1999	09	28	Nepal	Pakistan	3	1	SAG		29	777	812	+3	−1	206	205
1999	09	30	Nepal	India	0	4	SAG		-14	763	1148	−2	0	208	164
1999	10	02	Nepal	Maldives	2	1	SAG		23	786	888	+2	−1	206	198
1999	10	04	Nepal	Bangladesh	0	1	SAG		-12	774	1040	−1	+1	207	183
2000	02	10	Yemen	Nepal	3	0	SQ	KW	5	1207	769	0	0	152	207
2000	02	12	Nepal	Bhutan	3	0	SQ	KW	18	787	565	+1	0	206	223
2000	02	14	Turkmenistan	Nepal	5	0	SQ	KW	2	1430	785	0	0	97	206
2000	02	18	Kuwait	Nepal	5	0	SQ		0	1662	785	0	0	47	206
2001	04	12	Kazakhstan	Nepal	6	0	WQ	IQ	2	1440	783	0	0	91	207
2001	04	14	Iraq	Nepal	9	1	WQ		0	1619	783	0	0	57	207
2001	04	16	Nepal	Macao	4	1	WQ	IQ	51	834	909	+1	−4	206	195
2001	04	21	Kazakhstan	Nepal	4	0	WQ		1	1458	833	0	0	86	206
2001	04	23	Iraq	Nepal	4	2	WQ	KZ	1	1608	832	0	0	58	206
2001	04	25	Nepal	Macao	6	1	WQ	KZ	48	880	858	+6	−8	200	203
2003	01	11	Bangladesh	Nepal	1	0	SFF		8	1038	872	0	−1	185	200
2003	01	13	Nepal	Bhutan	2	0	SFF	BD	8	880	544	+1	−1	199	227
2003	01	15	Maldives	Nepal	3	2	SFF	BD	19	917	861	+2	−4	195	203
2003	03	18	Nepal	Afghanistan	4	0	SQ		26	887	830	+3	−4	199	207
2003	03	20	Nepal	Kyrgyzstan	0	2	SQ		-18	869	1152	−1	+3	200	161
2003	09	25	Oman	Nepal	7	0	SQ	KR	3	1456	866	0	−1	92	201
2003	09	27	Vietnam	Nepal	5	0	SQ	KR	7	1283	859	+6	−2	134	203
2003	09	29	South Korea	Nepal	16	0	SQ		0	1753	859	0	0	29	203
2003	10	19	Oman	Nepal	6	0	SQ		1	1485	858	0	0	83	203
2003	10	21	Vietnam	Nepal	2	0	SQ	OM	4	1302	854	0	−1	132	204
2003	10	24	South Korea	Nepal	7	0	SQ	OM	1	1675	853	0	0	40	204
2005	12	08	India	Nepal	2	1	SFF	PK	6	1150	847	0	0	165	201
2005	12	10	Bangladesh	Nepal	2	0	SFF	PK	16	1045	831	+3	−2	182	203
2005	12	12	Nepal	Bhutan	3	1	SFF	PK	11	842	563	+1	0	202	227
2006	04	02	Nepal	Bhutan	2	0	ACH	BD	10	852	553	+1	−1	201	228
2006	04	04	Brunei	Nepal	2	1	ACH	BD	27	751	825	+1	−3	211	204
2006	04	06	Nepal	Sri Lanka	1	1	ACH	BD	6	831	922	+1	−1	203	195
2006	04	09	Nepal	India	3	0	ACH	BD	59	890	1063	+4	−8	199	178
2006	04	12	Nepal	Sri Lanka	1	1	ACH	BD	4	894	958	+1	0	198	191
2007	10	08	Oman	Nepal	2	0	WQ		1	1564	893	0	0	68	199
2007	10	28	Nepal	Oman	0	2	WQ		-2	891	1566	0	0	199	68
2008	03	25	Nepal	Pakistan	2	1	F		8	899	906	+1	−1	199	197
2008	03	27	Nepal	Pakistan	0	2	F		-19	880	925	−2	+2	201	195
2008	05	20	Thailand	Nepal	7	0	F		1	1419	879	+1	0	103	201
2008	05	24	Nepal	Macao	3	2	SCQ	KH	13	892	748	+1	−1	200	212
2008	05	26	Cambodia	Nepal	0	1	SCQ		-21	780	913	−1	+3	210	197
2008	06	03	India	Nepal	4	0	SFF	MV	17	1146	896	+3	−3	170	200
2008	06	05	Maldives	Nepal	4	1	SFF		13	1068	883	+1	−1	179	201
2008	06	07	Nepal	Pakistan	4	1	SFF	MV	37	920	861	+5	−6	196	204
2008	07	31	Myanmar	Nepal	3	0	SQC	IN	14	1182	906	+3	−1	160	197
2008	08	02	North Korea	Nepal	1	0	SQC	IN	1	1549	905	0	−1	69	198
2008	08	04	Nepal	Sri Lanka	3	0	SQC	IN	41	946	925	+6	−5	192	195
2008	10	15	Malaysia	Nepal	4	0	MRD		8	1170	938	+3	0	163	191
2008	10	17	Afghanistan	Nepal	2	2	MRD	MY	5	816	933	0	0	207	191
2009	03	11	Nepal	Pakistan	1	0	PMC		8	941	850	+1	0	191	203
2009	03	14	Nepal	Sri Lanka	0	0	PMC		-5	936	930	−1	+2	192	193
2009	03	26	Nepal	Palestine	0	0	SCQ		10	946	1221	+1	−4	191	154
2009	03	28	Nepal	Kyrgyzstan	1	1	SCQ		6	952	1154	0	0	191	165
2009	11	29	Nepal	Bhutan	2	1	F	IN	3	955	633	+1	0	190	222
2009	12	05	Maldives	Nepal	1	1	SFF	BD	-8	1088	963	0	0	177	191
2009	12	07	India	Nepal	1	0	SFF	BD	7	1237	956	+4	0	144	191
2009	12	09	Nepal	Afghanistan	3	0	SFF	BD	20	976	779	+4	−2	187	209
2011	03	17	Nepal	Bhutan	1	0	F		1	977	600	0	0	188	225
2011	03	19	Nepal	Bhutan	2	1	F		1	978	599	0	0	188	225
2011	04	07	Nepal	Afghanistan	1	0	SCQ		7	985	802	0	−1	189	208
2011	04	09	Nepal	North Korea	0	1	SCQ		-4	981	1496	0	+1	189	90
2011	04	11	Nepal	Sri Lanka	0	0	SCQ		-9	972	918	0	+1	189	194
2011	06	29	Nepal	East Timor	2	1	WQ		2	974	534	0	0	189	232
2011	07	02	Nepal	East Timor	5	0	WQ		3	977	531	0	0	189	232
2011	07	23	Jordan	Nepal	9	0	WQ		2	1517	975	0	0	85	189
2011	07	28	Nepal	Jordan	1	1	WQ		17	992	1500	−1	−2	190	87
2011	10	11	Philippines	Nepal	4	0	F		12	1038	980	+1	0	182	190
2011	12	02	Maldives	Nepal	1	1	SFF	IN	-8	1120	988	−1	+1	174	188
2011	12	04	Nepal	Bangladesh	1	0	SFF	IN	20	1008	968	+1	−2	187	190
2011	12	06	Nepal	Pakistan	1	1	SFF	IN	-6	1002	914	0	0	187	196
2011	12	09	Afghanistan	Nepal	1	0	SFF	IN	26	929	976	+4	−2	194	189
2012	03	08	Nepal	Palestine	0	2	SQC		-16	960	1275	−1	+6	190	138
2012	03	10	Nepal	Maldives	0	1	SQC		-18	942	1111	−1	+2	191	175
2012	03	12	Nepal	Turkmenistan	0	3	SQC		-10	932	1361	−2	+3	193	115
2012	08	23	Maldives	Nepal	2	1	NGC	IN	11	1106	921	+2	−2	178	198
2012	08	28	India	Nepal	0	0	NGC		-15	1160	936	−4	+3	164	195
2012	08	30	Syria	Nepal	2	0	NGC	IN	2	1499	934	+1	0	87	195
2012	09	20	Nepal	Bangladesh	1	1	F		-2	932	952	−1	0	196	194
2013	02	06	Nepal	Pakistan	0	1	F		-13	919	924	−4	+3	200	197
2013	02	09	Nepal	Pakistan	0	1	F		-13	906	937	0	+2	200	195
2013	03	02	Nepal	Northern Mariana Islands	6	0	SCQ		3	909	455	0	0	200	238
2013	03	04	Nepal	Bangladesh	0	2	SCQ		-35	874	989	−3	+2	203	192
2013	03	06	Nepal	Palestine	0	0	SCQ		15	889	1313	+2	−1	201	129
2013	08	31	Nepal	Bangladesh	2	0	SFF		30	919	962	+1	−3	200	194
2013	09	03	Nepal	Pakistan	1	1	SFF		-6	913	919	−1	+1	200	199
2013	09	05	Nepal	India	2	1	SFF		26	939	1095	+3	−2	197	178
2013	09	08	Nepal	Afghanistan	0	1	SFF		-22	917	1018	−3	+3	200	186
2013	11	19	India	Nepal	2	0	F		5	1085	912	+2	0	178	200
2014	03	25	Yemen	Nepal	2	0	F	QA	6	1156	906	+1	0	167	200
2014	04	11	Philippines	Nepal	3	0	F	QA	6	1202	900	+2	−1	156	201
