year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1905	04	30	Belgium	Netherlands	1	4	VDA		-25	1765	1925	−1	−	9	3
1905	05	14	Netherlands	Belgium	4	0	RNC		11	1936	1763	0	0	3	9
1906	04	29	Belgium	Netherlands	5	0	VDA		35	1815	1901	0	−2	9	5
1906	05	13	Netherlands	Belgium	2	3	RNC		-22	1879	1837	−2	+1	7	8
1907	04	01	Netherlands	England	1	8	F		-24	1855	1980	0	0	6	2
1907	04	04	Belgium	Netherlands	1	3	VDA		-28	1809	1883	0	0	9	6
1907	05	09	Netherlands	Belgium	1	2	RNC		-23	1860	1815	−1	+1	6	9
1907	12	21	England	Netherlands	12	2	F		12	1979	1848	0	0	2	6
1908	03	29	Belgium	Netherlands	1	4	VDA		-31	1784	1879	0	0	10	6
1908	04	26	Netherlands	Belgium	3	1	RNC		11	1890	1766	+1	0	5	10
1908	05	10	Netherlands	France	4	1	F		3	1893	1591	0	0	5	12
1908	10	22	England	Netherlands	4	0	OG		16	2125	1877	0	−2	1	5
1908	10	23	Netherlands	Sweden	2	0	OG	EN	23	1900	1666	+1	−1	4	13
1908	10	25	Netherlands	Sweden	5	3	F		4	1904	1662	0	0	4	13
1909	03	21	Belgium	Netherlands	1	4	VDA		-24	1747	1928	0	0	11	4
1909	04	12	Netherlands	England	0	4	F		-12	1916	2166	0	0	4	1
1909	04	25	Netherlands	Belgium	4	1	RNC		9	1925	1736	0	0	4	11
1909	12	11	England	Netherlands	9	1	F		5	2207	1920	0	0	1	4
1910	03	13	Belgium	Netherlands	3	2	VDA		18	1760	1902	0	0	11	4
1910	04	10	Netherlands	Belgium	7	0	RNC		15	1917	1765	0	0	4	11
1910	04	24	Netherlands	Germany	4	2	F		4	1921	1682	0	0	4	12
1910	10	16	Germany	Netherlands	1	2	F		-6	1658	1927	0	0	14	4
1911	03	19	Belgium	Netherlands	1	5	VDA		-24	1757	1951	0	+1	11	3
1911	04	02	Netherlands	Belgium	3	1	RNC		7	1958	1750	0	0	3	11
1911	04	17	Netherlands	England	0	1	F		-8	1950	2138	0	0	3	1
1912	03	10	Belgium	Netherlands	1	2	VDA		-11	1751	1961	0	0	11	3
1912	03	16	England	Netherlands	4	0	F		6	2161	1955	0	0	1	3
1912	03	24	Netherlands	Germany	5	5	F		-8	1947	1656	−1	+1	4	13
1912	04	28	Netherlands	Belgium	4	3	RNC		5	1952	1743	+1	0	3	11
1912	06	29	Sweden	Netherlands	3	4	OG		-18	1690	1970	0	0	12	3
1912	06	30	Netherlands	Austria	3	1	OG	SE	33	2003	1846	0	−2	3	9
1912	07	02	Denmark	Netherlands	4	1	OG	SE	52	2057	1951	0	0	2	3
1912	07	04	Netherlands	Finland	9	0	OG	SE	21	1972	1611	0	−1	3	15
1912	11	17	Germany	Netherlands	2	3	F		-5	1689	1977	0	0	12	3
1913	03	09	Belgium	Netherlands	3	3	VDA		5	1753	1972	0	0	11	3
1913	03	24	Netherlands	England	2	1	F		13	1985	2167	0	0	3	1
1913	04	20	Netherlands	Belgium	2	4	RNC		-39	1946	1792	−1	0	4	11
1913	11	15	England	Netherlands	2	1	F		3	2174	1943	0	0	1	4
1914	03	15	Belgium	Netherlands	2	4	VDA		-18	1759	1961	0	0	11	4
1914	04	05	Netherlands	Germany	4	4	F		-8	1953	1659	0	0	4	12
1914	04	26	Netherlands	Belgium	4	2	RNC		7	1960	1752	0	0	4	11
1914	05	17	Denmark	Netherlands	4	3	F		5	2053	1955	0	0	2	4
1919	06	09	Netherlands	Sweden	3	1	F		3	1958	1652	0	0	5	16
1919	08	24	Sweden	Netherlands	4	1	F		27	1665	1931	+1	0	15	5
1919	08	31	Norway	Netherlands	1	1	F		8	1438	1923	0	−1	27	6
1920	04	05	Netherlands	Denmark	2	0	F		13	1936	1959	+1	0	5	4
1920	05	13	Italy	Netherlands	1	1	F		6	1626	1930	0	0	18	5
1920	05	16	Switzerland	Netherlands	2	1	F		17	1526	1913	+1	−1	23	6
1920	08	28	Netherlands	Luxembourg	3	0	OG	BE	3	1916	1297	−1	−3	6	35
1920	08	29	Netherlands	Sweden	5	4	OG	BE	13	1929	1683	+1	0	5	16
1920	08	31	Belgium	Netherlands	3	0	OG		51	1892	1878	+2	−5	9	10
1920	09	05	Spain	Netherlands	3	1	OG	BE	32	2016	1846	+2	−1	1	11
1921	03	28	Netherlands	Switzerland	2	0	F		3	1849	1552	0	0	10	26
1921	05	08	Netherlands	Italy	2	2	F		-7	1842	1663	0	0	10	18
1921	05	15	Belgium	Netherlands	1	1	F		-5	1907	1847	0	0	8	10
1921	06	12	Denmark	Netherlands	1	1	F		-5	1928	1852	−1	0	5	10
1921	11	13	France	Netherlands	0	5	F		-13	1607	1865	0	0	23	10
1922	03	26	Belgium	Netherlands	4	0	VDA		20	1887	1845	+1	0	8	10
1922	04	17	Netherlands	Denmark	2	0	F		14	1859	1912	0	0	10	6
1922	05	07	Netherlands	Belgium	1	2	RNC		-18	1841	1903	0	0	10	8
1922	11	19	Switzerland	Netherlands	5	0	F		29	1595	1812	+4	−2	28	13
1923	04	02	Netherlands	France	8	1	F		6	1818	1587	0	−1	13	30
1923	04	29	Netherlands	Belgium	1	1	RNC		-2	1816	1885	−1	0	13	9
1923	05	10	Germany	Netherlands	0	0	F		1	1667	1815	0	0	22	13
1923	11	25	Netherlands	Switzerland	4	1	F		5	1820	1598	0	0	12	27
1924	03	23	Netherlands	Belgium	1	1	F		-1	1819	1874	0	0	13	7
1924	04	21	Netherlands	Germany	0	1	F		-16	1803	1688	0	+2	13	21
