year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1933	08	15	New Caledonia	Australia	1	2	F		-10	1490	1604	−	+2	50	33
1933	08	20	New Caledonia	Australia	2	4	F		-14	1476	1618	−3	+1	53	32
1933	08	27	New Caledonia	Australia	3	7	F		-16	1460	1634	−1	+2	54	30
1933	09	09	New Caledonia	Australia	0	5	F		-16	1444	1650	−2	+2	56	28
1951	09	19	New Caledonia	New Zealand	2	0	F		7	1451	1334	0	−1	67	83
1951	09	22	New Caledonia	New Zealand	4	6	F		-23	1428	1357	−2	+1	69	82
1951	09	24	New Caledonia	New Zealand	2	0	F		8	1436	1349	+1	0	68	82
1951	09	30	New Caledonia	New Zealand	1	3	F		-22	1414	1371	−2	+3	70	79
1953	09	00	New Caledonia	Tahiti	5	0	F		18	1432	1456	+9	−9	68	73
1953	09	00	New Caledonia	Tahiti	4	1	F		14	1446	1442	+9	−9	68	73
1953	09	00	New Caledonia	Tahiti	4	1	F		12	1458	1430	+9	−9	68	73
1955	07	00	Tahiti	New Caledonia	1	1	F		-2	1440	1460	+2	−1	75	76
1955	07	00	Tahiti	New Caledonia	3	1	F		12	1452	1448	+2	−1	75	76
1957	09	00	New Caledonia	Tahiti	2	0	F		11	1459	1441	0	0	78	77
1957	09	00	New Caledonia	Tahiti	2	1	F		7	1466	1434	0	0	78	77
1957	09	00	New Caledonia	Tahiti	2	4	F		-20	1446	1454	0	0	78	77
1958	08	31	New Caledonia	New Zealand	1	2	F		-12	1434	1471	−1	+2	80	75
1958	09	07	New Caledonia	New Zealand	1	5	F		-22	1412	1493	−5	+9	85	66
1958	09	14	New Caledonia	New Zealand	1	2	F		-11	1401	1504	−2	+3	87	63
1959	07	00	Tahiti	New Caledonia	2	4	F		-21	1434	1422	0	+4	80	87
1959	07	00	Tahiti	New Caledonia	3	1	F		10	1444	1412	0	+4	80	87
1961	09	00	New Caledonia	Tahiti	2	1	F		7	1419	1406	+9	−4	83	94
1961	09	00	New Caledonia	Tahiti	2	2	F		-3	1416	1409	+9	−4	83	94
1961	09	00	New Caledonia	Tahiti	3	0	F		12	1428	1397	+9	−4	83	94
1962	06	02	New Zealand	New Caledonia	4	1	F		8	1543	1420	+3	−2	56	88
1962	06	04	New Zealand	New Caledonia	4	2	F		7	1550	1413	+1	−3	54	91
1963	09	01	New Caledonia	Tahiti	2	1	SPG	FJ	19	1432	1378	+5	−7	83	100
1963	09	07	Fiji	New Caledonia	2	8	SPG		-28	1176	1460	−4	+5	134	78
1964	09	00	Tahiti	New Caledonia	0	2	F		-17	1397	1477	0	0	88	79
1964	09	00	Tahiti	New Caledonia	4	1	F		16	1413	1461	0	0	88	79
1965	09	00	New Caledonia	Tahiti	2	1	F		6	1467	1407	+2	−4	77	94
1965	09	00	New Caledonia	Tahiti	4	1	F		10	1477	1397	+2	−4	77	94
1966	12	09	New Caledonia	Solomon Islands	8	0	SPG		8	1485	1144	+1	−1	72	143
1966	12	12	New Caledonia	New Hebrides	5	0	SPG		4	1489	1051	+1	0	71	154
1966	12	15	New Caledonia	Papua New Guinea	4	0	SPG		4	1493	1082	+1	0	69	152
1966	12	17	New Caledonia	Tahiti	0	2	SPG		-44	1449	1456	−18	+10	87	83
1967	11	08	New Caledonia	New Zealand	4	0	FT		25	1474	1485	+8	0	73	67
1968	09	04	New Caledonia	Fiji	5	2	F		3	1477	1173	0	0	73	142
1968	09	19	New Caledonia	Fiji	2	1	F		2	1479	1168	0	0	73	142
1968	10	08	New Zealand	New Caledonia	1	3	F		-20	1467	1499	−3	+4	72	68
1968	12	00	New Caledonia	Tahiti	0	1	F		-14	1485	1470	−3	+3	73	74
1968	12	00	New Caledonia	Tahiti	1	1	F		-3	1482	1473	−3	+3	73	74
1969	07	25	New Caledonia	New Zealand	0	0	F		-3	1479	1470	0	0	73	75
1969	07	27	New Caledonia	New Zealand	2	0	F		10	1489	1460	+1	−2	72	77
1969	07	29	New Caledonia	New Zealand	3	2	F		6	1495	1454	+2	−1	70	78
1969	08	14	Papua New Guinea	New Caledonia	1	4	SPG		-8	1036	1503	0	+2	156	69
1969	08	15	New Caledonia	Solomon Islands	1	1	SPG	PG	-16	1487	1121	−3	+3	72	147
1969	08	16	New Caledonia	New Hebrides	2	0	SPG	PG	5	1492	1072	0	0	72	153
1969	08	18	New Caledonia	Fiji	11	0	SPG	PG	19	1511	1196	+3	−8	69	137
1969	08	22	New Caledonia	Tahiti	2	1	SPG	PG	19	1530	1466	+2	0	67	74
1970	07	00	Tahiti	New Caledonia	0	2	F		-17	1449	1547	−2	0	75	65
1970	07	00	Tahiti	New Caledonia	3	1	F		15	1464	1532	−2	0	75	65
1970	10	23	New Caledonia	Australia	1	3	F		-15	1517	1638	−3	+3	66	41
1970	10	25	New Caledonia	Australia	0	1	F		-9	1508	1647	−2	+2	68	39
1971	00	00	New Hebrides	New Caledonia	2	0	F		27	1046	1481	+3	−3	156	70
1971	00	00	New Hebrides	New Caledonia	2	3	F		-3	1043	1484	+3	−3	156	70
1971	00	00	New Hebrides	New Caledonia	0	0	F		8	1051	1476	+3	−3	156	70
1971	07	18	New Caledonia	New Zealand	4	2	F		10	1486	1445	+2	−3	68	78
1971	07	20	New Caledonia	New Zealand	2	1	F		6	1492	1439	+1	−2	67	80
1971	09	09	New Caledonia	Fiji	5	1	SPG	TI	10	1502	1161	+2	−1	66	142
1971	09	13	New Caledonia	New Hebrides	0	0	SPG	TI	-17	1485	1107	−3	+2	69	151
1971	09	16	New Caledonia	Papua New Guinea	4	0	SPG	TI	9	1494	1121	+1	−2	68	148
1971	09	18	New Caledonia	New Hebrides	7	1	SPG	TI	10	1504	1134	+2	−2	66	145
1972	09	17	New Zealand	New Caledonia	4	1	F		16	1455	1488	+8	−1	73	65
1972	09	30	New Zealand	New Caledonia	2	1	F		8	1463	1480	+1	−1	72	67
1972	10	14	New Caledonia	New Zealand	3	1	F		10	1490	1450	+2	−3	65	74
1972	12	17	New Caledonia	Tahiti	4	1	F		10	1500	1412	+3	−1	62	88
1973	02	08	New Caledonia	Bulgaria	3	5	F		-7	1493	1829	−1	+4	64	15
1973	02	17	Tahiti	New Caledonia	2	1	OC	NZ	31	1438	1462	+9	−6	79	70
1973	02	18	New Caledonia	New Hebrides	4	1	OC	NZ	12	1474	1122	+2	−1	68	148
1973	02	20	New Caledonia	Fiji	2	0	OC	NZ	9	1483	1114	+2	−2	66	149
1973	02	21	New Zealand	New Caledonia	2	1	OC		20	1470	1463	+6	−5	68	71
1973	02	24	New Caledonia	New Hebrides	2	1	OC	NZ	7	1470	1127	+2	0	69	147
1974	02	00	Tahiti	New Caledonia	1	2	F		-12	1425	1482	−1	+1	84	69
1974	02	00	Tahiti	New Caledonia	2	1	F		9	1434	1473	−1	+1	84	69
1974	02	00	Tahiti	New Caledonia	2	2	F		-2	1432	1475	−1	+1	84	69
1975	08	02	New Caledonia	Tahiti	3	0	SPG	GU	31	1506	1401	+7	−6	66	92
1975	08	04	New Caledonia	New Hebrides	3	1	SPG	GU	7	1513	1154	+1	−1	65	139
