year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1922	06	17	New Zealand	Australia	3	1	F		15	1515	1585	−	−	35	30
1922	06	24	New Zealand	Australia	1	1	F		-1	1514	1586	0	0	35	30
1922	07	08	New Zealand	Australia	3	1	F		14	1528	1572	+1	−1	34	31
1923	06	09	Australia	New Zealand	2	1	F		6	1578	1522	+1	0	32	35
1923	06	16	Australia	New Zealand	2	3	F		-14	1564	1536	−1	0	34	35
1923	06	30	Australia	New Zealand	1	4	ASH		-36	1528	1572	−2	+2	35	33
1927	06	25	New Zealand	Canada	2	2	F		-2	1570	1595	0	0	31	29
1927	07	02	New Zealand	Canada	1	2	F		-12	1558	1607	−5	+2	36	27
1927	07	09	New Zealand	Canada	1	0	F		9	1567	1598	+2	0	34	27
1927	07	23	New Zealand	Canada	1	4	F		-21	1546	1619	−4	+1	38	26
1933	06	05	Australia	New Zealand	4	2	ASH		16	1567	1530	+1	−1	40	43
1933	06	17	Australia	New Zealand	6	4	ASH		14	1581	1516	+2	0	38	43
1933	06	24	Australia	New Zealand	4	2	ASH		13	1594	1503	+3	−1	35	44
1936	07	04	New Zealand	Australia	1	7	ASH		-28	1475	1678	−2	+5	52	22
1936	07	11	New Zealand	Australia	0	10	ASH		-28	1447	1706	−3	+2	55	20
1936	07	18	New Zealand	Australia	1	4	ASH		-15	1432	1721	−2	+1	57	19
1947	06	28	New Zealand	South Africa	5	6	F		-6	1426	1696	0	+1	62	23
1947	07	05	New Zealand	South Africa	0	6	F		-12	1414	1708	−3	+3	65	19
1947	07	12	New Zealand	South Africa	3	8	F		-10	1404	1718	−2	+1	67	18
1947	07	19	New Zealand	South Africa	1	4	F		-8	1396	1726	0	0	67	18
1948	08	14	New Zealand	Australia	0	6	ASH		-17	1379	1695	−4	+2	75	26
1948	08	28	New Zealand	Australia	0	7	ASH		-15	1364	1710	−2	+2	77	24
1948	09	04	New Zealand	Australia	0	4	ASH		-11	1353	1721	−1	+2	78	21
1948	09	11	New Zealand	Australia	1	8	ASH		-12	1341	1733	0	+1	78	20
1951	09	19	New Caledonia	New Zealand	2	0	F		7	1451	1334	0	−1	67	83
1951	09	22	New Caledonia	New Zealand	4	6	F		-23	1428	1357	−2	+1	69	82
1951	09	24	New Caledonia	New Zealand	2	0	F		8	1436	1349	+1	0	68	82
