year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1929	05	01	El Salvador	Nicaragua	9	0	F		2	1491	998	0	−	44	65
1941	05	10	Costa Rica	Nicaragua	7	2	CCF		1	1813	997	+1	0	14	93
1941	05	13	El Salvador	Nicaragua	8	0	CCF	CR	8	1461	989	+2	−1	56	94
1941	05	15	Curaçao	Nicaragua	9	1	CCF	CR	4	1556	985	+1	0	45	94
1941	05	18	Panama	Nicaragua	5	2	CCF	CR	15	1277	970	+2	0	82	94
1943	12	05	Costa Rica	Nicaragua	7	0	CCF	SV	1	1820	969	0	0	14	97
1943	12	07	El Salvador	Nicaragua	8	1	CCF		3	1472	966	+1	0	57	97
1943	12	09	Guatemala	Nicaragua	6	2	CCF	SV	6	1447	960	+1	0	61	97
1943	12	12	Costa Rica	Nicaragua	3	2	CCF	SV	1	1718	959	0	0	18	97
1943	12	16	El Salvador	Nicaragua	10	1	CCF		2	1544	957	0	0	49	97
1943	12	19	Guatemala	Nicaragua	5	1	CCF	SV	4	1501	953	0	0	57	97
1946	02	24	Costa Rica	Nicaragua	7	1	CCF		1	1692	952	0	0	21	97
1946	02	28	El Salvador	Nicaragua	7	2	CCF	CR	5	1475	947	+1	0	57	97
1946	03	07	Guatemala	Nicaragua	7	0	CCF	CR	5	1488	942	−1	0	56	97
1946	03	10	Nicaragua	Panama	2	0	CCF	CR	66	1008	1213	+2	−4	95	89
1946	03	13	Honduras	Nicaragua	10	0	CCF	CR	14	1386	994	+1	−2	65	97
1950	02	26	Haiti	Nicaragua	4	2	CAC	GT	5	1422	989	−1	0	69	111
1950	02	28	El Salvador	Nicaragua	4	1	CAC	GT	7	1391	982	+2	−1	72	112
1950	03	02	Netherlands Antilles	Nicaragua	11	1	CAC	GT	8	1426	974	+1	0	68	112
1951	02	25	Costa Rica	Nicaragua	8	1	CCF	PA	3	1585	971	+1	−1	41	113
