year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1938	00	00	Nigeria	Gold Coast	3	1	F		11	1711	1689	−	−	20	21
1949	10	08	Sierra Leone	Nigeria	0	2	F		-7	1393	1718	−	0	72	25
1950	05	28	Gold Coast	Nigeria	1	0	F		8	1697	1710	+1	0	25	24
1951	10	20	Nigeria	Gold Coast	5	0	JLC		21	1731	1676	+4	−2	19	27
1953	10	11	Gold Coast	Nigeria	1	0	JLC		13	1689	1718	+1	−1	25	20
1954	10	30	Nigeria	Gold Coast	3	0	JLC		18	1736	1684	+2	−3	18	24
1955	05	28	Gold Coast	Nigeria	1	0	F		9	1693	1727	+1	0	25	20
1955	11	30	Gold Coast	Nigeria	7	0	JLC		27	1720	1700	+4	−5	21	25
1956	10	06	Nigeria	French Togoland	1	1	F		-6	1694	1563	−2	+2	27	50
1956	10	27	Nigeria	Gold Coast	3	0	JLC		21	1715	1703	+6	−4	22	25
1957	10	27	Ghana	Nigeria	3	3	JLC		-4	1699	1719	0	+1	26	24
1958	10	25	Nigeria	Ghana	3	2	JLC		10	1729	1693	+2	−2	24	32
1959	10	10	Nigeria	Ghana	3	1	OQ		20	1749	1691	+4	−2	22	34
1959	10	25	Ghana	Nigeria	4	1	OQ		31	1722	1718	+8	−7	26	29
1959	11	08	Dahomey	Nigeria	0	1	NKR		-11	1505	1729	−5	+4	65	26
1959	11	21	Ghana	Nigeria	5	2	JLC		21	1725	1708	+4	−4	27	31
1959	11	28	Nigeria	Dahomey	10	1	NKR		11	1719	1494	+1	−5	30	70
1959	12	13	Nigeria	United Arab Republic	2	6	OQ		-53	1666	1714	−8	+6	38	31
1960	01	01	United Arab Republic	Nigeria	3	0	OQ		21	1735	1645	+5	−1	26	38
1960	04	24	Togo	Nigeria	1	1	F		0	1529	1645	0	0	58	39
1960	04	26	Cameroon	Nigeria	0	0	IND	TG	5	1527	1640	0	0	61	40
1960	06	01	Mali Federation	Nigeria	3	2	F		10	1555	1630	0	0	54	41
1960	08	28	Ghana	Nigeria	4	1	WQ		15	1769	1615	+4	−1	18	43
1960	09	10	Nigeria	Ghana	2	2	WQ		3	1618	1766	0	−1	43	19
1960	10	02	Nigeria	Portuguese Guinea	4	1	NKR		5	1623	1314	+1	0	42	107
1960	10	05	Nigeria	Mali	2	3	F		-15	1608	1562	−1	0	43	53
1960	10	09	Nigeria	Ghana	0	3	NKR		-21	1587	1800	−3	+2	46	16
1960	10	29	Nigeria	Ghana	1	1	IPC		5	1592	1795	0	−1	47	17
1960	11	19	Nigeria	United Arab Republic	2	1	F		9	1601	1651	0	−1	47	38
1961	04	08	Nigeria	Ghana	0	0	FQ		5	1606	1781	+1	−1	45	18
1961	04	22	Sierra Leone	Nigeria	2	4	F		-10	1370	1616	−2	0	102	45
1961	04	30	Ghana	Nigeria	2	2	FQ		-13	1768	1629	−1	+3	18	42
1961	06	01	Ghana	Nigeria	3	0	F		8	1755	1621	0	0	21	41
1961	11	25	Nigeria	Tunisia	2	1	FQ		9	1630	1495	+1	0	40	68
1961	12	10	Tunisia	Nigeria	2	2	FQ		2	1497	1628	0	0	68	40
1961	12	17	Ghana	Nigeria	5	1	AZK		12	1767	1616	+2	−3	19	43
1962	11	10	Nigeria	Ghana	0	0	AZK		3	1619	1792	+2	0	41	17
1962	12	08	Nigeria	Cameroon	3	1	NKR		10	1629	1499	+1	−3	40	70
1963	01	01	Cameroon	Nigeria	1	2	NKR		-14	1488	1643	−1	+3	71	38
1963	01	27	Dahomey	Nigeria	1	1	NKR		1	1530	1642	+1	0	62	37
1963	02	02	Nigeria	Dahomey	4	1	NKR		12	1654	1518	+1	−4	36	66
1963	02	24	Ghana	Nigeria	5	0	NKR		12	1809	1642	0	−1	17	38
1963	02	27	Nigeria	Senegal	4	0	NKR	GH	23	1665	1560	+3	−6	35	54
1963	04	12	Nigeria	Niger	1	0	JAM	SN	1	1666	1100	0	0	35	141
1963	04	14	Senegal	Nigeria	5	1	JAM		37	1608	1629	+9	−6	44	41
1963	07	27	Nigeria	Guinea	2	2	FQ		-9	1620	1578	−1	+1	42	53
1963	10	06	Guinea	Nigeria	1	0	FQ		15	1616	1605	+6	−5	43	47
1963	10	08	Liberia	Nigeria	2	2	F		5	1318	1600	+1	−2	109	49
1963	10	26	Nigeria	Liberia	3	0	F		3	1603	1315	+1	0	48	109
1963	11	16	Nigeria	Morocco	3	0	OQ		32	1635	1643	+6	−3	42	37
1963	11	24	Egypt	Nigeria	6	3	AR	GH	35	1742	1600	+4	−8	25	49
1963	11	28	Sudan	Nigeria	4	0	AR	GH	45	1658	1555	+11	−10	34	59
1964	03	08	Morocco	Nigeria	4	1	OQ		18	1658	1537	+7	−4	33	63
1964	03	26	Morocco	Nigeria	2	1	OQ	SN	13	1671	1524	0	−7	33	68
1964	12	27	Nigeria	Togo	1	2	AGQ		-24	1500	1577	−8	+8	73	49
1964	12	29	Nigeria	Upper Volta	6	1	AGQ		16	1516	1346	+3	−1	70	107
1965	01	01	Nigeria	Niger	4	0	AGQ		3	1519	1082	+1	−1	68	145
1965	01	02	Nigeria	Dahomey	1	1	AGQ		-8	1511	1487	−2	+1	70	75
1965	08	28	Gabon	Nigeria	2	2	IND		1	1398	1510	0	0	95	68
1965	08	29	Gabon	Nigeria	1	4	IND		-25	1373	1535	−6	+7	101	61
1965	10	30	Nigeria	Ghana	0	4	AZK		-21	1514	1744	−7	0	68	28
1965	11	06	Ghana	Nigeria	3	0	AZK		7	1751	1507	+4	−1	24	69
1965	12	11	Nigeria	Dahomey	1	0	F		7	1514	1475	+2	−1	64	77
1966	02	27	Dahomey	Nigeria	1	2	F		-12	1463	1526	−3	+5	80	59
1966	03	06	Togo	Nigeria	0	1	F		-13	1513	1539	−5	+2	64	57
1966	04	09	Nigeria	Togo	1	1	F		-3	1536	1516	0	+1	57	63
1966	11	05	Nigeria	DR Congo	3	2	F		9	1545	1584	+2	0	56	48
1966	11	27	DR Congo	Nigeria	1	0	F		6	1590	1539	0	−3	48	58
1967	01	28	Nigeria	Ghana	2	2	AZK		8	1547	1831	+4	0	55	13
1967	02	12	Ghana	Nigeria	2	0	AZK		4	1835	1543	0	−2	13	55
1967	02	26	Nigeria	Libya	3	2	F		5	1548	1467	0	−1	56	77
1967	03	12	Nigeria	Ivory Coast	0	0	FQ		2	1550	1687	+2	0	55	33
1967	04	02	Togo	Nigeria	1	0	FQ		17	1511	1533	+2	−8	66	63
1967	04	15	Nigeria	Togo	4	2	FQ		18	1551	1470	+9	−6	54	75
1967	05	07	Ivory Coast	Nigeria	2	0	FQ		11	1731	1540	+2	−4	27	58
1967	09	28	Ghana	Nigeria	1	1	F		-7	1764	1547	0	+1	19	58
1967	10	14	Sierra Leone	Nigeria	1	1	F		3	1336	1544	0	−1	108	60
1967	10	21	Ghana	Nigeria	2	1	AZK		4	1769	1540	0	0	19	60
1967	11	05	Nigeria	Sudan	1	0	OQ		19	1559	1611	+6	−5	55	45
1967	11	19	Sudan	Nigeria	2	1	OQ		12	1623	1547	+4	−2	42	59
1967	12	23	Nigeria	Ghana	2	2	AZK		4	1551	1743	+3	0	58	23
1968	01	27	Nigeria	Sierra Leone	4	1	F		5	1556	1350	0	−1	58	105
1968	04	20	Nigeria	Ethiopia	3	1	OQ		24	1580	1561	+4	−5	54	58
1968	05	04	Ethiopia	Nigeria	1	0	OQ		15	1576	1565	+2	−4	56	58
1968	05	08	Kenya	Nigeria	1	2	F		-9	1404	1574	−1	+1	94	57
1968	10	00	Nigeria	Thailand	7	2	F	MX	7	1581	1298	+1	0	53	114
1968	10	14	Japan	Nigeria	3	1	OG	MX	41	1652	1540	+7	−9	38	63
1968	12	07	Nigeria	Cameroon	1	1	WQ		-5	1535	1564	−2	0	65	59
1968	12	22	Cameroon	Nigeria	2	3	WQ		-27	1537	1562	−6	+7	65	58
1969	05	10	Nigeria	Ghana	2	1	WQ		19	1581	1633	+5	−7	51	44
1969	05	18	Ghana	Nigeria	1	1	WQ		-8	1625	1589	−2	+2	46	49
1969	09	13	Nigeria	Sudan	2	2	WQ		-2	1587	1658	−1	0	50	37
1969	09	21	Morocco	Nigeria	2	1	WQ		11	1663	1576	+2	−3	36	53
