year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1993	10	13	Slovenia	Macedonia	1	4	F		-22	1566	1622	−4	−	65	49
1994	03	23	Macedonia	Slovenia	2	0	F		9	1631	1578	+2	−4	49	64
1994	05	14	Macedonia	Albania	5	1	F		5	1636	1385	+3	0	45	106
1994	06	01	Macedonia	Estonia	2	0	F		1	1637	1176	0	0	47	161
1994	08	31	Macedonia	Turkey	0	2	F		-21	1616	1599	−4	+4	49	57
1994	09	07	Macedonia	Denmark	1	1	EQ		11	1627	1913	+3	0	47	9
1994	10	12	Macedonia	Spain	0	2	EQ		-14	1613	1944	−5	+2	51	5
1994	11	16	Belgium	Macedonia	1	1	EQ		-14	1793	1627	−1	+7	24	45
1994	12	17	Macedonia	Cyprus	3	0	EQ		8	1635	1362	0	−2	44	115
1995	04	12	Macedonia	Bulgaria	0	0	F		3	1638	1852	+3	0	40	21
1995	04	26	Denmark	Macedonia	1	0	EQ		4	1941	1634	0	−4	5	44
1995	05	10	Armenia	Macedonia	2	2	EQ		14	1257	1620	+2	−4	140	48
1995	06	07	Macedonia	Belgium	0	5	EQ		-32	1588	1820	−9	+2	57	23
1995	08	30	Turkey	Macedonia	2	1	F		4	1742	1584	0	−2	30	60
1995	09	06	Macedonia	Armenia	1	2	EQ		-37	1547	1292	−8	+6	68	134
1995	10	11	Cyprus	Macedonia	1	1	EQ		4	1383	1543	+1	0	112	69
1995	11	15	Spain	Macedonia	3	0	EQ		3	1987	1540	0	−2	4	70
1996	03	27	Macedonia	Malta	1	0	F		3	1543	1300	+1	−1	70	129
1996	04	24	Macedonia	Liechtenstein	3	0	WQ		3	1546	1092	+1	0	70	173
1996	05	28	Bulgaria	Macedonia	3	0	F		3	1832	1543	0	0	20	70
1996	06	01	Iceland	Macedonia	1	1	WQ		-7	1555	1550	−5	+2	67	68
1996	10	09	Ireland	Macedonia	3	0	WQ		11	1747	1539	+2	−2	27	70
1996	11	09	Liechtenstein	Macedonia	1	11	WQ		-12	1075	1551	−4	+2	176	67
1996	11	27	Malta	Macedonia	0	2	F		-9	1297	1560	−4	+2	132	65
1996	12	14	Macedonia	Romania	0	3	WQ		-18	1542	1859	−2	+1	69	15
1997	03	12	Macedonia	Australia	0	1	F		-6	1536	1780	−2	0	70	23
1997	04	02	Macedonia	Ireland	3	2	WQ		25	1561	1706	+3	−7	66	34
1997	06	07	Macedonia	Iceland	1	0	WQ		12	1573	1509	+4	−2	62	73
1997	08	20	Romania	Macedonia	4	2	WQ		5	1879	1568	0	−4	12	65
1997	09	06	Lithuania	Macedonia	2	0	WQ		26	1544	1542	+4	−5	69	70
1997	10	11	Macedonia	Lithuania	1	2	WQ		-27	1515	1549	−5	+6	74	67
1998	03	25	Macedonia	Bulgaria	1	0	F		15	1530	1797	+3	−2	68	20
1998	04	18	Macedonia	South Korea	2	2	F		4	1534	1759	+1	0	67	26
1998	04	20	Macedonia	Jamaica	2	1	LGC	IR	21	1555	1656	+4	−5	63	47
1998	04	22	Hungary	Macedonia	0	0	LGC	IR	-4	1637	1559	−1	0	50	64
1998	05	16	United States	Macedonia	0	0	F		-7	1756	1566	−3	+1	29	61
1998	05	18	Canada	Macedonia	1	0	F		8	1533	1558	+2	−1	68	62
1998	06	03	Macedonia	Bosnia and Herzegovina	1	1	F		-1	1557	1624	0	0	63	52
1998	09	06	Macedonia	Malta	4	0	EQ		6	1563	1219	+1	−1	63	148
1998	09	29	Macedonia	Egypt	2	2	F		0	1563	1651	0	0	63	48
1998	10	14	Croatia	Macedonia	3	2	EQ		2	1966	1561	−1	−1	7	62
1998	11	18	Malta	Macedonia	1	2	EQ		-8	1207	1569	−4	−1	153	62
1999	02	10	Albania	Macedonia	2	0	F		16	1457	1553	+6	−2	88	63
1999	06	05	Macedonia	Croatia	1	1	EQ		13	1566	1914	+3	−2	63	12
1999	06	09	Ireland	Macedonia	1	0	EQ		6	1760	1560	+2	0	23	63
1999	09	05	Yugoslavia	Macedonia	3	1	EQ		4	1918	1556	+1	0	10	65
1999	09	08	Macedonia	Yugoslavia	2	4	EQ		-11	1545	1929	−1	+2	66	8
1999	10	09	Macedonia	Ireland	1	1	EQ		7	1552	1771	0	0	67	22
2000	02	23	Macedonia	Yugoslavia	1	2	F		-3	1549	1938	−2	0	66	7
2000	03	29	Bosnia and Herzegovina	Macedonia	1	0	F		7	1549	1542	+1	−1	66	67
2000	04	26	Macedonia	Albania	1	0	F		5	1547	1458	0	−1	67	90
2000	06	07	South Korea	Macedonia	2	1	LGC	IR	8	1733	1539	+4	−1	30	67
2000	06	09	Iran	Macedonia	3	1	LGC		7	1746	1532	+3	−1	26	68
2000	07	27	Macedonia	Azerbaijan	2	1	PLG	BG	6	1538	1281	0	−1	69	136
2000	09	03	Slovakia	Macedonia	2	0	WQ		10	1728	1528	0	−1	33	70
2000	10	06	Macedonia	Azerbaijan	3	0	WQ		8	1536	1270	+4	−4	66	140
2000	10	11	Moldova	Macedonia	0	0	WQ		1	1415	1535	+1	0	103	71
2000	11	15	Macedonia	Hungary	0	1	F		-9	1526	1671	−1	+3	71	46
2001	02	28	Macedonia	Czechia	1	1	F		7	1533	1910	0	0	70	8
2001	03	24	Sweden	Macedonia	1	0	WQ		4	1812	1529	+2	+2	17	68
2001	03	28	Macedonia	Turkey	1	2	WQ		-13	1516	1769	−2	+4	71	27
2001	06	02	Macedonia	Moldova	2	2	WQ		-11	1505	1409	−4	+4	73	105
2001	06	06	Turkey	Macedonia	3	3	WQ		-15	1729	1520	0	+4	30	69
2001	07	24	Qatar	Macedonia	1	0	F	FR	9	1569	1511	0	−2	63	73
2001	08	01	Saudi Arabia	Macedonia	1	1	F		-7	1700	1518	0	+3	39	70
2001	08	15	Bulgaria	Macedonia	1	0	F		3	1723	1515	+1	−2	32	72
2001	09	01	Macedonia	Sweden	1	2	WQ		-8	1507	1868	−1	+1	74	12
2001	09	05	Azerbaijan	Macedonia	1	1	WQ		6	1302	1501	0	−3	130	77
2001	10	07	Macedonia	Slovakia	0	5	WQ		-33	1468	1695	−10	+4	89	43
2001	11	14	Hungary	Macedonia	5	0	F		9	1602	1459	+4	−1	54	90
2001	12	30	Oman	Macedonia	2	0	F		12	1433	1447	+2	−3	98	92
2002	01	05	Albania	Macedonia	0	0	PMC	BH	-1	1473	1448	0	0	86	92
2002	01	07	Bahrain	Macedonia	1	1	PMC		-6	1488	1454	−2	+2	81	91
2002	01	10	Finland	Macedonia	3	0	PMC	BH	9	1742	1445	+2	−2	32	93
2002	03	27	Bosnia and Herzegovina	Macedonia	4	4	F		-5	1526	1450	−3	0	72	94
2002	04	17	Macedonia	Finland	1	0	F		15	1465	1742	+7	−3	87	31
2002	08	21	Macedonia	Malta	5	0	F		6	1471	1260	0	−3	86	144
2002	09	08	Liechtenstein	Macedonia	1	1	EQ		14	1070	1457	+1	−1	180	87
2002	10	12	Macedonia	Turkey	1	2	EQ		-5	1452	1892	−7	+1	93	10
2002	10	16	England	Macedonia	2	2	EQ		-19	1950	1471	−2	+9	7	84
2002	11	20	Macedonia	Israel	2	3	F		-7	1464	1686	−3	+1	87	41
2003	02	09	Croatia	Macedonia	2	2	MJT		-13	1790	1477	−4	+5	25	85
2003	02	14	Poland	Macedonia	3	0	MJT	HR	11	1727	1466	+1	−2	36	86
2003	03	29	Macedonia	Slovakia	0	2	EQ		-20	1446	1700	−7	+3	95	39
2003	04	02	Portugal	Macedonia	1	0	F	CH	1	1933	1445	0	−1	7	95
2003	06	07	Macedonia	Liechtenstein	3	1	EQ		4	1449	1083	+1	−1	92	177
2003	06	11	Turkey	Macedonia	3	2	EQ		2	1876	1447	0	−2	12	94
2003	08	20	Macedonia	Albania	3	1	F		13	1460	1496	+4	−2	88	76
2003	09	06	Macedonia	England	1	2	EQ		-4	1456	1968	0	−1	89	6
2003	09	10	Slovakia	Macedonia	1	1	EQ		-15	1666	1471	−2	+4	45	85
2003	10	11	Ukraine	Macedonia	0	0	F		-7	1661	1478	−2	0	46	86
2004	01	27	China	Macedonia	0	0	F		-5	1565	1483	−2	0	67	82
2004	01	29	China	Macedonia	1	0	F		5	1570	1478	+1	0	66	81
2004	02	18	Macedonia	Bosnia and Herzegovina	1	0	F		11	1489	1587	+1	−7	81	64
2004	03	31	Macedonia	Ukraine	1	0	F		12	1501	1645	+3	−2	78	52
2004	04	28	Macedonia	Croatia	0	1	F		-5	1496	1820	−1	0	79	18
2004	06	11	Estonia	Macedonia	2	4	F		-15	1375	1511	−5	+3	116	76
2004	08	18	Macedonia	Armenia	3	0	WQ		21	1532	1443	+5	−7	73	98
2004	09	04	Romania	Macedonia	2	1	WQ		3	1848	1529	+1	−3	16	76
2004	10	09	Macedonia	Netherlands	2	2	WQ		14	1543	1931	+5	0	70	7
2004	10	13	Andorra	Macedonia	1	0	WQ		36	1094	1507	+6	−9	175	79
2004	11	17	Macedonia	Czechia	0	2	WQ		-6	1501	1983	−4	+2	83	3
2005	02	09	Macedonia	Andorra	0	0	WQ		-18	1483	1111	−2	+2	86	172
2005	03	30	Macedonia	Romania	1	2	WQ		-9	1474	1802	−1	+2	88	23
2005	06	04	Armenia	Macedonia	1	2	WQ		-22	1395	1496	−1	+7	102	82
2005	06	08	Czechia	Macedonia	6	1	WQ		2	1998	1494	−2	0	3	82
2005	08	17	Macedonia	Finland	0	3	WQ		-25	1469	1717	−9	+4	92	37
2005	09	07	Finland	Macedonia	5	1	WQ		10	1709	1459	0	−1	40	92
2005	10	12	Netherlands	Macedonia	0	0	WQ		-19	2015	1478	−1	+4	2	87
2005	11	12	Liechtenstein	Macedonia	1	2	F		-4	1125	1482	−1	0	169	86
2006	03	01	Macedonia	Bulgaria	0	1	F		-6	1476	1723	−2	+2	90	39
2006	05	28	Macedonia	Ecuador	2	1	F	ES	16	1492	1700	+5	−5	85	44
2006	06	04	Macedonia	Turkey	1	0	F	DE	17	1509	1812	+8	−3	78	21
2006	08	16	Estonia	Macedonia	0	1	EQ		-21	1407	1530	−1	+4	101	75
2006	09	06	Macedonia	England	0	1	EQ		-4	1526	2010	0	0	77	4
2006	10	07	England	Macedonia	0	0	EQ		-19	1991	1545	−1	+3	5	74
2006	10	11	Andorra	Macedonia	0	3	EQ		-8	1092	1553	−1	+3	177	71
2006	11	15	Macedonia	Russia	0	2	EQ		-21	1532	1777	−5	+7	78	25
2007	02	07	Albania	Macedonia	0	1	F		-12	1497	1544	−2	+3	85	75
2007	03	24	Croatia	Macedonia	2	1	EQ		3	1903	1541	0	−1	10	76
2007	06	02	Macedonia	Israel	1	2	EQ		-15	1526	1742	−3	+4	79	37
2007	08	22	Macedonia	Nigeria	0	0	F		3	1529	1739	+1	+1	74	36
2007	09	08	Russia	Macedonia	3	0	EQ		8	1798	1521	+3	−3	19	78
2007	09	12	Macedonia	Estonia	1	1	EQ		-12	1509	1388	0	+2	78	109
2007	10	17	Macedonia	Andorra	3	0	EQ		3	1512	1085	−2	0	80	176
2007	11	17	Macedonia	Croatia	2	0	EQ		51	1563	1865	+9	−2	70	13
2007	11	21	Israel	Macedonia	1	0	EQ		7	1744	1556	+1	−2	35	71
2008	02	06	Macedonia	Serbia	1	1	F		3	1559	1748	0	−1	71	36
2008	03	26	Bosnia and Herzegovina	Macedonia	2	2	F		-2	1535	1561	−1	+1	76	69
2008	05	26	Macedonia	Poland	1	1	F	DE	6	1567	1784	+2	0	68	25
2008	08	20	Luxembourg	Macedonia	1	4	F		-3	1039	1570	−1	−1	184	65
2008	09	06	Macedonia	Scotland	1	0	WQ		24	1594	1722	+5	−3	59	36
2008	09	10	Macedonia	Netherlands	1	2	WQ		-6	1588	2013	−2	+1	61	3
2008	10	15	Iceland	Macedonia	1	0	WQ		24	1443	1564	+8	−6	95	68
2008	11	19	Montenegro	Macedonia	2	1	F		5	1671	1559	+2	0	45	67
2009	02	11	Macedonia	Moldova	1	1	F	TR	-3	1556	1440	+1	+1	69	98
2009	04	01	Netherlands	Macedonia	4	0	WQ		3	2029	1553	0	−1	2	71
2009	06	06	Macedonia	Norway	0	0	WQ		3	1556	1710	+1	0	70	42
2009	06	10	Macedonia	Iceland	2	0	WQ		13	1569	1418	+2	−3	67	104
2009	08	12	Macedonia	Spain	2	3	F		-2	1567	2073	+1	0	65	2
2009	09	05	Scotland	Macedonia	2	0	WQ		13	1703	1554	+2	−4	43	69
2009	09	09	Norway	Macedonia	2	1	WQ		7	1729	1547	+1	−3	37	72
2009	10	11	Macedonia	Qatar	2	1	F		7	1554	1526	+4	−3	70	82
2009	11	14	Macedonia	Canada	3	0	F		16	1570	1613	+5	−1	67	54
2009	11	18	Iran	Macedonia	1	1	F		-6	1699	1576	−1	+1	42	66
2010	03	03	Macedonia	Montenegro	2	1	F		9	1585	1649	+2	−1	63	51
2010	05	29	Macedonia	Azerbaijan	3	1	F	AT	9	1594	1436	+4	−4	60	104
2010	06	02	Macedonia	Romania	1	0	F	AT	14	1608	1732	+7	−1	54	31
2010	08	11	Malta	Macedonia	1	1	F		7	1223	1601	+2	−4	150	58
2010	09	03	Slovakia	Macedonia	1	0	EQ		11	1686	1590	+1	−3	43	61
2010	09	07	Macedonia	Armenia	2	2	EQ		-14	1576	1389	−11	+6	71	112
2010	10	08	Andorra	Macedonia	0	2	EQ		-4	1017	1580	−1	+1	187	69
2010	10	12	Macedonia	Russia	0	1	EQ		-11	1569	1853	0	+1	69	11
2010	11	17	Albania	Macedonia	0	0	F		-2	1527	1571	+1	+1	80	67
2010	12	22	China	Macedonia	1	0	F		6	1628	1565	+1	−3	54	71
2011	02	09	Macedonia	Cameroon	0	1	F		-11	1554	1658	−3	+4	73	46
2011	03	26	Ireland	Macedonia	2	1	EQ		6	1753	1548	0	−1	28	73
2011	06	04	Macedonia	Ireland	0	2	EQ		-21	1527	1781	−9	+4	80	22
2011	08	10	Azerbaijan	Macedonia	0	1	F		-10	1405	1537	0	+4	107	75
2011	09	02	Russia	Macedonia	1	0	EQ		4	1806	1533	+1	−2	17	77
2011	09	06	Macedonia	Andorra	1	0	EQ		1	1534	999	+2	0	76	188
2011	10	07	Armenia	Macedonia	4	1	EQ		28	1534	1506	+10	−10	77	86
2011	10	11	Macedonia	Slovakia	1	1	EQ		-2	1504	1579	0	−1	85	67
2011	11	15	Macedonia	Albania	0	0	F		-3	1501	1482	−4	0	89	93
2012	02	29	Luxembourg	Macedonia	2	1	F		16	1168	1485	+5	−5	161	93
2012	05	26	Portugal	Macedonia	0	0	F		-9	1889	1494	0	+3	9	91
2012	05	29	Angola	Macedonia	0	0	F	PT	0	1504	1494	−1	0	88	92
2012	08	15	Macedonia	Lithuania	1	0	F		7	1501	1468	+1	0	87	94
2012	09	07	Croatia	Macedonia	1	0	WQ		3	1867	1498	0	−3	13	88
2012	09	11	Scotland	Macedonia	1	1	WQ		-14	1688	1512	−3	+4	40	84
2012	10	12	Macedonia	Croatia	1	2	WQ		-8	1504	1873	0	+1	84	14
2012	10	16	Macedonia	Serbia	1	0	WQ		25	1529	1662	+7	−7	78	46
2012	11	14	Macedonia	Slovenia	3	2	F		9	1538	1600	+2	−3	75	60
2012	12	14	Poland	Macedonia	4	1	F	TR	10	1702	1528	+1	−3	36	79
2013	02	06	Macedonia	Denmark	3	0	F		24	1552	1751	+6	−4	72	27
2013	03	22	Macedonia	Belgium	0	2	WQ		-19	1533	1807	−5	+4	77	19
2013	03	26	Belgium	Macedonia	1	0	WQ		4	1811	1529	0	−3	19	77
2013	06	03	Sweden	Macedonia	1	0	F		1	1879	1528	0	0	12	78
2013	06	11	Norway	Macedonia	2	0	F		5	1711	1523	+1	−1	35	80
2013	08	14	Macedonia	Bulgaria	2	0	F		18	1541	1686	+5	−6	77	42
2013	09	06	Macedonia	Wales	2	1	WQ		18	1559	1588	+8	−4	69	61
2013	09	10	Macedonia	Scotland	1	2	WQ		-22	1537	1646	−6	+4	77	50
2013	10	11	Wales	Macedonia	1	0	WQ		14	1567	1523	+2	−4	66	80
2013	10	15	Serbia	Macedonia	5	1	WQ		10	1749	1513	0	−1	26	81
2014	03	05	Macedonia	Latvia	2	1	F		6	1519	1449	−1	0	82	99
2014	05	26	Cameroon	Macedonia	2	0	F	AT	12	1601	1507	+4	−2	58	83
2014	05	30	Macedonia	Qatar	0	0	F	IT	1	1508	1550	0	0	84	70
2014	06	18	China	Macedonia	2	0	F		9	1566	1499	0	−3	69	85
2014	06	22	China	Macedonia	0	0	F		-4	1562	1503	0	+1	69	84
2014	09	08	Spain	Macedonia	5	1	EQ		3	1986	1500	0	0	6	84
2014	10	09	Macedonia	Luxembourg	3	2	EQ		4	1504	1231	+1	−2	84	150
2014	10	12	Ukraine	Macedonia	1	0	EQ		3	1828	1501	0	−2	18	86
2014	11	15	Macedonia	Slovakia	0	2	EQ		-20	1481	1746	−4	+3	90	26
2015	03	27	Macedonia	Belarus	1	2	EQ		-22	1459	1570	−5	+3	95	65
2015	03	30	Macedonia	Australia	0	0	F		5	1464	1732	+2	−3	94	32
2015	06	14	Slovakia	Macedonia	2	1	EQ		4	1764	1460	+1	0	25	95
2015	09	05	Luxembourg	Macedonia	1	0	EQ		28	1250	1432	+11	−8	142	104
2015	09	08	Macedonia	Spain	0	1	EQ		-3	1429	1974	−1	0	105	6
2015	10	09	Macedonia	Ukraine	0	2	EQ		-10	1419	1829	−2	0	106	16
