year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1962	00	00	Northern Cyprus	Turkey	0	5	F		-14	1486	1719	−	+1	73	24
1977	01	05	Northern Cyprus	Turkey	0	1	F		-7	1479	1690	−3	+2	73	33
1980	09	28	Turkey	Northern Cyprus	5	0	ILG		16	1633	1463	+4	−6	43	80
1980	09	30	Saudi Arabia	Northern Cyprus	2	0	ILG	TR	33	1458	1430	+8	−7	79	86
1980	10	02	Northern Cyprus	Malaysia	2	1	ILG	TR	19	1449	1393	+4	−2	82	92
1980	10	03	Libya	Northern Cyprus	1	1	ILG	TR	-4	1521	1453	−1	+2	63	80
2005	11	02	Northern Cyprus	Kosovo	1	0	50A		8	1461	1371	0	−3	93	108
2006	01	27	Northern Cyprus	Kyrgyzstan	3	2	F		2	1463	1193	+2	0	93	159
2006	05	29	Northern Cyprus	Greenland	1	0	MWC	DE	2	1465	980	0	0	93	189
2006	05	30	Northern Cyprus	Zanzibar	3	1	MWC	DE	11	1476	1202	+2	−4	91	156
2006	06	01	Northern Cyprus	Gibraltar	2	0	MWC	DE	6	1482	1089	+2	−2	89	176
2006	06	03	Northern Cyprus	Zanzibar	0	0	MWC	DE	-13	1469	1228	−5	+5	94	147
2006	11	21	Northern Cyprus	Tibet	10	0	ELF		0	1469	669	0	0	94	221
2007	01	24	Zanzibar	Northern Cyprus	2	1	F		14	1225	1455	+2	−3	151	95
2012	06	08	Northern Cyprus	Zanzibar	2	0	VWC	KD	19	1474	1304	+1	−4	95	131
2012	06	09	Kurdistan	Northern Cyprus	2	1	VWC		18	1425	1456	+5	−1	102	96
2018	06	02	Northern Cyprus	Tibet	3	1	WFC	EN	1	1457	629	+2	0	90	229
