year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1998	07	30	Guam	Northern Mariana Islands	2	1	MNG	PW	17	664	583	0	−	214	220
1998	07	31	Palau	Northern Mariana Islands	1	12	MNG		-58	442	641	−	+4	225	216
1998	08	03	Northern Mariana Islands	Guam	3	0	MNG	PW	41	682	663	+2	−3	214	215
1999	07	12	FS Micronesia	Northern Mariana Islands	7	0	MNC		46	618	636	+4	−2	219	218
2007	03	25	Northern Mariana Islands	Guam	2	3	EQM		-31	605	562	0	+3	223	229
2007	04	01	Guam	Northern Mariana Islands	9	0	EQM		42	604	563	+6	−5	223	228
2008	04	27	Northern Mariana Islands	Guam	2	3	MRN		-20	543	568	−2	+2	230	228
2009	03	11	Macao	Northern Mariana Islands	6	1	EAQ	GU	21	745	522	0	−2	212	232
2009	03	13	Guam	Northern Mariana Islands	2	1	EQM		11	606	511	0	0	224	232
2009	03	15	Mongolia	Northern Mariana Islands	4	1	EAQ	GU	12	800	499	+1	0	208	232
2010	06	19	Northern Mariana Islands	Guam	1	1	MRN		0	499	599	0	0	232	224
2012	07	18	Guam	Northern Mariana Islands	3	1	EAQ		14	626	485	0	−1	228	238
2012	07	20	Macao	Northern Mariana Islands	5	1	EAQ	GU	20	681	465	+3	0	222	238
2012	11	24	Guam	Northern Mariana Islands	8	0	F		7	680	458	+4	0	221	238
2013	03	02	Nepal	Northern Mariana Islands	6	0	SCQ		3	909	455	0	0	200	238
2013	03	04	Palestine	Northern Mariana Islands	9	0	SCQ	NP	1	1328	454	0	0	128	238
2013	03	06	Bangladesh	Northern Mariana Islands	4	0	SCQ	NP	3	992	451	+1	0	191	238
2014	07	21	Mongolia	Northern Mariana Islands	4	0	EAQ	GU	10	792	441	+1	0	209	238
2014	07	23	Northern Mariana Islands	Macao	2	1	EAQ	GU	30	471	600	0	−2	238	230
2014	07	25	Guam	Northern Mariana Islands	5	0	EAQ		8	763	463	+2	0	211	238
2016	06	30	Taiwan	Northern Mariana Islands	8	1	EAQ	GU	14	773	449	+2	−1	210	241
2016	07	02	Macao	Northern Mariana Islands	3	1	EAQ	GU	16	642	433	+1	0	228	241
2016	07	04	Mongolia	Northern Mariana Islands	8	0	EAQ	GU	21	671	412	+1	−1	225	242
2018	09	02	Guam	Northern Mariana Islands	4	0	EAQ	MN	6	839	406	+1	0	206	242
2018	09	04	Mongolia	Northern Mariana Islands	9	0	EAQ		10	696	396	+2	−1	220	243
2018	09	06	Macao	Northern Mariana Islands	1	1	EAQ	MN	-14	676	410	−3	+1	225	242
2022	02	19	Guam	Northern Mariana Islands	2	0	F		3	704	407	0	0	217	242
2022	02	22	Guam	Northern Mariana Islands	3	2	F		2	706	405	0	0	217	242
2023	11	18	Fiji	Northern Mariana Islands	10	0	PG	SB	1	1196	404	0	0	161	242
2023	11	24	Tahiti	Northern Mariana Islands	5	0	PG	SB	1	1152	403	0	0	164	242
2023	11	27	Northern Mariana Islands	Eastern Samoa	4	0	PG	SB	42	445	404	+2	−2	240	242
2023	11	30	Tuvalu	Northern Mariana Islands	4	1	PG	SB	11	756	434	0	0	214	240
2024	04	06	Northern Mariana Islands	Guam	2	2	F		4	438	695	0	−1	240	219
2024	04	07	Northern Mariana Islands	Guam	2	1	F		14	452	681	0	−3	240	222
2024	12	21	Northern Mariana Islands	Guam	1	2	F		-6	446	699	0	+1	240	219
2024	12	22	Northern Mariana Islands	Guam	0	8	F		-14	432	713	0	+1	240	218
