year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1908	07	12	Sweden	Norway	11	3	F		4	1704	1396	−	−	11	19
1910	09	11	Norway	Sweden	0	4	F		-11	1385	1667	−1	+1	22	13
1911	09	17	Sweden	Norway	4	1	F		4	1652	1381	0	0	14	22
1912	06	16	Norway	Sweden	1	2	F		-5	1376	1696	0	0	23	12
1912	06	23	Norway	Hungary	0	6	F		-4	1372	1890	0	0	23	6
1912	06	30	Denmark	Norway	7	0	OG	SE	4	2005	1368	0	−1	2	24
1912	07	01	Austria	Norway	1	0	OG	SE	4	1850	1364	0	0	9	24
1912	07	05	Norway	Russia	2	1	F	SE	13	1377	1477	0	−1	24	21
1912	11	03	Sweden	Norway	4	2	F		3	1649	1374	0	0	13	24
1913	06	08	Sweden	Norway	9	0	F		5	1663	1369	0	0	13	25
1913	09	14	Russia	Norway	1	1	F		-5	1452	1374	0	0	23	25
1913	10	26	Norway	Sweden	1	1	F		5	1379	1649	0	0	25	13
1914	06	28	Norway	Sweden	0	1	F		-6	1373	1648	0	0	25	13
1914	07	10	Norway	Russia	2	1	F		10	1383	1449	0	0	25	23
1914	07	12	Norway	Russia	1	1	F		-1	1382	1450	0	0	25	23
1914	10	25	Sweden	Norway	7	0	F		5	1646	1377	0	0	14	26
1915	06	27	Norway	Sweden	1	1	F		4	1381	1641	0	0	26	14
1915	09	19	Denmark	Norway	8	1	F		0	2068	1381	0	0	2	26
1915	10	24	Sweden	Norway	5	2	F		4	1645	1377	0	−1	14	27
1916	06	25	Norway	Denmark	0	2	F		-1	1376	2074	0	0	27	1
1916	07	02	Sweden	Norway	6	0	F		5	1645	1371	0	0	14	27
1916	09	03	Norway	United States	1	1	F		6	1377	1705	0	0	28	13
1916	10	01	Norway	Sweden	0	0	F		4	1381	1630	+1	0	27	16
1916	10	15	Denmark	Norway	8	0	F		1	2042	1380	0	0	2	27
1917	06	17	Norway	Denmark	1	2	F		-1	1379	2034	0	0	27	2
1917	08	19	Sweden	Norway	3	3	F		-8	1664	1387	0	0	14	27
1917	09	16	Norway	Sweden	0	2	F		-8	1379	1672	0	0	27	14
1917	10	07	Denmark	Norway	12	0	F		1	2035	1378	0	−1	2	28
1918	05	26	Sweden	Norway	2	0	F		3	1671	1375	0	0	14	28
1918	06	16	Norway	Denmark	3	1	F		29	1404	2012	+2	0	26	2
1918	09	15	Norway	Sweden	2	1	F		14	1418	1655	0	−1	26	15
1918	10	06	Denmark	Norway	4	0	F		1	2013	1417	0	0	2	26
1919	06	12	Denmark	Norway	5	1	F		1	2020	1416	0	0	2	27
1919	06	29	Norway	Sweden	4	3	F		14	1430	1638	0	0	27	16
1919	08	31	Norway	Netherlands	1	1	F		8	1438	1923	0	−1	27	6
1919	09	14	Sweden	Norway	1	5	F		-33	1632	1471	−1	+1	16	26
1919	09	21	Norway	Denmark	3	2	F		19	1490	2001	0	−1	26	3
1920	06	13	Norway	Denmark	1	1	F		8	1498	1951	0	0	26	4
1920	06	27	Norway	Sweden	0	3	F		-15	1483	1672	0	+2	26	15
1920	08	28	Norway	England	3	1	OG	BE	86	1569	1950	0	−3	26	4
1920	08	29	Czechoslovakia	Norway	4	0	OG	BE	15	1906	1554	+2	−1	7	27
1920	08	31	Italy	Norway	2	1	OG	BE	25	1632	1529	+1	0	20	27
1920	09	26	Sweden	Norway	0	0	F		-6	1657	1535	−1	0	18	27
1921	05	25	Norway	Finland	3	2	F		9	1544	1595	0	0	27	21
1921	06	19	Norway	Sweden	3	1	F		14	1558	1617	+1	−1	26	21
1921	09	18	Sweden	Norway	0	3	F		-24	1580	1582	−3	+3	26	24
1921	10	02	Denmark	Norway	3	1	F		2	1930	1580	0	−1	5	25
1922	05	25	Norway	Northern Ireland	2	1	F		10	1590	1685	+1	−1	28	20
1922	06	11	Norway	France	7	0	F		18	1608	1598	+5	−4	24	28
1922	08	23	Sweden	Norway	0	0	F		-3	1598	1611	0	0	26	24
1922	08	26	Finland	Norway	1	3	F		-19	1579	1630	−4	+1	30	23
1922	09	10	Norway	Denmark	3	3	F		4	1634	1884	0	0	23	8
1922	09	24	Norway	Sweden	0	5	F		-27	1607	1625	−3	+3	26	23
1923	06	17	Norway	Finland	3	0	F		11	1618	1568	+2	−2	25	33
1923	06	21	Norway	Switzerland	2	2	F		-3	1615	1603	0	0	25	28
1923	09	16	Norway	Sweden	2	3	F		-11	1604	1678	−1	+1	26	21
1923	09	30	Denmark	Norway	2	1	F		2	1860	1602	0	−1	10	27
1923	10	28	France	Norway	0	2	F		-18	1560	1620	−3	+2	35	25
1923	11	04	Germany	Norway	1	0	F		6	1661	1614	+1	0	23	25
1924	06	15	Norway	Germany	0	2	F		-16	1598	1704	−3	+4	29	21
1924	08	23	Finland	Norway	2	0	F		13	1561	1585	+2	0	35	29
1924	09	14	Norway	Denmark	1	3	NRD		-14	1571	1844	−2	+1	31	10
1924	09	21	Sweden	Norway	6	1	NRD		5	1891	1566	0	−2	5	33
1925	06	07	Norway	Finland	1	0	F		7	1573	1559	+3	−1	30	34
1925	06	21	Denmark	Norway	5	1	NRD		5	1886	1568	0	−3	6	33
1925	08	23	Norway	Sweden	3	7	NRD		-14	1554	1874	−2	+1	34	9
1926	06	06	Finland	Norway	2	5	F		-21	1509	1575	−1	+6	39	31
1926	06	09	Sweden	Norway	3	2	NRD		3	1886	1572	0	0	7	31
1926	09	19	Norway	Denmark	2	2	NRD		7	1579	1850	0	−1	32	10
1926	10	10	Norway	Poland	3	4	F		-13	1566	1594	−4	0	36	31
1927	05	29	Norway	Denmark	0	1	F		-5	1561	1871	−1	0	37	9
1927	06	15	Norway	Finland	3	1	F		9	1570	1505	+5	−1	32	40
1927	06	26	Norway	Sweden	3	5	NRD		-14	1556	1827	−6	+2	37	10
1927	10	23	Germany	Norway	6	2	F		7	1727	1549	+1	0	17	37
1927	10	30	Denmark	Norway	3	1	NRD		4	1877	1545	+1	−1	8	38
1928	06	03	Finland	Norway	0	6	F		-25	1475	1570	−3	+4	44	34
