year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1965	09	02	Libya	Oman	15	1	PAR	EG	4	1500	896	0	−	71	160
1965	09	04	Sudan	Oman	15	0	PAR	EG	2	1653	894	0	0	37	160
1965	09	06	Syria	Oman	13	0	PAR	EG	7	1386	887	+2	−1	95	161
1966	04	03	Libya	Oman	21	0	ARC	IQ	5	1486	882	+3	−1	72	165
1974	03	16	Bahrain	Oman	4	0	GLF	KW	12	1188	870	+2	0	137	175
1974	03	19	Kuwait	Oman	5	0	GLF		2	1443	868	+1	0	79	175
1974	03	22	Qatar	Oman	4	0	GLF	KW	27	990	841	0	−2	163	177
1976	03	27	Iraq	Oman	4	0	GLF	QA	1	1586	840	0	0	51	177
1976	03	31	Kuwait	Oman	8	0	GLF	QA	1	1589	839	+1	0	50	177
1976	04	02	Bahrain	Oman	1	0	GLF	QA	8	1099	831	+2	0	151	177
1976	04	04	Saudi Arabia	Oman	3	1	GLF	QA	4	1291	827	+1	0	116	177
1976	04	07	Qatar	Oman	4	1	GLF		8	1091	819	0	0	154	177
1976	04	10	Oman	United Arab Emirates	1	1	GLF	QA	11	830	1027	0	−1	177	158
1979	03	27	Saudi Arabia	Oman	4	0	GLF	IQ	3	1371	827	+2	0	95	178
1979	03	29	Bahrain	Oman	3	1	GLF	IQ	9	1136	818	+2	0	143	178
1979	03	31	Qatar	Oman	1	0	GLF	IQ	5	1170	813	0	0	138	178
1979	04	02	Kuwait	Oman	2	0	GLF	IQ	1	1627	812	0	0	45	178
1979	04	05	Iraq	Oman	7	0	GLF		0	1686	812	0	0	33	178
1979	04	09	United Arab Emirates	Oman	4	0	GLF	IQ	21	1002	791	+1	0	162	178
1981	02	14	Oman	Jordan	0	1	F		-4	787	1149	0	+2	180	143
1981	02	16	Oman	Jordan	0	2	F		-5	782	1154	0	0	180	143
1982	02	17	Oman	Nepal	1	0	GLT	PK	21	803	899	0	−4	181	174
1982	02	19	Oman	Bangladesh	3	1	GLT	PK	32	835	923	0	−3	181	169
1982	02	21	Iran	Oman	4	0	GLT	PK	0	1751	835	0	0	28	181
1982	02	24	Pakistan	Oman	0	0	GLT		-14	1246	849	−3	+1	124	180
1982	03	20	Iraq	Oman	4	0	GLF	AE	0	1735	849	0	0	29	180
1982	03	22	Qatar	Oman	3	0	GLF	AE	8	1223	841	+3	−1	131	181
1982	03	25	Bahrain	Oman	4	1	GLF	AE	9	1184	832	+1	0	140	181
1982	03	29	Kuwait	Oman	2	0	GLF	AE	0	1670	832	0	0	37	181
1982	03	31	Saudi Arabia	Oman	3	0	GLF	AE	3	1401	829	0	0	90	181
1982	04	02	United Arab Emirates	Oman	3	1	GLF		5	1160	824	0	0	143	181
1984	03	09	Oman	Bahrain	0	1	GLF		-5	819	1271	0	0	181	122
1984	03	11	Oman	Iraq	1	2	GLF		0	819	1689	0	0	181	33
1984	03	15	Oman	Saudi Arabia	1	3	GLF		-2	817	1495	0	+1	181	69
1984	03	18	Oman	Qatar	0	2	GLF		-4	813	1370	0	0	181	93
1984	03	21	Oman	United Arab Emirates	1	1	GLF		16	829	1270	0	−3	181	122
1984	03	25	Oman	Kuwait	0	0	GLF		19	848	1495	+1	−2	180	68
1984	10	20	Oman	Sri Lanka	1	1	SQ	SA	4	852	914	0	−1	180	172
1984	10	24	United Arab Emirates	Oman	8	0	SQ	SA	9	1261	843	+2	0	123	180
1984	10	26	Saudi Arabia	Oman	6	0	SQ		1	1535	842	0	0	60	180
1984	10	28	Oman	Nepal	8	0	SQ	SA	50	892	811	+6	−3	174	181
1985	11	29	Qatar	Oman	3	0	F		1	1523	891	0	0	66	176
1986	01	27	Oman	Tunisia	0	0	F		9	900	1574	+1	−2	175	56
1986	03	20	Iraq	Oman	4	0	F		0	1672	900	+1	0	34	175
1986	03	23	Qatar	Oman	2	1	GLF	BH	1	1510	899	−1	0	71	175
1986	03	25	Kuwait	Oman	2	0	GLF	BH	1	1546	898	+1	0	62	175
1986	03	28	Saudi Arabia	Oman	3	1	GLF	BH	2	1532	896	0	0	65	175
1986	03	30	United Arab Emirates	Oman	1	0	GLF	BH	2	1386	894	+1	0	90	175
1986	04	02	Bahrain	Oman	0	0	GLF		-19	1358	913	−2	+2	97	173
1986	04	06	Iraq	Oman	3	2	GLF	BH	1	1592	912	+1	0	51	173
1986	08	12	Bahrain	Oman	2	3	F		-19	1316	931	−5	+2	106	171
1986	08	14	Bahrain	Oman	2	0	F		2	1318	929	0	0	106	171
1986	08	24	Oman	Bahrain	1	0	F		17	946	1301	+1	−2	170	107
1986	08	26	Oman	Bahrain	1	2	F		-4	942	1305	−1	0	171	107
1986	09	21	Iraq	Oman	4	0	ASG	KR	2	1562	940	−1	0	59	171
1986	09	25	Oman	Thailand	0	0	ASG	KR	14	954	1212	+1	−4	170	132
1986	09	27	Oman	Pakistan	3	1	ASG	KR	42	996	1054	+5	−7	165	160
1986	09	29	Oman	United Arab Emirates	0	0	ASG	KR	18	1014	1464	0	−1	165	77
1987	04	16	Bahrain	Oman	2	0	OQ	SA	10	1297	1004	+5	0	107	165
1987	04	18	Saudi Arabia	Oman	1	0	OQ		1	1555	1003	0	0	59	165
1987	04	22	Oman	Bahrain	2	1	OQ	SA	34	1037	1256	+2	−16	163	125
1987	04	24	Saudi Arabia	Oman	3	0	OQ		2	1564	1035	−1	0	58	163
1987	11	06	Oman	Malaysia	1	0	F		14	1049	1285	+2	−8	160	113
1987	11	08	Oman	Malaysia	2	2	F		4	1053	1281	0	−5	160	118
1988	01	18	Indonesia	Oman	3	0	KNG	TH	13	1257	1040	+3	−3	123	162
1988	01	20	Thailand	Oman	3	1	KNG		6	1277	1034	+1	−1	116	163
1988	01	28	Oman	Jordan	1	1	F		2	1036	1197	+1	−1	162	139
1988	01	29	Oman	Jordan	0	0	F		2	1038	1195	0	−1	162	140
1988	02	02	Oman	Japan	1	1	F		7	1045	1467	+3	0	159	77
1988	03	02	Saudi Arabia	Oman	2	0	GLF		2	1529	1043	0	0	67	159
1988	03	04	Iraq	Oman	1	1	GLF	SA	-19	1642	1062	−3	0	42	159
1988	03	07	Bahrain	Oman	2	0	GLF	SA	15	1265	1047	+6	0	119	159
1988	03	10	Oman	Qatar	2	1	GLF	SA	37	1084	1442	+4	−6	155	82
1988	03	14	Kuwait	Oman	2	0	GLF	SA	5	1519	1079	+3	−1	65	156
1988	03	17	United Arab Emirates	Oman	1	0	GLF	SA	4	1480	1075	0	−1	76	157
1988	12	09	Singapore	Oman	3	1	MRD	MY	16	1194	1059	+2	0	140	160
1989	01	06	Oman	Iraq	1	1	WQ		18	1077	1690	0	−1	160	35
1989	01	13	Oman	Qatar	0	0	WQ		13	1090	1441	+5	−2	155	82
1989	01	20	Jordan	Oman	2	0	WQ		10	1288	1080	+4	−3	110	158
1989	01	27	Iraq	Oman	3	1	WQ		1	1669	1079	0	0	38	158
1989	02	03	Qatar	Oman	3	0	WQ		4	1468	1075	+1	−2	77	160
1989	02	10	Oman	Jordan	0	2	WQ		-21	1054	1309	0	+5	160	105
1990	02	22	Oman	United Arab Emirates	1	1	GLF	KW	18	1072	1527	+1	−3	161	64
1990	02	24	Kuwait	Oman	1	1	GLF		-18	1480	1090	−2	+3	70	158
1990	02	28	Bahrain	Oman	0	0	GLF	KW	-13	1351	1103	−2	+2	101	156
1990	03	04	Qatar	Oman	4	2	GLF	KW	6	1488	1097	+3	−1	68	157
1992	05	31	Qatar	Oman	4	0	SQ		4	1484	1093	+1	−1	78	169
1992	06	02	Syria	Oman	1	0	SQ	QA	4	1460	1089	0	0	84	170
1992	10	22	Kuwait	Oman	4	0	F		2	1501	1087	0	−1	73	175
1992	11	27	Qatar	Oman	2	0	GLF		4	1456	1083	+1	−1	90	176
1992	11	30	Kuwait	Oman	2	1	GLF	QA	3	1539	1080	+2	−1	66	177
1992	12	04	Saudi Arabia	Oman	2	0	GLF	QA	3	1567	1077	0	0	61	177
1992	12	07	Bahrain	Oman	3	0	GLF	QA	12	1363	1065	+5	−3	110	180
1992	12	09	United Arab Emirates	Oman	1	0	GLF	QA	3	1500	1062	0	0	78	180
1993	04	09	Oman	Malaysia	1	0	F		13	1075	1265	+2	−4	179	137
1993	06	23	Iran	Oman	0	0	WQ		-19	1621	1094	−4	+6	46	172
1993	06	25	Oman	Syria	0	0	WQ	IR	15	1109	1413	+2	−2	170	98
1993	06	27	Oman	Taiwan	2	1	WQ	IR	19	1128	1067	+3	−4	167	180
1993	07	02	Iran	Oman	1	0	WQ	SY	2	1611	1126	0	−1	50	168
1993	07	04	Syria	Oman	2	1	WQ		4	1437	1122	+1	0	95	168
1993	07	07	Oman	Taiwan	7	1	WQ	SY	35	1157	1023	+4	−3	164	183
1994	01	30	Oman	Finland	0	2	F		-5	1152	1556	−1	0	163	67
1994	02	01	Oman	Finland	1	1	F		7	1159	1549	+1	−2	162	69
1994	02	04	Oman	Kenya	1	0	F		16	1175	1472	+1	−5	161	89
1994	02	06	Oman	Kenya	2	0	F		23	1198	1449	+6	−3	155	92
1994	04	15	Oman	Bulgaria	1	1	F		9	1207	1783	+3	0	151	24
1994	09	15	Qatar	Oman	0	2	IPC		-40	1440	1247	−11	+10	93	142
1994	09	19	Oman	Sudan	1	1	IPC	QA	4	1251	1326	+1	0	141	123
1994	09	21	Oman	India	4	1	IPC	QA	19	1270	1128	+4	−3	137	167
1994	09	23	Qatar	Oman	1	2	IPC		-25	1432	1295	−4	+6	93	131
1994	10	01	Kuwait	Oman	2	2	ASG	JP	-11	1508	1306	−6	+4	78	127
1994	10	05	South Korea	Oman	2	1	ASG	JP	4	1686	1302	+2	−2	33	129
1994	10	09	Oman	Nepal	1	0	ASG	JP	3	1305	883	+1	0	128	199
1994	10	23	Oman	Senegal	0	1	F		-10	1295	1402	−2	+4	132	101
1994	10	25	Oman	Senegal	2	1	F		10	1305	1392	+2	−4	130	105
1994	11	04	Saudi Arabia	Oman	2	1	GLF	AE	5	1645	1300	0	−1	40	131
1994	11	06	Bahrain	Oman	1	1	GLF	AE	-8	1442	1308	−3	+3	93	128
1994	11	09	Qatar	Oman	4	2	GLF	AE	22	1428	1286	+3	−6	96	134
1994	11	13	Kuwait	Oman	0	0	GLF	AE	-11	1501	1297	−4	+3	79	131
1994	11	16	United Arab Emirates	Oman	2	0	GLF		8	1530	1289	+1	−2	69	133
1996	02	16	Ecuador	Oman	2	0	F	SA	3	1663	1286	0	0	39	134
1996	02	24	Kuwait	Oman	1	0	F		3	1480	1283	0	0	84	134
1996	03	02	Oman	Kuwait	0	3	F		-13	1270	1493	−3	+4	137	80
1996	05	26	Oman	Algeria	0	1	F		-4	1266	1601	0	+1	136	54
1996	05	28	Oman	Algeria	0	1	F		-4	1262	1605	−3	+2	139	52
1996	06	03	Oman	Bahrain	3	0	F		21	1283	1410	+5	−4	133	105
1996	06	10	Oman	Sri Lanka	3	0	SQ	IR	8	1291	920	0	0	134	196
1996	06	12	Oman	Nepal	7	0	SQ	IR	8	1299	867	+4	−2	130	202
1996	06	14	Iran	Oman	2	0	SQ		7	1565	1292	+1	−4	65	134
1996	06	17	Oman	Nepal	2	1	SQ		2	1294	839	+1	0	133	203
1996	06	19	Oman	Sri Lanka	10	0	SQ		7	1301	936	+3	−2	130	196
1996	06	21	Oman	Iran	1	2	SQ		-11	1290	1579	−4	+3	134	60
1996	08	20	Oman	Mali	1	0	F		8	1298	1306	+3	0	130	127
1996	08	22	Oman	Mali	1	1	F		-3	1295	1309	−1	0	131	127
1996	08	28	Oman	Sudan	0	0	F		1	1296	1423	0	−3	131	103
1996	08	31	Oman	Sudan	0	1	F		-9	1287	1432	−2	+4	133	99
1996	09	05	Lebanon	Oman	1	2	F		-15	1361	1302	−2	+5	117	129
1996	09	08	Lebanon	Oman	2	1	F		6	1367	1296	+2	−3	115	133
1996	09	17	Oman	Zambia	0	0	F		6	1302	1627	+5	0	128	44
1996	09	25	Oman	Mozambique	0	2	F		-17	1285	1366	−8	+1	135	117
1996	09	29	Oman	New Zealand	0	1	F		-7	1278	1484	0	+2	135	81
1996	10	01	Oman	New Zealand	1	2	F		-7	1271	1491	0	0	135	81
1996	10	07	Oman	Azerbaijan	2	0	F		19	1290	1456	+1	−8	134	92
1996	10	15	Oman	Saudi Arabia	0	1	GLF		-9	1281	1605	−1	+3	135	52
1996	10	18	Oman	Kuwait	1	2	GLF		-12	1269	1544	0	+3	135	67
1996	10	21	Oman	Qatar	0	3	GLF		-23	1246	1516	−8	+7	143	73
1996	10	24	Oman	United Arab Emirates	0	0	GLF		11	1257	1540	+4	−2	139	68
1996	10	28	Oman	Bahrain	1	1	GLF		2	1259	1383	0	−1	139	112
1997	03	06	Bahrain	Oman	1	0	F		4	1387	1255	+2	−1	112	137
1997	03	23	Oman	Japan	0	1	WQ		-4	1251	1718	−2	0	140	30
1997	03	25	Oman	Nepal	1	0	WQ		2	1253	824	+1	−1	139	205
1997	03	27	Oman	Macao	4	0	WQ		9	1262	990	+2	−2	137	190
1997	06	22	Oman	Nepal	6	0	WQ	JP	6	1268	818	+1	0	136	205
1997	06	25	Oman	Macao	2	0	WQ	JP	10	1278	979	0	−2	136	191
1997	06	28	Japan	Oman	1	1	WQ		-19	1724	1297	0	+2	28	134
1997	07	14	Libya	Oman	2	2	PAR	LB	-9	1457	1306	−2	+3	86	131
1997	07	16	Lebanon	Oman	1	1	PAR		-10	1383	1316	−2	+3	109	128
1997	07	20	Jordan	Oman	3	1	PAR	LB	25	1404	1291	+8	−8	103	136
1998	02	18	Oman	Germany	0	2	F		-1	1290	2070	0	0	134	2
1998	06	30	Oman	Syria	0	0	F		4	1294	1527	+1	0	131	69
1998	07	02	Oman	Syria	1	2	F		-6	1288	1533	−1	+1	132	68
1998	09	12	Syria	Oman	3	0	F		3	1584	1285	0	0	59	132
1998	09	15	Syria	Oman	0	0	F		-8	1576	1293	−1	0	60	132
1998	09	22	Oman	Zambia	2	0	F		23	1316	1581	+5	−2	127	58
1998	09	24	Oman	Zambia	1	1	F		4	1320	1577	+1	−2	126	60
1998	10	19	Oman	Burkina Faso	4	2	F		14	1334	1385	+5	−6	122	110
1998	10	21	Oman	Burkina Faso	0	0	F		-1	1333	1386	0	0	122	110
1998	10	31	Oman	Qatar	2	1	GLF	BH	30	1363	1504	+5	−7	116	75
1998	11	03	United Arab Emirates	Oman	3	2	GLF	BH	10	1571	1353	+1	−2	61	118
1998	11	05	Saudi Arabia	Oman	1	0	GLF	BH	4	1725	1349	0	−1	31	119
1998	11	09	Kuwait	Oman	5	0	GLF	BH	11	1683	1338	+5	−2	40	121
1998	11	12	Bahrain	Oman	2	2	GLF		-5	1331	1343	−1	+2	123	119
1998	11	30	Oman	Hong Kong	6	0	ASG	TH	28	1371	1187	+4	−9	115	156
1998	12	04	Thailand	Oman	2	0	ASG		19	1423	1352	+3	−3	101	118
1998	12	08	Oman	Iran	4	2	ASG	TH	52	1404	1615	+13	−6	105	53
1998	12	10	China	Oman	6	1	ASG	TH	13	1697	1391	+5	−4	36	109
1998	12	12	Oman	Tajikistan	3	3	ASG	TH	3	1394	1436	0	0	109	97
1999	02	08	Oman	Slovenia	0	7	FT		-31	1363	1551	−7	+8	116	64
1999	02	10	Oman	Switzerland	1	2	FT		-7	1356	1691	−1	+1	117	41
1999	06	22	Oman	New Zealand	1	0	F		12	1368	1530	+3	−5	114	74
1999	06	24	Oman	New Zealand	2	2	F		2	1370	1528	0	0	114	74
1999	07	21	Oman	Kenya	2	2	F		-2	1368	1399	0	+1	115	105
1999	08	03	Oman	Kyrgyzstan	3	0	SQ	TJ	22	1390	1214	+4	−5	109	150
1999	08	05	Iraq	Oman	2	0	SQ	TJ	12	1640	1378	+1	−2	49	111
1999	08	07	Tajikistan	Oman	2	1	SQ		12	1438	1366	+5	−4	95	115
1999	08	19	Oman	Syria	1	1	PAR	JO	7	1373	1477	+1	−3	113	83
1999	08	23	Iraq	Oman	3	0	PAR	JO	15	1619	1358	+3	−2	51	115
1999	08	25	Lebanon	Oman	1	1	PAR	JO	-5	1442	1363	−1	+1	97	114
1999	08	27	Jordan	Oman	2	0	PAR		13	1498	1350	+3	−4	76	118
2000	02	19	Oman	Switzerland	1	4	FT		-9	1341	1744	0	+2	120	27
2000	02	21	Oman	United Arab Emirates	0	1	FT		-13	1328	1505	−2	+2	122	76
2000	02	23	Oman	Slovenia	0	4	FT		-15	1313	1622	−6	+4	128	54
2000	08	05	Lebanon	Oman	3	1	F		6	1459	1307	+2	0	85	126
2000	08	08	Lebanon	Oman	1	2	F		-16	1443	1323	−7	+1	92	125
2000	08	15	Malaysia	Oman	2	0	MRD		23	1238	1300	+5	−2	145	127
2000	08	17	New Zealand	Oman	1	0	MRD	MY	7	1529	1293	+2	−4	71	131
2000	10	29	Oman	Yemen	4	0	F		9	1302	1190	+4	−1	127	156
2000	10	31	Oman	Yemen	4	0	F		9	1311	1181	+3	−3	125	159
2000	11	21	Oman	Bahrain	2	1	F		7	1318	1296	0	−5	125	133
2001	02	18	Oman	Finland	1	2	F		-5	1313	1633	−2	+1	126	54
2001	02	20	Oman	Finland	0	2	F		-7	1306	1640	−1	+1	127	53
2001	02	25	Oman	Maldives	5	0	F		2	1308	872	0	0	127	200
2001	02	27	Oman	Maldives	2	0	F		1	1309	871	0	−2	127	202
2001	03	27	Oman	United Arab Emirates	2	1	F		13	1322	1514	+2	−2	125	73
2001	04	05	Oman	Sudan	0	1	F		-11	1311	1394	−1	+3	126	111
2001	04	07	Oman	Sudan	1	1	F		0	1311	1394	0	0	126	111
2001	04	16	Bahrain	Oman	0	1	F		-15	1386	1326	−6	+2	113	123
2001	04	30	Oman	Laos	12	0	WQ		5	1331	893	0	−1	124	196
2001	05	04	Oman	Laos	7	0	WQ		4	1335	889	+1	−1	123	197
2001	05	07	Oman	Philippines	7	0	WQ		1	1336	716	0	0	123	211
2001	05	11	Oman	Philippines	2	0	WQ		1	1337	715	0	−1	123	212
2001	05	18	Syria	Oman	3	3	WQ		-13	1504	1350	−3	0	75	122
2001	05	25	Oman	Syria	2	0	WQ		35	1385	1469	+9	−9	113	83
2001	07	29	Oman	Iraq	1	0	F		13	1398	1592	+2	−2	107	59
2001	08	08	Iran	Oman	5	2	LGC		4	1715	1394	+2	0	35	107
2001	08	16	Qatar	Oman	0	0	WQ		-14	1576	1408	−2	+4	61	104
2001	08	31	Oman	China	0	2	WQ		-15	1393	1715	−4	+6	109	34
2001	09	08	Uzbekistan	Oman	5	0	WQ		17	1542	1376	+6	−4	64	113
2001	09	14	Oman	United Arab Emirates	1	1	WQ		0	1376	1475	0	0	113	85
2001	09	21	Oman	Qatar	0	3	WQ		-24	1352	1611	−5	+4	118	54
2001	09	29	Thailand	Oman	2	0	F		7	1482	1345	0	−1	85	119
2001	10	07	China	Oman	1	0	WQ		2	1739	1343	0	0	34	119
