year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1950	10	27	Iran	Pakistan	5	1	F		7	1561	1393	0	−	45	69
1952	03	18	Ceylon	Pakistan	0	2	CLM		-7	990	1400	−1	0	116	72
1952	03	20	Pakistan	Burma	1	0	CLM	CE	10	1410	1273	0	−1	72	98
1952	03	23	India	Pakistan	0	0	CLM	CE	-10	1675	1420	−2	+1	28	71
1952	04	02	Pakistan	Iran	0	0	F		1	1421	1556	0	0	71	47
1952	05	01	Pakistan	Iran	0	0	F		1	1422	1555	0	0	71	47
1953	10	23	India	Pakistan	1	0	CLM	BU	7	1650	1415	+3	0	28	78
1953	10	28	Burma	Pakistan	1	1	CLM		2	1278	1413	+1	0	102	78
1953	11	02	Pakistan	Ceylon	6	0	CLM	BU	5	1418	981	0	−1	78	125
1953	11	03	Pakistan	India	1	0	F	BU	16	1434	1643	+3	−2	75	30
1954	04	25	Singapore	Pakistan	2	2	F		1	1310	1433	+1	0	97	77
1954	05	02	Pakistan	Singapore	6	2	ASG	PH	25	1458	1285	+4	−10	74	108
1954	05	05	Burma	Pakistan	2	1	ASG	PH	31	1276	1427	+5	−9	110	83
1954	12	19	Burma	Pakistan	1	1	CLM	IN	4	1328	1423	+1	0	94	81
1954	12	21	Pakistan	Ceylon	2	1	CLM	IN	3	1426	1019	0	0	81	129
1954	12	26	India	Pakistan	3	1	CLM		8	1589	1418	+1	−1	44	82
1955	12	14	East Pakistan	Pakistan	1	3	F		-4	996	1422	−	0	−	81
1955	12	17	Pakistan	Burma	4	2	CLM		9	1431	1279	0	−4	81	109
1955	12	21	Pakistan	Ceylon	2	1	CLM		2	1433	1041	0	0	81	129
1955	12	24	Pakistan	India	1	2	CLM		-15	1418	1539	0	+4	81	56
1955	12	25	Pakistan	India	1	0	F		11	1429	1528	0	−4	81	60
1956	03	12	Singapore	Pakistan	1	1	F		1	1288	1428	+1	0	106	81
1958	05	14	Malaya	Pakistan	4	2	F		15	1341	1413	+1	−4	100	86
1958	05	17	Singapore	Pakistan	4	4	F		2	1229	1411	0	−1	120	87
1958	05	25	Pakistan	South Vietnam	1	1	ASG	JP	-1	1410	1395	0	0	87	90
1958	05	27	Taiwan	Pakistan	3	1	ASG	JP	11	1689	1399	+2	−2	30	89
1959	12	07	India	Pakistan	1	0	SQ		9	1521	1390	+2	−2	60	95
1959	12	09	Pakistan	Iran	4	1	SQ	IN	47	1437	1471	+12	−14	83	75
1959	12	10	Israel	Pakistan	2	0	SQ	IN	25	1526	1412	+7	−6	60	89
1959	12	13	India	Pakistan	0	1	SQ		-30	1469	1442	−7	+8	75	81
1959	12	15	Iran	Pakistan	4	1	SQ	IN	34	1488	1408	+7	−11	71	91
1959	12	17	Israel	Pakistan	2	2	SQ	IN	-8	1537	1416	−1	+2	57	89
1960	08	05	Pakistan	Thailand	7	0	MRD	AY	14	1430	1173	+4	0	84	130
1960	08	12	Malaya	Pakistan	1	0	MRD		12	1411	1418	+2	−5	92	88
1960	08	14	Indonesia	Pakistan	4	0	MRD	AY	20	1543	1398	+5	−6	55	94
1960	08	18	Pakistan	South Vietnam	2	2	F	SG	2	1400	1468	0	0	94	77
1960	08	19	Singapore	Pakistan	4	1	F		25	1172	1375	+3	−6	130	100
1960	08	21	Indonesia	Pakistan	5	2	F		6	1547	1369	0	−1	55	101
1962	09	09	Pakistan	Burma	1	0	MRD	AY	9	1378	1207	+2	0	101	126
1962	09	12	Japan	Pakistan	1	1	MRD	AY	2	1336	1376	0	−1	105	102
1962	09	16	Malaya	Pakistan	0	0	MRD		-8	1470	1384	−1	+1	78	101
1962	09	19	Indonesia	Pakistan	2	1	MRD	AY	10	1523	1374	0	0	66	101
1963	01	26	Pakistan	China	0	0	F		2	1376	1529	0	−1	99	63
1963	01	30	Pakistan	China	3	2	F		12	1388	1517	+2	−3	97	67
1963	02	03	Pakistan	China	1	1	F		1	1389	1516	+2	0	95	67
1963	02	06	Pakistan	China	0	2	F		-14	1375	1530	−4	+5	99	62
1963	10	04	Iran	Pakistan	4	1	OQ		15	1520	1360	0	−1	67	104
1963	11	01	Pakistan	Iran	1	0	OQ		23	1383	1497	+3	−2	102	69
1964	10	03	China	Pakistan	0	2	F		-25	1550	1408	−7	+11	58	90
1965	02	28	Ceylon	Pakistan	3	1	F		25	1034	1383	+2	−11	148	100
1965	03	07	Ceylon	Pakistan	0	0	F		6	1040	1377	0	−2	148	102
1965	07	21	Turkey	Pakistan	3	1	RCD	IR	9	1631	1368	+2	−1	40	100
1965	07	23	Iran	Pakistan	4	1	RCD		7	1602	1361	−1	−1	50	101
1967	03	18	Pakistan	Saudi Arabia	3	1	F		8	1369	1287	+1	−1	102	117
1967	03	21	Pakistan	Saudi Arabia	2	4	F		-22	1347	1309	−2	+2	104	115
1967	03	25	Pakistan	Saudi Arabia	2	2	F		-4	1343	1313	0	0	104	116
1967	03	29	Pakistan	Saudi Arabia	1	1	F		-4	1339	1317	−1	+3	106	112
1967	11	13	Cambodia	Pakistan	1	0	SQ	BU	32	1133	1307	+4	−9	145	114
1967	11	15	India	Pakistan	1	1	SQ	BU	-6	1417	1313	−1	0	91	114
1967	11	19	Burma	Pakistan	2	0	SQ		7	1575	1306	+1	0	55	114
1967	11	25	Pakistan	Iran	0	2	RCD		-12	1294	1590	0	+2	114	53
1967	11	28	Pakistan	Turkey	4	7	RCD		-9	1285	1677	−2	+2	116	35
1969	03	10	Pakistan	Iraq	2	1	FRC	IR	26	1311	1575	+2	−6	114	54
1969	03	12	Iran	Pakistan	9	1	FRC		5	1651	1306	+2	0	40	114
1969	09	10	Turkey	Pakistan	4	2	RCD		5	1588	1301	+1	0	50	114
1969	09	13	Iran	Pakistan	4	2	RCD	TR	5	1656	1296	+3	0	38	114
1970	09	06	Iran	Pakistan	7	0	RCD		5	1635	1291	+3	−1	40	118
1970	09	09	Turkey	Pakistan	3	1	RCD	IR	6	1617	1285	+1	−1	47	119
1973	06	10	China	Pakistan	7	4	F		3	1632	1282	+1	−2	41	123
1974	01	17	Pakistan	Iran	1	2	RCD		-7	1275	1607	0	+1	122	47
1974	01	18	Pakistan	Turkey	2	2	RCD		10	1285	1665	+3	−3	119	35
1974	09	03	Iran	Pakistan	7	0	ASG		8	1602	1277	0	−2	47	121
1974	09	05	Pakistan	Bahrain	5	1	ASG	IR	21	1298	1092	+4	−4	117	153
1974	09	07	Burma	Pakistan	5	1	ASG	IR	12	1601	1286	+2	−1	46	118
1976	07	19	Afghanistan	Pakistan	1	0	RDC		25	910	1261	+3	−5	171	122
1976	07	21	India	Pakistan	1	1	RDC	AF	-3	1335	1264	0	+1	109	121
1976	10	12	Pakistan	Afghanistan	1	0	GLT		2	1266	919	0	0	121	168
1978	05	03	Saudi Arabia	Pakistan	6	0	SAT		17	1360	1249	+5	−4	99	125
1978	05	09	Kenya	Pakistan	8	3	SAT	SA	22	1362	1227	+7	−3	98	128
1981	11	11	Thailand	Pakistan	1	0	KNG		5	1423	1222	0	0	89	130
1981	11	13	Pakistan	Malaysia	3	2	KNG	TH	18	1240	1277	+6	−6	124	117
1981	11	17	Pakistan	Singapore	1	0	KNG	TH	17	1257	1273	+2	−4	122	116
1982	02	12	Pakistan	Nepal	2	0	GLT		3	1260	918	0	0	121	170
1982	02	16	Pakistan	Iran	0	1	GLT		-3	1257	1751	0	0	121	28
1982	02	18	Pakistan	Bangladesh	2	1	GLT		3	1260	955	0	0	121	166
1982	02	24	Pakistan	Oman	0	0	GLT		-14	1246	849	−3	+1	124	180
1982	08	00	Malaysia	Pakistan	4	1	PRG	BD	25	1293	1221	+6	−7	112	133
1984	10	11	Malaysia	Pakistan	5	0	SQ	IN	24	1397	1197	+1	−8	91	140
1984	10	13	South Korea	Pakistan	6	0	SQ	IN	7	1620	1190	+3	0	41	140
1984	10	15	Pakistan	North Yemen	4	1	SQ	IN	8	1198	834	0	0	140	181
1984	10	17	India	Pakistan	2	0	SQ		18	1268	1180	+6	−2	120	142
1985	04	30	Pakistan	Nepal	1	0	GLT		2	1182	822	0	−1	142	182
1985	05	02	Pakistan	Bangladesh	1	3	GLT		-36	1146	1066	−5	+5	147	159
1985	12	21	Bangladesh	Pakistan	2	1	SAG		19	1085	1127	+2	−2	157	149
1985	12	22	Pakistan	Maldives	3	1	SAG	BD	6	1133	727	+1	0	148	186
1985	12	25	Nepal	Pakistan	2	2	SAG	BD	14	841	1119	+1	−2	182	150
1986	02	16	Iran	Pakistan	2	0	RVA		1	1671	1118	0	−1	34	151
1986	03	15	Pakistan	Bangladesh	0	1	PRG		-20	1098	1113	−3	+3	154	151
1986	04	25	Pakistan	Sri Lanka	1	0	GLT		6	1104	933	0	0	154	171
1986	04	28	Pakistan	China	0	3	GLT		-5	1099	1590	0	+2	153	53
1986	05	02	Pakistan	Nepal	5	0	GLT		7	1106	837	+1	0	152	182
1986	09	21	United Arab Emirates	Pakistan	1	0	ASG	KR	5	1447	1101	0	−1	82	153
1986	09	23	Iraq	Pakistan	5	1	ASG	KR	5	1567	1096	+1	0	58	153
1986	09	27	Oman	Pakistan	3	1	ASG	KR	42	996	1054	+5	−7	165	160
1986	09	29	Thailand	Pakistan	6	0	ASG	KR	25	1232	1029	+6	−4	126	164
1987	04	25	Nepal	Pakistan	2	2	OQ		4	861	1025	+1	0	180	165
1987	04	28	Nepal	Pakistan	1	0	OQ		24	885	1001	+3	0	177	165
1987	11	21	India	Pakistan	0	0	SAG		-14	1184	1015	−1	+1	139	165
1987	11	22	Pakistan	Maldives	1	0	SAG	IN	6	1021	715	0	0	165	187
1987	11	25	Pakistan	Bangladesh	1	0	SAG	IN	22	1043	1036	+5	−4	160	163
1988	04	07	Malaysia	Pakistan	4	0	SQ		10	1288	1033	+4	−3	111	163
1988	04	10	Jordan	Pakistan	1	0	SQ	MY	11	1209	1022	+4	−2	134	165
1988	04	15	Kuwait	Pakistan	3	0	SQ	MY	4	1529	1018	0	0	65	165
1988	04	18	Japan	Pakistan	4	1	SQ	MY	5	1459	1013	0	0	79	165
1989	01	06	Pakistan	Kuwait	0	1	WQ		-4	1009	1481	−1	+1	167	73
1989	01	20	United Arab Emirates	Pakistan	5	0	WQ		3	1456	1006	−1	−1	80	168
1989	01	27	Kuwait	Pakistan	2	0	WQ		2	1497	1004	0	0	68	168
1989	02	10	Pakistan	United Arab Emirates	1	4	WQ		-7	997	1480	0	+1	168	74
1989	10	22	Pakistan	Nepal	0	0	SAG		-11	986	883	−1	+1	170	181
1989	10	24	Pakistan	Maldives	2	0	SAG		7	993	714	+1	0	169	189
1989	10	26	Pakistan	Bangladesh	1	0	SAG		20	1013	1071	+3	−4	166	161
1990	09	23	China	Pakistan	3	0	ASG		2	1542	1011	0	0	61	168
