year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1934	03	16	Egypt	Palestine	7	1	WQ		5	1704	1295	0	−	20	66
1934	04	06	Palestine	Egypt	1	4	WQ		-10	1285	1714	−2	+1	68	19
1934	04	07	Palestine	Egypt	2	2	F		7	1292	1707	+2	−1	66	20
1938	01	22	Palestine	Greece	1	3	WQ		-37	1255	1344	−5	+2	79	67
1938	02	20	Greece	Palestine	1	0	WQ		10	1354	1245	0	0	68	82
1940	04	27	Palestine	Lebanon	5	1	F		16	1261	1284	+1	−	86	79
1953	08	01	Egypt	Palestine	8	1	PAR		9	1543	1252	0	−2	52	105
1953	08	03	Libya	Palestine	5	2	PAR	EG	14	1514	1238	−	−2	56	107
1953	08	08	Lebanon	Palestine	9	1	PAR	EG	47	1288	1191	+9	−3	97	111
1965	09	02	Palestine	Aden	1	0	PAR	EG	26	1217	1276	+5	−6	131	122
1965	09	03	Palestine	Lebanon	1	0	PAR	EG	29	1246	1356	+3	−8	128	104
1965	09	06	Egypt	Palestine	2	1	PAR		1	1809	1245	0	0	16	128
1965	09	07	Iraq	Palestine	1	1	PAR	EG	-16	1603	1261	−4	+6	47	122
1965	09	09	Sudan	Palestine	2	1	PAR	EG	4	1668	1257	0	0	36	122
1965	09	10	Libya	Palestine	4	2	PAR	EG	12	1513	1245	+2	−6	69	128
1966	04	01	Libya	Palestine	1	1	ARC	IQ	-12	1481	1257	−7	+3	75	124
1966	04	04	Palestine	North Yemen	7	0	ARC	IQ	10	1267	885	0	−2	124	164
1966	04	06	Syria	Palestine	4	1	ARC	IQ	23	1409	1244	+3	−3	94	127
1966	11	25	Palestine	North Yemen	5	3	GNF	KH	5	1249	876	+2	0	127	167
1966	11	26	China	Palestine	7	0	GNF	KH	8	1605	1241	+4	−2	43	129
1966	11	27	North Vietnam	Palestine	4	0	GNF	KH	27	1288	1214	+7	−3	118	132
1966	11	29	North Korea	Palestine	5	1	GNF	KH	2	1778	1212	0	0	20	132
1966	12	03	Cambodia	Palestine	4	0	GNF		32	1101	1180	+4	−7	149	139
1969	10	15	Tunisia	Palestine	1	1	F		-9	1578	1189	−1	0	52	138
1969	10	23	Algeria	Palestine	2	0	F		1	1630	1188	+1	0	44	138
1970	07	00	Sudan	Palestine	4	2	EDT	LY	3	1681	1185	0	−1	37	137
1970	07	05	Lebanon	Palestine	3	2	EDT	LY	6	1421	1179	+1	−1	89	138
1971	07	11	Palestine	Sudan	1	1	EDT	LY	13	1192	1677	+2	−1	138	37
1972	01	01	Algeria	Palestine	2	0	PAL	IQ	6	1578	1186	0	−2	57	139
1972	01	04	Syria	Palestine	3	1	PAL	IQ	15	1396	1171	+4	−1	92	140
1972	01	06	South Yemen	Palestine	2	1	PAL	IQ	16	1252	1155	+2	−1	127	141
1972	01	10	Palestine	Qatar	7	2	PAL	IQ	30	1185	1032	+2	−2	139	158
1973	08	11	Palestine	Syria	1	1	PAL	LY	14	1199	1456	+4	−4	135	72
1973	08	14	Palestine	South Yemen	1	0	PAL	LY	22	1221	1206	+5	−3	130	133
1973	08	18	Egypt	Palestine	2	0	PAL	LY	4	1683	1217	−1	−1	33	131
1973	08	21	Tunisia	Palestine	6	2	PAL	LY	5	1663	1212	+1	0	34	131
1974	09	26	Syria	Palestine	2	0	KUN		5	1492	1207	0	−2	69	133
1974	09	30	Sudan	Palestine	3	1	KUN	SY	7	1522	1200	+4	−1	62	134
1974	10	02	Libya	Palestine	0	0	KUN	SY	-8	1383	1208	−1	+2	96	132
1974	10	06	Palestine	North Yemen	7	1	KUN	SY	7	1215	848	+1	0	131	175
1975	12	18	Palestine	Sudan	0	0	PAL	TN	15	1230	1546	+1	−3	128	57
1975	12	21	Sudan	Palestine	1	0	PAL	TN	6	1552	1224	+1	−2	56	130
1976	10	08	Morocco	Palestine	3	0	PAR	SY	4	1724	1220	+1	0	29	130
1976	10	12	Saudi Arabia	Palestine	3	1	PAR	SY	20	1355	1200	+4	−4	103	135
1976	10	14	Palestine	Jordan	2	1	PAR	SY	17	1217	1123	+4	−3	131	146
1976	10	16	Syria	Palestine	2	0	PAR		8	1452	1209	+2	−1	81	132
1976	10	18	Palestine	South Yemen	0	0	PAR	SY	4	1213	1279	0	0	132	118
1976	10	20	Palestine	Mauritania	1	0	PAR	SY	7	1220	923	+1	0	131	167
1979	09	03	Libya	Palestine	0	0	IND		-12	1474	1232	−4	+3	75	125
1988	04	13	Lebanon	Palestine	0	0	ARQ	SY	0	1224	1232	0	0	131	129
1988	04	15	Syria	Palestine	3	0	ARQ		12	1423	1220	+2	−4	84	133
1992	09	04	Syria	Palestine	0	0	PGC		-15	1445	1235	−6	+7	90	143
1992	09	09	Saudi Arabia	Palestine	2	1	PGC	SY	5	1592	1230	+3	−2	56	145
1997	06	06	Palestine	Jordan	0	0	F		1	1231	1367	0	−1	142	116
1998	07	20	Lebanon	Palestine	3	1	ARQ		10	1422	1221	0	−2	103	147
1998	07	23	Syria	Palestine	2	1	ARQ	LB	5	1566	1216	+2	−3	61	149
1998	07	26	Jordan	Palestine	1	1	ARQ	LB	-13	1463	1229	−7	+5	89	144
1999	08	18	Jordan	Palestine	2	0	PAR		6	1508	1223	+1	0	75	149
1999	08	20	Palestine	Qatar	1	0	PAR	JO	33	1256	1447	+10	−14	139	95
1999	08	23	Palestine	United Arab Emirates	1	0	PAR	JO	34	1290	1532	+6	−7	133	72
1999	08	25	Libya	Palestine	2	2	PAR	JO	-9	1443	1299	−2	+2	96	131
1999	08	27	Palestine	Syria	1	1	PAR	JO	10	1309	1469	+1	−2	130	84
1999	08	29	Jordan	Palestine	4	1	PAR		11	1509	1298	+2	−1	74	131
2000	03	31	Qatar	Palestine	1	0	SQ		8	1437	1290	+3	−2	94	132
2000	04	02	Palestine	Pakistan	2	0	SQ	QA	4	1294	817	0	0	132	206
2000	04	04	Jordan	Palestine	5	1	SQ	QA	21	1483	1273	+9	−4	80	136
2000	04	06	Kazakhstan	Palestine	2	0	SQ	QA	14	1488	1259	+5	−5	79	141
2000	05	24	Syria	Palestine	1	0	WAH	JO	8	1511	1251	+1	0	73	143
2000	05	26	Iran	Palestine	1	1	WAH	JO	-18	1714	1269	−9	+2	36	141
2000	05	28	Kazakhstan	Palestine	3	2	WAH	JO	11	1452	1258	+2	−2	90	143
2001	03	04	Hong Kong	Palestine	1	1	WQ		-3	1206	1261	0	+1	154	141
2001	03	08	Qatar	Palestine	2	1	WQ	HK	6	1558	1255	+2	−2	63	143
2001	03	11	Palestine	Malaysia	1	0	WQ	HK	24	1279	1296	+6	−8	137	132
2001	03	20	Palestine	Hong Kong	1	0	WQ	QA	14	1293	1150	+3	−1	134	164
2001	03	23	Qatar	Palestine	2	1	WQ		4	1556	1289	+1	−1	64	135
2001	03	25	Malaysia	Palestine	4	3	WQ	QA	20	1303	1269	+7	−4	129	139
2002	08	30	Syria	Palestine	2	1	WAH		7	1454	1262	+3	−2	88	142
2002	09	01	Iraq	Palestine	2	0	WAH	SY	8	1587	1254	+2	−3	60	145
2002	12	16	Jordan	Palestine	1	1	ARC	KW	-13	1518	1267	−1	+6	70	138
2002	12	20	Morocco	Palestine	3	1	ARC	KW	8	1613	1259	+3	−3	53	142
2002	12	23	Palestine	Sudan	2	2	ARC	KW	5	1264	1349	0	−2	142	123
2002	12	25	Kuwait	Palestine	3	3	ARC		-15	1484	1279	−3	+3	81	139
2003	09	24	Qatar	Palestine	1	1	SQ		-15	1485	1294	−5	+5	82	131
2003	09	27	Qatar	Palestine	2	1	SQ		6	1491	1288	+2	−1	81	132
2003	10	05	Kuwait	Palestine	2	1	SQ		5	1532	1283	+2	−1	69	133
2003	10	08	Kuwait	Palestine	4	0	SQ		9	1541	1274	0	−6	69	139
2003	10	19	Singapore	Palestine	2	0	SQ		29	1213	1245	+2	−7	153	145
2003	10	22	Singapore	Palestine	0	0	SQ		-4	1209	1249	0	+1	153	144
2004	02	18	Palestine	Taiwan	8	0	WQ	QA	26	1275	1049	+7	−6	136	184
2004	03	26	Syria	Palestine	1	1	F		-5	1373	1280	0	+2	115	135
2004	03	31	Iraq	Palestine	1	1	WQ	QA	-15	1596	1295	−3	+3	60	132
2004	04	13	Palestine	Syria	2	1	F	EG	12	1307	1355	+3	−3	129	120
2004	06	09	Uzbekistan	Palestine	3	0	WQ		11	1505	1296	+2	−5	78	134
2004	06	17	Jordan	Palestine	1	1	WAH	IR	-15	1616	1311	−1	+4	56	129
2004	06	19	Iraq	Palestine	2	1	WAH	IR	7	1585	1304	0	0	61	129
2004	09	02	Bahrain	Palestine	1	0	F		2	1558	1302	0	−1	69	130
2004	09	08	Uzbekistan	Palestine	3	0	WQ	QA	11	1596	1291	+1	−3	63	132
2004	10	14	Taiwan	Palestine	0	1	WQ		-12	1022	1303	−1	+3	187	129
2004	11	16	Iraq	Palestine	4	1	WQ	QA	16	1534	1287	+4	−2	72	131
2005	04	11	Saudi Arabia	Palestine	3	0	ILG		6	1596	1281	0	0	64	136
2005	12	01	Iraq	Palestine	4	0	WAG	QA	15	1535	1266	+2	−2	73	138
2005	12	03	Saudi Arabia	Palestine	2	0	WAG	QA	6	1658	1260	0	−2	52	140
2006	02	07	Syria	Palestine	3	0	F		4	1504	1256	+1	0	80	140
2006	02	16	Bahrain	Palestine	0	2	F		-27	1506	1283	−8	+4	80	136
2006	02	18	Palestine	Pakistan	3	0	F	BH	3	1286	884	+1	0	135	198
2006	02	22	China	Palestine	2	0	SQ		4	1637	1282	0	−1	53	136
2006	03	01	Palestine	Singapore	1	0	SQ	JO	25	1307	1348	+5	−7	130	115
2006	04	01	Palestine	Guam	11	0	ACH	BD	1	1308	533	0	0	130	231
2006	04	03	Palestine	Cambodia	4	0	ACH	BD	4	1312	815	+1	−1	129	207
2006	04	05	Bangladesh	Palestine	1	1	ACH		9	1050	1303	+2	−1	181	130
2006	04	09	Kyrgyzstan	Palestine	1	0	ACH	BD	26	1226	1277	+6	−5	150	135
2006	08	17	Iraq	Palestine	3	0	SQ	JO	9	1609	1268	+3	−3	58	138
2006	09	06	Iraq	Palestine	2	2	SQ	AE	-15	1594	1283	−6	+6	62	131
2006	10	11	China	Palestine	2	0	SQ	JO	8	1608	1275	+1	−2	57	134
2007	06	18	Iraq	Palestine	1	0	WAH	JO	5	1607	1270	0	−1	57	136
2007	06	20	Iran	Palestine	2	0	WAH	JO	3	1770	1267	0	−1	27	137
2007	10	08	Singapore	Palestine	4	0	WQ	QA	34	1337	1233	+11	−7	121	147
2008	08	07	Iran	Palestine	3	0	WAH		2	1761	1231	0	−1	29	148
2008	08	09	Qatar	Palestine	1	0	WAH	IR	6	1536	1225	+2	−1	75	149
2008	10	26	Palestine	Jordan	1	1	F		6	1231	1543	+2	−4	149	76
2009	03	26	Nepal	Palestine	0	0	SCQ		10	946	1221	+1	−4	191	154
2009	03	30	Kyrgyzstan	Palestine	1	1	SCQ	NP	4	1158	1217	0	0	165	153
2009	07	10	Iraq	Palestine	3	0	F		3	1532	1214	+3	0	78	153
2009	07	13	Iraq	Palestine	4	0	F		3	1535	1211	+2	−1	76	154
2009	07	18	China	Palestine	3	1	F		2	1534	1209	+1	0	78	154
2009	10	10	United Arab Emirates	Palestine	1	1	F		-7	1378	1216	−2	+2	115	154
2010	06	04	Sudan	Palestine	1	1	F		-5	1312	1221	−1	+1	128	150
2010	08	11	Mauritania	Palestine	0	0	F		-1	1142	1222	0	−1	171	151
2010	09	27	Yemen	Palestine	3	1	WAH	JO	25	1310	1197	+3	−6	129	156
2010	09	29	Iraq	Palestine	3	0	WAH	JO	8	1566	1189	+2	−1	72	157
2011	02	09	Tanzania	Palestine	1	0	F		3	1366	1186	0	0	118	157
2011	03	21	Palestine	Bangladesh	2	0	SCQ	MM	11	1197	920	+1	−1	156	195
2011	03	23	Palestine	Philippines	0	0	SCQ	MM	-12	1185	964	−1	0	157	191
