year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1938	02	12	Panama	Venezuela	2	1	CAC		14	1314	1286	−	−	69	77
1938	02	14	Panama	Colombia	2	4	CAC		-32	1282	1426	−9	+1	78	59
1938	02	16	Panama	Costa Rica	0	11	CAC		-8	1274	1843	−1	0	79	13
1938	02	20	Panama	Mexico	2	2	CAC		17	1291	1790	+4	0	75	14
1938	02	23	Panama	El Salvador	1	2	CAC		-19	1272	1431	−5	+1	80	58
1939	03	15	Haiti	Panama	1	0	F		6	1330	1266	+2	0	69	82
1939	03	19	Haiti	Panama	1	1	F		-4	1326	1270	−1	0	70	82
1939	03	24	Haiti	Panama	3	0	F		10	1336	1260	+1	0	69	82
1941	05	08	Curaçao	Panama	3	3	CCF	CR	-18	1572	1278	−1	+3	45	82
1941	05	11	Costa Rica	Panama	7	0	CCF		3	1816	1275	0	0	14	82
1941	05	15	El Salvador	Panama	4	3	CCF	CR	13	1474	1262	0	−2	56	84
1941	05	18	Panama	Nicaragua	5	2	CCF	CR	15	1277	970	+2	0	82	94
1946	02	23	Panama	Honduras	1	0	CCF	CR	33	1310	1352	+10	−3	75	68
1946	02	26	Costa Rica	Panama	7	0	CCF		7	1699	1303	0	−3	21	78
1946	03	07	El Salvador	Panama	4	1	CCF	CR	24	1499	1279	+2	−7	55	85
1946	03	10	Nicaragua	Panama	2	0	CCF	CR	66	1008	1213	+2	−4	95	89
1946	03	13	Guatemala	Panama	3	3	CCF	CR	-19	1545	1232	−2	+2	48	87
1946	11	05	El Salvador	Panama	2	3	F		-18	1486	1250	0	0	56	88
1946	11	10	El Salvador	Panama	3	3	F		-7	1479	1257	0	0	56	88
1946	12	09	Panama	Guatemala	4	2	CAC	CO	50	1307	1495	+11	−5	77	55
1946	12	13	Panama	Puerto Rico	12	1	CAC	CO	10	1317	889	+1	0	76	100
1946	12	16	Panama	Venezuela	2	1	CAC	CO	17	1334	1251	+2	−1	74	88
1946	12	17	Curaçao	Panama	2	2	CAC	CO	-10	1516	1344	−2	+2	52	72
1946	12	20	Colombia	Panama	2	1	CAC		8	1495	1336	0	−2	55	74
1946	12	21	Panama	Costa Rica	2	0	CAC	CO	49	1385	1545	+5	−7	69	49
1948	03	01	Costa Rica	Panama	7	0	CCF	GT	28	1603	1357	+4	−4	38	78
1948	03	04	Curaçao	Panama	3	1	CCF	GT	25	1502	1332	0	−1	57	79
1948	03	07	Panama	El Salvador	2	1	CCF	GT	31	1363	1383	+3	−6	76	73
1948	03	09	Guatemala	Panama	4	3	CCF		12	1466	1351	+1	−3	58	79
1948	03	10	Costa Rica	Panama	3	1	CCF	GT	13	1631	1338	+2	0	36	79
1948	03	14	Panama	Curaçao	5	2	CCF	GT	53	1391	1361	+8	−9	71	76
1948	03	16	Panama	El Salvador	2	0	CCF	GT	45	1436	1420	+8	−8	63	66
1948	03	21	Guatemala	Panama	4	5	CCF		-34	1440	1470	−6	+6	64	58
1949	08	03	El Salvador	Panama	3	1	F		14	1406	1456	+3	0	70	62
1949	08	04	El Salvador	Panama	2	3	F		-11	1395	1467	−1	0	71	62
1951	02	27	Panama	Costa Rica	2	0	CCF		39	1506	1546	+8	−6	55	47
1951	02	28	Panama	Nicaragua	4	0	CCF		2	1508	969	0	0	55	113
1951	03	02	Panama	Costa Rica	1	1	CCF		-4	1504	1550	−2	0	57	48
1951	03	04	Panama	Nicaragua	6	2	CCF		2	1506	964	+2	0	55	113
1952	03	16	Chile	Panama	6	1	PAC		21	1661	1485	+2	−6	30	63
1952	03	23	Peru	Panama	7	1	PAC	CL	21	1753	1464	+3	−1	16	64
1952	04	06	Uruguay	Panama	6	1	PAC	CL	7	1929	1457	0	−2	7	66
1952	04	10	Mexico	Panama	4	2	PAC	CL	18	1675	1439	+3	−2	28	68
1952	04	13	Brazil	Panama	5	0	PAC	CL	4	2008	1435	0	0	2	68
1953	03	10	Costa Rica	Panama	3	0	CCF		17	1599	1418	+2	−2	40	74
1953	03	12	Netherlands Antilles	Panama	4	2	CCF	CR	30	1515	1388	+8	−5	55	79
1953	03	14	Nicaragua	Panama	2	0	CCF	CR	69	1018	1319	+3	−7	117	86
1953	03	17	Guatemala	Panama	2	2	CCF	CR	-9	1439	1328	−4	+2	72	84
1953	03	19	El Salvador	Panama	2	1	CCF	CR	25	1347	1303	+4	−8	82	92
