year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1927	11	01	Peru	Uruguay	0	4	SA		-12	1588	2040	−	0	30	1
1927	11	13	Peru	Bolivia	3	2	SA		4	1592	1258	0	0	30	59
1927	11	27	Peru	Argentina	1	5	SA		-14	1578	2007	−1	+1	31	2
1929	11	03	Argentina	Peru	3	0	SA		3	2053	1575	0	−1	2	32
1929	11	11	Uruguay	Peru	4	1	SA	AR	8	1980	1567	0	−3	3	35
1929	11	16	Paraguay	Peru	5	0	SA	AR	26	1777	1541	0	−4	15	39
1930	07	14	Romania	Peru	3	1	WC	UY	42	1603	1499	+4	−2	31	41
1930	07	18	Uruguay	Peru	1	0	WC		2	1970	1497	0	0	4	41
1935	01	13	Peru	Uruguay	0	1	SA		-5	1492	1969	−1	+1	50	4
1935	01	20	Peru	Argentina	1	4	SA		-7	1485	2034	0	+1	50	2
1935	01	26	Peru	Chile	1	0	SA		28	1513	1602	+4	−7	46	35
1936	08	06	Peru	Finland	7	3	OG	DE	46	1559	1402	+5	−3	42	57
1936	12	27	Brazil	Peru	3	2	SA	AR	8	1867	1551	0	0	10	42
1937	01	06	Uruguay	Peru	4	2	SA	AR	7	1947	1544	+1	−1	4	43
1937	01	16	Argentina	Peru	1	0	SA		2	2028	1542	0	−1	2	44
1937	01	21	Chile	Peru	2	2	SA	AR	-7	1638	1549	−3	+1	32	43
1937	01	24	Peru	Paraguay	1	0	SA	AR	39	1588	1736	+4	−2	39	16
1938	08	08	Colombia	Peru	2	4	BG		-24	1391	1612	0	+3	60	39
1938	08	11	Peru	Ecuador	9	1	BG	CO	15	1627	1312	+4	−3	35	72
1938	08	14	Peru	Bolivia	3	0	BG	CO	8	1635	1273	0	−1	35	81
1938	08	17	Peru	Venezuela	2	1	BG	CO	4	1639	1246	+1	0	34	84
1939	01	15	Peru	Ecuador	5	2	SA		7	1646	1311	+3	−1	31	74
1939	01	22	Peru	Chile	3	1	SA		23	1669	1581	+5	−3	26	42
1939	01	29	Peru	Paraguay	3	0	SA		44	1713	1726	+8	−1	18	16
1939	02	12	Peru	Uruguay	2	1	SA		30	1743	1849	+2	−2	15	11
1941	01	19	Peru	Argentina	1	1	SZP		9	1752	2078	0	0	17	1
1941	01	26	Peru	Argentina	1	1	SZP		9	1761	2069	0	−1	17	2
1941	01	29	Peru	Argentina	0	3	SZP		-12	1749	2081	0	+1	17	1
1941	02	09	Chile	Peru	1	0	SA		29	1629	1720	+5	0	37	17
1941	02	12	Argentina	Peru	2	1	SA	CL	6	2087	1714	0	0	1	17
1941	02	23	Peru	Ecuador	4	0	SA	CL	7	1721	1264	0	−1	17	83
1941	02	26	Uruguay	Peru	2	0	SA	CL	19	1929	1702	+1	−4	6	21
1942	01	18	Paraguay	Peru	1	1	SA	UY	1	1689	1701	+1	0	23	21
1942	01	21	Brazil	Peru	2	1	SA	UY	13	1897	1688	0	−3	8	24
1942	01	25	Argentina	Peru	3	1	SA	UY	6	2129	1682	0	−2	1	26
1942	01	28	Peru	Ecuador	2	1	SA	UY	4	1686	1253	+1	0	25	87
1942	02	01	Uruguay	Peru	3	0	SA		9	1972	1677	0	−1	5	26
1942	02	07	Chile	Peru	0	0	SA	UY	7	1591	1670	+2	0	42	26
1947	12	06	Paraguay	Peru	2	2	SA	EC	-7	1757	1677	−2	+1	17	30
1947	12	09	Chile	Peru	2	1	SA	EC	28	1669	1649	+4	−3	30	33
1947	12	11	Argentina	Peru	3	2	SA	EC	4	2100	1645	0	−1	1	34
1947	12	20	Ecuador	Peru	0	0	SA		19	1224	1626	+2	−1	93	35
1947	12	23	Peru	Colombia	5	1	SA	EC	25	1651	1424	+2	−3	33	64
1947	12	25	Uruguay	Peru	1	0	SA	EC	14	1834	1637	+1	−2	14	35
1947	12	27	Peru	Bolivia	2	0	SA	EC	9	1646	1283	+2	−2	33	88
1949	04	10	Peru	Colombia	4	0	SA	BR	18	1664	1383	+4	−4	29	73
1949	04	13	Paraguay	Peru	3	1	SA	BR	19	1868	1645	+1	−4	10	33
1949	04	20	Peru	Ecuador	4	0	SA	BR	7	1652	1204	+1	−1	32	98
1949	04	24	Brazil	Peru	7	1	SA		9	1968	1643	0	+1	5	31
1949	04	27	Peru	Bolivia	3	0	SA	BR	17	1660	1375	+2	−4	29	75
1949	04	30	Peru	Chile	3	0	SA	BR	39	1699	1583	+4	−6	25	40
1949	05	04	Peru	Uruguay	4	3	SA	BR	33	1732	1776	+5	−2	20	15
1952	03	23	Peru	Panama	7	1	PAC	CL	21	1753	1464	+3	−1	16	64
1952	03	30	Uruguay	Peru	5	2	PAC	CL	27	1922	1726	+3	−4	7	20
1952	04	02	Chile	Peru	3	2	PAC		20	1721	1706	+3	−4	21	24
1952	04	10	Brazil	Peru	0	0	PAC	CL	-18	2004	1724	0	+4	2	20
1952	04	20	Peru	Mexico	3	0	PAC	CL	38	1762	1637	+5	−5	16	33
1953	02	22	Peru	Bolivia	0	1	SA		-46	1716	1469	−3	+8	20	65
1953	02	28	Peru	Ecuador	1	0	SA		2	1718	1251	0	0	19	104
1953	03	04	Peru	Chile	0	0	SA		-5	1713	1754	−1	0	21	17
1953	03	08	Peru	Paraguay	2	2	SA		3	1716	1854	+1	0	20	11
1953	03	19	Peru	Brazil	1	0	SA		41	1757	2031	+2	0	18	3
1953	03	28	Peru	Uruguay	0	3	SA		-48	1709	1873	−5	+3	22	10
1953	07	26	Peru	Chile	1	2	PCF		-19	1690	1738	0	+2	23	19
1953	07	28	Peru	Chile	5	0	PCF		26	1716	1712	+2	−4	21	23
1954	09	17	Chile	Peru	2	1	PCF		13	1677	1703	+1	0	27	21
1954	09	19	Chile	Peru	2	4	PCF		-27	1650	1730	−3	+3	30	18
1955	03	06	Chile	Peru	5	4	SA		23	1679	1707	+4	−1	26	20
1955	03	13	Peru	Ecuador	4	2	SA	CL	6	1713	1262	0	−1	20	112
1955	03	16	Argentina	Peru	2	2	SA	CL	-20	2071	1733	0	+1	2	19
1955	03	23	Paraguay	Peru	1	1	SA	CL	-6	1806	1739	−1	+1	14	19
1955	03	30	Peru	Uruguay	2	1	SA	CL	37	1776	1892	+4	−1	15	8
1956	01	22	Argentina	Peru	2	1	SA	UY	6	2121	1770	0	0	2	16
1956	01	28	Uruguay	Peru	2	0	SA		15	1926	1755	0	−1	8	18
1956	02	01	Brazil	Peru	2	1	SA	UY	14	1934	1741	+2	−1	6	19
1956	02	05	Paraguay	Peru	1	1	SA	UY	-4	1790	1745	−1	0	15	19
1956	02	09	Chile	Peru	4	3	SA	UY	21	1822	1724	0	−2	13	21
1956	02	28	Argentina	Peru	0	0	PAC	MX	-19	2051	1743	0	+2	2	19
1956	03	04	Mexico	Peru	0	2	PAC		-39	1617	1782	−7	+3	39	16
1956	03	06	Brazil	Peru	1	0	PAC	MX	11	2005	1771	0	0	3	16
1956	03	15	Chile	Peru	2	2	PAC	MX	-1	1788	1772	0	0	14	16
1956	03	17	Costa Rica	Peru	4	2	PAC	MX	42	1773	1730	+5	−4	15	20
1957	03	10	Peru	Ecuador	2	1	SA		2	1732	1254	0	0	19	117
1957	03	16	Peru	Chile	1	0	SA		20	1752	1741	+1	−1	18	19
1957	03	23	Peru	Uruguay	3	5	SA		-36	1716	1902	−3	+4	21	6
1957	03	27	Peru	Colombia	4	1	SA		5	1721	1341	+1	0	20	97
1957	03	31	Peru	Brazil	0	1	SA		-13	1708	2020	−4	0	23	3
1957	04	06	Peru	Argentina	2	1	SA		44	1752	2115	+5	−1	18	2
1957	04	09	Peru	Argentina	1	4	F		-6	1746	2121	0	0	18	2
1957	04	13	Peru	Brazil	1	1	WQ		8	1754	1981	0	0	18	4
1957	04	21	Brazil	Peru	1	0	WQ		5	1986	1749	0	0	4	18
1959	03	10	Brazil	Peru	2	2	SA	AR	-20	2122	1769	0	+4	1	17
1959	03	14	Peru	Uruguay	5	3	SA	AR	54	1823	1874	+5	−4	13	10
1959	03	18	Argentina	Peru	3	1	SA		17	1955	1806	+1	−2	3	15
1959	03	21	Chile	Peru	1	1	SA	AR	11	1646	1795	0	0	39	15
1959	03	29	Bolivia	Peru	0	0	SA	AR	16	1540	1779	+3	−1	58	16
1959	04	02	Paraguay	Peru	2	1	SA	AR	27	1782	1752	+5	−5	16	21
1959	05	17	Peru	England	4	1	F		22	1774	1925	+3	−2	18	6
1960	07	10	Peru	Spain	1	3	F		-13	1761	1938	−2	+1	20	6
1961	03	19	Chile	Peru	5	2	F		15	1716	1746	+3	−3	27	24
1961	04	30	Colombia	Peru	1	0	WQ		33	1422	1713	+12	−2	85	25
1961	05	07	Peru	Colombia	1	1	WQ		-16	1697	1438	−5	+5	30	80
1962	05	20	Peru	England	0	4	F		-12	1685	1941	−1	+1	29	7
1963	03	10	Brazil	Peru	1	0	SA	BO	3	2189	1682	0	0	1	29
1963	03	13	Peru	Argentina	2	1	SA	BO	42	1724	1923	+6	−2	23	7
1963	03	17	Peru	Ecuador	2	1	SA	BO	5	1729	1325	−1	0	24	106
1963	03	21	Bolivia	Peru	3	2	SA		31	1580	1698	+11	−4	48	28
1963	03	24	Colombia	Peru	1	1	SA	BO	16	1449	1682	+2	−2	82	30
1963	03	27	Paraguay	Peru	4	1	SA	BO	41	1745	1641	+5	−9	22	39
1965	04	03	Peru	Paraguay	0	1	F		-8	1633	1802	−1	+1	39	19
1965	04	15	Chile	Peru	4	1	PCF		9	1817	1624	0	−4	17	43
1965	04	28	Peru	Chile	0	1	PCF		-11	1613	1828	−2	+1	44	15
1965	05	16	Peru	Venezuela	1	0	WQ		6	1619	1390	+4	−1	44	95
1965	06	02	Venezuela	Peru	3	6	WQ		-22	1358	1641	−6	+6	103	37
1965	06	06	Peru	Uruguay	0	1	WQ		-14	1627	1867	−4	+2	41	12
1965	06	13	Uruguay	Peru	2	1	WQ		5	1872	1622	+1	−2	11	43
1966	06	04	Brazil	Peru	4	0	F		2	2001	1620	0	0	2	42
1966	06	08	Brazil	Peru	3	1	F		2	2008	1618	0	−1	1	43
1967	07	28	Peru	Uruguay	0	1	F		-5	1613	1892	0	0	42	10
1967	07	28	Peru	Japan	1	0	F		6	1619	1547	0	−2	42	56
1967	07	30	Peru	Japan	0	0	F		-5	1614	1552	0	0	42	56
1967	07	30	Peru	Uruguay	1	2	F		-5	1609	1897	0	0	42	10
1968	07	14	Peru	Brazil	3	4	JCS		-5	1604	1995	−1	0	48	3
1968	07	17	Peru	Brazil	0	4	JCS		-9	1595	2004	−2	0	50	3
1968	08	18	Peru	Chile	1	2	PCF		-12	1583	1769	−3	+1	53	18
1968	08	21	Peru	Chile	0	0	PCF		4	1587	1765	+2	0	51	18
1968	08	29	Peru	Argentina	2	2	F		6	1593	1907	0	0	50	8
1968	09	01	Peru	Argentina	1	1	F		5	1598	1902	+2	0	48	8
1968	10	20	Peru	Mexico	3	3	F		4	1602	1841	+1	0	49	15
1969	04	07	Brazil	Peru	2	1	F		1	1996	1601	0	0	3	47
1969	04	09	Brazil	Peru	3	2	F		1	1997	1600	0	0	3	47
1969	05	08	Colombia	Peru	1	3	F		-12	1417	1612	−2	+1	87	46
1969	05	14	El Salvador	Peru	1	4	F		-20	1535	1632	−5	+1	65	45
1969	05	20	Mexico	Peru	0	1	F		-17	1799	1649	0	+5	17	40
1969	05	22	Mexico	Peru	3	0	F		7	1806	1642	0	−2	17	42
1969	06	18	Peru	Colombia	1	1	F		-7	1635	1431	−1	+2	43	85
1969	06	27	Peru	Uruguay	1	0	F		13	1648	1828	+2	−1	41	13
1969	07	09	Peru	Paraguay	2	1	F		10	1658	1737	+5	−1	36	25
1969	07	18	Peru	Paraguay	2	1	F		9	1667	1728	0	0	36	25
1969	08	03	Peru	Argentina	1	0	WQ		25	1692	1822	+4	−3	32	14
1969	08	10	Bolivia	Peru	2	1	WQ		18	1650	1674	+3	−4	42	36
1969	08	17	Peru	Bolivia	3	0	WQ		23	1697	1627	+6	−4	30	46
1969	08	31	Argentina	Peru	2	2	WQ		-12	1816	1709	−2	0	16	30
1970	02	09	Peru	Romania	1	1	F		0	1709	1792	0	0	32	17
1970	02	14	Peru	Soviet Union	0	0	F		3	1712	1930	0	0	31	6
1970	02	20	Peru	Soviet Union	0	2	F		-10	1702	1940	0	0	30	6
1970	02	21	Peru	Bulgaria	1	3	F		-14	1688	1832	−4	+2	34	12
1970	02	24	Peru	Bulgaria	5	3	F		17	1705	1815	+4	−3	30	15
1970	03	05	Peru	Mexico	0	1	F		-13	1692	1702	−4	+4	34	30
1970	03	08	Peru	Mexico	1	0	F		7	1699	1695	+3	−4	31	34
1970	03	15	Mexico	Peru	3	1	F		11	1706	1688	+4	−3	30	34
1970	03	18	Mexico	Peru	3	3	F		-3	1703	1691	0	0	30	34
1970	03	31	Uruguay	Peru	2	0	F		5	1868	1686	0	0	9	34
1970	04	21	Peru	El Salvador	3	0	F		7	1693	1535	0	0	34	64
1970	06	02	Peru	Bulgaria	3	2	WC	MX	41	1734	1782	+8	−3	27	18
1970	06	06	Peru	Morocco	3	0	WC	MX	42	1776	1620	+7	−9	20	46
1970	06	10	West Germany	Peru	3	1	WC	MX	17	2046	1759	0	−4	3	23
1970	06	14	Brazil	Peru	4	2	WC	MX	11	2109	1748	0	−1	1	23
1971	07	27	Peru	Paraguay	0	0	F		-3	1745	1728	0	+1	23	28
