year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1913	02	04	Philippines	China	2	1	FEG		34	1234	1566	−	−	27	18
1915	05	17	China	Philippines	1	0	FEG		3	1569	1231	+1	0	19	28
1915	05	18	China	Philippines	0	0	FEG		-17	1552	1248	−1	0	20	28
1915	05	20	China	Philippines	1	1	FEG		-16	1536	1264	0	0	20	28
1915	05	00	China	Philippines	3	1	FT		5	1541	1259	0	0	20	28
1917	05	10	Japan	Philippines	2	15	FEG		-79	1196	1338	−1	+2	31	29
1917	05	11	China	Philippines	3	0	FEG	JP	15	1581	1323	0	0	20	29
1919	05	12	Philippines	China	0	2	FEG		-17	1306	1598	0	+1	30	20
1919	05	13	Philippines	China	2	1	FEG		30	1336	1568	0	−1	30	21
1919	05	15	Philippines	China	1	2	FEG		-13	1323	1581	0	0	30	21
1921	05	30	Philippines	Japan	3	1	FEG	CN	19	1342	1177	0	0	35	37
1921	05	31	China	Philippines	1	0	FEG		5	1586	1337	+1	0	23	35
1923	05	22	China	Philippines	3	0	FEG	JP	13	1606	1324	0	0	29	47
1923	05	23	Japan	Philippines	1	2	FEG		-17	1153	1341	0	0	49	47
1925	05	17	Philippines	Japan	4	0	FEG		11	1352	1133	0	0	51	56
1925	05	22	Philippines	China	1	5	FEG		-24	1328	1609	0	+3	51	26
1927	08	29	Japan	Philippines	2	1	FEG	CN	30	1156	1298	0	0	59	54
1927	08	31	China	Philippines	3	1	FEG		6	1586	1292	0	0	29	54
1930	05	25	Japan	Philippines	7	2	FEG		44	1200	1248	0	−4	64	63
1930	05	27	China	Philippines	5	0	FEG	JP	10	1596	1238	+1	0	30	63
1934	05	12	Philippines	China	0	2	FEG		-12	1226	1594	0	+3	75	36
1934	05	15	Philippines	Japan	3	4	FEG		-27	1199	1228	−1	+1	76	75
1934	05	19	Philippines	Dutch East Indies	3	2	FEG		30	1229	1468	+1	−3	75	51
1940	06	16	Japan	Philippines	1	0	EAM		12	1291	1217	+4	−1	78	90
1948	02	21	Hong Kong	Philippines	4	1	F		6	1413	1211	+1	0	68	96
1948	05	05	Philippines	China	0	4	F		-5	1206	1626	0	0	96	36
1950	02	19	Hong Kong	Philippines	6	1	F		6	1428	1200	0	−1	67	103
1953	04	04	Philippines	Hong Kong	1	7	F		-13	1187	1456	−1	+5	109	67
1953	06	20	Singapore	Philippines	3	1	F		7	1303	1180	+2	0	92	110
1954	05	03	Philippines	South Vietnam	2	3	ASG		-14	1166	1401	0	+2	121	86
1954	05	06	Philippines	Taiwan	0	4	ASG		-6	1160	1712	0	+1	121	22
1956	00	00	Philippines	Japan	0	2	SEG		-27	1133	1320	−4	+10	125	92
1956	00	00	Philippines	Japan	0	3	SEG		-26	1107	1346	−4	+10	125	92
1956	02	25	Philippines	South Korea	0	2	SQ		-6	1101	1580	0	+1	125	44
1956	04	21	South Korea	Philippines	3	0	SQ		2	1582	1099	+1	0	44	125
1956	11	10	Philippines	United States	0	4	F		-4	1095	1558	0	+2	129	54
1958	05	09	Philippines	Indonesia	1	2	F		-3	1092	1495	0	+1	132	65
1958	05	13	Philippines	Indonesia	0	3	F		-5	1087	1500	−1	+1	133	65
1958	05	23	India	Philippines	4	2	F	JP	2	1556	1085	+1	−1	56	134
1958	05	25	Hong Kong	Philippines	4	1	ASG	JP	6	1511	1079	−1	0	64	134
1958	05	26	Japan	Philippines	0	1	ASG		-36	1313	1115	−3	+4	102	130
1958	05	30	Indonesia	Philippines	5	2	ASG	JP	6	1542	1109	+2	−1	57	131
1959	03	29	Philippines	Hong Kong	0	7	SQ		-14	1095	1523	−1	+4	134	62
1959	03	31	Philippines	Taiwan	4	7	SQ		-3	1092	1738	0	+1	134	23
1962	08	26	Malaya	Philippines	15	1	ASG	ID	14	1468	1078	+3	−1	78	143
1962	08	27	Indonesia	Philippines	6	0	ASG		4	1516	1074	0	−1	66	144
1962	08	30	South Vietnam	Philippines	6	0	ASG	ID	8	1480	1066	+2	0	75	144
1962	09	12	Indonesia	Philippines	9	0	MRD	AY	6	1501	1060	0	−1	70	145
1962	09	13	Singapore	Philippines	5	0	MRD	AY	19	1218	1041	+3	0	126	145
1962	09	16	South Vietnam	Philippines	6	0	MRD	AY	7	1417	1034	+4	0	87	145
1963	12	15	Philippines	Taiwan	0	7	F		-2	1032	1651	0	0	148	34
1967	07	28	Taiwan	Philippines	9	0	SQ		7	1390	1025	0	0	98	157
1967	08	01	Indonesia	Philippines	6	0	SQ	TW	6	1469	1019	+2	0	73	157
1967	08	03	Japan	Philippines	2	0	SQ	TW	2	1566	1017	+1	0	51	157
1967	08	05	South Korea	Philippines	7	0	SQ	TW	7	1462	1010	+6	0	74	157
1967	09	27	Japan	Philippines	15	0	OQ		3	1583	1007	0	0	51	157
1967	10	01	South Vietnam	Philippines	10	0	OQ	JP	9	1428	998	+2	−1	90	158
1967	10	03	Taiwan	Philippines	7	2	OQ	JP	7	1407	991	+2	0	94	158
1967	10	06	Lebanon	Philippines	11	1	OQ	JP	11	1381	980	+3	−1	100	159
1967	10	09	South Korea	Philippines	5	0	OQ	JP	2	1595	978	0	−1	50	160
1971	08	05	India	Philippines	5	1	MRD	MY	4	1407	974	0	0	90	163
1971	08	09	Hong Kong	Philippines	2	1	MRD	MY	6	1207	968	0	−1	134	164
1971	08	11	Indonesia	Philippines	3	1	MRD	MY	3	1432	965	+2	0	82	164
1971	08	13	Burma	Philippines	2	0	MRD	MY	1	1620	964	0	0	44	164
1971	08	15	Philippines	Singapore	4	4	MRD	MY	7	971	1126	0	0	164	145
1971	08	17	Philippines	Thailand	3	1	MRD	MY	39	1010	1264	+4	−9	160	123
1971	08	24	Thailand	Philippines	1	0	FT	SG	6	1270	1004	0	0	123	160
1971	09	25	Philippines	Taiwan	3	0	OQ	KR	60	1064	1246	+3	−17	157	129
1971	09	27	Japan	Philippines	8	1	OQ	KR	6	1529	1058	+2	0	63	157
1971	09	29	South Korea	Philippines	6	0	OQ		2	1601	1056	0	0	49	157
1971	10	02	Malaysia	Philippines	5	0	OQ	KR	7	1459	1049	0	−1	75	158
1972	06	08	Philippines	Singapore	2	0	JAT	ID	27	1076	1090	+3	−6	155	154
1972	06	12	Philippines	Thailand	1	0	JAT	ID	21	1097	1193	+3	−6	152	136
1972	06	14	Khmer Republic	Philippines	4	0	JAT	ID	11	1358	1086	+3	−3	104	155
1972	07	14	Malaysia	Philippines	1	0	MRD		2	1452	1084	+1	0	75	155
1972	07	16	Khmer Republic	Philippines	2	2	MRD	MY	-10	1344	1094	−1	+1	107	154
1972	07	18	Japan	Philippines	5	1	MRD	MY	4	1550	1090	+2	−1	60	155
1972	07	20	Philippines	Sri Lanka	4	1	MRD	MY	18	1108	956	+3	0	152	164
1972	07	29	Thailand	Philippines	4	0	MRD	MY	21	1225	1087	+3	−2	131	155
1972	08	02	Indonesia	Philippines	3	0	FT	SG	6	1447	1081	0	0	79	155
1972	08	04	Japan	Philippines	4	1	FT	SG	4	1509	1077	0	0	64	155
1972	09	21	Burma	Philippines	4	0	PRS	KR	2	1637	1075	0	0	40	155
1972	09	23	Singapore	Philippines	5	0	PRS	KR	28	1129	1047	+4	−2	148	157
1972	09	25	Indonesia	Philippines	12	0	PRS	KR	6	1500	1041	0	−1	64	158
1972	09	27	Khmer Republic	Philippines	1	0	PRS	KR	6	1301	1035	0	0	114	158
1972	10	29	Philippines	Australia	0	6	F		-2	1033	1705	0	0	158	31
1974	09	03	Japan	Philippines	4	0	ASG	IR	6	1472	1027	+2	−1	71	159
1974	09	05	Israel	Philippines	6	0	ASG	IR	1	1729	1026	0	0	27	159
1974	09	07	Malaysia	Philippines	11	0	ASG	IR	9	1452	1017	+1	0	78	159
1976	03	14	Japan	Philippines	3	0	OQ		3	1472	1014	0	0	72	160
1976	03	17	Japan	Philippines	3	0	OQ		3	1475	1011	+1	−1	71	161
1976	04	07	Philippines	Taiwan	1	0	FT	US	22	1033	1178	+3	−2	158	137
1977	11	20	Philippines	Brunei	4	1	SEG	MY	19	1052	846	+1	−1	157	176
1977	11	21	Malaysia	Philippines	5	0	SEG		4	1472	1048	+1	0	72	157
1977	11	23	Indonesia	Philippines	1	1	SEG	MY	-13	1319	1061	−2	+2	110	155
1978	12	23	Philippines	Macao	1	2	SQ		-27	1034	1057	−7	+5	160	155
1978	12	25	Philippines	China	0	3	SQ		-3	1031	1650	0	+1	160	40
1978	12	27	Philippines	South Korea	0	5	SQ		-1	1030	1821	0	0	160	17
1980	02	23	Macao	Philippines	4	1	F		12	1062	1018	+2	−1	153	161
1980	03	21	Brunei	Philippines	2	0	OQ	MY	44	885	974	+2	−4	176	165
1980	03	24	Japan	Philippines	10	0	OQ	MY	6	1468	968	+2	0	77	165
1980	03	27	South Korea	Philippines	8	0	OQ	MY	1	1778	967	0	0	22	165
1980	03	31	Indonesia	Philippines	4	0	OQ	MY	17	1196	950	+2	0	136	165
1980	04	02	Malaysia	Philippines	8	0	OQ		2	1519	948	0	0	68	165
1981	02	26	Philippines	Japan	0	6	F		-4	944	1461	0	+3	166	76
1981	06	18	Philippines	Taiwan	0	2	F		-11	933	1152	−3	+2	170	142
1981	08	14	Indonesia	Philippines	3	0	JAT		6	1187	927	+1	0	138	170
1981	12	09	Philippines	Singapore	0	4	SEG		-16	911	1265	−4	+4	174	119
1981	12	11	Philippines	Indonesia	0	2	SEG		-13	898	1248	−1	+5	175	124
1982	05	02	Nepal	Philippines	1	0	KNG	TH	13	946	885	+2	−3	167	178
1982	05	04	Thailand	Philippines	2	0	KNG		1	1398	884	0	0	89	178
1982	05	06	Singapore	Philippines	1	0	KNG	TH	4	1230	880	+1	0	132	178
1983	05	30	Malaysia	Philippines	0	0	SEG	SG	-15	1212	895	−5	+3	135	174
1983	06	01	Singapore	Philippines	5	0	SEG		4	1299	891	+1	−1	110	175
1983	09	04	Japan	Philippines	7	0	OQ		1	1525	890	0	0	65	175
1983	09	07	Japan	Philippines	10	1	OQ		1	1526	889	0	0	65	175
1984	08	07	Syria	Philippines	2	0	SQ	ID	5	1316	884	0	−2	110	176
1984	08	09	Thailand	Philippines	3	0	SQ	ID	4	1399	880	0	0	90	176
1984	08	11	Indonesia	Philippines	1	0	SQ		4	1144	876	0	−1	144	177
1984	08	13	Bangladesh	Philippines	3	2	SQ	ID	15	986	861	0	−2	165	179
1984	08	15	Iran	Philippines	7	1	SQ	ID	1	1728	860	0	0	31	179
1985	03	24	Brunei	Philippines	4	1	ING		15	938	845	0	0	172	180
1985	12	10	Malaysia	Philippines	6	0	SEG	TH	6	1315	839	+2	0	106	182
1985	12	12	Thailand	Philippines	7	0	SEG		5	1227	834	+1	0	129	182
1986	07	20	Brunei	Philippines	2	1	ING		8	912	826	+2	0	173	183
1986	08	08	Philippines	Russia	0	5	PRS		0	826	1960	0	0	183	7
1987	04	03	Hong Kong	Philippines	5	0	OQ		2	1335	824	+1	0	102	183
1987	04	10	China	Philippines	9	0	OQ		1	1589	823	0	0	52	183
1987	04	13	China	Philippines	10	0	OQ		1	1590	822	0	0	52	183
