year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1921	12	18	Spain	Portugal	3	1	F		2	2024	1698	0	−	1	18
1922	12	17	Portugal	Spain	1	2	F		-4	1694	2034	0	0	18	1
1923	12	16	Spain	Portugal	3	0	F		3	2027	1691	0	0	1	20
1925	05	17	Portugal	Spain	0	2	F		-8	1683	1980	−1	0	23	2
1925	06	18	Portugal	Italy	1	0	F		8	1691	1713	+1	0	22	19
1926	04	18	France	Portugal	4	2	F		17	1571	1674	+3	−1	30	25
1926	12	26	Portugal	Hungary	3	3	F		2	1676	1833	0	0	24	10
1927	03	16	Portugal	France	4	0	F		10	1686	1587	0	−2	24	31
1927	04	17	Italy	Portugal	3	1	F		8	1773	1678	+1	0	13	24
1928	01	08	Portugal	Spain	2	2	F		6	1684	1997	+1	0	23	3
1928	04	01	Portugal	Argentina	0	0	F		6	1690	2001	0	0	23	2
1928	04	15	Portugal	Italy	4	1	F		18	1708	1790	+4	−1	19	13
1928	04	29	France	Portugal	1	1	F		1	1575	1707	0	0	33	19
1928	05	27	Portugal	Chile	4	2	OG	NL	22	1729	1486	0	−3	19	43
1928	05	29	Portugal	Yugoslavia	2	1	OG	NL	20	1749	1593	+1	−1	18	29
1928	06	04	Egypt	Portugal	2	1	OG	NL	33	1751	1716	+3	−3	17	20
1929	03	17	Spain	Portugal	5	0	F		6	1907	1710	0	−1	8	19
1929	03	24	France	Portugal	2	0	F		17	1587	1693	+4	−1	31	20
1929	12	01	Italy	Portugal	6	1	F		5	1928	1688	0	0	6	19
1930	01	12	Portugal	Czechoslovakia	1	0	F		13	1701	1901	+1	0	18	9
1930	02	23	Portugal	France	2	0	F		6	1707	1541	0	−1	18	38
1930	06	08	Belgium	Portugal	2	1	F		9	1661	1698	+3	0	23	18
1930	11	30	Portugal	Spain	0	1	F		-6	1692	1932	−1	+1	20	6
1931	04	12	Portugal	Italy	0	2	F		-8	1684	1973	−1	0	21	5
1931	05	31	Portugal	Belgium	3	2	F		5	1689	1603	0	−1	21	31
1932	05	03	Portugal	Yugoslavia	3	2	F		4	1693	1556	0	0	20	37
1933	01	29	Portugal	Hungary	1	0	F		11	1704	1813	+1	0	19	11
1933	04	02	Spain	Portugal	3	0	F		5	1929	1699	0	0	8	19
1934	03	11	Spain	Portugal	9	0	WQ		14	1924	1685	0	−1	7	21
1934	03	18	Portugal	Spain	1	2	WQ		-12	1673	1936	−1	+1	22	6
1935	05	05	Portugal	Spain	3	3	F		5	1678	1966	+2	0	22	5
1936	01	26	Portugal	Austria	2	3	F		-6	1672	1913	−2	0	24	7
1936	02	27	Portugal	Germany	1	3	F		-10	1662	1913	−2	+2	26	7
1938	01	09	Portugal	Hungary	4	0	F		28	1690	1925	+3	−1	21	6
1938	04	24	Germany	Portugal	1	1	F		-6	1848	1696	−1	0	11	21
1938	05	01	Switzerland	Portugal	2	1	WQ	IT	22	1682	1674	+4	−4	23	25
1938	11	06	Switzerland	Portugal	1	0	F		6	1712	1668	+1	−2	18	26
1939	02	12	Portugal	Switzerland	2	4	F		-17	1651	1727	−5	+2	32	17
1940	01	28	France	Portugal	3	2	F		6	1690	1645	+2	−1	24	34
1941	01	12	Portugal	Spain	2	2	F		5	1650	1942	+1	0	34	5
1941	03	16	Spain	Portugal	5	1	F		4	1946	1646	0	0	5	34
1942	01	01	Portugal	Switzerland	3	0	F		18	1664	1736	+6	0	28	16
1945	03	11	Portugal	Spain	2	2	F		5	1669	1940	0	0	29	6
1945	05	06	Spain	Portugal	4	2	F		3	1943	1666	0	0	6	29
1945	05	21	Switzerland	Portugal	1	0	F		5	1754	1661	0	−1	15	29
1946	04	14	Portugal	France	2	1	F		8	1669	1675	+1	−1	28	24
1946	06	16	Portugal	Ireland	3	1	F		11	1680	1675	+7	−2	23	25
1947	01	05	Portugal	Switzerland	2	2	F		0	1680	1780	0	0	24	15
1947	01	26	Portugal	Spain	4	1	F		24	1704	1901	+3	−1	21	7
1947	03	23	France	Portugal	1	0	F		7	1716	1697	+2	−2	18	23
1947	05	04	Ireland	Portugal	0	2	F		-19	1681	1716	−3	+5	25	18
1947	05	25	Portugal	England	0	10	F		-16	1700	1976	−3	+1	21	4
1947	11	23	Portugal	France	2	4	F		-17	1683	1760	−2	+1	26	17
1948	03	21	Spain	Portugal	2	0	F		4	1892	1679	0	−1	7	28
1948	05	23	Portugal	Ireland	2	0	F		11	1690	1670	+3	−4	25	30
1949	02	27	Italy	Portugal	4	1	F		4	1975	1686	0	−1	4	28
1949	03	20	Portugal	Spain	1	1	F		3	1689	1882	+2	0	26	8
1949	05	15	Portugal	Wales	3	2	F		11	1700	1830	0	0	26	11
1949	05	22	Ireland	Portugal	1	0	F		9	1643	1691	+2	0	32	26
1950	04	02	Spain	Portugal	5	1	WQ		11	1906	1680	0	−1	9	27
1950	04	09	Portugal	Spain	2	2	WQ		7	1687	1899	0	0	27	9
1950	05	14	Portugal	England	3	5	F		-5	1682	2066	0	0	27	2
1950	05	21	Portugal	Scotland	2	2	F		5	1687	1954	0	0	27	6
1951	04	08	Portugal	Italy	1	4	F		-9	1678	1990	0	0	27	4
1951	05	12	Wales	Portugal	2	1	F		5	1753	1673	0	−2	15	29
1951	05	19	England	Portugal	5	2	F		3	1985	1670	+1	0	4	29
1951	06	17	Portugal	Belgium	1	1	F		-3	1667	1677	0	0	29	28
1952	04	20	France	Portugal	3	0	F		10	1740	1657	+2	0	18	30
1952	11	23	Portugal	Austria	1	1	F		3	1660	1874	+1	−1	28	10
1952	12	14	Portugal	Argentina	1	3	F		-4	1656	2077	−1	0	29	2
1953	09	27	Austria	Portugal	9	1	WQ		14	1873	1642	0	−3	11	32
1953	11	22	Portugal	South Africa	3	1	F		14	1656	1700	+2	−2	29	24
1953	11	29	Portugal	Austria	0	0	WQ		6	1662	1861	+1	0	28	11
1954	03	14	Belgium	Portugal	0	0	F		-5	1749	1667	0	+1	17	28
1954	11	28	Portugal	Argentina	1	3	F		-4	1663	2087	0	0	26	2
1954	12	19	Portugal	West Germany	0	3	F		-6	1657	2040	−2	0	28	3
1955	05	04	Scotland	Portugal	3	0	F		7	1804	1650	0	−2	14	32
1955	05	22	Portugal	England	3	1	F		24	1674	1976	+3	0	28	5
1955	11	20	Portugal	Sweden	2	6	F		-19	1655	1791	−3	+1	31	15
1955	12	18	Turkey	Portugal	3	1	F		11	1652	1644	+3	−4	32	35
1955	12	23	Egypt	Portugal	0	4	F		-19	1535	1663	−6	+7	58	28
1956	03	25	Portugal	Turkey	3	1	F		11	1674	1669	+1	−2	28	29
1956	04	08	Portugal	Brazil	0	1	F		-4	1670	2038	0	0	28	3
1956	06	03	Portugal	Spain	3	1	F		18	1688	1812	+2	−1	27	13
1956	06	09	Portugal	Hungary	2	2	F		7	1695	2090	0	0	27	1
1957	01	16	Portugal	Northern Ireland	1	1	WQ		-8	1687	1649	−1	0	27	38
1957	03	24	Portugal	France	0	1	F		-8	1679	1866	−2	0	28	11
1957	05	01	Northern Ireland	Portugal	3	0	WQ		29	1670	1650	+7	−6	31	35
1957	05	26	Portugal	Italy	3	0	WQ		45	1695	1806	+8	−2	27	14
1957	06	11	Brazil	Portugal	2	1	F		2	1988	1693	0	0	4	27
1957	06	16	Brazil	Portugal	3	0	F		3	1991	1690	0	0	4	27
1957	12	22	Italy	Portugal	3	0	WQ		16	1822	1674	0	−2	14	31
1958	04	13	Spain	Portugal	1	0	F		3	1869	1671	0	−1	11	32
1958	05	07	England	Portugal	2	1	F		1	2039	1670	0	0	3	32
1959	05	16	Switzerland	Portugal	4	3	F		10	1589	1660	+2	−2	48	37
1959	05	21	Sweden	Portugal	2	0	F		4	1907	1656	0	−2	8	39
1959	06	03	Portugal	Scotland	1	0	F		12	1668	1808	+4	0	35	13
1959	06	21	East Germany	Portugal	0	2	EQ		-25	1489	1693	−9	+1	74	34
1959	06	28	Portugal	East Germany	3	2	EQ		6	1699	1483	+1	0	33	74
1959	11	11	France	Portugal	5	3	F		4	1920	1695	+1	−1	5	34
1960	04	27	West Germany	Portugal	2	1	F		3	1874	1692	0	−1	11	33
1960	05	08	Portugal	Yugoslavia	2	1	EQ		26	1718	1865	+4	−2	29	12
1960	05	22	Yugoslavia	Portugal	5	1	EQ		14	1883	1704	0	−3	11	31
1961	03	19	Portugal	Luxembourg	6	0	WQ		4	1708	1262	0	0	29	116
1961	05	21	Portugal	England	1	1	WQ		9	1717	1966	+2	0	23	5
1961	06	04	Portugal	Argentina	0	2	F		-7	1710	2017	0	0	24	3
1961	10	08	Luxembourg	Portugal	4	2	WQ		53	1314	1657	+10	−12	107	38
1961	10	25	England	Portugal	2	0	WQ		5	1962	1652	0	0	5	39
1962	05	06	Brazil	Portugal	2	1	F		1	2096	1651	0	0	1	40
1962	05	09	Brazil	Portugal	1	0	F		1	2097	1650	0	0	1	40
1962	05	17	Portugal	Belgium	1	2	F		-13	1637	1666	−1	+3	41	36
1962	11	07	Bulgaria	Portugal	3	1	EQ		13	1770	1624	+3	−2	19	40
1962	12	16	Portugal	Bulgaria	3	1	EQ		34	1658	1735	+7	−4	34	22
1963	01	23	Bulgaria	Portugal	1	0	EQ	IT	16	1744	1642	0	−3	22	38
1963	04	21	Portugal	Brazil	1	0	F		16	1658	1969	+1	0	36	3
1964	04	29	Switzerland	Portugal	2	3	F		-11	1585	1669	0	+2	48	33
1964	05	03	Belgium	Portugal	1	2	F		-14	1694	1683	−1	+1	29	32
1964	05	17	Portugal	England	3	4	F		-6	1677	1948	0	0	33	4
1964	05	31	Argentina	Portugal	2	0	CON	BR	8	1944	1669	+1	−1	5	34
1964	06	04	England	Portugal	1	1	CON	BR	-10	1929	1679	−2	+1	7	33
1964	06	07	Brazil	Portugal	4	1	CON		6	1940	1673	0	−1	5	34
1964	11	15	Portugal	Spain	2	1	F		14	1687	1926	+3	−1	31	5
1965	01	24	Portugal	Turkey	5	1	WQ		27	1714	1660	+2	−7	27	36
1965	04	19	Turkey	Portugal	0	1	WQ		-23	1637	1737	−4	+4	38	24
1965	04	25	Czechoslovakia	Portugal	0	1	WQ		-33	1861	1770	−3	+3	13	21
1965	06	13	Portugal	Romania	2	1	WQ		23	1793	1907	0	−2	20	8
1965	06	24	Portugal	Brazil	0	0	F		2	1795	1964	+1	0	19	4
1965	10	31	Portugal	Czechoslovakia	0	0	WQ		0	1795	1902	0	0	16	9
1965	11	21	Romania	Portugal	2	0	WQ		17	1869	1778	+2	−4	11	20
1966	06	12	Portugal	Norway	4	0	F		5	1783	1561	0	−1	18	54
