year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1946	12	10	Costa Rica	Puerto Rico	12	0	CAC	CO	1	1655	899	0	−	34	100
1946	12	13	Panama	Puerto Rico	12	1	CAC	CO	10	1317	889	+1	0	76	100
1946	12	15	Curaçao	Puerto Rico	14	0	CAC	CO	3	1526	886	+1	0	50	100
1946	12	17	Colombia	Puerto Rico	4	1	CAC		2	1438	884	0	0	62	100
1946	12	19	Guatemala	Puerto Rico	4	1	CAC	CO	3	1420	881	0	0	64	100
1946	12	20	Venezuela	Puerto Rico	6	0	CAC	CO	8	1281	873	0	0	86	100
1949	05	10	Puerto Rico	Trinidad and Tobago	2	8	F		-2	871	1503	0	0	111	58
1949	05	11	Puerto Rico	Trinidad and Tobago	0	7	F		-2	869	1505	0	+2	111	56
1959	01	07	Netherlands Antilles	Puerto Rico	15	0	CAC	VE	3	1500	866	0	0	70	145
1959	01	10	Panama	Puerto Rico	2	1	CAC	VE	4	1257	862	0	0	117	145
1959	01	16	Venezuela	Puerto Rico	7	0	CAC		4	1309	858	0	0	104	145
1962	08	13	Jamaica	Puerto Rico	6	1	CAC		2	1361	856	0	0	104	155
1962	08	17	Netherlands Antilles	Puerto Rico	4	0	CAC	JM	1	1540	855	+2	0	57	155
1962	08	22	Cuba	Puerto Rico	2	0	CAC	JM	10	1140	845	0	0	138	155
1962	08	24	Venezuela	Puerto Rico	4	0	CAC	JM	3	1396	842	+1	0	95	155
1962	11	00	Puerto Rico	Guadeloupe	0	3	UCT		-2	840	1513	0	+6	155	65
1962	11	00	Puerto Rico	Martinique	1	6	UCT		-3	837	1467	0	−4	155	78
1963	00	00	Guadeloupe	Puerto Rico	3	0	UCT		1	1530	836	+4	0	62	155
1963	00	00	Martinique	Puerto Rico	6	0	UCT	GP	2	1453	834	−2	0	80	155
1965	00	00	Guadeloupe	Puerto Rico	4	0	UCT	MQ	1	1531	833	−6	0	68	159
1965	00	00	Martinique	Puerto Rico	4	0	UCT		1	1467	832	+3	0	78	159
1966	06	12	Puerto Rico	Netherlands Antilles	0	4	CAC		-3	829	1465	0	0	166	79
1966	06	15	Puerto Rico	Cuba	1	1	CAC		12	841	1155	0	−1	166	140
1966	06	18	Puerto Rico	El Salvador	2	2	CAC		19	860	1507	0	−4	166	64
1966	06	22	Puerto Rico	Jamaica	0	4	CAC		-11	849	1269	0	0	166	123
1967	11	00	Puerto Rico	Guadeloupe	2	4	UCT		-3	846	1438	0	−1	169	82
1967	11	00	Puerto Rico	Martinique	3	6	UCT		-2	844	1480	0	+3	169	71
1968	11	00	Guadeloupe	Puerto Rico	2	0	UCT		1	1439	843	+6	0	76	171
1968	11	00	Martinique	Puerto Rico	7	0	UCT	GP	2	1451	841	−6	0	79	171
1970	03	01	Puerto Rico	Bahamas	3	0	CAC	PA	41	882	857	+3	−4	168	170
1970	03	03	Netherlands Antilles	Puerto Rico	3	0	CAC	PA	2	1472	880	0	−1	74	169
1970	03	06	Dominican Republic	Puerto Rico	5	0	CAC	PA	29	1009	851	+1	−2	158	171
1972	04	15	Haiti	Puerto Rico	7	0	WCQ		1	1600	850	+1	0	53	175
1972	04	23	Puerto Rico	Haiti	0	5	WCQ		-2	848	1602	0	+1	175	51
1972	06	01	Puerto Rico	Panama	0	0	F		6	854	1208	0	−2	175	133
1972	12	14	Panama	Puerto Rico	5	0	F		3	1211	851	0	0	133	176
1972	12	16	Panama	Puerto Rico	0	1	F		-19	1192	870	−3	+1	136	175
1974	02	28	Nicaragua	Puerto Rico	2	1	CAC	DO	12	1036	858	+2	−1	158	176
1974	03	02	Cuba	Puerto Rico	8	0	CAC	DO	4	1425	854	+1	0	86	176
1974	03	06	Trinidad and Tobago	Puerto Rico	4	0	CAC	DO	1	1564	853	0	0	55	176
1974	03	08	Barbados	Puerto Rico	2	0	CAC	DO	6	1250	847	+1	0	129	176
1974	03	14	Puerto Rico	Panama	0	1	F		-4	843	1183	0	0	177	138
1975	00	00	Guadeloupe	Puerto Rico	2	1	F		0	1448	843	−7	0	86	177
1977	11	28	Martinique	Puerto Rico	3	1	F		0	1476	843	−1	0	72	176
1977	12	00	Puerto Rico	Martinique	0	2	F		-1	842	1477	+1	−9	175	81
1977	12	00	Puerto Rico	Martinique	4	1	F		33	875	1444	+1	−9	175	81
1978	04	00	Martinique	Puerto Rico	3	1	F		1	1435	874	−6	+2	91	173
1978	04	00	Puerto Rico	Martinique	4	1	F		33	907	1402	+2	−6	173	91
1978	07	11	Dominican Republic	Puerto Rico	0	0	CAC	CO	-2	932	909	0	+2	166	171
1978	08	20	Puerto Rico	Haiti	1	1	CUQ		19	928	1597	+4	−5	167	49
1978	08	26	Haiti	Puerto Rico	1	0	CUQ		0	1597	928	0	0	49	167
1979	07	04	Puerto Rico	Dominican Republic	1	0	PAG		20	948	942	+3	−2	166	168
1979	07	12	Puerto Rico	Costa Rica	0	4	PAG		-4	944	1581	0	+1	166	53
1981	10	19	Puerto Rico	Guadeloupe	1	1	CUC		16	960	1413	+1	−1	166	89
1981	10	21	Puerto Rico	Saint Vincent and the Grenadines	0	2	CUC		-5	955	1469	−1	+1	167	77
1981	10	25	Puerto Rico	Trinidad and Tobago	0	6	CUC		-7	948	1493	0	+2	167	74
1982	08	08	Bermuda	Puerto Rico	3	0	CAC	CU	8	1312	940	+3	−2	106	168
1982	08	10	Cuba	Puerto Rico	2	0	CAC		1	1583	939	0	0	51	168
1982	08	12	Puerto Rico	Bahamas	4	1	CAC	CU	32	971	876	+2	−5	166	178
1983	05	22	Suriname	Puerto Rico	3	2	PAQ		1	1456	970	0	0	80	166
1983	06	19	Puerto Rico	Suriname	0	1	PAQ		-4	966	1465	0	0	166	81
1984	07	29	El Salvador	Puerto Rico	5	0	WCQ		2	1493	964	+1	0	71	167
1984	08	05	Puerto Rico	El Salvador	0	3	WCQ		-5	959	1498	0	0	167	71
1986	06	25	Cuba	Puerto Rico	4	0	CAC	DO	3	1511	956	0	0	71	168
1988	05	12	Jamaica	Puerto Rico	1	0	WCQ		3	1284	953	+1	0	113	171
1988	05	29	Puerto Rico	Jamaica	1	2	WCQ		-8	945	1292	0	+4	171	109
1991	05	10	Haiti	Puerto Rico	3	2	FCQ	DO	4	1328	941	0	0	111	176
1991	05	14	Dominican Republic	Puerto Rico	3	1	FCQ		18	1010	923	+2	−1	170	177
1992	03	21	Dominican Republic	Puerto Rico	1	2	WQ		-30	982	953	−2	+2	182	184
1992	03	28	Puerto Rico	Dominican Republic	1	1	WQ		-4	949	986	−1	0	185	182
1992	05	23	Jamaica	Puerto Rico	2	1	WQ		2	1356	947	0	0	110	185
1992	05	30	Puerto Rico	Jamaica	0	1	WQ		-6	941	1362	0	+1	185	108
1993	03	11	Puerto Rico	Barbados	1	0	FCQ	GY	36	977	1276	+2	−10	190	134
1993	03	12	Guyana	Puerto Rico	0	2	FCQ		-52	1140	1029	−9	+7	165	183
1993	03	14	Puerto Rico	Cayman Islands	4	0	FCQ	GY	33	1062	951	+2	−3	181	192
1993	05	21	Puerto Rico	Sint Maarten	3	0	FQC	JM	27	1089	950	+5	−3	175	193
1993	05	23	Saint Kitts and Nevis	Puerto Rico	1	0	FQC	JM	16	1169	1073	+2	−4	160	179
1993	05	25	Jamaica	Puerto Rico	1	0	FQC		3	1415	1070	+1	−1	99	180
1994	01	23	Barbados	Puerto Rico	0	1	CBQ		-35	1280	1105	−12	+8	135	172
1994	01	25	Grenada	Puerto Rico	1	0	CBQ	BB	11	1285	1094	+4	−2	133	174
1995	05	23	Dominican Republic	Puerto Rico	3	1	FCQ		29	1040	1065	+4	−6	182	179
1995	05	25	Netherlands Antilles	Puerto Rico	2	2	FCQ	DO	-12	1294	1077	−2	+2	131	177
1995	05	27	Cuba	Puerto Rico	9	0	FCQ	DO	7	1530	1070	+1	0	71	177
1996	05	04	Puerto Rico	Saint Vincent and the Grenadines	1	2	WQ		-13	1057	1317	−2	+1	179	124
1996	05	12	Saint Vincent and the Grenadines	Puerto Rico	7	0	WQ		10	1327	1047	+2	−1	122	181
1998	03	11	Haiti	Puerto Rico	4	0	FCQ		6	1371	1041	+2	−1	113	182
1998	03	13	Dominican Republic	Puerto Rico	3	1	FCQ	HT	25	1126	1016	+5	−4	166	186
1999	03	17	Haiti	Puerto Rico	2	0	FCQ		4	1401	1012	0	0	107	186
1999	03	19	British Virgin Islands	Puerto Rico	5	0	FCQ	HT	61	871	951	+2	−7	202	193
1999	03	21	Dominican Republic	Puerto Rico	2	0	FCQ	HT	18	1112	933	+4	−4	171	197
2000	03	11	Aruba	Puerto Rico	4	2	WQ		17	1018	916	+1	−1	186	196
2000	03	18	Puerto Rico	Aruba	2	2	WQ		0	916	1018	0	0	196	186
2001	02	03	Puerto Rico	British Virgin Islands	1	2	FCQ		-29	887	877	−2	+4	198	200
2001	02	11	British Virgin Islands	Puerto Rico	0	0	FCQ		-5	872	892	−1	+1	201	197
2001	05	05	Saint Kitts and Nevis	Puerto Rico	2	0	F		2	1266	890	0	0	139	196
2001	05	06	Saint Kitts and Nevis	Puerto Rico	4	1	F		2	1268	888	0	−1	139	197
2002	07	07	Guadeloupe	Puerto Rico	4	0	CCQ		3	1326	885	0	0	125	199
2002	07	21	Puerto Rico	Guadeloupe	0	2	CCQ		-7	878	1333	−2	0	201	125
2004	11	24	Trinidad and Tobago	Puerto Rico	5	0	FCQ		1	1488	877	0	0	86	198
2004	11	26	Puerto Rico	Suriname	1	1	FCQ	TT	16	893	1245	+1	−4	197	144
2004	11	28	Grenada	Puerto Rico	5	2	FCQ	TT	7	1275	886	+1	−1	138	198
2005	10	30	Puerto Rico	Guadeloupe	1	3	F		-3	883	1356	0	0	198	111
2008	01	16	Bermuda	Puerto Rico	0	2	F		-27	1110	910	−4	+3	174	198
2008	01	18	Bermuda	Puerto Rico	0	1	F		-17	1093	927	−1	+4	175	194
2008	01	26	Puerto Rico	Trinidad and Tobago	2	2	F		9	936	1492	+1	−2	193	87
2008	03	26	Puerto Rico	Dominican Republic	1	0	WQ		22	958	1046	+1	−1	192	181
2008	06	04	Honduras	Puerto Rico	4	0	WQ		1	1697	957	0	0	41	192
2008	06	14	Puerto Rico	Honduras	2	2	WQ		19	976	1683	+3	−2	189	43
2010	10	02	Puerto Rico	Anguilla	3	1	FBQ		3	979	529	0	0	187	233
2010	10	04	Puerto Rico	Saint Martin	2	0	FBQ		19	998	928	0	−2	187	193
2010	10	06	Puerto Rico	Cayman Islands	2	0	FBQ		20	1018	958	0	−2	187	190
2010	10	22	Grenada	Puerto Rico	3	1	FBQ		7	1274	1011	0	−1	139	187
2010	10	24	Guadeloupe	Puerto Rico	3	2	FBQ	GD	3	1464	1008	+1	0	95	187
2010	10	26	Saint Kitts and Nevis	Puerto Rico	1	0	FBQ	GD	12	1169	996	+5	0	162	187
2011	09	02	Saint Kitts and Nevis	Puerto Rico	0	0	WQ		-14	1172	1010	−1	+1	161	187
2011	09	06	Puerto Rico	Canada	0	3	WQ		-4	1006	1619	0	+1	187	56
2011	10	07	Puerto Rico	Saint Kitts and Nevis	1	1	WQ		5	1011	1194	+1	0	186	157
2011	10	11	Canada	Puerto Rico	0	0	WQ		-19	1605	1030	−4	+2	59	184
2011	11	11	Puerto Rico	Saint Lucia	4	0	WQ		26	1056	997	+5	−3	179	188
2011	11	14	Puerto Rico	Saint Lucia	3	0	WQ		20	1076	977	+1	−2	178	190
2012	02	24	Nicaragua	Puerto Rico	1	0	F		6	1125	1070	+1	−1	173	179
2012	02	26	Nicaragua	Puerto Rico	4	1	F		10	1135	1060	+2	−1	171	180
2012	06	01	Puerto Rico	Nicaragua	3	1	F		14	1074	1121	+1	−4	181	174
2012	06	03	Puerto Rico	Nicaragua	1	1	F		-2	1072	1123	0	0	181	174
2012	08	15	Puerto Rico	Spain	1	2	F		0	1072	2154	0	0	182	1
2012	09	07	Puerto Rico	Bermuda	2	1	FBQ	HT	27	1099	1179	+2	−4	180	159
2012	09	09	Puerto Rico	Saint Martin	9	0	FBQ	HT	23	1122	867	+4	−1	176	206
2012	09	11	Haiti	Puerto Rico	2	1	FBQ		4	1427	1118	0	−1	104	177
2012	10	23	Martinique	Puerto Rico	2	1	FBQ	GP	8	1364	1110	+2	−1	117	178
2012	10	25	Guadeloupe	Puerto Rico	4	1	FBQ		7	1389	1103	+2	−2	110	180
2012	10	27	Dominican Republic	Puerto Rico	3	1	FBQ	GP	20	1240	1083	+5	−1	146	181
2014	09	03	Puerto Rico	Curaçao	2	2	FBQ		-9	1074	1020	−1	+1	180	186
2014	09	05	Puerto Rico	French Guiana	1	2	FBQ		-17	1057	1250	−4	+9	184	142
2014	09	07	Puerto Rico	Grenada	2	2	FBQ		0	1057	1163	−1	−1	185	167
2015	03	30	Puerto Rico	Canada	0	3	F		-4	1053	1521	0	+2	185	75
2015	06	05	Bermuda	Puerto Rico	1	1	F		-7	1228	1060	−5	+1	149	184
2015	06	12	Puerto Rico	Grenada	1	0	WQ		19	1079	1121	+2	−4	180	175
2015	06	16	Grenada	Puerto Rico	2	0	WQ		18	1139	1061	+4	−1	172	181
2016	03	26	Anguilla	Puerto Rico	0	4	FBQ		-7	552	1068	−1	0	237	184
2016	03	29	Puerto Rico	Guyana	0	1	FBQ		-16	1052	1249	−1	+4	185	148
2016	05	22	Puerto Rico	United States	1	3	F		-1	1051	1733	0	0	185	35
2016	06	01	Grenada	Puerto Rico	3	3	FBQ		-10	1137	1061	−2	0	173	185
2016	06	04	Puerto Rico	Antigua and Barbuda	2	1	FBQ		24	1085	1208	+3	−10	182	162
2016	08	28	Dominican Republic	Puerto Rico	5	0	F		8	1225	1077	+5	0	154	184
2016	08	30	Puerto Rico	Dominican Republic	0	1	F		-9	1068	1234	−1	+5	185	149
2016	09	03	India	Puerto Rico	4	1	F		11	1105	1057	+3	−1	180	186
2016	10	08	Antigua and Barbuda	Puerto Rico	2	0	FBQ		12	1209	1045	+3	0	161	186
2016	10	11	Puerto Rico	Curaçao	2	4	FBQ		-26	1019	1223	0	+10	186	155
2017	06	13	Indonesia	Puerto Rico	0	0	F		-7	1232	1026	−1	+1	152	186
2018	09	09	Saint Kitts and Nevis	Puerto Rico	1	0	CLQ		6	1246	1020	+3	0	148	189
2018	10	13	Puerto Rico	Martinique	0	1	CLQ		-5	1015	1446	0	+3	189	95
2018	11	16	Belize	Puerto Rico	1	0	CLQ		8	1155	1007	0	0	171	189
2019	03	24	Puerto Rico	Grenada	0	2	CLQ		-32	975	1110	−3	+6	192	177
2019	09	05	Honduras	Puerto Rico	4	0	F		1	1587	974	+2	0	58	192
2019	09	10	Puerto Rico	Guatemala	0	5	CLC		-7	967	1497	+1	+2	191	85
2019	10	15	Anguilla	Puerto Rico	2	3	CLC		-6	549	973	0	0	236	191
2019	11	16	Guatemala	Puerto Rico	5	0	CLC		2	1497	971	0	0	83	191
2019	11	19	Puerto Rico	Anguilla	3	0	CLC		3	974	546	0	0	191	236
2021	01	19	Dominican Republic	Puerto Rico	0	1	F		-17	1165	991	−4	0	168	191
2021	01	22	Guatemala	Puerto Rico	1	0	F		1	1487	990	0	0	84	191
2021	03	24	Saint Kitts and Nevis	Puerto Rico	1	0	WQ	DO	9	1206	981	+2	0	159	191
2021	03	28	Puerto Rico	Trinidad and Tobago	1	1	WQ		14	995	1352	0	−5	191	118
2021	06	02	Puerto Rico	Bahamas	7	0	WQ		20	1015	853	+3	0	188	205
2021	06	08	Puerto Rico	Guyana	2	0	WQ	KN	43	1058	1139	+4	−10	184	173
2022	06	09	Cayman Islands	Puerto Rico	0	3	CLC		-26	839	1084	−3	+3	207	179
2022	06	12	Puerto Rico	British Virgin Islands	6	0	CLC		3	1087	613	+1	0	178	232
2023	03	23	British Virgin Islands	Puerto Rico	1	3	CLC		-6	607	1093	0	+1	231	177
2023	03	26	Puerto Rico	Cayman Islands	5	1	CLC		9	1102	830	+1	−1	176	208
2023	06	13	Curaçao	Puerto Rico	0	0	F	US	-6	1344	1108	−1	0	119	176
2023	06	17	Puerto Rico	Suriname	0	0	CCQ	US	11	1119	1303	+3	−7	173	136
2023	06	20	Martinique	Puerto Rico	2	0	CCQ	US	10	1419	1109	+3	−3	101	176
2023	09	09	Bahamas	Puerto Rico	1	6	CLB		-23	833	1132	0	+7	206	169
2023	09	12	Puerto Rico	Antigua and Barbuda	5	0	CLB	BS	34	1166	1042	+3	−5	165	184
2023	10	14	Guyana	Puerto Rico	3	1	CLB	KN	27	1233	1139	+5	−1	155	166
2023	10	17	Guyana	Puerto Rico	3	1	CLB	KN	22	1255	1117	+5	−5	150	171
2023	11	18	Antigua and Barbuda	Puerto Rico	2	3	CLB		-22	1028	1139	−3	+5	185	166
2023	11	21	Puerto Rico	Bahamas	6	1	CLB		7	1146	816	0	0	166	208
2024	03	21	Belize	Puerto Rico	1	1	F		0	1061	1146	+1	0	179	166
2024	03	24	Belize	Puerto Rico	3	0	F		17	1078	1129	+2	−2	177	168
2024	06	06	El Salvador	Puerto Rico	0	0	WQ		-16	1381	1145	−1	+2	107	166
2024	06	11	Puerto Rico	Anguilla	8	0	WQ		2	1147	598	+1	0	165	233
2024	09	06	Puerto Rico	Haiti	1	4	CLB		-13	1134	1514	−1	+2	166	80
2024	09	09	Puerto Rico	Aruba	1	0	CLB		7	1141	943	+1	−1	165	192
2024	10	11	Sint Maarten	Puerto Rico	3	2	CLB	AW	32	924	1109	+7	−6	195	171
2024	10	14	Puerto Rico	Sint Maarten	2	1	CLB	AW	10	1119	914	+3	−2	168	197
2024	11	15	Puerto Rico	Aruba	5	1	CLB		12	1131	923	+2	0	167	194
2024	11	18	Puerto Rico	Haiti	0	3	CLB		-11	1120	1538	−2	+3	169	75
2025	03	21	Puerto Rico	Dominican Republic	2	2	F		2	1122	1285	+1	−2	170	141
2025	03	25	Dominican Republic	Puerto Rico	2	0	F		5	1290	1117	+2	−1	138	171
2025	06	01	Nicaragua	Puerto Rico	1	1	F	US	-5	1317	1122	−5	0	135	171
2025	06	06	Suriname	Puerto Rico	1	0	WQ		4	1405	1118	+1	0	101	171
2025	06	10	Puerto Rico	Saint Vincent and the Grenadines	2	1	WQ		16	1134	1137	+3	−3	168	167
2025	10	14	Argentina	Puerto Rico	6	0	F	US	0	2111	1134	0	0	2	168
2026	03	25	Puerto Rico	Guam	4	0	FFS		3	1137	710	+2	0	165	218
2026	03	28	Puerto Rico	US Virgin Islands	2	0	FFS		1	1138	628	0	−1	165	230
