year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1970	03	27	Bahrain	Qatar	2	1	GLF		15	1110	1085	+1	−	150	153
1970	03	31	Kuwait	Qatar	4	2	GLF	BH	13	1323	1072	+2	−1	109	154
1970	04	02	Qatar	Saudi Arabia	1	1	GLF	BH	11	1083	1275	+1	−2	153	120
1972	01	04	Algeria	Qatar	3	0	PAL	IQ	4	1582	1079	0	0	57	154
1972	01	06	Syria	Qatar	3	2	PAL	IQ	6	1402	1073	+1	0	91	154
1972	01	08	South Yemen	Qatar	2	1	PAL	IQ	11	1263	1062	+4	−2	123	156
1972	01	10	Palestine	Qatar	7	2	PAL	IQ	30	1185	1032	+2	−2	139	158
1972	03	17	United Arab Emirates	Qatar	1	0	GLF	SA	16	1116	1016	−	−2	150	160
1972	03	21	Bahrain	Qatar	6	2	GLF	SA	25	1164	991	+2	−2	142	162
1972	03	24	Saudi Arabia	Qatar	4	0	GLF		7	1294	984	+2	−1	113	163
1972	03	26	Kuwait	Qatar	5	0	GLF	SA	7	1387	977	+3	0	94	163
1973	00	00	Kuwait	Qatar	9	0	F		3	1389	974	+1	0	96	162
1973	01	05	Kuwait	Qatar	4	1	F		2	1391	972	0	0	96	162
1974	02	27	Qatar	Morocco	0	1	F		-1	971	1644	0	0	162	38
1974	03	16	Saudi Arabia	Qatar	2	0	GLF	KW	8	1317	963	+2	0	111	163
1974	03	22	Qatar	Oman	4	0	GLF	KW	27	990	841	0	−2	163	177
1974	03	24	Kuwait	Qatar	1	0	GLF		2	1445	988	0	0	79	163
1974	03	26	Saudi Arabia	Qatar	3	1	GLF	KW	7	1355	981	0	0	106	163
1974	03	28	Qatar	United Arab Emirates	1	1	GLF	KW	6	987	1084	0	0	163	154
1975	11	21	Iraq	Qatar	1	0	SQ		1	1550	986	0	0	56	163
1975	11	23	Qatar	Saudi Arabia	1	0	SQ	IQ	36	1022	1338	+5	−10	158	110
1975	11	25	Qatar	Afghanistan	2	1	SQ	IQ	13	1035	883	0	−2	158	173
1975	11	28	Iraq	Qatar	3	0	SQ		2	1539	1033	0	0	57	158
1975	11	30	Saudi Arabia	Qatar	2	1	SQ	IQ	5	1362	1028	+3	0	103	158
1975	12	02	Afghanistan	Qatar	1	1	SQ	IQ	8	885	1020	0	−1	173	159
1976	03	26	Qatar	Saudi Arabia	1	0	GLF		30	1050	1288	+2	−6	157	117
1976	03	28	Qatar	Kuwait	0	4	GLF		-6	1044	1588	0	+2	157	50
1976	04	01	Qatar	United Arab Emirates	3	1	GLF		22	1066	1022	+1	−1	155	157
1976	04	03	Qatar	Iraq	0	0	GLF		17	1083	1587	+1	−3	154	51
1976	04	07	Qatar	Oman	4	1	GLF		8	1091	819	0	0	154	177
1976	04	10	Qatar	Bahrain	3	0	GLF		28	1119	1097	+6	−4	148	152
1977	03	08	Qatar	Tunisia	1	0	F		18	1137	1606	+3	−4	144	47
1977	03	13	Qatar	Bahrain	2	0	WQ		19	1156	1082	+4	−3	140	153
1977	03	15	Qatar	Kuwait	0	2	WQ		-5	1151	1660	0	0	140	38
1977	03	19	Qatar	Bahrain	0	3	WQ		-51	1100	1132	−10	+6	150	147
1977	03	21	Qatar	Kuwait	1	4	WQ		-5	1095	1666	−1	+1	151	38
1978	12	10	Iraq	Qatar	2	1	ASG	TH	2	1605	1093	+2	0	46	150
1978	12	12	Qatar	Saudi Arabia	2	2	ASG	TH	13	1106	1349	+1	−8	149	104
1978	12	14	China	Qatar	3	0	ASG	TH	4	1585	1102	0	0	51	149
1979	03	02	Qatar	Afghanistan	3	0	SQ	BD	18	1120	900	+4	−4	145	173
1979	03	03	Bangladesh	Qatar	1	1	SQ		2	985	1118	0	0	164	145
1979	03	06	Qatar	Afghanistan	3	0	SQ	BD	15	1133	875	+1	−1	144	175
1979	03	07	Bangladesh	Qatar	1	3	SQ		-27	968	1160	0	+6	164	138
1979	03	24	Kuwait	Qatar	3	1	GLF	IQ	4	1644	1156	0	−1	41	139
1979	03	26	Iraq	Qatar	2	0	GLF		2	1665	1154	+1	0	37	139
1979	03	28	Qatar	United Arab Emirates	1	0	GLF	IQ	11	1165	984	+1	0	138	163
1979	03	31	Qatar	Oman	1	0	GLF	IQ	5	1170	813	0	0	138	178
1979	04	03	Saudi Arabia	Qatar	7	0	GLF	IQ	23	1382	1147	+6	−2	94	140
1979	04	06	Bahrain	Qatar	1	1	GLF	IQ	0	1148	1147	0	0	139	140
1980	09	06	Qatar	Jordan	0	1	F		-13	1134	1163	−1	+1	145	141
1980	09	08	Qatar	Jordan	3	0	F		14	1148	1149	+1	−1	144	142
1980	09	17	Qatar	United Arab Emirates	2	1	AC	KW	19	1167	1049	+3	−4	141	157
1980	09	19	South Korea	Qatar	2	0	AC	KW	3	1748	1164	0	0	25	141
1980	09	23	Malaysia	Qatar	1	1	AC	KW	-18	1473	1182	−4	+3	78	138
1980	09	25	Kuwait	Qatar	4	0	AC		3	1662	1179	0	0	38	138
1981	03	18	Iraq	Qatar	1	0	WQ	SA	2	1725	1177	0	0	27	141
1981	03	22	Qatar	Bahrain	3	0	WQ	SA	39	1216	1173	+6	−6	135	141
1981	03	27	Qatar	Syria	2	1	WQ	SA	25	1241	1284	+10	−5	125	115
1981	03	31	Saudi Arabia	Qatar	1	0	WQ		5	1477	1236	0	0	75	125
1982	02	19	Libya	Qatar	2	1	F		2	1559	1234	+1	−1	56	131
1982	03	19	United Arab Emirates	Qatar	1	0	GLF		19	1162	1215	+1	−4	143	134
1982	03	22	Qatar	Oman	3	0	GLF	AE	8	1223	841	+3	−1	131	181
1982	03	26	Iraq	Qatar	2	1	GLF	AE	2	1724	1221	0	0	29	131
1982	03	29	Saudi Arabia	Qatar	1	0	GLF	AE	11	1398	1210	0	−4	90	135
1982	03	31	Bahrain	Qatar	1	0	GLF	AE	20	1230	1190	+4	−3	131	138
1982	04	04	Qatar	Kuwait	2	1	GLF	AE	38	1228	1632	+6	−2	132	39
1983	02	25	Qatar	Japan	1	0	F		15	1243	1513	+5	−5	126	68
1983	07	08	Qatar	Sudan	3	1	F		18	1261	1403	0	0	122	89
1983	07	10	Qatar	Sudan	2	0	F		17	1278	1386	+4	0	118	89
1983	09	08	Qatar	Jordan	2	1	OQ		7	1285	1099	+2	−2	118	153
1983	09	29	Kuwait	Qatar	2	2	OQ		-18	1673	1303	−3	+6	37	111
1983	10	14	Jordan	Qatar	0	0	OQ		6	1104	1297	+2	−2	151	114
1983	10	21	Syria	Qatar	1	1	OQ		-4	1269	1301	−1	+2	121	113
1983	10	28	Qatar	Kuwait	0	0	OQ		14	1315	1673	+5	−3	108	37
1983	11	11	Qatar	Syria	1	0	OQ		15	1330	1311	+6	−5	102	108
1984	03	10	Qatar	Saudi Arabia	2	1	GLF	OM	30	1360	1493	+9	−4	94	70
1984	03	13	United Arab Emirates	Qatar	1	0	GLF	OM	26	1270	1334	+4	−7	122	101
1984	03	16	Qatar	Kuwait	2	1	GLF	OM	32	1366	1534	+8	−5	93	64
1984	03	18	Oman	Qatar	0	2	GLF		-4	813	1370	0	0	181	93
1984	03	22	Bahrain	Qatar	1	1	GLF	OM	6	1269	1364	+2	0	123	93
1984	03	25	Qatar	Iraq	2	1	GLF	OM	35	1399	1677	+3	−4	90	36
1984	03	28	Iraq	Qatar	1	1	GLF	OM	-13	1664	1412	0	+1	36	89
1984	04	16	Qatar	Malaysia	2	0	OQ	SG	24	1436	1321	+1	−6	88	105
1984	04	21	Qatar	Thailand	1	0	OQ	SG	21	1457	1431	+8	−6	79	87
1984	04	23	Qatar	Iraq	2	0	OQ	SG	47	1504	1634	+9	−4	70	39
1984	04	26	Qatar	Japan	2	1	OQ	SG	15	1519	1396	+3	−1	66	90
1984	09	04	Singapore	Qatar	0	1	F		-5	1224	1524	0	+3	130	62
1984	09	10	Qatar	Afghanistan	8	0	SQ	CN	2	1526	873	0	0	62	177
1984	09	12	Qatar	Hong Kong	1	0	SQ	CN	8	1534	1272	+1	0	61	120
1984	09	17	Qatar	Jordan	2	0	SQ	CN	6	1540	1131	+1	−2	60	148
1984	09	20	China	Qatar	1	0	SQ		12	1598	1528	+3	−1	46	61
1984	11	05	Qatar	Singapore	0	0	F		-8	1520	1248	−3	+1	64	127
1984	11	07	Qatar	Singapore	3	1	F		3	1523	1245	+2	0	62	127
1984	11	22	Qatar	Finland	2	2	F		-4	1519	1491	−2	+4	63	72
1984	11	24	Qatar	Finland	1	1	F		-4	1515	1495	−2	+1	65	71
1984	12	01	Qatar	Syria	1	1	AC	SG	-13	1502	1325	−2	+3	67	105
1984	12	03	Kuwait	Qatar	1	0	AC	SG	24	1541	1478	+4	−9	60	76
1984	12	08	Qatar	Saudi Arabia	1	1	AC	SG	6	1484	1551	0	0	77	57
1984	12	10	Qatar	South Korea	1	0	AC	SG	31	1515	1533	+12	−5	65	62
1985	03	15	Jordan	Qatar	1	0	WQ		33	1180	1482	+5	−11	141	77
1985	03	22	Qatar	Lebanon	7	0	WQ		15	1497	1288	+6	−6	71	115
1985	03	27	Qatar	Lebanon	8	0	WQ		13	1510	1260	+4	−2	67	122
1985	04	05	Qatar	Iraq	3	0	WQ		37	1547	1591	+7	−9	59	51
1985	04	12	Qatar	Jordan	2	0	WQ		4	1551	1166	0	−1	59	146
1985	05	05	Iraq	Qatar	2	1	WQ	IN	17	1613	1534	+4	−1	45	60
1985	07	05	Qatar	Jordan	2	0	ARC	SA	6	1540	1146	+1	−1	62	146
1985	07	07	Saudi Arabia	Qatar	1	0	ARC		12	1596	1528	+2	−2	49	64
1985	07	10	Bahrain	Qatar	1	1	ARC	SA	8	1387	1520	+2	−3	89	67
1985	07	12	Saudi Arabia	Qatar	0	0	ARC		-8	1563	1528	−4	+3	57	64
1985	11	22	Qatar	Syria	0	0	F		-6	1522	1391	−2	+2	66	89
1985	11	29	Qatar	Oman	3	0	F		1	1523	891	0	0	66	176
1986	01	03	Qatar	China	1	1	F		-2	1521	1554	−1	+1	67	59
1986	01	17	Qatar	Greece	0	1	F		-11	1510	1611	−2	+1	69	46
1986	01	24	Qatar	Tunisia	2	1	F		10	1520	1583	+1	−5	68	54
1986	02	02	Qatar	Hungary	0	3	F		-7	1513	1877	−1	+2	69	11
1986	02	26	Qatar	Paraguay	1	1	F		5	1518	1791	0	0	69	25
1986	03	01	Qatar	Paraguay	0	3	F		-9	1509	1800	0	+1	69	24
1986	03	23	Qatar	Oman	2	1	GLF	BH	1	1510	899	−1	0	71	175
1986	03	27	Iraq	Qatar	1	1	GLF	BH	-8	1639	1518	−2	+1	40	70
1986	03	29	Bahrain	Qatar	0	0	GLF		3	1377	1515	+1	0	95	70
1986	04	01	Kuwait	Qatar	2	1	GLF	BH	18	1576	1497	+2	−3	56	73
1986	04	05	Saudi Arabia	Qatar	2	0	GLF	BH	29	1543	1468	+6	−6	63	79
1986	04	07	Qatar	United Arab Emirates	3	2	GLF	BH	20	1488	1442	+6	−2	73	82
1986	09	21	Indonesia	Qatar	1	1	ASG	KR	15	1170	1473	+1	−4	144	78
