year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1932	01	17	Mauritius	Reunion	5	0	F		2	1502	1098	−	−	43	72
1933	08	06	Reunion	Mauritius	1	4	F		-5	1093	1507	0	+2	76	44
1933	08	08	Reunion	Mauritius	0	4	F		-5	1088	1512	0	+1	76	43
1933	08	10	Reunion	Mauritius	0	2	F		-4	1084	1516	0	0	76	43
1947	07	00	Mauritius	Reunion	2	1	TRE	MG	2	1518	1082	+1	0	51	97
1947	07	02	Madagascar	Reunion	4	2	TRE		4	1404	1078	−	−1	68	98
1948	07	13	Mauritius	Reunion	5	1	TRE		2	1534	1076	0	0	51	102
1948	07	15	Madagascar	Reunion	2	1	TRE	MU	4	1394	1072	+2	0	72	102
1949	07	12	Reunion	Madagascar	1	3	TRE		-11	1061	1381	0	0	104	74
1949	07	14	Reunion	Mauritius	0	6	TRE		-6	1055	1564	0	0	104	45
1950	07	01	Mauritius	Reunion	15	2	TRE	MG	5	1569	1050	0	0	44	108
1950	07	05	Madagascar	Reunion	2	3	TRE		-27	1333	1077	−3	0	82	108
1951	07	09	Madagascar	Reunion	3	1	TRE	MU	8	1341	1069	+3	0	82	111
1951	07	12	Mauritius	Reunion	10	2	TRE		2	1592	1067	+1	0	40	111
1952	07	24	Reunion	Madagascar	0	1	TRE		-9	1058	1331	0	+1	114	84
1952	07	27	Reunion	Mauritius	1	4	TRE		-4	1054	1615	0	0	114	36
1953	07	13	Mauritius	Reunion	9	4	TRE	MG	2	1617	1052	0	0	38	117
1953	07	16	Madagascar	Reunion	6	4	TRE		5	1336	1047	+1	0	84	117
1954	07	11	Reunion	Madagascar	6	2	TRE	MU	47	1094	1281	+3	−15	125	109
1954	07	18	Mauritius	Reunion	11	0	TRE		2	1631	1092	0	−1	37	126
1955	07	07	Reunion	Mauritius	1	3	TRE		-3	1089	1634	−1	0	127	38
1955	07	10	Reunion	Madagascar	2	4	TRE		-17	1072	1294	−1	+7	128	103
1956	06	30	Mauritius	Reunion	8	3	TRE	MG	3	1611	1069	0	0	43	130
1956	07	05	Madagascar	Reunion	4	2	TRE		5	1325	1064	0	0	97	130
1957	04	17	Mauritius	Reunion	4	4	F		-10	1594	1074	0	0	47	133
1957	10	20	Reunion	Madagascar	1	0	TRE	MU	24	1098	1308	+2	−4	131	103
1957	10	27	Mauritius	Reunion	1	0	TRE		1	1601	1097	0	0	48	131
1958	10	16	Reunion	Mauritius	0	2	TRE		-4	1093	1605	0	+2	132	45
1958	10	19	Reunion	Madagascar	1	3	TRE		-16	1077	1318	−3	+2	135	101
1959	00	00	Kenya	Reunion	1	0	F		1	1424	1076	−1	−2	84	138
1959	09	27	Reunion	Kenya	3	1	TRE	MG	40	1116	1384	+6	−11	132	96
1959	10	03	Madagascar	Reunion	6	1	TRE		9	1321	1107	+1	−1	103	133
1960	04	14	Congo-Brazzaville	Reunion	4	1	JCM	MG	4	1603	1103	0	−2	45	136
1963	09	08	Reunion	Mauritius	2	0	TRE	MG	42	1145	1538	+3	−7	138	61
1963	09	15	Madagascar	Reunion	6	1	TRE		6	1425	1139	0	0	88	138
1973	07	15	Mauritius	Reunion	1	1	F		-6	1289	1145	−1	+1	120	144
1974	03	13	Reunion	Seychelles	2	0	F		6	1151	994	+1	−	142	162
1976	06	29	Kenya	Reunion	3	1	IOT	SC	7	1443	1144	+6	−1	79	141
1976	07	01	Seychelles	Reunion	1	4	IOT		-27	1025	1171	−3	+3	160	138
1976	07	03	Mauritius	Reunion	2	0	IOT	SC	20	1227	1151	+6	−2	127	140
1977	09	18	Reunion	Mauritius	0	2	TRE		-23	1128	1260	−6	+6	146	122
1977	09	25	Reunion	Seychelles	1	0	TRE		7	1135	1005	+2	−1	144	163
1978	05	13	Reunion	Seychelles	4	1	F		7	1142	998	+4	−1	140	164
1978	05	18	Reunion	Mauritius	5	3	F		15	1157	1235	+1	−2	139	126
1978	09	17	Seychelles	Reunion	1	0	TRE		18	1016	1139	+2	−2	162	142
1978	09	24	Reunion	Mauritius	0	2	TRE		-22	1117	1267	−3	+6	145	119
1979	08	26	Reunion	Seychelles	3	0	IOG		12	1129	994	0	−2	145	163
1979	08	28	Reunion	Maldives	9	0	IOG		5	1134	777	0	0	145	180
1979	08	31	Reunion	Comoros	6	1	IOG		8	1142	888	+3	−1	142	174
1979	09	01	Reunion	Seychelles	2	1	IOG		7	1149	1013	+2	0	140	161
1981	07	12	Reunion	Madagascar	2	3	IOC		-7	1142	1456	−1	+2	144	80
1981	07	13	Reunion	Madagascar	0	3	F		-8	1134	1464	−1	+1	145	79
1981	07	14	Reunion	Kenya	1	3	IOC		-13	1121	1401	−2	+3	147	89
1981	07	19	Reunion	Mauritius	1	2	IOC		-15	1106	1237	−2	+6	150	124
1982	07	18	Zimbabwe	Reunion	1	1	F		-9	1495	1115	0	+2	69	150
1982	07	25	Zimbabwe	Reunion	2	3	F		-19	1476	1134	−9	+5	78	145
1982	09	01	Reunion	Zimbabwe	0	1	IOT		-7	1127	1447	−4	+1	149	85
1982	09	05	Reunion	Mauritius	1	1	IOT		2	1129	1271	+1	−2	148	120
1983	06	00	Reunion	Mauritius	0	0	F		1	1130	1280	0	0	148	116
1983	06	19	Reunion	Seychelles	2	1	F		4	1134	1009	+3	0	145	163
1983	06	23	Reunion	Seychelles	0	0	F		-6	1128	1015	−3	0	148	163
1983	07	06	Mauritius	Reunion	0	0	F		-6	1280	1134	−2	+3	117	145
1983	07	13	Reunion	Madagascar	0	3	IOT		-10	1124	1505	−3	+3	148	69
1983	07	16	Reunion	Mauritius	1	1	IOT		3	1127	1285	0	0	148	115
1984	05	19	Reunion	Tanzania	1	1	IOT		7	1134	1384	+2	0	144	91
