year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1912	06	30	Finland	Russia	2	1	OG	SE	29	1637	1571	+1	−	14	17
1912	07	01	Germany	Russia	16	0	OG	SE	81	1723	1490	+1	−3	12	20
1912	07	05	Norway	Russia	2	1	F	SE	13	1377	1477	0	−1	24	21
1912	07	14	Russia	Hungary	0	12	F		-6	1471	1949	−1	+1	22	4
1913	05	04	Russia	Sweden	1	4	F		-14	1457	1663	0	0	23	13
1913	09	14	Russia	Norway	1	1	F		-5	1452	1374	0	0	23	25
1914	07	05	Sweden	Russia	2	2	F		-7	1641	1459	0	0	13	23
1914	07	10	Norway	Russia	2	1	F		10	1383	1449	0	0	25	23
1914	07	12	Norway	Russia	1	1	F		-1	1382	1450	0	0	25	23
1923	09	19	Estonia	Russia	2	4	F		-17	1370	1467	−2	0	45	40
1924	11	16	Soviet Union	Turkey	3	0	F		16	1483	1515	+1	0	42	39
1925	05	15	Turkey	Soviet Union	1	2	F		-14	1519	1497	0	+1	39	41
1931	08	20	Soviet Union	Turkey	3	2	F		6	1503	1427	+1	0	43	50
1932	10	21	Turkey	Soviet Union	2	2	F		-1	1431	1504	0	0	53	41
1932	10	23	Turkey	Soviet Union	0	4	F		-20	1411	1524	−2	+1	55	40
1932	10	27	Turkey	Soviet Union	0	1	F		-10	1401	1534	−1	0	56	40
1932	10	30	Turkey	Soviet Union	2	3	F		-9	1392	1543	0	0	56	40
1933	07	30	Soviet Union	Turkey	1	2	F		-16	1527	1398	0	0	42	59
1934	08	07	Soviet Union	Turkey	2	1	F		4	1531	1394	+1	0	43	61
1935	10	13	Turkey	Soviet Union	1	2	F		-9	1382	1540	−1	0	61	42
1935	10	15	Turkey	Soviet Union	2	2	F		2	1384	1538	0	0	61	42
1935	10	19	Turkey	Soviet Union	3	3	F		2	1386	1536	0	0	61	42
1935	10	21	Turkey	Soviet Union	2	3	F		-9	1377	1545	−1	+1	62	41
1935	10	25	Turkey	Soviet Union	1	2	F		-8	1369	1553	0	0	62	41
1935	10	27	Turkey	Soviet Union	3	3	F		2	1371	1551	0	0	62	41
1952	05	11	Soviet Union	Poland	0	1	F		-12	1539	1592	−1	0	49	42
1952	05	14	Soviet Union	Poland	2	1	F		9	1548	1583	+1	0	48	42
1952	05	24	Soviet Union	Hungary	1	1	F		7	1555	1941	+1	−2	47	6
1952	05	27	Soviet Union	Hungary	2	1	F		17	1572	1924	+4	0	43	6
1952	07	15	Soviet Union	Bulgaria	2	1	OG	FI	26	1598	1498	+4	−6	39	59
1952	07	20	Soviet Union	Yugoslavia	5	5	OG	FI	22	1620	1914	+4	−1	35	8
1952	07	22	Yugoslavia	Soviet Union	3	1	OG	FI	14	1928	1606	+1	−2	6	37
1954	09	08	Soviet Union	Sweden	7	0	F		31	1637	1805	+5	−3	37	13
1954	09	26	Soviet Union	Hungary	1	1	F		9	1646	2182	+4	0	32	1
1955	02	06	India	Soviet Union	0	4	F		-21	1568	1667	−4	+6	48	26
1955	02	27	India	Soviet Union	0	3	F		-18	1550	1685	−6	+2	54	24
1955	03	06	India	Soviet Union	0	3	F		-16	1534	1701	−2	+2	56	22
1955	06	26	Sweden	Soviet Union	0	6	F		-33	1781	1734	−1	+3	14	21
1955	08	21	Soviet Union	West Germany	3	2	F		15	1749	2009	+3	−1	18	4
1955	09	16	Soviet Union	India	11	1	F		7	1756	1511	+1	−3	16	63
1955	09	25	Hungary	Soviet Union	1	1	F		-9	2194	1765	0	0	1	17
1955	10	23	Soviet Union	France	2	2	F		0	1765	1850	0	0	17	9
1956	05	23	Soviet Union	Denmark	5	1	F		9	1774	1646	+1	−2	16	35
1956	07	01	Denmark	Soviet Union	2	5	F		-15	1610	1789	−3	+1	43	15
1956	07	11	Soviet Union	Israel	5	0	OQ		6	1795	1438	0	−1	15	81
1956	07	31	Israel	Soviet Union	1	2	OQ		-7	1431	1802	−1	0	82	15
1956	08	05	Russia	China	1	0	F		2	1804	1542	0	0	15	56
1956	09	15	West Germany	Soviet Union	1	2	F		-16	1939	1820	0	+3	6	12
1956	09	23	Soviet Union	Hungary	0	1	F		-5	1815	2123	−1	0	13	1
1956	10	21	France	Soviet Union	2	1	F		7	1845	1808	0	−1	11	14
1956	11	15	Australia	Soviet Union	1	15	F		-26	1619	1834	−4	+2	42	12
1956	11	29	Indonesia	Soviet Union	0	0	OG	AU	23	1501	1811	+3	−1	67	14
1956	12	01	Soviet Union	Indonesia	4	0	OG	AU	16	1827	1485	+1	−2	13	69
1956	12	05	Soviet Union	Bulgaria	2	1	OG	AU	11	1838	1549	0	−5	13	57
1956	12	08	Soviet Union	Yugoslavia	1	0	OG	AU	37	1875	1886	+4	−2	9	8
1957	06	01	Soviet Union	Romania	1	1	F		-8	1867	1630	0	+1	9	40
1957	06	23	Soviet Union	Poland	3	0	WQ		6	1873	1536	+1	0	9	57
1957	07	21	Bulgaria	Soviet Union	0	4	F		-12	1629	1885	−2	0	41	9
1957	07	27	Soviet Union	Finland	2	1	WQ		1	1886	1357	0	0	9	94
1957	08	15	Finland	Soviet Union	0	10	WQ		-8	1349	1894	−1	+2	95	7
1957	09	22	Hungary	Soviet Union	1	2	F		-17	2085	1911	−1	+2	2	5
1957	10	20	Poland	Soviet Union	2	1	WQ		32	1597	1879	+4	−4	48	9
1957	11	24	Soviet Union	Poland	2	0	WQ	DD	10	1889	1595	0	−3	9	49
1958	05	11	Soviet Union	East Germany	4	0	F		2	1891	1482	0	0	10	71
1958	05	18	Soviet Union	England	1	1	F		1	1892	2015	0	0	10	3
