year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1974	12	17	Burundi	Rwanda	3	2	F		4	1270	1096	+1	−	123	153
1976	06	29	Cameroon	Rwanda	5	0	CFG	GA	4	1593	1092	0	−2	50	155
1976	07	01	Burundi	Rwanda	6	2	CFG	GA	23	1258	1069	+3	0	124	155
1976	07	03	Zaire	Rwanda	6	1	F	GA	2	1604	1067	0	−1	48	156
1976	07	05	Gabon	Rwanda	3	0	CFG		8	1334	1059	+1	0	110	156
1977	06	00	Sao Tome and Principe	Rwanda	0	0	F		-3	1045	1062	0	0	156	155
1977	06	00	Sao Tome and Principe	Rwanda	1	0	F		8	1053	1054	0	0	156	155
1977	12	25	Chad	Rwanda	3	0	AGQ	CM	17	1273	1037	+4	−3	120	159
1977	12	27	Cameroon	Rwanda	4	0	AGQ		2	1548	1035	0	0	58	159
1979	01	10	Rwanda	Gabon	2	2	F		6	1041	1356	0	−2	159	99
1981	04	26	Ethiopia	Rwanda	1	0	FQ		3	1398	1038	0	−1	92	160
1981	05	10	Rwanda	Ethiopia	1	0	FQ		33	1071	1365	+6	−6	154	98
1982	08	30	Burundi	Rwanda	1	0	CGL		6	1222	1065	+2	−1	133	156
1982	09	19	Somalia	Rwanda	0	1	FQ		-30	1118	1095	−5	+3	149	153
1983	04	10	Tunisia	Rwanda	5	0	FQ		2	1601	1093	+2	0	46	155
1983	04	24	Rwanda	Tunisia	0	1	FQ		-3	1090	1611	0	+2	155	42
1986	09	21	Uganda	Rwanda	1	0	F		1	1493	1089	0	0	73	156
1986	11	16	Rwanda	Malawi	2	5	OQ		-10	1079	1512	−2	+3	157	70
1986	11	25	Kenya	Rwanda	2	3	F		-18	1373	1097	−2	+4	92	153
1986	11	30	Malawi	Rwanda	3	0	OQ		3	1515	1094	+1	0	69	153
1995	11	25	Uganda	Rwanda	0	0	CEC		-18	1448	1112	−8	+4	95	169
1995	11	29	Zanzibar	Rwanda	2	1	CEC	UG	19	1145	1093	+2	−4	165	173
1995	11	30	Kenya	Rwanda	1	0	CEC	UG	5	1425	1088	+2	0	99	173
1996	06	02	Rwanda	Tunisia	1	3	WQ		-5	1083	1612	0	+2	175	49
1996	06	16	Tunisia	Rwanda	2	0	WQ		2	1614	1081	+1	−2	47	176
1996	08	17	Rwanda	Uganda	0	0	F		4	1085	1325	+2	0	174	123
1996	11	07	Uganda	Rwanda	3	2	F		2	1333	1083	0	−1	124	174
1996	11	14	Uganda	Rwanda	3	2	F		2	1335	1081	+1	−2	124	175
1996	11	15	Uganda	Rwanda	1	1	F		-8	1327	1089	−1	+3	125	172
1996	11	19	Kenya	Rwanda	2	1	CEC	SD	6	1395	1083	+3	−1	106	173
1996	11	22	Rwanda	Zanzibar	1	1	CEC	SD	7	1090	1202	+1	−1	172	152
1998	07	06	Rwanda	Tanzania	2	0	F		20	1110	1296	+4	−2	171	130
1998	07	07	Rwanda	Tanzania	2	2	F		2	1112	1294	0	0	171	130
1998	08	01	Uganda	Rwanda	5	0	FQ		8	1412	1104	+1	0	101	172
1998	08	16	Rwanda	Uganda	0	0	FQ		11	1115	1401	+2	0	170	101
1999	07	24	Rwanda	Djibouti	4	1	CEC		9	1124	875	+5	0	166	199
1999	07	28	Rwanda	Tanzania	0	0	CEC		2	1126	1260	+1	−2	164	137
1999	07	31	Rwanda	Uganda	1	0	CEC		29	1155	1360	+2	−8	162	117
1999	08	03	Rwanda	Kenya	0	0	CEC		10	1165	1432	0	−3	162	97
1999	08	07	Rwanda	Burundi	0	0	CEC		8	1173	1411	0	0	162	103
1999	12	11	Malawi	Rwanda	1	1	F		-5	1238	1178	−1	+1	147	160
1999	12	13	Malawi	Rwanda	1	1	F		-4	1234	1182	−1	0	148	160
1999	12	15	Malawi	Rwanda	1	2	F		-14	1220	1196	−2	+6	150	154
2000	04	09	Rwanda	Ivory Coast	2	2	WQ		13	1209	1565	+3	−2	152	62
2000	04	23	Ivory Coast	Rwanda	2	0	WQ		4	1569	1205	0	0	62	152
2000	06	24	Uganda	Rwanda	2	1	F		4	1354	1201	+2	0	117	152
