year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2010	07	03	Saint Martin	Saint Barthelemy	3	0	F		5	931	695	+2	−	192	218
2012	09	08	Saint Barthelemy	Guadeloupe	1	8	F		-1	694	1440	0	0	219	101
2018	04	29	Saint Barthelemy	Saint Martin	3	1	F		18	712	846	+1	−1	217	205
2018	05	26	Saint Barthelemy	Sint Maarten	5	3	F		18	730	862	+1	0	216	203
2018	07	27	Saint Barthelemy	Anguilla	1	2	F		-17	713	569	−1	+1	217	235
2018	07	28	Saint Barthelemy	British Virgin Islands	3	4	F		-15	698	643	−1	+3	218	228
2019	02	23	Sint Maarten	Saint Barthelemy	1	1	F		-5	805	703	0	+1	206	219
2019	03	17	Saint Barthelemy	Saint Martin	4	3	F		10	713	803	+2	−2	217	207
2023	03	04	Saint Barthelemy	Sint Maarten	5	1	F		17	730	759	0	−1	216	212
2023	03	10	Saint Martin	Saint Barthelemy	3	2	F		5	839	725	+1	0	207	216
