year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1988	06	14	Sint Maarten	Saint Martin	1	3	F		-16	899	1016	−3	−	179	165
1990	03	24	Saint Martin	British Virgin Islands	3	0	CRQ		17	1033	908	+1	−2	165	178
1990	03	26	Anguilla	Saint Martin	0	4	CRQ		-9	584	1042	0	+1	199	164
1990	03	30	Saint Martin	Cayman Islands	5	1	CRQ		32	1074	1059	+3	−5	161	164
1990	04	01	Saint Martin	Cayman Islands	3	2	CRQ		14	1088	1045	+1	0	160	164
1990	05	06	Saint Martin	Guadeloupe	2	1	CRQ		32	1120	1406	+6	−13	155	92
1990	05	20	Jamaica	Saint Martin	1	0	CRQ		8	1271	1112	+2	−2	118	157
1990	06	03	Saint Kitts and Nevis	Saint Martin	1	0	CRQ		9	1237	1103	+3	0	128	157
1997	04	28	Bermuda	Saint Martin	2	1	F		2	1368	1101	+1	−1	117	170
2001	02	06	Saint Martin	Montserrat	3	1	FCQ	SX	3	1104	603	+2	0	172	221
2001	02	10	Saint Martin	Anguilla	3	1	FCQ		1	1105	541	0	0	172	225
2001	04	04	Guyana	Saint Martin	2	0	FCQ		24	1094	1081	+6	−7	174	177
2001	04	06	Cuba	Saint Martin	1	0	FCQ	GY	4	1480	1077	+1	+1	81	176
2001	04	08	Saint Martin	Dominica	3	2	FCQ	GY	20	1097	1053	+1	−4	175	182
2002	01	25	Saint Kitts	Saint Martin	3	0	LIT	AG	11	1337	1086	0	−1	124	177
2002	06	06	Saint Martin	Anguilla	2	1	F		0	1086	541	0	0	178	227
2002	06	23	Saint Martin	Anguilla	1	0	F		0	1086	541	0	0	178	227
2002	07	06	Grenada	Saint Martin	8	3	CCQ		11	1316	1075	+2	−1	127	179
2002	08	04	Saint Martin	Grenada	1	7	CCQ		-27	1048	1339	−4	+4	183	125
2004	08	00	Saint Martin	Sint Eustatius	3	3	F		-9	1039	720	−3	+1	187	212
2004	11	24	Jamaica	Saint Martin	12	0	FCQ		2	1623	1037	+1	0	54	184
2004	11	26	Haiti	Saint Martin	2	0	FCQ	JM	5	1458	1032	0	−1	93	185
2004	11	28	Saint Martin	US Virgin Islands	0	0	FCQ	JM	-16	1016	680	−2	+2	187	220
2006	02	25	Saint Kitts and Nevis	Saint Martin	6	1	F		5	1251	1011	0	−2	141	188
2006	09	20	Guadeloupe	Saint Martin	1	0	FCQ		3	1367	1008	+1	0	111	187
2006	09	22	Martinique	Saint Martin	1	0	FCQ	GP	5	1371	1003	+3	0	109	187
2006	09	24	Dominica	Saint Martin	0	0	FCQ	GP	1	989	1002	0	0	188	187
2007	11	11	Saint Martin	British Virgin Islands	0	1	F		-15	987	914	−2	+1	188	197
