year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1936	09	12	Saint Vincent and the Grenadines	Barbados	1	1	F		-6	1394	1252	−	0	59	76
1936	09	14	Saint Vincent and the Grenadines	Barbados	1	1	F		-6	1388	1258	−1	0	60	76
1948	01	10	Saint Vincent and the Grenadines	Trinidad and Tobago	1	1	PRD		1	1389	1501	0	0	73	56
1948	01	11	Saint Vincent and the Grenadines	Trinidad and Tobago	2	2	PRD		1	1390	1500	+1	0	72	56
1948	01	12	Saint Vincent and the Grenadines	Trinidad and Tobago	1	2	PRD		-15	1375	1515	−3	+5	75	51
1949	01	24	Saint Vincent and the Grenadines	Grenada	2	3	WIT		-13	1362	1541	0	+3	75	51
1961	01	16	Saint Vincent and the Grenadines	Grenada	6	3	WIT	LC	38	1400	1494	+10	−11	94	71
1961	01	18	Dominica	Saint Vincent and the Grenadines	1	1	WIT	LC	5	1284	1395	0	−2	113	96
1961	01	20	Saint Lucia	Saint Vincent and the Grenadines	2	2	WIT		0	1300	1395	0	0	110	96
1962	11	24	Grenada	Saint Vincent and the Grenadines	2	1	WIT		6	1536	1389	+1	0	62	96
1964	01	06	Saint Lucia	Saint Vincent and the Grenadines	2	2	WIT		-1	1300	1390	0	0	112	98
1964	01	07	Dominica	Saint Vincent and the Grenadines	2	2	WIT	LC	5	1275	1385	0	−2	119	100
1964	01	10	Saint Lucia	Saint Vincent and the Grenadines	0	0	WIT		-1	1314	1386	−1	0	110	100
1964	01	11	Dominica	Saint Vincent and the Grenadines	1	1	WIT	LC	5	1265	1381	0	−2	119	102
1965	11	22	Saint Vincent and the Grenadines	Saint Lucia	1	2	WIT		-21	1360	1353	−5	+6	101	106
1965	11	26	Saint Vincent and the Grenadines	Dominica	2	1	WIT		9	1369	1294	+1	−1	100	118
1966	11	05	Saint Vincent and the Grenadines	Dominica	1	0	WIT	GD	12	1381	1282	+1	−3	98	119
1966	11	09	Saint Vincent and the Grenadines	Saint Lucia	2	1	WIT	GD	13	1394	1317	+2	−3	96	112
1966	11	12	Grenada	Saint Vincent and the Grenadines	1	3	WIT		-34	1458	1428	−10	+5	80	91
1967	11	26	Grenada	Saint Vincent and the Grenadines	1	1	WIT	DM	-1	1457	1429	0	0	76	87
