year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1979	08	31	Solomon Islands	Western Samoa	12	0	SPG	FJ	8	1150	692	+2	−	139	183
1979	09	01	Wallis and Futuna	Western Samoa	3	1	SPG	FJ	31	714	661	+3	−4	182	187
1979	09	05	Guam	Western Samoa	4	2	SPG	FJ	30	694	631	+3	0	183	187
1981	07	07	Vanuatu	Western Samoa	13	1	SPM	SB	8	1091	623	0	−1	152	190
1981	07	08	Tahiti	Western Samoa	13	0	SPM	SB	1	1538	622	0	0	61	190
1981	07	09	Papua New Guinea	Western Samoa	4	1	SPM	SB	5	1081	617	+1	0	153	190
1981	07	10	Solomon Islands	Western Samoa	5	0	SPM		3	1108	614	+1	0	151	190
1981	07	11	Fiji	Western Samoa	4	0	SPM	SB	2	1204	612	0	0	137	190
1981	07	14	New Caledonia	Western Samoa	8	0	SPM	SB	1	1371	611	0	0	97	190
1983	08	20	Western Samoa	Eastern Samoa	3	1	SPG		21	632	579	+1	−	190	193
1983	08	22	Western Samoa	Tonga	3	3	SPG		-4	628	660	0	0	190	189
1983	08	24	Western Samoa	Wallis and Futuna	1	2	SPG		-23	605	697	−2	+3	192	185
1983	09	00	Western Samoa	Tahiti	0	2	SPG		0	605	1567	0	+1	192	56
1987	11	07	Western Samoa	New Zealand	0	7	OQ		-1	604	1557	0	0	195	60
1987	11	13	New Zealand	Western Samoa	12	0	OQ		0	1557	604	0	0	60	195
1988	03	02	Taiwan	Western Samoa	5	0	OQ	AU	3	1170	601	0	0	142	194
1994	11	24	Western Samoa	Eastern Samoa	3	1	OCP		19	620	549	+2	−1	214	219
1994	11	25	Western Samoa	Tonga	2	2	OCP		-3	617	666	0	0	214	213
1994	11	28	Western Samoa	Tahiti	0	7	OCP		-1	616	1520	0	+1	214	74
1996	11	13	Western Samoa	Cook Islands	2	1	WQ	TO	23	639	646	0	−2	215	214
1996	11	15	Tonga	Western Samoa	1	0	WQ		11	714	628	0	−1	210	216
1998	09	02	Cook Islands	Samoa	2	1	OCP		13	659	615	0	0	216	218
1998	09	05	Tahiti	Samoa	5	1	OCP	CK	1	1436	614	0	−1	95	219
1998	09	07	Samoa	Tonga	2	0	OCP	CK	39	653	688	+2	−3	217	212
