year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1987	09	16	Lebanon	San Marino	0	0	MDG	SY	-13	1247	1013	−1	−	125	165
1987	09	18	Syria	San Marino	3	0	MDG		4	1391	1009	0	0	92	165
1990	11	14	San Marino	Switzerland	0	4	EQ		-2	1007	1721	0	0	169	31
1990	12	05	Romania	San Marino	6	0	EQ		0	1822	1007	0	0	18	169
1991	03	27	San Marino	Romania	1	3	EQ		-1	1006	1814	−1	0	170	19
1991	05	01	San Marino	Scotland	0	2	EQ		-1	1005	1759	0	0	171	25
1991	05	22	San Marino	Bulgaria	0	3	EQ		-2	1003	1734	0	0	172	31
1991	06	05	Switzerland	San Marino	7	0	EQ		1	1775	1002	−1	0	24	172
1991	10	16	Bulgaria	San Marino	4	0	EQ		1	1739	1001	0	0	29	178
1991	11	13	Scotland	San Marino	4	0	EQ		1	1755	1000	0	0	27	179
1992	02	19	Italy	San Marino	4	0	F		0	1971	1000	0	0	5	181
1992	09	09	Norway	San Marino	10	0	WQ		1	1728	999	0	0	28	186
1992	10	07	San Marino	Norway	0	2	WQ		-1	998	1758	0	0	186	28
1992	10	28	Turkey	San Marino	4	1	WQ		1	1590	997	0	0	58	186
1993	02	17	England	San Marino	6	0	WQ		0	1946	997	0	0	6	187
1993	03	10	San Marino	Turkey	0	0	WQ		18	1015	1554	+3	−3	184	63
1993	03	24	Netherlands	San Marino	6	0	WQ		0	1970	1015	0	0	5	185
1993	04	28	Poland	San Marino	1	0	WQ		0	1798	1015	−2	0	23	186
1993	05	19	San Marino	Poland	0	3	WQ		-1	1014	1799	0	0	185	23
1993	09	22	Netherlands	San Marino	7	0	WQ	IT	0	1962	1014	0	0	3	186
1993	11	17	England	San Marino	7	1	WQ	IT	1	1877	1013	0	0	13	187
1994	10	12	Russia	San Marino	4	0	EQ		0	1841	1013	−2	0	21	187
1994	11	16	Greece	San Marino	2	0	EQ		1	1623	1012	0	0	47	187
1994	12	14	Finland	San Marino	4	1	EQ		2	1524	1010	0	−1	72	188
1995	03	29	San Marino	Finland	0	2	EQ		-5	1005	1523	−1	+2	189	72
1995	04	26	San Marino	Scotland	0	2	EQ		-1	1004	1769	−1	0	190	26
1995	05	25	Faroe Islands	San Marino	3	0	EQ		13	1176	991	0	−1	161	190
1995	06	07	San Marino	Russia	0	7	EQ		-1	990	1869	0	+1	190	15
1995	09	06	San Marino	Greece	0	4	EQ		-4	986	1604	0	+1	191	52
1995	10	11	San Marino	Faroe Islands	1	3	EQ		-23	963	1193	−2	+7	193	154
1995	11	15	Scotland	San Marino	5	0	EQ		0	1781	963	+1	0	24	192
1996	06	02	San Marino	Wales	0	5	WQ		-3	960	1618	−1	0	192	48
1996	08	31	Wales	San Marino	6	0	WQ		1	1619	959	+1	0	45	192
1996	10	09	San Marino	Belgium	0	3	WQ		-1	958	1787	0	0	193	24
1996	11	10	Turkey	San Marino	7	0	WQ		1	1697	957	+1	0	34	193
1997	03	29	Netherlands	San Marino	4	0	WQ		0	1955	957	0	0	7	195
1997	04	30	San Marino	Netherlands	0	6	WQ		-1	956	1927	0	0	195	9
1997	06	07	Belgium	San Marino	6	0	WQ		0	1790	956	0	0	23	195
1997	09	10	San Marino	Turkey	0	5	WQ		-2	954	1699	0	+1	195	36
1998	10	10	San Marino	Israel	0	5	EQ		-2	952	1682	0	+1	196	42
1998	10	14	San Marino	Austria	1	4	EQ		-1	951	1728	0	0	196	30
1998	11	18	San Marino	Cyprus	0	1	EQ		-3	948	1507	−1	+1	196	74
1999	02	10	Cyprus	San Marino	4	0	EQ		2	1516	946	0	0	74	195
1999	03	31	San Marino	Spain	0	6	EQ		0	946	1991	0	0	194	4
1999	04	28	Austria	San Marino	7	0	EQ		1	1734	945	0	0	31	193
1999	06	05	Spain	San Marino	9	0	EQ		0	2000	945	0	0	4	193
1999	09	08	Israel	San Marino	8	0	EQ		1	1717	944	0	0	34	193
2000	04	26	San Marino	Moldova	0	1	F		-2	942	1428	−1	+1	194	98
2000	10	07	San Marino	Scotland	0	2	WQ		-1	941	1751	0	−1	193	30
2000	11	15	San Marino	Latvia	0	1	WQ		-4	937	1416	0	+5	193	101
2001	02	28	Belgium	San Marino	10	1	WQ		0	1784	937	+1	0	22	193
2001	03	28	Scotland	San Marino	4	0	WQ		0	1741	937	0	+1	32	192
2001	04	25	Latvia	San Marino	1	1	WQ		-19	1400	956	−5	0	105	191
2001	06	02	Croatia	San Marino	4	0	WQ		0	1888	956	+1	0	10	191
2001	06	06	San Marino	Belgium	1	4	WQ		-1	955	1797	0	0	191	24
2001	09	05	San Marino	Croatia	0	4	WQ		-1	954	1891	0	0	191	8
2002	05	21	San Marino	Estonia	0	1	F		-3	951	1393	0	+2	191	110
2002	09	07	San Marino	Poland	0	2	EQ		-1	950	1745	0	0	191	34
2002	10	16	Hungary	San Marino	3	0	EQ		1	1602	949	0	0	55	191
2002	11	20	San Marino	Latvia	0	1	EQ		-3	946	1467	0	+3	191	84
2003	04	02	Poland	San Marino	5	0	EQ		1	1716	945	0	0	36	193
2003	04	30	Latvia	San Marino	3	0	EQ		2	1474	943	+1	0	85	193
2003	06	07	San Marino	Sweden	0	6	EQ		-1	942	1824	0	+1	193	17
