year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1976	05	02	Gabon	Sao Tome and Principe	6	1	F		6	1300	1094	+2	−	114	154
1976	07	02	Congo	Sao Tome and Principe	11	0	CFG	GA	8	1538	1086	+1	−1	56	154
1976	07	04	Central African Republic	Sao Tome and Principe	2	1	CFG	GA	6	1388	1080	+4	0	94	154
1976	07	06	Chad	Sao Tome and Principe	5	0	CFG	GA	25	1239	1055	+3	−2	128	156
1976	07	12	Sao Tome and Principe	Angola	0	3	F		-5	1050	1456	0	+3	156	73
1976	08	08	Sao Tome and Principe	Congo	2	3	F		-2	1048	1546	0	0	156	55
1977	06	00	Sao Tome and Principe	Rwanda	0	0	F		-3	1045	1062	0	0	156	155
1977	06	00	Sao Tome and Principe	Rwanda	1	0	F		8	1053	1054	0	0	156	155
1978	07	10	Sao Tome and Principe	Angola	3	3	IND		11	1064	1476	+3	−3	154	72
1978	07	12	Sao Tome and Principe	Angola	0	2	IND		-6	1058	1482	−1	+3	155	69
1979	07	12	Sao Tome and Principe	Angola	1	2	IND		-4	1054	1509	−2	0	155	66
1981	06	01	Equatorial Guinea	Sao Tome and Principe	1	1	F		-3	1055	1057	−1	+1	156	155
1985	06	30	Angola	Sao Tome and Principe	3	2	IND	CV	2	1493	1055	0	0	73	160
1987	04	05	Angola	Sao Tome and Principe	4	0	F		2	1438	1053	0	0	83	160
1987	07	11	Sao Tome and Principe	Guinea-Bissau	0	1	IND		-12	1041	1230	0	+3	160	129
1998	08	02	Togo	Sao Tome and Principe	4	0	FQ	GA	10	1370	1031	+3	0	113	182
1998	08	18	Togo	Sao Tome and Principe	2	0	FQ		4	1374	1027	−1	−1	116	183
1999	11	10	Chad	Sao Tome and Principe	5	0	UFC	GA	21	1224	1006	+3	0	148	185
1999	11	11	Gabon	Sao Tome and Principe	1	0	UFC		1	1477	1005	0	0	82	185
1999	11	12	Congo	Sao Tome and Principe	1	0	UFC	GA	3	1425	1002	0	0	102	185
1999	11	13	Central African Republic	Sao Tome and Principe	3	0	UFC	GA	17	1212	985	+5	−5	149	190
1999	11	14	Sao Tome and Principe	Equatorial Guinea	2	0	UFC	GA	39	1024	1052	+5	−6	185	181
2000	04	08	Sao Tome and Principe	Sierra Leone	2	0	WQ		51	1075	1375	+9	−16	178	115
2000	04	22	Sierra Leone	Sao Tome and Principe	4	0	WQ		7	1382	1068	+4	0	111	178
2000	07	01	Sao Tome and Principe	Gabon	1	1	FQ		11	1079	1369	+3	−3	178	113
2000	07	15	Gabon	Sao Tome and Principe	4	1	FQ		7	1376	1072	+2	−3	111	181
2003	10	11	Sao Tome and Principe	Libya	0	1	WQA		-10	1062	1382	−2	+1	181	114
2003	11	12	Equatorial Guinea	Sao Tome and Principe	3	1	F		11	1079	1051	+2	0	177	181
2003	11	16	Libya	Sao Tome and Principe	8	0	WQA		7	1389	1044	0	−3	110	185
2006	10	18	Taiwan	Sao Tome and Principe	2	2	F		0	941	1044	0	0	193	181
2011	11	11	Sao Tome and Principe	Congo	0	5	WQ		-18	1026	1371	−2	+1	183	117
2011	11	15	Congo	Sao Tome and Principe	1	1	WQ		-17	1354	1043	−2	+2	119	181
2012	01	15	Sao Tome and Principe	Lesotho	1	0	FQ		22	1065	1155	+1	−4	180	165
2012	01	22	Lesotho	Sao Tome and Principe	0	0	FQ		-10	1145	1075	−2	+1	167	179
2012	02	29	Sao Tome and Principe	Sierra Leone	2	1	FQ		29	1104	1305	+2	−5	176	129
2012	06	16	Sierra Leone	Sao Tome and Principe	4	2	FQ		8	1330	1096	+2	−1	125	178
2014	05	17	Sao Tome and Principe	Benin	0	2	FQ		-15	1081	1400	−2	+2	180	111
2014	06	01	Benin	Sao Tome and Principe	2	0	FQ		5	1405	1076	0	−1	111	181
2014	06	04	Equatorial Guinea	Sao Tome and Principe	3	2	F		3	1305	1073	+1	0	129	181
2015	06	13	Cape Verde	Sao Tome and Principe	7	1	FQ		3	1538	1070	+2	−1	70	182
2015	09	05	Sao Tome and Principe	Morocco	0	3	FQ		-7	1063	1558	−1	+3	181	66
2015	10	08	Sao Tome and Principe	Ethiopia	1	0	WQ		29	1092	1313	+3	−5	179	130
2015	10	11	Ethiopia	Sao Tome and Principe	3	0	WQ		10	1323	1082	+1	−3	129	181
2016	03	23	Sao Tome and Principe	Libya	2	1	FQ		34	1116	1463	+4	−7	178	95
2016	03	28	Libya	Sao Tome and Principe	4	0	FQ	EG	9	1472	1107	+2	−1	93	180
2016	06	04	Sao Tome and Principe	Cape Verde	1	2	FQ		-6	1101	1502	−1	+1	180	83
2016	09	04	Morocco	Sao Tome and Principe	2	0	FQ		2	1581	1099	0	0	63	181
2017	03	22	Sao Tome and Principe	Madagascar	0	1	FQ		-18	1081	1259	−3	+4	183	146
2017	03	26	Madagascar	Sao Tome and Principe	3	2	FQ		7	1266	1074	+1	0	145	182
2018	03	24	Uganda	Sao Tome and Principe	3	1	F		2	1459	1072	+1	−1	91	180
2019	09	04	Sao Tome and Principe	Guinea-Bissau	0	1	WQ		-14	1058	1293	−1	+2	185	137
2019	09	10	Guinea-Bissau	Sao Tome and Principe	2	1	WQ		5	1298	1053	+2	0	137	185
2019	10	09	Mauritius	Sao Tome and Principe	1	3	FQ		-41	1039	1094	−6	+5	187	180
2019	10	13	Sao Tome and Principe	Mauritius	2	1	FQ		12	1106	1027	−1	−1	180	187
2019	11	13	Sudan	Sao Tome and Principe	4	0	FQ		14	1277	1092	+3	0	141	180
2019	11	18	Sao Tome and Principe	Ghana	0	1	FQ		-3	1089	1630	−1	+2	181	52
2020	11	13	South Africa	Sao Tome and Principe	2	0	FQ		3	1512	1086	0	0	77	182
2020	11	16	South Africa	Sao Tome and Principe	4	2	FQ		3	1515	1083	+1	−1	76	183
2021	03	24	Sao Tome and Principe	Sudan	0	2	FQ		-18	1065	1347	0	+6	183	118
2021	03	28	Ghana	Sao Tome and Principe	3	1	FQ		1	1605	1064	+2	0	56	183
2022	03	24	Mauritius	Sao Tome and Principe	0	1	FQ		-21	963	1085	−1	+1	191	181
2022	03	27	Mauritius	Sao Tome and Principe	3	3	FQ		1	964	1084	0	0	191	181
2022	06	09	Guinea-Bissau	Sao Tome and Principe	5	1	FQ	MA	12	1390	1072	+3	−3	104	182
2022	06	13	Nigeria	Sao Tome and Principe	10	0	FQ	MA	4	1641	1068	+4	0	51	181
2023	03	22	Sao Tome and Principe	Sierra Leone	2	2	FQ	MA	13	1081	1320	+1	−4	179	128
2023	03	26	Sierra Leone	Sao Tome and Principe	2	0	FQ	MA	12	1332	1069	+4	0	125	179
2023	06	14	Guinea-Bissau	Sao Tome and Principe	1	0	FQ		3	1402	1066	+1	0	105	180
2023	09	10	Nigeria	Sao Tome and Principe	6	0	FQ		2	1617	1064	0	0	56	180
2023	11	17	Tunisia	Sao Tome and Principe	4	0	WQ		1	1731	1063	0	0	37	179
2023	11	21	Namibia	Sao Tome and Principe	2	0	WQ	MA	9	1377	1054	0	−3	110	182
2024	03	22	Sao Tome and Principe	South Sudan	1	1	FQ	MA	5	1059	1139	+1	0	180	167
2024	03	26	Sao Tome and Principe	South Sudan	0	0	FQ	MA	5	1064	1134	+1	−1	179	167
2024	06	06	Malawi	Sao Tome and Principe	3	1	WQ		8	1307	1056	+2	−1	137	180
2024	06	09	Liberia	Sao Tome and Principe	1	0	WQ	MA	10	1265	1046	+2	−2	151	181
2025	03	21	Equatorial Guinea	Sao Tome and Principe	2	0	WQ		2	1498	1044	0	−1	82	182
2025	03	24	Liberia	Sao Tome and Principe	2	1	WQ		6	1263	1038	+1	−1	150	183
2025	09	04	Equatorial Guinea	Sao Tome and Principe	3	2	WQ	MA	3	1483	1035	0	−1	84	184
2025	09	09	Namibia	Sao Tome and Principe	3	0	WQ	BW	10	1363	1025	+4	−1	114	184
