year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1872	11	30	Scotland	England	0	0	F		-3	1997	2003	−	−	2	1
1873	03	08	England	Scotland	4	2	F		11	2014	1986	0	0	1	2
1874	03	07	Scotland	England	2	1	F		8	1994	2006	0	0	2	1
1875	03	06	England	Scotland	2	2	F		-3	2003	1997	0	0	1	2
1876	03	04	Scotland	England	3	0	F		13	2010	1990	+1	−1	1	2
1876	03	25	Scotland	Wales	4	0	F		1	2011	1499	0	−	1	3
1877	03	03	England	Scotland	1	3	F		-18	1972	2029	0	0	2	1
1877	03	05	Wales	Scotland	0	2	F		-2	1497	2031	0	0	3	1
1878	03	02	Scotland	England	7	2	F		11	2042	1961	0	0	1	2
1878	03	23	Scotland	Wales	9	0	F		1	2043	1496	0	0	1	3
1879	04	05	England	Scotland	5	4	F		9	1971	2034	0	0	2	1
1879	04	07	Wales	Scotland	0	3	F		-3	1492	2037	0	0	3	1
1880	03	13	Scotland	England	5	4	F		6	2043	1965	0	0	1	2
1880	03	27	Scotland	Wales	5	1	F		1	2044	1489	0	0	1	3
1881	03	12	England	Scotland	1	6	F		-20	1928	2064	0	0	2	1
1881	03	14	Wales	Scotland	1	5	F		-3	1505	2067	0	0	3	1
1882	03	11	Scotland	England	5	1	F		8	2075	1923	0	0	1	2
1882	03	25	Scotland	Wales	5	0	F		1	2076	1536	0	0	1	3
1883	03	10	England	Scotland	2	3	F		-8	1893	2084	0	0	2	1
1883	03	12	Wales	Scotland	0	3	F		-2	1531	2086	0	0	3	1
1884	01	26	Ireland	Scotland	0	5	BC		-1	1293	2087	0	0	4	1
1884	03	15	Scotland	England	1	0	BC		6	2093	1892	0	0	1	2
1884	03	29	Scotland	Wales	4	1	BC		1	2094	1523	0	0	1	3
1885	03	14	Scotland	Ireland	8	2	BC		0	2094	1276	0	0	1	4
1885	03	21	England	Scotland	1	1	BC		6	1895	2088	0	0	2	1
1885	03	23	Wales	Scotland	1	8	BC		-6	1535	2094	0	0	3	1
1886	03	20	Ireland	Scotland	2	7	BC		-1	1241	2095	0	0	4	1
1886	03	27	Scotland	England	1	1	BC		-14	2081	1912	0	0	1	2
1886	04	10	Scotland	Wales	4	1	BC		2	2083	1552	0	0	1	3
1887	02	19	Scotland	Ireland	4	1	BC		0	2083	1240	0	0	1	4
1887	03	19	England	Scotland	2	3	BC		-17	1913	2100	0	0	2	1
1887	03	21	Wales	Scotland	0	2	BC		-3	1490	2103	0	0	3	1
1888	03	10	Scotland	Wales	5	1	BC		1	2104	1502	0	0	1	3
1888	03	17	Scotland	England	0	5	BC		-67	2037	1984	0	0	1	2
1888	03	24	Ireland	Scotland	2	10	BC		-2	1275	2039	0	0	4	1
1889	03	09	Scotland	Ireland	7	0	BC		1	2040	1271	0	0	1	4
1889	04	13	England	Scotland	2	3	BC		-23	1966	2063	0	0	2	1
1889	04	15	Wales	Scotland	0	0	BC		17	1517	2046	0	0	3	1
1890	03	22	Scotland	Wales	5	0	BC		2	2048	1537	0	0	1	3
1890	03	29	Ireland	Scotland	1	4	BC		-1	1237	2049	0	0	4	1
1890	04	05	Scotland	England	1	1	BC		-9	2040	1986	0	0	1	2
1891	03	21	Wales	Scotland	3	4	BC		-3	1471	2043	0	0	3	1
1891	03	28	Scotland	Ireland	2	1	BC		0	2043	1297	0	0	1	4
1891	04	04	England	Scotland	2	1	BC		17	2006	2026	0	0	2	1
1892	03	19	Ireland	Scotland	2	3	BC		-1	1307	2027	0	0	4	1
1892	03	26	Scotland	Wales	6	1	BC		2	2029	1452	0	0	1	3
1892	04	02	Scotland	England	1	4	BC		-46	1983	2058	−1	+1	2	1
1893	03	18	Wales	Scotland	0	8	BC		-7	1444	1990	0	0	3	2
1893	03	25	Scotland	Ireland	6	1	BC		1	1991	1305	0	0	2	4
1893	04	01	England	Scotland	5	2	BC		19	2079	1972	0	0	1	2
1894	03	24	Scotland	Wales	5	2	BC		2	1974	1433	0	0	2	3
1894	03	31	Ireland	Scotland	1	2	BC		-2	1327	1976	0	0	4	2
1894	04	07	Scotland	England	2	2	BC		-1	1975	2065	0	0	2	1
1895	03	23	Wales	Scotland	2	2	BC		17	1469	1958	0	0	3	2
1895	03	30	Scotland	Ireland	3	1	BC		1	1959	1325	0	0	2	4
1895	04	06	England	Scotland	3	0	BC		18	2065	1941	0	0	1	2
1896	03	21	Scotland	Wales	4	0	BC		3	1944	1476	0	0	2	3
1896	03	28	Ireland	Scotland	3	3	BC		18	1326	1926	0	0	4	2
1896	04	04	Scotland	England	2	1	BC		23	1949	2049	0	0	2	1
1897	03	20	Wales	Scotland	2	2	BC		16	1469	1933	0	0	3	2
1897	03	27	Scotland	Ireland	5	1	BC		1	1934	1347	0	0	2	4
1897	04	03	England	Scotland	1	2	BC		-31	2020	1965	0	0	1	2
1898	03	19	Scotland	Wales	5	2	BC		2	1967	1435	0	0	2	3
1898	03	26	Ireland	Scotland	0	3	BC		-4	1372	1971	0	0	4	2
1898	04	02	Scotland	England	1	3	BC		-34	1937	2060	0	0	2	1
1899	03	18	Wales	Scotland	0	6	BC		-7	1406	1944	0	0	3	2
1899	03	25	Scotland	Ireland	9	1	BC		2	1946	1387	0	0	2	4
1899	04	08	England	Scotland	2	1	BC		9	2071	1937	0	0	1	2
1900	02	03	Scotland	Wales	5	2	BC		2	1939	1403	0	0	2	3
1900	03	03	Ireland	Scotland	0	3	BC		-4	1363	1943	0	0	4	2
1900	04	07	Scotland	England	4	1	BC		36	1979	2019	0	0	2	1
1901	02	23	Scotland	Ireland	11	0	BC		2	1981	1359	0	0	2	4
1901	03	02	Wales	Scotland	1	1	BC		17	1458	1964	0	0	3	2
1901	03	30	England	Scotland	2	2	BC		-9	2013	1973	0	0	1	2
1902	03	01	Ireland	Scotland	1	5	BC		-4	1390	1977	0	0	4	2
1902	03	15	Scotland	Wales	5	1	BC		2	1979	1436	0	0	2	3
1902	04	05	Scotland	England	1	1	BC		-5	1974	2002	0	0	2	1
1902	05	03	England	Scotland	2	2	BC		-7	1995	1981	0	0	1	2
1902	08	09	Ireland	Scotland	0	3	F		-2	1386	1983	0	0	6	3
1903	03	09	Wales	Scotland	0	1	BC		-3	1432	1986	0	0	7	3
1903	03	21	Scotland	Ireland	0	2	BC		-59	1927	1444	0	+1	3	7
1903	04	04	England	Scotland	1	2	BC		-29	1968	1956	0	0	2	3
1904	03	12	Scotland	Wales	1	1	BC		-19	1937	1447	−1	0	3	9
1904	03	26	Ireland	Scotland	1	1	BC		15	1499	1922	0	0	8	3
1904	04	09	Scotland	England	0	1	BC		-24	1898	1981	−1	0	4	2
1905	03	06	Wales	Scotland	3	1	BC		54	1476	1844	0	−3	12	7
1905	03	18	Scotland	Ireland	4	0	BC		6	1850	1512	0	0	7	10
1905	04	01	England	Scotland	1	0	BC		9	1973	1841	0	0	2	7
1906	03	03	Scotland	Wales	0	2	BC		-56	1785	1538	0	+3	8	11
1906	03	17	Ireland	Scotland	0	1	BC		-10	1485	1795	−1	0	14	8
1906	04	07	Scotland	England	2	1	BC		25	1820	1962	0	0	8	2
1907	03	04	Wales	Scotland	1	0	BC		29	1578	1791	+1	0	11	10
1907	03	16	Scotland	Ireland	3	0	BC		6	1797	1462	0	0	10	16
1907	04	06	England	Scotland	1	1	BC		-13	1967	1810	0	+1	2	9
1908	03	07	Scotland	Wales	2	1	BC		6	1816	1590	+1	−1	9	12
1908	03	14	Ireland	Scotland	0	5	BC		-15	1442	1831	0	+1	16	8
1908	04	04	Scotland	England	1	1	BC		4	1835	1996	0	0	8	2
1909	03	01	Wales	Scotland	3	2	BC		30	1575	1805	+1	0	14	10
1909	03	15	Scotland	Ireland	5	0	BC		6	1811	1467	0	0	10	19
1909	04	03	England	Scotland	2	0	BC		4	2154	1807	0	0	1	10
1910	03	05	Scotland	Wales	1	0	BC		6	1813	1588	0	0	10	14
1910	03	19	Ireland	Scotland	1	0	BC		32	1498	1781	+1	0	18	10
1910	04	02	Scotland	England	2	0	BC		51	1832	2132	0	0	10	1
1911	03	06	Wales	Scotland	2	2	BC		6	1629	1826	0	0	15	9
1911	03	18	Scotland	Ireland	2	0	BC		4	1830	1457	0	0	9	20
1911	04	01	England	Scotland	1	1	BC		-17	2138	1847	0	0	1	9
1912	03	02	Scotland	Wales	1	0	BC		5	1852	1622	+1	0	8	15
1912	03	16	Ireland	Scotland	1	4	BC		-11	1443	1863	0	0	21	8
1912	03	23	Scotland	England	1	1	BC		10	1873	2151	+1	0	7	1
1913	03	03	Wales	Scotland	0	0	BC		9	1613	1864	+2	−1	14	8
1913	03	15	Ireland	Scotland	1	2	BC		-7	1488	1871	−1	+1	21	7
1913	04	05	England	Scotland	1	0	BC		4	2171	1867	0	0	1	7
1914	02	28	Scotland	Wales	0	0	BC		-16	1851	1597	−1	+2	8	16
1914	03	14	Ireland	Scotland	1	1	BC		9	1597	1842	+1	0	16	8
1914	04	04	Scotland	England	3	1	BC		44	1886	2076	+1	0	7	1
1919	03	22	Scotland	Ireland	2	1	F		2	1888	1595	0	0	7	18
1919	04	19	Ireland	Scotland	0	0	F		5	1600	1883	0	0	18	7
1919	04	26	England	Scotland	2	2	F		-7	2066	1890	0	0	1	7
1919	05	03	Scotland	England	3	4	F		-8	1882	2074	0	0	7	1
1920	02	26	Wales	Scotland	1	1	BC		9	1624	1873	0	0	18	8
1920	03	13	Scotland	Ireland	3	0	BC		8	1881	1601	0	0	8	19
1920	04	10	England	Scotland	5	4	BC		9	1997	1872	0	0	1	8
1921	02	12	Scotland	Wales	2	1	BC		6	1878	1656	0	0	9	17
1921	02	26	Ireland	Scotland	0	2	BC		-17	1593	1895	−2	+1	23	8
1921	04	09	Scotland	England	3	0	BC		30	1925	1914	+2	−4	6	8
1922	02	04	Wales	Scotland	2	1	BC		28	1705	1897	+2	−1	17	7
1922	03	04	Scotland	Northern Ireland	2	1	BC		6	1903	1701	0	−2	7	18
1922	04	08	England	Scotland	0	1	BC		-27	1904	1930	−2	+2	7	5
1923	03	03	Northern Ireland	Scotland	0	1	BC		-12	1665	1942	−2	0	23	3
1923	03	17	Scotland	Wales	2	0	BC		8	1950	1704	0	−1	3	17
1923	04	14	Scotland	England	2	2	BC		-7	1943	1927	0	+1	3	4
1924	02	16	Wales	Scotland	2	0	BC		45	1701	1898	+6	−4	18	7
1924	03	01	Scotland	Northern Ireland	2	0	BC		11	1909	1728	+2	0	5	16
1924	04	12	England	Scotland	1	1	BC		-3	1867	1912	−1	0	10	5
1925	02	14	Scotland	Wales	3	1	BC		12	1924	1756	0	0	4	18
1925	02	28	Northern Ireland	Scotland	0	3	BC		-21	1661	1945	−1	0	25	4
1925	04	04	Scotland	England	2	0	BC		20	1965	1899	+1	0	3	5
1925	10	31	Wales	Scotland	0	3	BC		-22	1708	1987	−2	+1	19	2
1926	02	27	Scotland	Northern Ireland	4	0	BC		8	1995	1699	+1	−2	2	21
1926	04	17	England	Scotland	0	1	BC		-19	1853	2014	−2	+1	10	1
1926	10	30	Scotland	Wales	3	0	BC		7	2021	1726	+1	−1	1	17
1927	02	26	Northern Ireland	Scotland	0	2	BC		-14	1698	2035	−3	+1	22	1
1927	04	02	Scotland	England	1	2	BC		-33	2002	1886	−2	+1	3	8
1927	10	29	Wales	Scotland	2	2	BC		10	1731	1992	+1	0	17	3
1928	02	25	Scotland	Northern Ireland	0	1	BC		-36	1956	1734	0	+3	4	17
1928	03	31	England	Scotland	1	5	BC		-36	1810	1992	−2	0	11	4
1928	10	27	Scotland	Wales	4	2	BC		9	2001	1779	0	0	3	14
1929	02	23	Northern Ireland	Scotland	3	7	BC		-20	1711	2021	−2	0	19	3
1929	04	13	Scotland	England	1	0	BC		8	2029	1860	0	0	3	10
1929	05	26	Norway	Scotland	3	7	F		-4	1542	2033	−2	0	39	3
1929	05	29	Norway	Scotland	0	4	F		-4	1538	2037	0	0	39	3
1929	06	01	Germany	Scotland	1	1	F		4	1805	2033	0	0	14	3
1929	06	04	Netherlands	Scotland	0	2	F		-6	1697	2039	−1	0	19	3
1929	10	26	Wales	Scotland	2	4	BC		-15	1735	2054	−1	+2	16	1
1930	02	22	Scotland	Northern Ireland	3	1	BC		5	2059	1719	0	0	2	17
1930	04	05	England	Scotland	5	2	BC		35	1991	2024	+1	0	3	2
1930	05	18	France	Scotland	0	2	F		-3	1514	2027	0	0	40	2
1930	10	25	Scotland	Wales	1	1	BC		-17	2010	1703	0	+2	3	19
1931	02	21	Northern Ireland	Scotland	0	0	BC		10	1721	2000	0	0	18	4
1931	03	28	Scotland	England	2	0	BC		23	2023	1994	+1	−1	3	4
1931	05	16	Austria	Scotland	5	0	F		20	1943	2003	0	0	6	3
1931	05	20	Italy	Scotland	3	0	F		14	1989	1989	+1	0	3	3
1931	05	24	Switzerland	Scotland	2	3	F		-3	1560	1992	−1	0	37	3
1931	09	19	Scotland	Northern Ireland	3	1	BC		6	1998	1699	0	−1	3	19
1931	10	31	Wales	Scotland	2	3	BC		-10	1691	2008	−1	+1	19	2
