year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1920	08	28	Czechoslovakia	Yugoslavia	7	0	OG	BE	24	1891	1576	0	−	9	25
1920	09	03	Egypt	Yugoslavia	4	2	F	BE	11	1675	1565	+1	0	16	25
1921	10	28	Czechoslovakia	Yugoslavia	6	1	F		3	1892	1562	0	0	8	28
1922	06	08	Yugoslavia	Romania	1	2	KAC		-18	1544	1618	−2	−	32	23
1922	06	28	Yugoslavia	Czechoslovakia	4	3	F		16	1560	1889	0	−1	33	7
1922	10	01	Yugoslavia	Poland	1	3	F		-17	1543	1625	0	+1	33	24
1923	06	03	Poland	Yugoslavia	1	2	F		-15	1610	1558	−2	0	27	34
1923	06	10	Romania	Yugoslavia	1	2	KAC		-21	1594	1579	−4	+3	29	31
1923	10	28	Czechoslovakia	Yugoslavia	4	4	F		-9	1913	1588	−1	+3	6	28
1924	02	10	Yugoslavia	Austria	1	4	F		-11	1577	1824	−4	+1	32	12
1924	05	26	Uruguay	Yugoslavia	7	0	OG	FR	12	1997	1565	0	−2	1	34
1924	09	28	Yugoslavia	Czechoslovakia	0	2	F		-7	1558	1866	−1	0	36	8
1925	10	28	Czechoslovakia	Yugoslavia	7	0	F		4	1890	1554	0	0	6	33
1925	11	04	Italy	Yugoslavia	2	1	F		4	1717	1550	0	−2	18	35
1926	05	30	Yugoslavia	Bulgaria	3	1	F		5	1555	1356	+1	0	36	50
1926	06	13	France	Yugoslavia	4	1	F		11	1591	1544	+1	0	29	37
1926	06	28	Yugoslavia	Czechoslovakia	2	6	F		-9	1535	1865	0	+1	37	9
1926	10	03	Yugoslavia	Romania	2	3	KAC		-17	1518	1608	−1	+3	38	27
1927	04	10	Hungary	Yugoslavia	3	0	F		3	1824	1515	−1	−1	11	39
1927	05	10	Romania	Yugoslavia	0	3	KAC		-39	1569	1554	−7	+2	34	37
1927	05	15	Bulgaria	Yugoslavia	0	2	F		-11	1345	1565	−1	0	52	37
1927	07	30	Yugoslavia	Czechoslovakia	1	1	F		6	1571	1909	+4	0	31	8
1927	09	25	Yugoslavia	Hungary	5	1	F		28	1599	1822	+3	0	28	12
1927	10	28	Czechoslovakia	Yugoslavia	5	3	F		2	1932	1597	0	0	5	28
1928	03	25	Hungary	Yugoslavia	2	1	F		3	1815	1594	−1	−1	13	29
1928	04	08	Yugoslavia	Turkey	2	1	F		4	1598	1466	+1	0	28	45
1928	05	06	Yugoslavia	Romania	3	1	KAC		15	1613	1559	0	−3	28	37
1928	05	29	Portugal	Yugoslavia	2	1	OG	NL	20	1749	1593	+1	−1	18	29
1928	10	28	Czechoslovakia	Yugoslavia	7	1	SLV		5	1944	1588	0	−1	5	30
1929	05	10	Romania	Yugoslavia	2	3	KAC		-18	1546	1606	−1	0	37	28
1929	05	19	France	Yugoslavia	1	3	F		-18	1556	1624	−2	+3	35	25
1929	06	28	Yugoslavia	Czechoslovakia	3	3	F		5	1629	1930	0	0	25	5
1929	10	06	Romania	Yugoslavia	2	1	BLK		19	1572	1610	+2	−3	34	28
1929	10	28	Czechoslovakia	Yugoslavia	4	3	F		2	1921	1608	0	0	8	28
1930	01	26	Greece	Yugoslavia	2	1	BLK		28	1393	1580	+3	−3	50	31
1930	04	13	Yugoslavia	Bulgaria	6	1	F		5	1585	1320	+1	0	31	57
1930	05	04	Yugoslavia	Romania	2	1	KAC		10	1595	1562	+1	−1	30	35
1930	06	15	Bulgaria	Yugoslavia	2	2	F		5	1325	1590	0	0	57	30
1930	07	14	Yugoslavia	Brazil	2	1	WC	UY	52	1642	1871	+4	−1	26	9
1930	07	17	Yugoslavia	Bolivia	4	0	WC	UY	11	1653	1247	+2	0	24	62
1930	07	27	Uruguay	Yugoslavia	6	1	WC		10	1987	1643	0	−3	4	27
1930	08	03	Argentina	Yugoslavia	3	1	F		1	2060	1642	0	0	1	27
1930	08	10	Brazil	Yugoslavia	4	1	F		4	1880	1638	0	0	9	27
1930	11	16	Bulgaria	Yugoslavia	0	3	BLK		-19	1350	1657	−1	+2	56	25
1931	03	15	Yugoslavia	Greece	4	1	BLK		8	1665	1395	+1	0	24	53
1931	04	19	Yugoslavia	Bulgaria	1	0	BLK		3	1668	1321	0	0	24	57
1931	05	21	Yugoslavia	Hungary	3	2	F		12	1680	1833	+2	−2	22	12
1931	06	28	Yugoslavia	Romania	2	4	BLK		-47	1633	1608	−4	+5	26	31
1931	08	02	Yugoslavia	Czechoslovakia	2	1	F		15	1648	1896	+2	0	25	8
1931	10	02	Turkey	Yugoslavia	2	0	BLK	BG	49	1432	1599	+5	−7	50	32
1931	10	04	Bulgaria	Yugoslavia	3	2	BLK		28	1379	1571	0	−4	56	36
1931	10	25	Poland	Yugoslavia	6	3	F		10	1629	1561	+1	0	27	36
1932	04	24	Spain	Yugoslavia	2	1	F		1	1924	1560	0	0	7	37
1932	05	03	Portugal	Yugoslavia	3	2	F		4	1693	1556	0	0	20	37
1932	05	29	Yugoslavia	Poland	0	3	F		-19	1537	1648	−2	+3	39	25
1932	06	05	Yugoslavia	France	2	1	F		8	1545	1571	0	−1	39	35
1932	06	26	Yugoslavia	Greece	7	1	BLK		13	1558	1336	+2	−1	37	59
1932	06	30	Yugoslavia	Bulgaria	2	3	BLK		-31	1527	1475	−2	+2	39	49
1932	07	03	Yugoslavia	Romania	3	1	BLK		29	1556	1586	+2	−2	37	32
1932	10	09	Czechoslovakia	Yugoslavia	2	1	F		2	1810	1554	0	0	11	37
1933	04	30	Yugoslavia	Spain	1	1	F		6	1560	1907	0	0	40	8
1933	05	07	Switzerland	Yugoslavia	4	1	F		9	1647	1551	+1	0	28	40
1933	06	03	Yugoslavia	Greece	5	3	BLK	RO	12	1563	1294	0	0	40	64
1933	06	07	Yugoslavia	Bulgaria	4	0	BLK	RO	28	1591	1447	+5	−1	36	54
1933	06	11	Romania	Yugoslavia	5	0	BLK		28	1622	1563	+5	−5	30	41
1933	08	06	Yugoslavia	Czechoslovakia	2	1	F		15	1578	1818	+2	0	39	10
1933	09	10	Poland	Yugoslavia	4	3	F		5	1675	1573	+2	−1	23	40
1933	09	24	Yugoslavia	Switzerland	2	2	WQ		-3	1570	1630	−1	0	41	30
1934	03	18	Bulgaria	Yugoslavia	1	2	F		-9	1442	1579	−3	+1	57	40
1934	04	01	Yugoslavia	Bulgaria	2	3	F		-16	1563	1445	−2	+2	42	56
1934	04	29	Romania	Yugoslavia	2	1	WQ		11	1639	1552	+2	+1	28	41
1934	06	03	Yugoslavia	Brazil	8	4	F		30	1582	1859	+2	−2	39	9
1934	08	26	Yugoslavia	Poland	4	1	F		15	1597	1624	+3	−4	36	32
1934	09	02	Czechoslovakia	Yugoslavia	3	1	F		3	1906	1594	0	−1	7	37
1934	12	16	France	Yugoslavia	3	2	F		6	1627	1588	+2	−1	31	38
1934	12	23	Greece	Yugoslavia	2	1	BLK		31	1316	1557	+6	−3	64	41
1934	12	25	Yugoslavia	Bulgaria	4	3	BLK	GR	14	1571	1426	0	0	41	58
1935	01	01	Yugoslavia	Romania	4	0	BLK	GR	43	1614	1584	+6	−8	35	38
