year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1974	03	13	Reunion	Seychelles	2	0	F		6	1151	994	+1	−	142	162
1974	12	12	Kenya	Seychelles	2	3	IND		-28	1367	1022	−6	+2	101	160
1976	06	28	Seychelles	Mauritius	3	1	IOT		30	1052	1213	+3	−4	157	131
1976	07	01	Seychelles	Reunion	1	4	IOT		-27	1025	1171	−3	+3	160	138
1976	07	03	Seychelles	Kenya	1	4	IOT		-7	1018	1456	−1	+3	161	74
1977	09	21	Mauritius	Seychelles	2	1	TRE	RE	6	1266	1012	+2	0	120	162
1977	09	25	Reunion	Seychelles	1	0	TRE		7	1135	1005	+2	−1	144	163
1978	05	13	Reunion	Seychelles	4	1	F		7	1142	998	+4	−1	140	164
1978	09	17	Seychelles	Reunion	1	0	TRE		18	1016	1139	+2	−2	162	142
1978	09	20	Mauritius	Seychelles	2	0	TRE	RE	10	1245	1006	+2	−1	125	163
1979	08	26	Reunion	Seychelles	3	0	IOG		12	1129	994	0	−2	145	163
1979	08	27	Seychelles	Maldives	9	0	IOG	RE	18	1012	782	+2	−	161	180
1979	08	31	Mauritius	Seychelles	1	1	IOG	RE	-8	1202	1020	−2	0	132	161
1979	09	01	Reunion	Seychelles	2	1	IOG		7	1149	1013	+2	0	140	161
1983	06	19	Reunion	Seychelles	2	1	F		4	1134	1009	+3	0	145	163
1983	06	23	Reunion	Seychelles	0	0	F		-6	1128	1015	−3	0	148	163
1983	07	03	Seychelles	Mauritius	1	2	F		-6	1009	1286	0	+2	163	115
1985	08	27	Mauritius	Seychelles	3	1	IOG		6	1244	1003	0	0	126	165
1985	08	28	Madagascar	Seychelles	1	0	IOG	MU	2	1463	1001	0	0	81	165
1986	08	31	Seychelles	Mauritius	1	2	AGQ		-12	989	1267	−2	+4	167	120
1986	09	14	Mauritius	Seychelles	2	0	AGQ		6	1273	983	+4	0	116	167
1987	06	14	Congo	Seychelles	1	1	IOT	RE	-13	1430	996	−2	+1	82	166
1987	06	16	Madagascar	Seychelles	2	0	IOT	RE	4	1425	992	+1	0	83	166
1987	06	21	Reunion	Seychelles	3	1	IOT		8	1156	984	+1	−1	145	167
1988	06	09	Seychelles	Tanzania	1	1	F		5	989	1250	0	−1	168	122
1988	10	02	Mauritius	Seychelles	3	0	FQ		6	1293	983	+4	0	109	169
1988	10	16	Seychelles	Mauritius	1	0	FQ		31	1014	1262	+3	−11	166	120
1989	06	06	Seychelles	Mauritius	1	2	F		-7	1007	1239	−2	+3	168	124
1990	08	25	Mauritius	Seychelles	2	0	IOG	MG	9	1266	998	+3	0	121	170
1990	08	27	Madagascar	Seychelles	6	0	IOG		2	1464	996	0	0	72	170
1990	08	29	Seychelles	Comoros	2	1	IOG	MG	11	1007	884	0	−2	170	183
1992	11	18	Kenya	Seychelles	2	1	CEC	TZ	3	1424	1004	+1	0	97	183
1992	11	21	Uganda	Seychelles	5	2	CEC	TZ	4	1494	1000	+2	−2	77	185
1993	08	22	Seychelles	Reunion	0	2	IOG		-15	985	1230	0	+4	189	145
1993	08	24	Seychelles	Reunion	0	2	IOG		-14	971	1244	−1	+2	190	143
1993	08	26	Seychelles	Madagascar	1	2	IOG		-2	969	1502	0	0	190	77
1993	08	28	Seychelles	Mauritius	2	6	IOG		-17	952	1229	−2	+4	192	146
1994	11	29	Eritrea	Seychelles	1	0	CEC	KE	7	1235	945	+2	0	144	194
1994	12	01	Uganda	Seychelles	2	0	CEC	KE	3	1456	942	+3	0	87	194
1996	08	11	Mauritius	Seychelles	1	0	FQ		5	1170	937	0	−1	163	196
1996	08	24	Seychelles	Mauritius	1	1	FQ		7	944	1163	+1	0	195	163
1998	06	06	Kenya	Seychelles	0	0	F		-9	1461	953	−6	0	89	196
1998	06	13	Seychelles	Kenya	0	1	F		-2	951	1463	0	0	196	89
1998	08	09	Seychelles	Comoros	3	0	IOG	RE	21	972	853	+3	−1	193	202
1998	08	11	Madagascar	Seychelles	5	2	IOG	RE	3	1481	969	+2	0	80	193
1998	08	13	Reunion	Seychelles	2	0	IOG		4	1276	965	0	0	135	193
1998	08	15	Seychelles	Mauritius	4	3	IOG	RE	22	987	1109	+1	−4	192	171
2000	04	08	Seychelles	Namibia	1	1	WQ		12	999	1324	+1	−3	189	124
2000	04	22	Namibia	Seychelles	3	0	WQ		6	1330	993	+1	−1	123	190
2000	07	01	Seychelles	Zimbabwe	0	1	FQ		-4	989	1479	0	0	190	81
2000	07	16	Zimbabwe	Seychelles	5	0	FQ		3	1458	986	+1	0	85	190
2002	09	08	Seychelles	Eritrea	1	0	FQ		25	1011	1144	+1	−4	188	162
2002	09	26	Mauritius	Seychelles	1	0	F		3	1242	1008	0	0	148	188
2002	10	13	Mali	Seychelles	3	0	FQ		3	1477	1005	+1	−1	82	189
2003	03	30	Zimbabwe	Seychelles	3	1	FQ		2	1462	1003	+3	0	89	189
2003	06	07	Seychelles	Zimbabwe	2	1	FQ		36	1039	1441	+3	−11	186	95
2003	06	21	Eritrea	Seychelles	1	0	FQ		9	1169	1030	+1	−1	159	188
2003	07	05	Seychelles	Mali	0	2	FQ		-6	1024	1528	0	+1	187	71
2003	08	28	Madagascar	Seychelles	1	1	IOG	MU	-10	1297	1034	0	+1	131	186
2003	09	02	Mauritius	Seychelles	0	0	IOG		-11	1267	1045	−3	+2	141	184
2003	09	04	Reunion	Seychelles	1	0	IOG	MU	6	1290	1039	+2	−1	131	185
2003	09	06	Seychelles	Comoros	2	0	IOG	MU	11	1050	833	+3	−1	182	206
2003	10	11	Seychelles	Zambia	0	4	WQA		-12	1038	1457	−4	+3	186	92
2003	11	15	Zambia	Seychelles	1	1	WQA		-18	1439	1056	−7	+5	97	181
2005	02	26	South Africa	Seychelles	3	0	CSF	MU	3	1589	1053	+1	0	64	180
2006	06	28	Seychelles	Mauritius	2	1	IND		21	1074	1270	+2	−3	179	137
2006	06	30	Seychelles	Tanzania	2	1	IND		16	1090	1186	+2	−3	177	161
2006	07	22	Namibia	Seychelles	1	1	CSF		-9	1160	1099	−2	+3	166	174
2006	07	23	Zambia	Seychelles	2	0	CSF	NA	5	1526	1094	0	−1	75	175
2006	09	03	Sudan	Seychelles	3	0	FQ		10	1307	1084	+4	−2	126	178
2006	10	07	Seychelles	Mauritius	2	1	FQ		26	1110	1257	+4	−5	174	138
2007	03	24	Seychelles	Tunisia	0	3	FQ		-5	1105	1647	+1	0	172	51
2007	04	24	Seychelles	Reunion	2	0	F		18	1123	1261	+2	−7	171	141
2007	04	28	Mozambique	Seychelles	2	0	CSF		11	1297	1112	+1	−1	131	172
2007	04	29	Madagascar	Seychelles	5	0	CSF	MZ	33	1203	1079	+10	−4	156	176
2007	06	02	Tunisia	Seychelles	4	0	FQ		2	1649	1077	+3	0	49	176
2007	06	16	Seychelles	Sudan	0	2	FQ		-14	1063	1392	−2	+1	178	108
2007	08	10	Seychelles	Mayotte	2	1	IOG	MG	21	1084	1189	+2	−4	176	158
2007	08	14	Mauritius	Seychelles	3	0	IOG	MG	18	1208	1066	+4	−1	154	177
2007	09	09	Mauritius	Seychelles	1	1	FQ		-12	1182	1078	−5	+1	162	177
2008	06	01	Burundi	Seychelles	1	0	WQA		6	1280	1072	+1	0	137	178
2008	06	07	Seychelles	Tunisia	0	2	WQA		-4	1068	1613	0	0	178	55
2008	06	14	Seychelles	Burkina Faso	2	3	WQA		-9	1059	1385	0	−3	179	112
2008	06	21	Burkina Faso	Seychelles	4	1	WQA		6	1391	1053	+3	−1	109	180
2008	07	19	Seychelles	Mauritius	7	0	CSF	ZA	57	1110	1089	+5	−9	175	179
2008	07	21	Madagascar	Seychelles	1	1	CSF	ZA	-7	1231	1117	−2	0	149	175
2008	07	23	Swaziland	Seychelles	1	0	CSF	ZA	17	1193	1100	+5	−1	156	176
2008	09	06	Seychelles	Burundi	1	2	WQA		-17	1083	1270	−2	+1	178	140
2008	10	11	Tunisia	Seychelles	5	0	WQA		2	1613	1081	0	0	55	178
2009	10	18	Swaziland	Seychelles	2	1	CSF	ZW	16	1172	1065	+3	−2	163	180
