year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1948	05	22	Singapore	China	1	0	F		16	1316	1616	−	−1	81	37
1948	06	20	Singapore	Malaya	4	2	F		10	1326	1290	0	−	81	87
1948	07	07	Singapore	China	3	4	F		-5	1321	1621	0	+1	81	36
1950	02	23	Singapore	Burma	5	1	F		12	1333	1280	+2	−5	83	96
1950	02	27	Singapore	Burma	0	6	F		-30	1303	1310	−6	+10	89	86
1953	01	24	Hong Kong	Singapore	2	2	AHM		-9	1431	1312	−1	+3	71	89
1953	01	25	Hong Kong	Singapore	3	0	AHM		12	1443	1300	+1	−4	70	93
1953	04	19	Singapore	South Korea	1	3	F		-4	1296	1725	−1	0	94	19
1953	06	20	Singapore	Philippines	3	1	F		7	1303	1180	+2	0	92	110
1953	09	13	Singapore	Malaya	1	3	F		-20	1283	1310	−5	+5	99	92
1954	04	17	Singapore	Hong Kong	2	0	AHM		26	1309	1417	+9	−6	98	82
1954	04	25	Singapore	Pakistan	2	2	F		1	1310	1433	+1	0	97	77
1954	05	02	Pakistan	Singapore	6	2	ASG	PH	25	1458	1285	+4	−10	74	108
1954	05	04	Burma	Singapore	1	1	ASG	PH	2	1245	1283	0	0	115	107
1954	11	27	Hong Kong	Singapore	1	1	AHM		-10	1433	1293	−1	+4	78	103
1954	11	28	Hong Kong	Singapore	3	2	AHM		6	1439	1287	0	−3	78	106
1956	03	12	Singapore	Pakistan	1	1	F		1	1288	1428	+1	0	106	81
1956	04	01	Singapore	Malaya	2	4	SMT		-27	1261	1349	−6	+3	112	93
1956	05	28	Singapore	South Vietnam	2	1	F		12	1273	1419	+1	−1	112	83
1956	12	13	Singapore	Bulgaria	2	10	F		-10	1263	1616	−2	+1	115	44
1957	02	09	Singapore	India	2	3	F		-5	1258	1548	−2	+1	116	56
1957	05	11	Singapore	Malaya	1	1	F		-2	1256	1300	0	0	116	104
1957	08	31	Singapore	South Vietnam	5	5	MRD	AY	6	1262	1393	0	0	114	88
1957	09	01	South Vietnam	Singapore	2	1	MRD	AY	10	1403	1252	0	−1	88	115
1957	09	03	Singapore	Thailand	6	0	MRD	AY	27	1279	1170	+5	−2	110	124
1957	09	05	Cambodia	Singapore	1	1	MRD	AY	8	1073	1271	0	−3	133	113
1957	09	07	Singapore	Burma	3	2	MRD	AY	16	1287	1276	+8	−5	105	110
1957	09	10	Singapore	Burma	2	1	F		7	1294	1269	+1	−3	104	113
1958	03	01	Malaya	Singapore	5	2	F		13	1295	1281	+4	−5	106	111
1958	03	02	Malaya	Singapore	3	1	F		10	1305	1271	+3	−2	103	113
1958	04	19	Singapore	Hong Kong	1	3	F		-11	1260	1480	−1	+4	115	70
1958	04	23	Singapore	Hong Kong	1	4	F		-12	1248	1492	−1	+5	116	65
1958	05	03	Singapore	Malaya	3	3	F		-1	1247	1306	0	0	116	103
1958	05	04	Singapore	Malaya	0	3	F		-20	1227	1326	−4	+2	120	101
1958	05	17	Singapore	Pakistan	4	4	F		2	1229	1411	0	−1	120	87
1958	05	26	South Korea	Singapore	2	1	ASG	JP	3	1656	1226	−1	0	39	120
1958	05	28	Israel	Singapore	2	1	ASG	JP	7	1503	1219	+3	0	64	120
1958	07	02	Singapore	Indonesia	0	5	F		-8	1211	1576	−1	+3	121	50
1958	08	30	Singapore	South Vietnam	4	4	MRD	AY	8	1219	1409	+1	−2	120	87
1958	08	31	Indonesia	Singapore	2	0	MRD	AY	6	1560	1213	+1	−1	55	121
1958	09	02	Malaya	Singapore	0	0	MRD		-9	1355	1222	−2	+1	98	120
1958	09	03	Hong Kong	Singapore	2	0	MRD	AY	8	1485	1214	+2	−1	70	121
1959	01	10	Singapore	Japan	3	4	F		-10	1204	1309	−1	+1	124	105
1959	01	11	Singapore	Japan	3	2	F		10	1214	1299	+1	−1	123	106
1959	05	09	Singapore	South Vietnam	1	4	SQ		-30	1184	1390	−4	+4	127	94
1959	05	11	Singapore	Malaya	2	5	SQ		-29	1155	1378	−1	+5	128	96
1959	08	31	India	Singapore	2	0	MRD	AY	5	1524	1150	0	−1	63	129
1959	09	02	South Korea	Singapore	4	1	MRD	AY	3	1642	1147	0	0	40	129
1959	09	03	Japan	Singapore	4	1	MRD	AY	16	1311	1131	+4	−2	104	131
1959	09	11	Singapore	India	2	3	FT		-5	1126	1512	0	0	131	64
1959	09	13	Singapore	South Korea	0	4	FT		-5	1121	1655	0	0	131	39
1960	05	05	Singapore	India	3	0	F		29	1150	1470	+1	−7	133	77
