year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
2004	04	03	Sint Eustatius	Saba	3	1	F		11	711	689	−	−	212	218
2004	08	00	Saint Martin	Sint Eustatius	3	3	F		-9	1039	720	−3	+1	187	212
2004	08	20	Sint Maarten	Sint Eustatius	2	2	F		-7	924	727	0	0	195	212
2004	12	11	Anguilla	Sint Eustatius	0	2	F		-12	544	739	0	+1	230	211
2006	07	15	Saba	Sint Eustatius	3	5	F		-17	672	756	−3	+2	221	211
2006	07	16	Saba	Sint Eustatius	5	5	F		0	672	756	0	0	221	211
2010	03	27	Saba	Sint Eustatius	2	1	F		10	682	746	0	0	219	211
2010	03	28	Saba	Sint Eustatius	1	2	F		-11	671	757	0	0	219	211
2010	03	28	Saba	Sint Eustatius	2	2	F		0	671	757	0	0	219	211
2024	08	30	Sint Eustatius	Saba	3	8	F		-30	727	701	−2	+7	215	217
2024	08	31	Sint Eustatius	Saba	5	3	F		10	737	691	+1	−3	214	220
