year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1968	10	27	Dominica	Sint Maarten	4	2	F		2	1258	898	0	−	123	165
1968	10	29	Dominica	Sint Maarten	1	2	F		-19	1239	917	−2	+1	125	164
1968	10	31	Dominica	Sint Maarten	3	1	F		2	1241	915	0	0	125	164
1988	06	14	Sint Maarten	Saint Martin	1	3	F		-16	899	1016	−3	−	179	165
1989	04	23	Saint Vincent and the Grenadines	Sint Maarten	6	1	CRQ		4	1306	895	0	−1	106	180
1989	05	07	Sint Maarten	British Virgin Islands	1	2	CRQ		-25	870	932	−3	+3	183	174
1989	06	07	Martinique	Sint Maarten	10	0	CRQ		3	1411	867	+2	0	89	184
1989	06	18	Sint Maarten	Netherlands Antilles	1	2	CRQ		-4	863	1347	0	+1	184	102
1990	03	24	Cayman Islands	Sint Maarten	1	1	CRQ	MF	-11	1068	874	−2	+1	163	184
1990	03	28	Aruba	Sint Maarten	2	2	CRQ	MF	-12	1090	886	−3	+2	160	182
1992	04	03	Sint Maarten	Cayman Islands	4	2	CBQ		35	921	1004	+3	−4	188	180
1992	04	05	Sint Maarten	Martinique	1	1	CBQ		16	937	1396	+1	−4	187	95
1993	04	02	Sint Maarten	Antigua and Barbuda	1	0	FCQ	AI	34	971	1196	+4	−8	190	153
1993	04	06	Anguilla	Sint Maarten	0	1	FCQ		-6	564	977	−1	0	217	190
1993	05	21	Puerto Rico	Sint Maarten	3	0	FQC	JM	27	1089	950	+5	−3	175	193
1993	05	23	Jamaica	Sint Maarten	2	0	FQC		2	1412	948	0	0	100	193
1993	05	25	Saint Kitts and Nevis	Sint Maarten	2	2	FQC	JM	-11	1158	959	−1	+2	161	191
1994	03	02	Jamaica	Sint Maarten	3	2	CBQ	KY	2	1483	957	+1	−1	83	193
1994	03	04	Cayman Islands	Sint Maarten	5	0	CBQ		27	998	930	0	−1	191	194
1994	03	06	Sint Maarten	British Virgin Islands	3	0	CBQ	KY	27	957	824	+1	−1	193	205
1995	03	19	Sint Maarten	Saint Kitts and Nevis	0	2	FCQ		-22	935	1171	−1	+2	194	162
1995	03	26	Saint Kitts and Nevis	Sint Maarten	0	1	FCQ		-35	1136	970	−4	+2	166	192
1996	03	29	Sint Maarten	Anguilla	4	0	CBQ	KN	5	975	521	0	0	191	219
1996	03	31	Saint Kitts and Nevis	Sint Maarten	3	0	CBQ		13	1151	962	+1	−1	164	192
1997	04	02	Sint Maarten	Anguilla	3	0	FCQ	DM	5	967	516	0	0	194	221
1997	04	04	Dominica	Sint Maarten	1	0	FCQ		5	1192	962	+1	0	158	194
1997	04	06	Sint Maarten	British Virgin Islands	3	2	FCQ	DM	13	975	816	+1	−2	193	206
1997	11	15	Antigua and Barbuda	Sint Maarten	5	1	LIT	KN	18	1130	957	+1	−1	167	194
1998	12	05	Sint Maarten	Antigua and Barbuda	0	2	LIT		-13	944	1220	−2	+5	196	147
2000	04	29	British Virgin Islands	Sint Maarten	0	0	WUC		1	831	943	0	0	204	193
2000	04	30	Dominica	Sint Maarten	3	1	WUC	VG	12	1131	931	+2	−1	168	194
2004	08	20	Sint Maarten	Sint Eustatius	2	2	F		-7	924	727	0	0	195	212
2016	03	13	Sint Maarten	Anguilla	2	0	F		2	926	560	0	−1	199	236
2016	03	22	Grenada	Sint Maarten	5	0	FBQ		12	1141	914	+1	0	174	199
2016	03	26	Sint Maarten	US Virgin Islands	1	2	FBQ		-34	880	741	−5	+3	204	215
2018	05	26	Saint Barthelemy	Sint Maarten	5	3	F		18	730	862	+1	0	216	203
2018	07	25	Sint Maarten	British Virgin Islands	2	3	F		-18	844	622	−2	0	205	231
2018	08	22	Sint Maarten	Anguilla	1	1	F		-8	836	570	−1	+1	206	235
2018	09	10	Haiti	Sint Maarten	13	0	CLQ		2	1494	834	+1	0	83	206
2018	10	12	Bermuda	Sint Maarten	12	0	CLQ		10	1150	824	+1	0	172	206
2018	11	20	Dominica	Sint Maarten	2	0	CLQ	AI	14	1043	810	0	0	187	206
2019	02	23	Sint Maarten	Saint Barthelemy	1	1	F		-5	805	703	0	+1	206	219
2019	03	23	Sint Maarten	Saint Martin	4	3	CLQ	AI	20	825	783	+1	−2	205	209
2019	08	18	Sint Maarten	Anguilla	2	0	F		3	828	556	0	0	206	236
2019	09	07	Guadeloupe	Sint Maarten	5	1	CLC		5	1190	823	+2	0	161	207
2019	10	10	Turks and Caicos Islands	Sint Maarten	5	2	CLC	CW	42	792	781	+4	−3	209	210
2019	10	14	Guadeloupe	Sint Maarten	2	1	CLC	CW	3	1202	778	+1	0	158	211
2019	11	14	Turks and Caicos Islands	Sint Maarten	3	2	CLC		14	806	764	+1	−1	209	212
2022	06	03	Sint Maarten	US Virgin Islands	1	1	CLC	CW	-6	758	665	0	0	212	227
2022	06	06	Bonaire	Sint Maarten	2	2	CLC	CW	-11	973	769	0	+1	190	211
2022	06	11	Sint Maarten	Turks and Caicos Islands	8	2	CLC	CW	38	807	694	+2	−4	209	219
2022	06	14	Turks and Caicos Islands	Sint Maarten	2	0	CLC		31	725	776	+4	−2	215	211
2023	03	04	Saint Barthelemy	Sint Maarten	5	1	F		17	730	759	0	−1	216	212
2023	03	25	Sint Maarten	Bonaire	6	1	CLC	VI	62	821	909	+3	−6	209	196
2023	03	28	US Virgin Islands	Sint Maarten	1	2	CLC		-16	634	837	0	+2	227	207
2023	06	17	French Guiana	Sint Maarten	4	1	CCQ	US	4	1310	833	+4	+1	132	206
2023	09	07	Saint Lucia	Sint Maarten	5	1	CLB	CW	16	1081	817	+1	−2	179	208
2023	09	10	Guadeloupe	Sint Maarten	4	0	CLB		2	1326	815	+1	0	126	208
2023	10	12	Saint Kitts and Nevis	Sint Maarten	3	2	CLB	AI	6	1130	809	0	−1	172	208
2023	10	15	Saint Kitts and Nevis	Sint Maarten	0	1	CLB		-37	1093	846	−5	+1	177	206
2023	11	16	Guadeloupe	Sint Maarten	2	0	CLB	BB	4	1315	842	+2	0	133	206
2023	11	19	Saint Lucia	Sint Maarten	1	2	CLB		-36	1092	878	−4	+3	175	203
2024	03	17	Sint Maarten	Anguilla	1	1	F		-8	870	555	0	0	203	236
2024	06	02	Sint Maarten	Anguilla	0	3	F		-32	838	602	−3	+2	206	233
2024	06	04	Sint Maarten	Bonaire	3	1	F	NL	15	853	826	+2	−2	204	207
2024	09	06	Sint Maarten	Aruba	2	0	CLB	PR	41	894	950	+2	−1	202	190
2024	09	09	Haiti	Sint Maarten	6	0	CLB	PR	2	1516	892	+1	0	79	202
2024	10	11	Sint Maarten	Puerto Rico	3	2	CLB	AW	32	924	1109	+7	−6	195	171
2024	10	14	Puerto Rico	Sint Maarten	2	1	CLB	AW	10	1119	914	+3	−2	168	197
2024	11	15	Haiti	Sint Maarten	8	0	CLB	PR	3	1527	911	0	−1	79	197
2024	11	18	Sint Maarten	Aruba	1	0	CLB	PR	21	932	902	+4	−6	194	201
2025	11	12	Saint Kitts and Nevis	Sint Maarten	0	0	CFS		-8	1039	940	−1	0	181	193
2025	11	15	Sint Maarten	Dominica	3	2	CFS	KN	16	956	938	+4	−4	189	193
2026	03	27	Sint Maarten	Belize	3	2	CFS	DO	21	977	1084	+3	0	188	176
2026	03	30	Dominica	Sint Maarten	0	0	CFS	DO	2	934	975	0	0	196	189
