year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1939	08	27	Slovakia	Germany	2	0	F		15	1715	1788	−	0	17	14
1939	12	03	Germany	Slovakia	3	1	F		7	1830	1708	+1	−2	12	19
1940	06	06	Bulgaria	Slovakia	1	4	F		-12	1489	1720	−3	+2	55	18
1940	09	15	Slovakia	Germany	0	1	F		-10	1710	1825	−2	0	20	13
1941	09	08	Slovakia	Croatia	1	1	F		2	1712	1886	+1	0	18	8
1941	09	28	Croatia	Slovakia	5	2	F		6	1892	1706	0	−1	8	19
1941	10	12	Romania	Slovakia	3	2	F		12	1557	1694	+2	−2	46	22
1941	12	07	Germany	Slovakia	4	0	F		7	1848	1687	0	−3	13	25
1942	06	07	Slovakia	Croatia	1	2	F		-8	1679	1876	−1	+3	24	8
1942	08	23	Slovakia	Romania	1	0	F		4	1683	1547	0	−2	25	49
1942	09	06	Croatia	Slovakia	6	1	F		6	1884	1677	0	0	9	25
1942	11	22	Slovakia	Germany	2	5	F		-12	1665	1909	−3	0	28	8
1943	04	10	Croatia	Slovakia	1	0	F		3	1858	1662	+1	−2	11	30
1943	06	06	Slovakia	Croatia	1	3	F		-11	1651	1869	−5	0	35	12
1943	06	13	Romania	Slovakia	2	2	F		0	1553	1651	0	0	47	35
1944	04	09	Croatia	Slovakia	7	3	F		5	1874	1646	+2	0	9	36
1992	06	28	China	Slovakia	2	3	FT		-13	1498	1659	−2	−	75	41
1992	10	14	Lithuania	Slovakia	0	1	F		-5	1359	1664	0	+1	112	39
1993	03	30	Slovakia	Lithuania	2	2	F		-8	1656	1365	−1	0	37	113
1993	11	16	Slovakia	Slovenia	2	0	F		8	1664	1558	+1	−2	37	66
1994	02	02	United Arab Emirates	Slovakia	0	1	FRT		-12	1490	1676	−5	+3	83	34
1994	02	04	Egypt	Slovakia	1	0	FRT	AE	16	1661	1660	+6	−4	37	38
1994	02	06	Morocco	Slovakia	2	1	FRT	AE	15	1674	1645	+4	−5	35	43
1994	03	30	Malta	Slovakia	1	2	F		-6	1372	1651	−2	+4	110	40
1994	04	20	Slovakia	Croatia	4	1	F		24	1675	1870	+4	−4	37	14
1994	05	29	Russia	Slovakia	2	1	F		3	1866	1672	0	0	15	37
