year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1920	08	28	Spain	Denmark	1	0	OG	BE	26	2026	1925	−	−1	1	5
1920	08	29	Belgium	Spain	3	1	OG		63	1841	1963	+2	−2	11	3
1920	09	01	Spain	Sweden	2	1	OG	BE	10	1973	1673	0	0	3	16
1920	09	02	Spain	Italy	2	0	OG	BE	11	1984	1621	0	0	3	20
1920	09	05	Spain	Netherlands	3	1	OG	BE	32	2016	1846	+2	−1	1	11
1921	10	07	Spain	Belgium	2	0	F		6	2022	1882	0	0	2	9
1921	12	18	Spain	Portugal	3	1	F		2	2024	1698	0	−	1	18
1922	04	30	France	Spain	0	4	F		-6	1616	2030	0	0	24	1
1922	12	17	Portugal	Spain	1	2	F		-4	1694	2034	0	0	18	1
1923	01	28	Spain	France	3	0	F		2	2036	1596	0	0	1	29
1923	02	04	Belgium	Spain	1	0	F		12	1894	2024	+1	0	8	1
1923	12	16	Spain	Portugal	3	0	F		3	2027	1691	0	0	1	20
1924	03	09	Italy	Spain	0	0	F		6	1685	2021	0	0	21	1
1924	05	25	Italy	Spain	1	0	OG	FR	53	1733	1968	+6	−1	17	2
1924	12	21	Spain	Austria	2	1	F		4	1972	1842	0	−1	2	11
1925	05	17	Portugal	Spain	0	2	F		-8	1683	1980	−1	0	23	2
1925	06	01	Switzerland	Spain	0	3	F		-12	1757	1992	−1	0	17	2
1925	06	14	Spain	Italy	1	0	F		2	1994	1721	0	0	2	19
1925	09	27	Austria	Spain	0	1	F		-10	1873	2004	−2	0	9	1
1925	10	04	Hungary	Spain	0	1	F		-8	1816	2012	0	0	13	1
1926	12	19	Spain	Hungary	4	2	F		5	2017	1835	0	0	3	10
1927	04	17	Spain	Switzerland	1	0	F		2	2019	1709	0	0	2	19
1927	05	22	France	Spain	1	4	F		-5	1584	2024	0	0	30	2
1927	05	29	Italy	Spain	2	0	F		21	1792	2003	0	0	13	2
1928	01	08	Portugal	Spain	2	2	F		6	1684	1997	+1	0	23	3
1928	04	22	Spain	Italy	1	1	F		-7	1990	1797	−1	0	4	13
1928	05	30	Spain	Mexico	7	1	OG	NL	20	2010	1681	+1	−1	3	22
1928	06	01	Italy	Spain	1	1	OG	NL	16	1825	1994	0	0	13	3
1928	06	04	Italy	Spain	7	1	OG	NL	93	1918	1901	+7	−4	6	7
1929	03	17	Spain	Portugal	5	0	F		6	1907	1710	0	−1	8	19
1929	04	14	Spain	France	8	1	F		4	1911	1583	0	−1	8	32
1929	05	15	Spain	England	4	3	F		6	1917	1876	0	0	8	9
1930	01	01	Spain	Czechoslovakia	1	0	F		7	1924	1914	+2	−1	7	9
1930	06	14	Czechoslovakia	Spain	2	0	F		12	1910	1912	0	−1	9	8
1930	06	22	Italy	Spain	2	3	F		-14	1965	1926	−1	+1	5	7
1930	11	30	Portugal	Spain	0	1	F		-6	1692	1932	−1	+1	20	6
1931	04	19	Spain	Italy	0	0	F		-2	1930	1975	0	0	7	5
1931	04	26	Spain	Ireland	1	1	F		-8	1922	1666	0	0	7	25
1931	12	09	England	Spain	7	1	F		11	2007	1911	0	0	4	7
1931	12	13	Ireland	Spain	0	5	F		-12	1654	1923	−1	0	24	7
1932	04	24	Spain	Yugoslavia	2	1	F		1	1924	1560	0	0	7	37
1933	04	02	Spain	Portugal	3	0	F		5	1929	1699	0	0	8	19
1933	04	23	France	Spain	1	0	F		16	1605	1913	+2	0	32	8
1933	04	30	Yugoslavia	Spain	1	1	F		6	1560	1907	0	0	40	8
1933	05	21	Spain	Bulgaria	13	0	F		3	1910	1500	0	−2	8	47
