year	month	day	home_team	away_team	home_score	away_score	match_type	neutral	elo_change	home_elo	away_elo	_c12	_c13	home_rank	away_rank
1933	01	31	Ceylon	India	0	1	F		-1	999	1601	−	−	77	32
1952	03	09	Ceylon	India	0	3	CLM		-2	997	1680	0	0	115	26
1952	03	18	Ceylon	Pakistan	0	2	CLM		-7	990	1400	−1	0	116	72
1953	10	24	Burma	Ceylon	3	2	CLM		3	1276	987	+1	0	103	124
1953	10	27	India	Ceylon	2	0	CLM	BU	1	1651	986	0	0	28	124
1953	11	02	Pakistan	Ceylon	6	0	CLM	BU	5	1418	981	0	−1	78	125
1953	11	05	Burma	Ceylon	7	9	F		-27	1243	1008	−4	+2	108	123
1954	12	18	India	Ceylon	1	1	CLM		-14	1577	1022	−1	+1	45	129
1954	12	21	Pakistan	Ceylon	2	1	CLM	IN	3	1426	1019	0	0	81	129
1954	12	25	Ceylon	Burma	2	1	CLM	IN	26	1045	1298	0	−6	129	101
1955	12	18	India	Ceylon	4	3	CLM	PK	2	1513	1043	+1	0	63	129
1955	12	21	Pakistan	Ceylon	2	1	CLM		2	1433	1041	0	0	81	129
1955	12	23	Burma	Ceylon	3	1	CLM	PK	10	1278	1031	+2	0	109	129
1963	12	22	Ceylon	India	3	5	OQ		-7	1024	1494	0	+2	149	71
1963	12	29	India	Ceylon	7	0	OQ		3	1497	1021	+1	0	70	149
1964	01	12	Ceylon	East Germany	1	12	F		-3	1018	1647	0	0	149	36
1964	02	23	Ceylon	Indonesia	3	9	F		-5	1013	1459	0	0	149	81
1964	02	29	Ceylon	Indonesia	1	4	F		-4	1009	1463	0	+2	149	79
1965	02	28	Ceylon	Pakistan	3	1	F		25	1034	1383	+2	−11	148	100
1965	03	07	Ceylon	Pakistan	0	0	F		6	1040	1377	0	−2	148	102
1965	04	29	Indonesia	Ceylon	5	0	F		2	1465	1038	+1	0	78	148
1968	03	17	Israel	Ceylon	7	0	OQ		3	1506	1035	0	0	67	156
1968	03	22	Israel	Ceylon	4	0	OQ		3	1509	1032	0	0	67	156
1971	12	13	Iraq	Ceylon	5	0	SQ	KW	4	1569	1028	0	−1	57	160
1971	12	16	Jordan	Ceylon	2	1	SQ	KW	13	1170	1015	+1	0	141	160
1971	12	20	Bahrain	Ceylon	3	0	SQ	KW	24	1154	991	+4	−2	143	162
1972	03	22	Israel	Ceylon	3	0	OQ	BU	1	1710	990	0	−1	32	163
1972	03	24	Burma	Ceylon	5	1	OQ		1	1659	989	0	+1	39	162
1972	03	26	Thailand	Ceylon	5	0	OQ	BU	17	1233	972	+1	−2	129	164
1972	06	07	Malaysia	Sri Lanka	3	0	JAT	ID	3	1457	969	0	0	73	164
1972	06	09	Burma	Sri Lanka	4	2	JAT	ID	1	1655	968	+1	0	40	164
1972	06	11	Indonesia	Sri Lanka	8	0	JAT		2	1458	966	0	0	74	164
1972	06	13	Sri Lanka	Laos	3	1	JAT	ID	22	988	943	+2	−1	162	166
1972	06	23	Singapore	Sri Lanka	3	1	FT		10	1105	978	+1	−1	152	163
1972	07	12	Malaysia	Sri Lanka	4	1	MRD		2	1450	976	+2	−1	76	164
1972	07	16	Japan	Sri Lanka	5	0	MRD	MY	2	1546	974	0	0	62	164
1972	07	20	Philippines	Sri Lanka	4	1	MRD	MY	18	1108	956	+3	0	152	164
1972	07	22	Khmer Republic	Sri Lanka	6	1	MRD	MY	6	1336	950	0	−1	109	165
1972	07	25	Singapore	Sri Lanka	6	1	MRD	MY	18	1115	932	+4	−1	149	166
